"external_gene_name","description","count","counts_when_betweenness_0","counts_when_centrality_0","counts_when_druggability_0","counts_when_eigen_centrality_0","counts_when_closeness_0"
"HSP90AA1","heat shock protein 90 alpha family class A member 1",993,84,84,84,84,84
"UBA52","ubiquitin A-52 residue ribosomal protein fusion product 1",981,84,84,84,84,84
"EGFR","epidermal growth factor receptor",946,78,84,84,84,84
"UBC","ubiquitin C",935,83,81,84,80,83
"RPS27A","ribosomal protein S27a",934,81,80,84,79,83
"CTNNB1","catenin beta 1",929,73,84,84,84,84
"TP53","tumor protein p53",842,67,71,84,70,75
"UBB","ubiquitin B",729,82,52,77,34,71
"ESR1","estrogen receptor 1",620,49,78,15,63,55
"H4C6","H4 clustered histone 6",579,81,53,40,13,66
"SRC","SRC proto-oncogene, non-receptor tyrosine kinase",383,12,23,41,71,14
"FN1","fibronectin 1",376,0,31,47,63,28
"EP300","E1A binding protein p300",224,33,6,32,0,16
"HDAC1","histone deacetylase 1",129,19,12,0,7,9
"CD44","CD44 molecule (IN blood group)",59,2,3,0,7,1
"LRRK2","leucine rich repeat kinase 2",58,1,6,0,7,2
"HSPA4","heat shock protein family A (Hsp70) member 4",55,2,5,0,8,0
"BRD4","bromodomain containing 4",46,4,3,0,1,1
"H3C12","H3 clustered histone 12",38,4,0,0,0,0
"APP","amyloid beta precursor protein",32,0,0,0,1,0
"KDM1A","lysine demethylase 1A",17,1,0,0,0,0
"H2BC12","H2B clustered histone 12",13,0,0,0,0,0
"H3C13","H3 clustered histone 13",13,0,0,0,0,0
"FYN","FYN proto-oncogene, Src family tyrosine kinase",12,0,0,0,0,0
"NR3C1","nuclear receptor subfamily 3 group C member 1",8,0,0,0,0,0
"HSP90AB1","heat shock protein 90 alpha family class B member 1",5,0,0,0,0,0
"CD36","CD36 molecule (CD36 blood group)",4,0,0,0,0,0
"CD9","CD9 molecule",3,0,0,0,0,0
"MDM2","MDM2 proto-oncogene",3,0,0,0,0,0
"TGFB1","transforming growth factor beta 1",3,0,0,0,0,0
"ACAN","aggrecan",2,0,0,0,0,0
"ADGRL2","adhesion G protein-coupled receptor L2",2,0,0,0,0,0
"AKT1","AKT serine/threonine kinase 1",2,0,0,0,0,0
"H3C1","H3 clustered histone 1",2,0,0,0,0,0
"HDAC8","histone deacetylase 8",2,0,0,0,0,0
"RPS3A","ribosomal protein S3A",2,0,0,0,0,0
"RXRA","retinoid X receptor alpha",2,0,0,0,0,0
"SCARB1","scavenger receptor class B member 1",2,0,0,0,0,0
"SCARB2","scavenger receptor class B member 2",2,0,0,0,0,0
"STAT3","signal transducer and activator of transcription 3",2,0,0,0,0,0
"ABCC8","ATP binding cassette subfamily C member 8",1,0,0,0,0,0
"ADIPOR2","adiponectin receptor 2",1,0,0,0,0,0
"AGPAT3","1-acylglycerol-3-phosphate O-acyltransferase 3",1,0,0,0,0,0
"BRCA1","BRCA1 DNA repair associated",1,0,0,0,0,0
"CACNA1A","calcium voltage-gated channel subunit alpha1 A",1,0,0,0,0,0
"CENPU","centromere protein U",1,0,0,0,0,0
"COX15","cytochrome c oxidase assembly homolog COX15",1,0,0,0,0,0
"CREBBP","CREB binding protein",1,0,0,0,0,0
"DAO","D-amino acid oxidase",1,0,0,0,0,0
"FANCC","FA complementation group C",1,0,0,0,0,0
"GRB2","growth factor receptor bound protein 2",1,0,0,0,0,0
"HAO2","hydroxyacid oxidase 2",1,0,0,0,0,0
"ITPR1","inositol 1,4,5-trisphosphate receptor type 1",1,0,0,0,0,0
"LCK","LCK proto-oncogene, Src family tyrosine kinase",1,0,0,0,0,0
"MAOB","monoamine oxidase B",1,0,0,0,0,0
"MAPK1","mitogen-activated protein kinase 1",1,0,0,0,0,0
"SMO","smoothened, frizzled class receptor",1,0,0,0,0,0
"SYK","spleen associated tyrosine kinase",1,0,0,0,0,0
"TAFAZZIN","tafazzin, phospholipid-lysophospholipid transacylase",1,0,0,0,0,0
"TCIRG1","T cell immune regulator 1, ATPase H+ transporting V0 subunit a3",1,0,0,0,0,0
"TRAF6","TNF receptor associated factor 6",1,0,0,0,0,0
