"external_gene_name","description","count","counts_when_betweenness_0","counts_when_centrality_0","counts_when_druggability_0","counts_when_eigen_centrality_0","counts_when_closeness_0","counts_when_citation_0"
"UBA52","ubiquitin A-52 residue ribosomal protein fusion product 1",2852,126,126,126,126,126,126
"RPS27A","ribosomal protein S27a",2732,124,122,126,123,125,125
"UBC","ubiquitin C",2591,119,115,125,116,122,126
"HSP90AA1","heat shock protein 90 alpha family class A member 1",2353,96,102,113,108,104,126
"UBB","ubiquitin B",2320,123,109,125,104,121,112
"EGFR","epidermal growth factor receptor",2214,63,96,116,110,104,126
"CTNNB1","catenin beta 1",1968,33,84,102,102,90,126
"TP53","tumor protein p53",1933,59,68,116,70,86,120
"H4C6","H4 clustered histone 6",1735,115,90,88,47,109,83
"ESR1","estrogen receptor 1",1028,19,65,1,45,35,92
"H3C12","H3 clustered histone 12",964,93,69,29,35,53,0
"FN1","fibronectin 1",840,0,28,46,60,25,39
"SRC","SRC proto-oncogene, non-receptor tyrosine kinase",775,9,6,37,64,10,35
"H3C13","H3 clustered histone 13",677,74,46,18,21,37,0
"EP300","E1A binding protein p300",573,41,7,45,0,23,16
"IGKV1D-33","immunoglobulin kappa variable 1D-33",406,16,17,5,25,14,0
"H2BC12","H2B clustered histone 12",352,49,23,3,2,19,0
"IGKV2D-40","immunoglobulin kappa variable 2D-40",264,4,9,5,13,6,0
"POTEC","POTE ankyrin domain family member C",243,3,7,0,9,8,0
"HDAC1","histone deacetylase 1",228,20,4,0,6,6,6
"H4C13","H4 clustered histone 13",183,21,11,3,0,10,0
"CALML4","calmodulin like 4",171,6,6,4,20,0,0
"SPDYC","speedy/RINGO cell cycle regulator family member C",146,2,5,0,4,3,0
"IGLV10-54","immunoglobulin lambda variable 10-54",138,0,0,6,1,0,0
"RIMBP3B","RIMS binding protein 3B",138,1,2,1,1,5,0
"ATP5MGL","ATP synthase membrane subunit g like",137,1,1,2,2,2,0
"CLDN24","claudin 24",136,1,3,0,4,4,0
"LRRK2","leucine rich repeat kinase 2",118,0,5,0,8,0,1
"H4C15","H4 clustered histone 15",117,13,10,1,0,6,0
"NUDCD1","NudC domain containing 1",114,0,4,4,11,1,0
"H2AC8","H2A clustered histone 8",110,21,6,0,0,3,0
"CAPZA3","capping actin protein of muscle Z-line subunit alpha 3",104,0,0,0,4,1,0
"HSP90AB1","heat shock protein 90 alpha family class B member 1",87,1,0,10,0,0,0
"BOD1L2","biorientation of chromosomes in cell division 1 like 2",84,0,1,1,1,0,0
"HSPA4","heat shock protein family A (Hsp70) member 4",84,0,1,0,2,0,0
"SLCO6A1","solute carrier organic anion transporter family member 6A1",80,0,5,0,4,0,0
"DNAAF8","dynein axonemal assembly factor 8",78,0,0,0,0,1,0
"CD44","CD44 molecule (IN blood group)",75,0,0,0,2,0,0
"BRD4","bromodomain containing 4",71,1,1,0,1,1,1
"GRB2","growth factor receptor bound protein 2",63,0,0,0,4,0,0
"H3-7","H3.7 histone (putative)",53,3,3,2,0,0,0
"APP","amyloid beta precursor protein",49,0,0,0,0,0,0
"PNLIPRP3","pancreatic lipase related protein 3",47,0,0,0,0,0,0
"RMND5B","required for meiotic nuclear division 5 homolog B",44,0,0,0,0,0,0
"FHIP1B","FHF complex subunit HOOK interacting protein 1B",42,0,0,0,0,0,0
"HAUS6","HAUS augmin like complex subunit 6",32,0,0,0,2,0,0
"H4C9","H4 clustered histone 9",31,3,2,0,0,0,0
"CYB561A3","cytochrome b561 family member A3",30,0,0,0,0,0,0
"GPR156","G protein-coupled receptor 156",30,0,0,0,0,0,0
"LGALS9B","galectin 9B",30,0,0,0,0,0,0
