"","external_gene_name","ensembl_gene_id","description","gene_biotype","degree","betweenness","closeness","eigen_centrality","cluster","source","counts","druggability","CP_score","highest_score"
"1","A2M","ENSG00000175899","alpha-2-macroglobulin ","protein_coding",49,16976.5118048036,9.62093515489706e-05,0.0330189180627904,"white","STRING",10069,0.946,0.780061904761905,0.946
"2","AATF","ENSG00000275700","apoptosis antagonizing transcription factor ","protein_coding",31,1045.47140939943,9.15080527086384e-05,0.095632858578937,"white","STRING",634,0.967,0.889795238095238,0.967
"3","ABAT","ENSG00000183044","4-aminobutyrate aminotransferase ","protein_coding",3,1272.57492550788,6.36577757973136e-05,6.47762027954407e-05,"tomato","subnet",2772,0.915,0.729228571428571,0.915
"4","ABCA1","ENSG00000165029","ATP binding cassette subfamily A member 1 ","protein_coding",15,4215.10420510842,9.29454410261177e-05,0.02902414104488,"white","STRING",10924,0.986,0.687028571428571,0.986
"5","ABCA2","ENSG00000107331","ATP binding cassette subfamily A member 2 ","protein_coding",22,0,7.63242253091131e-05,0.00169601309713533,"white","STRING",814,0.976,0.36977619047619,0.976
"6","ABCB6","ENSG00000115657","ATP binding cassette subfamily B member 6 (LAN blood group) ","protein_coding",22,0,7.63242253091131e-05,0.00169601309713533,"gold","subnet",12079,0.846,0.516576190476191,0.846
"7","ABCB8","ENSG00000197150","ATP binding cassette subfamily B member 8 ","protein_coding",22,0,7.63242253091131e-05,0.00169601309713535,"white","STRING",321,0.842,0.931071428571429,0.931071428571429
"8","ABCC4","ENSG00000125257","ATP binding cassette subfamily C member 4 (PEL blood group) ","protein_coding",11,3275.27818869447,8.42601954836535e-05,0.00473683732896252,"white","STRING",3373,0.946,0.839433333333333,0.946
"9","ABCC6","ENSG00000091262","ATP binding cassette subfamily C member 6 ","protein_coding",1,0,6.35687496026953e-05,0.000100875292919885,"white","STRING",1828,0.959,0.884304761904762,0.959
"10","ABCC8","ENSG00000006071","ATP binding cassette subfamily C member 8 ","protein_coding",24,601.113765650526,7.75133710565072e-05,0.00196772646135235,"white","STRING",3935,1,0.202438095238095,1
"11","ABCC9","ENSG00000069431","ATP binding cassette subfamily C member 9 ","protein_coding",25,3535.86615576196,8.34724540901503e-05,0.00418752618596151,"gold","subnet",1431,0.999,0.650728571428571,0.999
"12","ABCD4","ENSG00000119688","ATP binding cassette subfamily D member 4 ","protein_coding",22,0,7.63242253091131e-05,0.00169601309713535,"white","STRING",289,0.84,0.317154545454545,0.84
"13","ABCG2","ENSG00000118777","ATP binding cassette subfamily G member 2 (JR blood group) ","protein_coding",2,0,7.45434215430488e-05,0.00100109375136231,"white","STRING",17864,0.885,0.880452380952381,0.885
"14","ABCG5","ENSG00000138075","ATP binding cassette subfamily G member 5 ","protein_coding",22,0,7.63242253091131e-05,0.00169601309713534,"white","STRING",1600,0.825,0.7293,0.825
"15","ABCG8","ENSG00000143921","ATP binding cassette subfamily G member 8 ","protein_coding",25,2130.91593453528,8.11227387036587e-05,0.00340892595202775,"white","STRING",1518,0.856,0.306147619047619,0.856
"16","ABHD11","ENSG00000106077","abhydrolase domain containing 11 ","protein_coding",2,89.8624458591183,7.35131956186135e-05,0.00114613768806571,"tomato","subnet",340,0.453,0.376090909090909,0.453
"17","ABHD16A","ENSG00000204427","abhydrolase domain containing 16A, phospholipase ","protein_coding",17,17974.5476147107,8.00192046091062e-05,0.00402605134506545,"tomato","subnet",198,0.981,0.56622380952381,0.981
"18","ABHD5","ENSG00000011198","abhydrolase domain containing 5, lysophosphatidic acid acyltransferase ","protein_coding",7,662.587254404686,7.91891035793475e-05,0.00331324786162687,"white","STRING",946,0.711,0.3743,0.711
"19","ABTB1","ENSG00000114626","ankyrin repeat and BTB domain containing 1 ","protein_coding",5,29.7307931710746,7.81066937436538e-05,0.00322001276966429,"springgreen","subnet",172,0.522,0.420661904761905,0.522
"20","ACAA1","ENSG00000060971","acetyl-CoA acyltransferase 1 ","protein_coding",9,560.426207018435,6.98812019566737e-05,0.00689368763539355,"white","STRING",634,0.588,0.699252941176471,0.699252941176471
"21","ACACA","ENSG00000278540","acetyl-CoA carboxylase alpha ","protein_coding",7,974.404750361417,8.58442784788394e-05,0.0130375144852001,"white","STRING",10185,0.995,0.56677619047619,0.995
"22","ACAD9","ENSG00000177646","acyl-CoA dehydrogenase family member 9 ","protein_coding",16,2500.32864247592,8.07167648720639e-05,0.00412797987010787,"white","STRING",460,0.906,0.868609523809524,0.906
"23","ACAN","ENSG00000157766","aggrecan ","protein_coding",28,8348.38996382423,8.82456759618779e-05,0.0152545768527111,"springgreen","subnet",14393,1,0.752366666666667,1
"24","ACAP1","ENSG00000072818","ArfGAP with coiled-coil, ankyrin repeat and PH domains 1 ","protein_coding",2,11.7960398185098,6.81245316438449e-05,0.000233353922806969,"white","STRING",272,0.558,0.429141666666667,0.558
"25","ACE2","ENSG00000130234","angiotensin converting enzyme 2 ","protein_coding",34,9761.41952455164,9.50389659760502e-05,0.0197871210823231,"white","STRING",52693,0.193,0.567204761904762,0.567204761904762
"26","ACER1","ENSG00000167769","alkaline ceramidase 1 ","protein_coding",8,0,6.27155848228285e-05,5.11277585073949e-05,"white","STRING",186,0.998,0.358328571428571,0.998
"27","ACER2","ENSG00000177076","alkaline ceramidase 2 ","protein_coding",8,0,6.27155848228285e-05,5.11277585073934e-05,"white","STRING",303,0.991,0.494690476190476,0.991
"28","ACER3","ENSG00000078124","alkaline ceramidase 3 ","protein_coding",8,444.33029957203,6.58631364025555e-05,0.00010440198465168,"white","STRING",302,0.998,0.772741666666667,0.998
"29","ACHE","ENSG00000087085","acetylcholinesterase (Yt blood group) ","protein_coding",9,3440.49341363133,8.86132033673017e-05,0.0110068675547987,"white","STRING",30618,0.769,0.408461904761905,0.769
"30","ACKR1","ENSG00000213088","atypical chemokine receptor 1 (Duffy blood group) ","protein_coding",17,959.253165785326,8.56017805170347e-05,0.0108230682477905,"tomato","subnet",3341,0.787,0.7929625,0.7929625
"31","ACKR2","ENSG00000144648","atypical chemokine receptor 2 ","protein_coding",32,191.413779480943,8.13868316106454e-05,0.0123698057947915,"white","STRING",466,0.621,0.956952380952381,0.956952380952381
"32","ACKR3","ENSG00000144476","atypical chemokine receptor 3 ","protein_coding",16,7082.74080818222,9.30752047654505e-05,0.0191229902390218,"white","STRING",3808,0.933,0.916171428571429,0.933
"33","ACKR4","ENSG00000129048","atypical chemokine receptor 4 ","protein_coding",18,13.1429114943068,7.91452314998021e-05,0.00729204001346861,"white","STRING",412,0.62,0.562225,0.62
"34","ACOD1","ENSG00000102794","aconitate decarboxylase 1 ","protein_coding",2,24.1900450593424,7.11035267349261e-05,0.000702292546659289,"white","STRING",1806,0.756,0.667885714285714,0.756
"35","ACTB","ENSG00000075624","actin beta ","protein_coding",126,54829.2219153641,0.000111321384838027,0.308620919411353,"white","STRING",28732,0.523,0.7484,0.7484
"36","ACTC1","ENSG00000159251","actin alpha cardiac muscle 1 ","protein_coding",22,1461.30831406647,8.67904877625412e-05,0.0159686445278434,"white","STRING",1818,0.87,0.700109090909091,0.87
