"","external_gene_name","ensembl_gene_id","description","gene_biotype","cluster","betweenness","degree_centrality","eigen_centrality","closeness","prize","type","counts","druggability","CP_score","highest_score"
"1","A1BG","ENSG00000121410","alpha-1-B glycoprotein ","protein_coding","1",18945,4,6.33757061658575e-06,2.61541841463797e-06,50,"Terminal",2618,0.368,0.766952380952381,0.766952380952381
"2","A1CF","ENSG00000148584","APOBEC1 complementation factor ","protein_coding","1",6317,2,1.5495309271402e-08,1.38125934939922e-06,50,"Steiner",292,0.026,0.489295238095238,0.489295238095238
"3","A2M","ENSG00000175899","alpha-2-macroglobulin ","protein_coding","1",122621,6,2.60299123587666e-07,2.35601785861537e-06,50,"Steiner",10069,0.946,0.780061904761905,0.946
"4","A4GALT","ENSG00000128274","alpha 1,4-galactosyltransferase (P1PK blood group) ","protein_coding","1",0,1,7.33553628391346e-09,9.08813307935031e-07,50,"Terminal",2584,0.056,0.498252380952381,0.498252380952381
"5","AAGAB","ENSG00000103591","alpha and gamma adaptin binding protein ","protein_coding","1",5,3,2.17991214774872e-08,1.4496115041169e-06,50,"Terminal",310,0.518,0.827571428571429,0.827571428571429
"6","AARD","ENSG00000205002","alanine and arginine rich domain containing protein ","protein_coding","1",0,1,2.29628107219298e-08,1.3936175105253e-06,50,"Terminal",49,0.146,0.670119047619048,0.670119047619048
"7","AARSD1","ENSG00000266967","alanyl-tRNA synthetase domain containing 1 ","protein_coding","1",18,2,1.45565071692386e-07,1.01565634251994e-06,50,"Terminal",86,0.309,0.781904761904762,0.781904761904762
"8","AASDHPPT","ENSG00000149313","aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase ","protein_coding","1",6317,2,6.42146689600656e-09,9.07349622678659e-07,47,"Steiner",458,0.642,0.278463636363636,0.642
"9","AASS","ENSG00000008311","aminoadipate-semialdehyde synthase ","protein_coding","1",0,1,8.52431009375015e-06,1.45369966564908e-06,50,"Terminal",281,0.564,0.789966666666667,0.789966666666667
"10","ABAT","ENSG00000183044","4-aminobutyrate aminotransferase ","protein_coding","1",0,1,2.57807661435976e-09,9.85500333591863e-07,50,"Terminal",2772,0.915,0.729228571428571,0.915
"11","ABCA1","ENSG00000165029","ATP binding cassette subfamily A member 1 ","protein_coding","1",43234,6,5.92090947626345e-07,2.29590021099323e-06,50,"Terminal",10924,0.986,0.687028571428571,0.986
"12","ABCA12","ENSG00000144452","ATP binding cassette subfamily A member 12 ","protein_coding","1",204090,3,1.05065498303563e-07,2.41606003425973e-06,50,"Terminal",796,0.999,0.301290476190476,0.999
"13","ABCA9","ENSG00000154258","ATP binding cassette subfamily A member 9 ","protein_coding","1",6147,2,1.08944285276545e-09,9.98495267631679e-07,50,"Terminal",278,0.789,0.700904761904762,0.789
"14","ABCB1","ENSG00000085563","ATP binding cassette subfamily B member 1 ","protein_coding","1",1114,5,1.39981469996612e-05,2.17056282694103e-06,50,"Terminal",55600,0.969,0.384238095238095,0.969
"15","ABCB11","ENSG00000073734","ATP binding cassette subfamily B member 11 ","protein_coding","1",0,1,1.44815246367411e-08,9.83290937105762e-07,50,"Terminal",3181,0.991,0.250652380952381,0.991
"16","ABCB5","ENSG00000004846","ATP binding cassette subfamily B member 5 ","protein_coding","1",0,1,9.12493971481167e-08,1.33083314147156e-06,50,"Terminal",1205,0.249,0.95392380952381,0.95392380952381
"17","ABCB6","ENSG00000115657","ATP binding cassette subfamily B member 6 (LAN blood group) ","protein_coding","1",0,4,2.53031350700539e-08,1.58659895062345e-06,50,"Terminal",12079,0.846,0.516576190476191,0.846
"18","ABCB7","ENSG00000131269","ATP binding cassette subfamily B member 7 ","protein_coding","1",6317,2,9.40860993800941e-08,1.690079906978e-06,29,"Steiner",2176,0.785,0.465919047619048,0.785
"19","ABCC9","ENSG00000069431","ATP binding cassette subfamily C member 9 ","protein_coding","1",5958,5,2.02756916323804e-07,1.81924028525688e-06,50,"Terminal",1431,0.999,0.650728571428571,0.999
"20","ABCD2","ENSG00000173208","ATP binding cassette subfamily D member 2 ","protein_coding","1",6,2,1.39072970355599e-09,1.65433908326454e-06,50,"Terminal",1047,0.998,0.671528571428571,0.998
"21","ABCD3","ENSG00000117528","ATP binding cassette subfamily D member 3 ","protein_coding","1",0,2,7.87154317137868e-09,1.12278558612776e-06,50,"Terminal",1028,0.882,0.921228571428571,0.921228571428571
"22","ABCD4","ENSG00000119688","ATP binding cassette subfamily D member 4 ","protein_coding","1",82084,5,1.90029217540854e-08,2.1087259078065e-06,50,"Terminal",289,0.84,0.317154545454545,0.84
"23","ABCG4","ENSG00000172350","ATP binding cassette subfamily G member 4 ","protein_coding","1",0,1,4.54154698570379e-09,1.31974871984374e-06,50,"Terminal",360,0.834,0.402333333333333,0.834
"24","ABHD11","ENSG00000106077","abhydrolase domain containing 11 ","protein_coding","1",0,1,1.07324733310616e-09,1.38248529381269e-06,50,"Terminal",340,0.453,0.376090909090909,0.453
"25","ABHD12B","ENSG00000131969","abhydrolase domain containing 12B ","protein_coding","1",0,1,1.71130273346144e-08,9.77641342497091e-07,50,"Terminal",54,0.516,0.948761904761905,0.948761904761905
"26","ABHD16A","ENSG00000204427","abhydrolase domain containing 16A, phospholipase ","protein_coding","1",12398,6,6.1208162397631e-08,1.45604915621951e-06,50,"Terminal",198,0.981,0.56622380952381,0.981
"27","ABHD2","ENSG00000140526","abhydrolase domain containing 2, acylglycerol lipase ","protein_coding","1",0,1,4.29940410862687e-08,1.42525465737591e-06,50,"Terminal",403,0.908,0.692619047619048,0.908
"28","ABI2","ENSG00000138443","abl interactor 2 ","protein_coding","1",25283,2,1.0333443629102e-09,1.22152771585311e-06,7,"Steiner",1546,0.944,0.2871,0.944
"29","ABI3","ENSG00000108798","ABI family member 3 ","protein_coding","1",6323,3,2.15723793906734e-07,1.13842314733017e-06,50,"Steiner",1703,0.167,0.687461904761905,0.687461904761905
"30","ABI3BP","ENSG00000154175","ABI family member 3 binding protein ","protein_coding","1",0,1,3.32460177650108e-08,8.37340005258495e-07,50,"Terminal",341,0.524,0.425004761904762,0.524
"31","ABLIM1","ENSG00000099204","actin binding LIM protein 1 ","protein_coding","1",0,2,1.65479115539911e-07,1.33221072376344e-06,50,"Terminal",440,0.401,0.809661904761905,0.809661904761905
"32","ABLIM2","ENSG00000163995","actin binding LIM protein family member 2 ","protein_coding","1",62,2,7.37363850479242e-07,1.45195411244223e-06,50,"Terminal",143,0.517,0.226271428571429,0.517
"33","ABLIM3","ENSG00000173210","actin binding LIM protein family member 3 ","protein_coding","1",0,1,7.3507532886422e-07,1.45121662745963e-06,50,"Terminal",204,0.529,0.50907619047619,0.529
"34","ABTB1","ENSG00000114626","ankyrin repeat and BTB domain containing 1 ","protein_coding","1",0,1,7.12255576830747e-06,1.44196522556662e-06,50,"Terminal",172,0.522,0.420661904761905,0.522
"35","ACAA2","ENSG00000167315","acetyl-CoA acyltransferase 2 ","protein_coding","1",18945,2,1.58967001371113e-07,1.25423146339964e-06,50,"Terminal",712,0.912,0.471914285714286,0.912
"36","ACACB","ENSG00000076555","acetyl-CoA carboxylase beta ","protein_coding","1",12632,3,4.3396381128418e-08,1.24176400026822e-06,50,"Terminal",1569,0.997,0.209909523809524,0.997
"37","ACAD11","ENSG00000240303","acyl-CoA dehydrogenase family member 11 ","protein_coding","1",0,1,2.01270755117039e-10,8.10414145941e-07,50,"Terminal",222,0.901,0.563152380952381,0.901
"38","ACAD8","ENSG00000151498","acyl-CoA dehydrogenase family member 8 ","protein_coding","1",12603,3,4.95523690063765e-07,1.34792325464157e-06,50,"Steiner",207,0.96,0.824942857142857,0.96
"39","ACADL","ENSG00000115361","acyl-CoA dehydrogenase long chain ","protein_coding","1",0,1,4.93608981782322e-07,1.33403236629327e-06,50,"Terminal",908,0.965,0.95777619047619,0.965
"40","ACADS","ENSG00000122971","acyl-CoA dehydrogenase short chain ","protein_coding","1",0,1,4.93608981781715e-07,1.33403236629327e-06,50,"Terminal",1017,0.937,0.801852380952381,0.937
"41","ACADSB","ENSG00000196177","acyl-CoA dehydrogenase short/branched chain ","protein_coding","1",0,2,4.96827408151399e-07,2.4103936172777e-06,50,"Terminal",478,0.924,0.375833333333333,0.924
"42","ACADVL","ENSG00000072778","acyl-CoA dehydrogenase very long chain ","protein_coding","1",0,2,1.45762720373849e-05,1.44029335895135e-06,50,"Terminal",1167,0.987,0.860785714285714,0.987
"43","ACAN","ENSG00000157766","aggrecan ","protein_coding","1",12399,6,3.77307667909699e-06,1.80418788090917e-06,50,"Terminal",14393,1,0.752366666666667,1
"44","ACCS","ENSG00000110455","1-aminocyclopropane-1-carboxylate synthase homolog (inactive) ","protein_coding","1",0,1,1.51537581609916e-08,9.36066647945334e-07,50,"Terminal",838,0.827,0.319566666666667,0.827
"45","ACD","ENSG00000102977","ACD shelterin complex subunit and telomerase recruitment factor ","protein_coding","1",6317,2,5.51708223483567e-05,1.44714240025933e-06,50,"Steiner",1615,0.877,0.205265454545455,0.877
"46","ACE2","ENSG00000130234","angiotensin converting enzyme 2 ","protein_coding","1",37862,9,1.47604933158013e-07,1.67776789758905e-06,50,"Terminal",52693,0.193,0.567204761904762,0.567204761904762
"47","ACKR1","ENSG00000213088","atypical chemokine receptor 1 (Duffy blood group) ","protein_coding","1",3384,4,4.51721052215141e-07,2.09086043088452e-06,50,"Terminal",3341,0.787,0.7929625,0.7929625
"48","ACKR3","ENSG00000144476","atypical chemokine receptor 3 ","protein_coding","1",6317,3,4.4486029419538e-05,2.08597121776914e-06,50,"Terminal",3808,0.933,0.916171428571429,0.933
"49","ACKR4","ENSG00000129048","atypical chemokine receptor 4 ","protein_coding","1",0,3,3.1700564408612e-07,1.86920779235344e-06,50,"Terminal",412,0.62,0.562225,0.62
"50","ACMSD","ENSG00000153086","aminocarboxymuconate semialdehyde decarboxylase ","protein_coding","1",0,1,4.07155436872658e-06,1.23571818705313e-06,50,"Terminal",364,0.784,0.849361904761905,0.849361904761905
"51","ACO1","ENSG00000122729","aconitase 1 ","protein_coding","1",6317,2,3.73778036138714e-07,1.36232914689586e-06,50,"Terminal",3253,0.657,0.948527272727273,0.948527272727273
"52","ACOT1","ENSG00000184227","acyl-CoA thioesterase 1 ","protein_coding","1",1,2,1.13777583020119e-07,1.7399474535869e-06,27,"Steiner",401,0.404,0.925761904761905,0.925761904761905
"53","ACOT4","ENSG00000177465","acyl-CoA thioesterase 4 ","protein_coding","1",6355,3,5.75517500899099e-08,1.29627037088888e-06,50,"Terminal",134,0.859,0.341836363636364,0.859
"54","ACOT7","ENSG00000097021","acyl-CoA thioesterase 7 ","protein_coding","1",12555,3,5.56684198021941e-08,1.30683934370528e-06,50,"Terminal",580,0.96,0.897557142857143,0.96
"55","ACOXL","ENSG00000153093","acyl-CoA oxidase like ","protein_coding","1",0,1,4.93608981781867e-07,1.33403236629327e-06,50,"Terminal",169,0.427,0.897247619047619,0.897247619047619
"56","ACP3","ENSG00000014257","acid phosphatase 3 ","protein_coding","1",0,1,2.29757964967347e-08,1.27321387191978e-06,50,"Terminal",3655,0.31,0.825438095238095,0.825438095238095
"57","ACP5","ENSG00000102575","acid phosphatase 5, tartrate resistant ","protein_coding","1",0,1,5.2891094422344e-08,9.97314232771147e-07,50,"Terminal",3096,0.601,0.818914285714286,0.818914285714286
"58","ACR","ENSG00000100312","acrosin ","protein_coding","1",0,1,4.0384551530516e-10,1.05937253364832e-06,50,"Terminal",2706,0.471,0.9392,0.9392
"59","ACSF3","ENSG00000176715","acyl-CoA synthetase family member 3 ","protein_coding","1",6317,2,1.72063349101615e-10,6.58713795443018e-07,50,"Steiner",292,0.961,0.312119047619048,0.961
"60","ACSL1","ENSG00000151726","acyl-CoA synthetase long chain family member 1 ","protein_coding","1",0,1,1.41167747283219e-06,1.44909055077034e-06,50,"Terminal",2013,0.54,0.903138095238095,0.903138095238095
"61","ACSL3","ENSG00000123983","acyl-CoA synthetase long chain family member 3 ","protein_coding","1",25256,4,6.72377275693874e-07,1.59830196399345e-06,50,"Terminal",1262,0.778,0.591,0.778
"62","ACSL4","ENSG00000068366","acyl-CoA synthetase long chain family member 4 ","protein_coding","1",0,2,1.05527350095e-06,1.69836668076311e-06,50,"Terminal",2839,0.86,0.0708585714285714,0.86
"63","ACSL5","ENSG00000197142","acyl-CoA synthetase long chain family member 5 ","protein_coding","1",12633,3,2.00838812859737e-05,1.22598149013146e-06,50,"Terminal",814,0.431,0.510676190476191,0.510676190476191
"64","ACSL6","ENSG00000164398","acyl-CoA synthetase long chain family member 6 ","protein_coding","1",0,1,1.91298539762189e-05,1.22568095769807e-06,50,"Terminal",603,0.99,0.562038095238095,0.99
"65","ACSM1","ENSG00000166743","acyl-CoA synthetase medium chain family member 1 ","protein_coding","1",0,1,8.81703984753632e-08,7.27368475413854e-07,50,"Terminal",238,0.956,0.447041666666667,0.956
"66","ACSS1","ENSG00000154930","acyl-CoA synthetase short chain family member 1 ","protein_coding","1",6317,2,3.0539689967304e-06,1.4025973297352e-06,50,"Steiner",470,0.326,0.467504761904762,0.467504761904762
"67","ACSS2","ENSG00000131069","acyl-CoA synthetase short chain family member 2 ","protein_coding","1",0,1,4.70658825463933e-07,9.71993938645799e-07,50,"Terminal",1763,0.046,0.462952380952381,0.462952380952381
"68","ACTA1","ENSG00000143632","actin alpha 1, skeletal muscle ","protein_coding","1",13690,5,4.13314755333055e-07,2.05859163511875e-06,50,"Terminal",26547,0.879,0.938128571428571,0.938128571428571
"69","ACTA2","ENSG00000107796","actin alpha 2, smooth muscle ","protein_coding","1",244024,13,5.53386580751386e-07,2.52511861744705e-06,50,"Terminal",10292,0.95,0.126085454545455,0.95
"70","ACTB","ENSG00000075624","actin beta ","protein_coding","1",145044,7,2.62744563890274e-06,2.61783531198052e-06,50,"Steiner",28732,0.523,0.7484,0.7484
"71","ACTC1","ENSG00000159251","actin alpha cardiac muscle 1 ","protein_coding","1",31582,8,1.82284941178293e-06,2.05435832117838e-06,50,"Terminal",1818,0.87,0.700109090909091,0.87
"72","ACTG1","ENSG00000184009","actin gamma 1 ","protein_coding","1",562917,6,7.71427575628021e-07,2.68389368560333e-06,50,"Terminal",2175,0.446,0.894345454545455,0.894345454545455
"73","ACTG2","ENSG00000163017","actin gamma 2, smooth muscle ","protein_coding","1",37651,8,3.78726257462759e-07,2.37949635580133e-06,50,"Terminal",993,0.961,0.321227272727273,0.961
"74","ACTL6A","ENSG00000136518","actin like 6A ","protein_coding","1",54167,8,2.75230931115525e-05,2.5624599615631e-06,50,"Terminal",937,0.927,0.803042857142857,0.927
"75","ACTL8","ENSG00000117148","actin like 8 ","protein_coding","1",15353,5,1.11799133629392e-07,2.15671092956398e-06,50,"Terminal",100,0.959,0.109462380952381,0.959
"76","ACTN3","ENSG00000248746","actinin alpha 3 ","protein_coding","1",0,1,8.46440771873335e-08,1.30042055600781e-06,50,"Terminal",1106,0.202,0.933654545454545,0.933654545454545
"77","ACTR10","ENSG00000131966","actin related protein 10 ","protein_coding","1",14638,3,1.12333600928273e-08,1.58778548382999e-06,48,"Steiner",151,0.84,0.4169,0.84
