"","display.name","degree","betweenness","closeness","eigen_centrality","source"
"9606.ENSP00000259455","GABBR2",13,11181.9549311876,8.34585211150058e-05,5.44667329066272e-13,"subnet"
"9606.ENSP00000288207","CCNB2",12,24471.7218431068,0.000150330727600722,2.40104166652986e-05,"subnet"
"9606.ENSP00000302530","BUB1",12,23593.2088225543,0.000147167034584253,2.6229784556332e-05,"subnet"
"9606.ENSP00000362795","CXCR3",11,3043.3056059967,0.00013457139012246,0.00435506759215367,"subnet"
"9606.ENSP00000385477","CLDN5",11,2688.64285714286,9.68241673121611e-05,1.15052071356562e-09,"subnet"
"9606.ENSP00000272369","MEIS1",11,19369.2803613056,0.000128122998078155,2.01938526936131e-06,"subnet"
"9606.ENSP00000234071","PROC",11,7006.5723291243,0.000147754137115839,0.977182973349426,"subnet"
"9606.ENSP00000261597","NDC80",11,577.759554027477,0.000137362637362637,1.69769175641733e-05,"subnet"
"9606.ENSP00000364731","F7",11,16017.6024215365,0.000156323276535876,1,"subnet"
"9606.ENSP00000326432","CCR8",11,3043.3056059967,0.00013457139012246,0.00435506759215372,"subnet"
"9606.ENSP00000363055","ZWINT",11,1853.80016579889,0.000139043381535039,1.9998506608601e-05,"subnet"
"9606.ENSP00000301633","BIRC5",10,34226.4184778067,0.000153374233128834,5.56406518804579e-05,"subnet"
"9606.ENSP00000329757","ATP6V0C",10,8142.44584632312,8.36680053547523e-05,4.83718838377083e-12,"subnet"
"9606.ENSP00000378577","CLDN3",10,10.2261904761905,9.10580950646512e-05,1.02595203865985e-09,"subnet"
"9606.ENSP00000332723","COLEC10",10,8034.00621238688,0.00014801657785672,0.953017218119115,"subnet"
"9606.ENSP00000378131","CFI",10,14892.6806891084,0.000147819660014782,0.937791080825147,"subnet"
"9606.ENSP00000364709","F10",10,14691.6024215365,0.000156274417877793,0.987214882756919,"subnet"
"9606.ENSP00000359675","GNG5",9,3218.82299444169,8.30357884248111e-05,1.39045813515442e-13,"subnet"
"9606.ENSP00000335463","KNL1",9,1384.82144409328,0.00013437248051599,1.3589860463701e-05,"subnet"
"9606.ENSP00000334145","F3",9,13582.5119453461,0.00015617679212869,0.948756760449982,"subnet"
"9606.ENSP00000466090","ELANE",9,33264.691806783,0.000140765765765766,0.0164391018045869,"subnet"
"9606.ENSP00000253496","F12",9,31188.913818961,0.00015135462388376,0.922412049411167,"subnet"
"9606.ENSP00000465419","TJP3",9,1035.49999999999,9.67960507211306e-05,1.04701472110284e-09,"subnet"
"9606.ENSP00000355922","CENPF",9,6505.08022848291,0.000146864444118079,1.87663148356789e-05,"subnet"
"9606.ENSP00000398017","CLDN9",9,1360.55952380952,9.67960507211306e-05,1.07741580693134e-09,"subnet"
"9606.ENSP00000363411","GNG10",9,3218.82299444169,8.30357884248111e-05,1.39004060223422e-13,"subnet"
"9606.ENSP00000270879","FCN3",9,7239.45419446476,0.000147994672191801,0.937177287827709,"subnet"
"9606.ENSP00000347684","LMX1B",8,20336.4388776066,0.000138121546961326,5.51714146881907e-06,"subnet"
