"","uniprot_gn_id","external_gene_name","cluster","betweenness","degree_centrality","logFC","file_id","ID","pocket","druggability","num_drug_pockets","struct_score"
"1","A0A2R8Y7D0","TINCR","2",406,2,1.44191009097377,"AF-A0A2R8Y7D0-F1-model_v4","A0A2R8Y7D0-F1",0.322,0.379,0,77.317117948718
"2","A0AVK6","E2F8","2",0,1,2.4211965333663,"AF-A0AVK6-F1-model_v4","A0AVK6-F1",0.187,0.562,1,53.6931614756577
"3","A8MQ03","CYSRT1","18",0,1,1.61815409369554,"AF-A8MQ03-F1-model_v4","A8MQ03-F1",0.213,0.308,0,55.8977620396601
"4","A9QM74","KPNA7","2",0,1,1.12785832705397,"AF-A9QM74-F1-model_v4","A9QM74-F1",0.185,0.397,0,85.3285657071339
"5","B1AK53","ESPN","2",811,3,1.38546469172184,"AF-B1AK53-F1-model_v4","B1AK53-F1",0.114,0.144,0,68.309967416602
"6","B4DS77","SHISA9","12",0,1,1.4950965661792,"AF-B4DS77-F1-model_v4","B4DS77-F1",0.291,0.987,1,56.9548785670917
"7","K7EJ46","SMIM22","29",0,1,2.36818254717795,"AF-K7EJ46-F1-model_v4","K7EJ46-F1",0.255,0.386,0,75.8180834621329
"8","O00222","GRM8","21",0,1,3.03354550931894,"AF-O00222-F1-model_v4","O00222-F1",0.162,0.921,2,84.3809931458945
"9","O00238","BMPR1B","9",0,1,3.86700943052074,"AF-O00238-F1-model_v4","O00238-F1",0.206,0.225,0,85.1282622868606
"10","O00257","CBX4","2",1085,9,1.32142060732662,"AF-O00257-F1-model_v4","O00257-F1",0.098,0.621,1,54.7085965317919
"11","O00444","PLK4","2",406,3,1.0546667482347,"AF-O00444-F1-model_v4","O00444-F1",0.133,0.199,0,66.9229360313316
"12","O00762","UBE2C","2",0,3,2.85591873858346,"AF-O00762-F1-model_v4","O00762-F1",0.355,0.286,0,89.6987066473989
"13","O14578","CIT","2",0,1,1.47229237599447,"AF-O14578-F1-model_v4","O14578-F1",0.129,0.882,1,70.152782431933
"14","O14625","CXCL11","2",25343,5,2.87793430354118,"AF-O14625-F1-model_v4","O14625-F1",0.353,0.178,0,77.9241944444444
"15","O14745","NHERF1","2",3192,2,1.56163333065907,"AF-O14745-F1-model_v4","O14745-F1",0.202,0.212,0,72.4747214076246
"16","O14756","HSD17B6","22",1,2,3.05654109153761,"AF-O14756-F1-model_v4","O14756-F1",0.374,0.79,1,95.5339114974318
"17","O14777","NDC80","2",406,2,2.25760995229693,"AF-O14777-F1-model_v4","O14777-F1",0.161,0.532,2,78.6095798805165
"18","O14788","TNFSF11","2",0,1,1.11029736233564,"AF-O14788-F1-model_v4","O14788-F1",0.35,0.321,0,79.7949520383693
"19","O14917","PCDH17","2",406,2,1.84011035037553,"AF-O14917-F1-model_v4","O14917-F1",0.277,0.508,1,68.154847082722
"20","O14965","AURKA","2",406,7,2.02935303332415,"AF-O14965-F1-model_v4","O14965-F1",0.139,0.431,1,75.9057868649318
"21","O15232","MATN3","2",810,2,2.91714507005737,"AF-O15232-F1-model_v4","O15232-F1",0.264,0.62,1,78.4606536479523
"22","O15335","CHAD","11",4,2,1.40663395026243,"AF-O15335-F1-model_v4","O15335-F1",0.055,0.551,1,93.2710133239832
"23","O15399","GRIN2D","12",41,3,1.58014126450489,"AF-O15399-F1-model_v4","O15399-F1",0.143,0.846,4,64.0020888757513
"24","O43184","ADAM12","2",0,1,2.04558282203816,"AF-O43184-F1-model_v4","O43184-F1",0.156,0.978,1,71.6607918942225
"25","O43255","SIAH2","2",406,2,1.69337371192139,"AF-O43255-F1-model_v4","O43255-F1",0.279,0.336,0,85.6233664185277
"26","O43379","WDR62","2",0,1,1.91979751784715,"AF-O43379-F1-model_v4","O43379-F1",0.113,0.807,2,61.3650231402125
"27","O43482","OIP5","2",406,7,1.56056591792068,"AF-O43482-F1-model_v4","O43482-F1",0.193,0.324,0,76.3264083285136
"28","O43543","XRCC2","2",0,6,1.07160942730021,"AF-O43543-F1-model_v4","O43543-F1",0.516,0.659,1,87.09828125
"29","O43683","BUB1","2",811,3,2.48588244269841,"AF-O43683-F1-model_v4","O43683-F1",0.115,0.403,1,64.124272589836
"30","O43761","SYNGR3","2",0,1,1.83113790505358,"AF-O43761-F1-model_v4","O43761-F1",0.202,0.389,0,80.7308688147296
"31","O43927","CXCL13","2",0,2,1.67178372089958,"AF-O43927-F1-model_v4","O43927-F1",0.153,0.144,0,84.1282054176072
"32","O60566","BUB1B","2",1223,6,2.20358405517534,"AF-O60566-F1-model_v4","O60566-F1",0.211,0.846,2,64.7205771748185
"33","O60814","H2BC12","2",17808,15,1.48173532546037,"AF-O60814-F1-model_v4","O60814-F1",0.241,0.937,1,88.0577868852459
"34","O75173","ADAMTS4","2",802,2,1.34884752479514,"AF-O75173-F1-model_v4","O75173-F1",0.099,0.83,1,80.0895213270142
