"Protein","Prediction_Score_glmnet","Prediction_Score_rf","Prediction_Score_svmRadial","Prediction_Score_nnet"
"A0A024RBG1",0.114501594864697,0.06656,0.0623180547893036,0.214702856101104
"A0A075B6H9",0.0441791186228254,0.09998,0.0478734303625909,0.155353089506189
"A0A075B6I0",0.0504009632588512,0.14184,0.0629920961812259,0.150789110574922
"A0A075B6I1",0.0533970956147426,0.09848,0.0504619054417161,0.155390940149466
"A0A075B6I4",0.0588309280174858,0.11766,0.0335641634189115,0.151807535440613
"A0A075B6I9",0.048435838806456,0.09258,0.0564801391888218,0.154638521394797
"A0A075B6J1",0.0452128454156809,0.1156,0.0563352153348414,0.159793911560188
"A0A075B6J6",0.0353315862284573,0.09318,0.0275513509909441,0.152660692675621
"A0A075B6J9",0.0600818262312503,0.1394,0.0788173672002069,0.153474171676856
"A0A075B6K0",0.0328017871022798,0.09284,0.0220740135259724,0.154326867700004
"A0A075B6K2",0.0434094028935507,0.05368,0.0210365546755744,0.155126575643898
"A0A075B6K4",0.0415929851572338,0.08462,0.0298607103687492,0.150149936941323
"A0A075B6K5",0.0814609878387041,0.08232,0.0606459861243306,0.155385347267404
"A0A075B6K6",0.0493212241475515,0.04312,0.0133279004599894,0.150867555835357
"A0A075B6N1",0.0557810869381904,0.04684,0.0174082590675169,0.15083516606055
"A0A075B6N2",0.0577726183429317,0.06196,0.0137409528821903,0.135559872077028
"A0A075B6N3",0.0456413101949349,0.0341,0.00960811242262881,0.150110238245581
"A0A075B6N4",0.0331508327651781,0.03598,0.0136764139892657,0.150782273517478
"A0A075B6P5",0.0641116417059917,0.09846,0.0489059257036875,0.155117916223928
"A0A075B6Q5",0.0691712193522766,0.05332,0.0325511104814261,0.153349291779542
"A0A075B6R2",0.0514876711969427,0.071,0.0662936762122891,0.169129501082892
"A0A075B6S2",0.0513457636248795,0.11904,0.0344826014679316,0.154480000130011
"A0A075B6S4",0.0589151183680792,0.05322,0.0216282234800996,0.151184925227925
"A0A075B6S5",0.0354648244020486,0.07342,0.0267540074552708,0.156263475172
"A0A075B6S6",0.0542615288680967,0.0745,0.0358811113080925,0.158900350607541
"A0A075B6T6",0.0566644749293686,0.06678,0.0313233372189833,0.163474919087061
"A0A075B6T7",0.0397381161702872,0.0418,0.0110841602552702,0.154280496556383
"A0A075B6T8",0.0493960783941291,0.06746,0.0124953154548053,0.149378393564547
"A0A075B6U4",0.0520659089582429,0.04012,0.0144756716516505,0.153319471905569
"A0A075B6V5",0.049840425978284,0.0667,0.0136380996333297,0.152128330875878
"A0A075B6W5",0.044790694327266,0.06904,0.0241666671210097,0.152946721287417
"A0A075B6X5",0.0423034549162496,0.05878,0.0140174475650266,0.149453297019031
"A0A075B6Y3",0.0119457191865467,0.2478,0.194090743455463,0.125058381194276
"A0A075B759",0.0314232003009163,0.04706,0.0227573611365264,0.119039197819273
"A0A087WSX0",0.0410136932362684,0.08748,0.0310824399495306,0.155046027782134
"A0A087WSY4",0.033316515354668,0.072,0.0421451364527859,0.169131469520456
"A0A087WSY6",0.0550691644984853,0.09,0.0270326639784519,0.15330178067505
"A0A087WSZ0",0.037759644826712,0.0763,0.0272811656054921,0.156315460753775
"A0A087WSZ9",0.0391587865624478,0.05148,0.011282904810074,0.153130702244373
"A0A087WT01",0.0532458064963217,0.0772,0.0205463941745019,0.151961205048616
"A0A087WT02",0.0478282096916822,0.065,0.0128186450549454,0.151956868072472
"A0A087WT03",0.0474073266347345,0.07092,0.0250970309764139,0.14927935001851
"A0A087WTH1",0.0449555472069261,0.07874,0.0330072522762283,0.216451252935046
