"","gene_id","logFC","logCPM","LR","PValue","FDR"
"ENSG00000213588","ENSG00000213588",-13.6068466729226,4.02181762095909,12696.4588744096,0,0
"ENSG00000210196","ENSG00000210196",-13.527107845015,7.8381867073948,4784.71370732594,0,0
"ENSG00000227121","ENSG00000227121",-12.4652082724401,4.94194033170939,2532.35498246823,0,0
"ENSG00000275110","ENSG00000275110",-12.0815861605272,2.5700415501131,2454.04049717455,0,0
"ENSG00000231503","ENSG00000231503",-11.2093131275457,1.63641270036276,6019.75623370707,0,0
"ENSG00000255750","ENSG00000255750",-11.1945624537454,4.00336281888119,2116.70984589702,0,0
"ENSG00000272379","ENSG00000272379",-10.9958260686963,1.42495511861552,2610.69325231536,0,0
"ENSG00000165215","ENSG00000165215",-10.4547968178427,8.82506460445076,2218.86676574491,0,0
"ENSG00000169035","ENSG00000169035",-10.3000280468304,7.74997938672951,2063.36262531958,0,0
"ENSG00000137648","ENSG00000137648",-9.1654065323188,5.89796754457621,1507.94458377657,0,0
"ENSG00000256393","ENSG00000256393",-9.15696694203294,3.1519990853381,5206.68281812336,0,0
"ENSG00000257588","ENSG00000257588",-9.10461058799531,2.22653113257886,1521.42644401665,0,0
"ENSG00000248515","ENSG00000248515",-8.96917063380427,1.84498859954919,2932.79904351832,0,0
"ENSG00000132746","ENSG00000132746",-8.90299347724387,5.47577042424103,1730.45661695173,0,0
"ENSG00000272398","ENSG00000272398",-8.74533284810233,9.6941642941287,1923.53548519383,0,0
"ENSG00000130701","ENSG00000130701",-8.61622534780774,2.64506473455009,2285.07571620617,0,0
"ENSG00000283907","ENSG00000283907",-8.60433702694601,4.11047292913906,2137.61674356249,0,0
"ENSG00000129354","ENSG00000129354",-8.56682896734233,6.41467886513378,2126.48089024698,0,0
"ENSG00000251381","ENSG00000251381",-8.51104200014216,3.41370566733148,1677.48345305939,0,0
"ENSG00000147676","ENSG00000147676",-8.508370854538,7.94351627642212,2166.91063610214,0,0
"ENSG00000147889","ENSG00000147889",-8.47091797824329,7.18255196435266,1800.88883732709,0,0
"ENSG00000101443","ENSG00000101443",-8.41686190583255,9.94151914958418,2154.72086850718,0,0
"ENSG00000125850","ENSG00000125850",-8.33086010340231,3.67353344547394,2983.48740617543,0,0
"ENSG00000267795","ENSG00000267795",-8.31533254622223,4.16979635675605,1834.42320861983,0,0
"ENSG00000145103","ENSG00000145103",-8.28575979466872,3.6410149376145,3513.84912391732,0,0
"ENSG00000198300","ENSG00000198300",8.20533218346788,8.38390302206001,1744.67609863603,0,0
"ENSG00000279483","ENSG00000279483",-8.05693135787907,1.87424128118419,2324.03165712338,0,0
"ENSG00000104413","ENSG00000104413",-8.03204689424676,6.78485131553447,2170.25106245008,0,0
"ENSG00000146955","ENSG00000146955",-7.99166881594223,1.03007052357717,2768.78324368857,0,0
"ENSG00000269416","ENSG00000269416",-7.98912614055986,3.04958736523251,1670.95557549423,0,0
"ENSG00000261437","ENSG00000261437",-7.98515516122121,1.4795548425784,3022.5093336841,0,0
"ENSG00000189143","ENSG00000189143",-7.98240849711123,8.42934071949528,2864.51066103818,0,0
"ENSG00000265681","ENSG00000265681",7.98104123520218,8.97848228303583,11153.2672350211,0,0
"ENSG00000142273","ENSG00000142273",-7.96194447035565,4.52362011922957,1917.25189303013,0,0
"ENSG00000257084","ENSG00000257084",-7.92424009183508,1.89084780807792,1800.09514827694,0,0
"ENSG00000129455","ENSG00000129455",-7.90392349491394,3.92886512977213,1762.88211050641,0,0
"ENSG00000130768","ENSG00000130768",-7.85194515930759,4.54215472776217,2392.7848399919,0,0
"ENSG00000237638","ENSG00000237638",-7.84292310820277,1.4168752507275,4593.61043393796,0,0
"ENSG00000163362","ENSG00000163362",-7.83281413952634,5.37210112429306,2993.8784808032,0,0
"ENSG00000119888","ENSG00000119888",-7.77577431122837,8.00285454965831,2625.09826878715,0,0
"ENSG00000116990","ENSG00000116990",-7.73836765564128,5.26012315640538,1576.464479303,0,0
"ENSG00000104951","ENSG00000104951",-7.73058624382874,5.9265181564831,1773.25024438707,0,0
"ENSG00000052344","ENSG00000052344",-7.72730465582092,6.54194156637848,1997.26827044686,0,0
"ENSG00000124614","ENSG00000124614",7.7132089425949,8.44309353777559,9945.0431638181,0,0
"ENSG00000253313","ENSG00000253313",-7.69004420789576,4.1466443349068,2552.93028591815,0,0
"ENSG00000258498","ENSG00000258498",7.52603910929733,6.65282366677286,2459.01404670482,0,0
"ENSG00000123349","ENSG00000123349",7.49085586955553,6.99425633915878,10546.0530422221,0,0
"ENSG00000233493","ENSG00000233493",-7.46480434854693,5.1387217473596,3154.7487893447,0,0
"ENSG00000187017","ENSG00000187017",-7.41126981325875,5.81482445322584,1913.24828544975,0,0
"ENSG00000154263","ENSG00000154263",7.38121334665751,5.5457340802984,3520.67202803024,0,0
"ENSG00000228835","ENSG00000228835",-7.3341308736,2.35286910796135,1751.97212223828,0,0
"ENSG00000241343","ENSG00000241343",7.32667144544616,7.59622696572527,9294.41507588132,0,0
"ENSG00000161960","ENSG00000161960",7.31194655518232,7.46245844174929,6348.80310350602,0,0
"ENSG00000254285","ENSG00000254285",-7.28455118941335,3.15197318639009,2180.91495968334,0,0
"ENSG00000182774","ENSG00000182774",7.22228207358339,8.56963182417848,12298.2150861632,0,0
"ENSG00000143320","ENSG00000143320",-7.20019893130638,8.5966789567644,2198.5751348691,0,0
"ENSG00000237594","ENSG00000237594",-7.16961749585291,1.24631170924293,2390.91074871343,0,0
"ENSG00000083307","ENSG00000083307",-7.15875706009946,4.80512761319796,2379.85774533256,0,0
"ENSG00000150556","ENSG00000150556",-7.14616332714518,5.3890381804029,1545.89948277385,0,0
"ENSG00000149418","ENSG00000149418",-7.12573276458755,7.59226035250606,2280.47726681152,0,0
"ENSG00000184363","ENSG00000184363",-7.11639044158045,5.98917657199047,2644.28177905265,0,0
"ENSG00000175707","ENSG00000175707",-7.09707356465916,4.24466541332136,3000.77584362975,0,0
"ENSG00000136546","ENSG00000136546",7.05893803684492,6.15425510413854,1916.60674103365,0,0
"ENSG00000274310","ENSG00000274310",-7.03285298944805,1.5256493047265,2163.04824348366,0,0
"ENSG00000180921","ENSG00000180921",-7.03115350903957,7.33934684486828,2526.38163128991,0,0
"ENSG00000214548","ENSG00000214548",7.00373209915679,10.4115874742382,2176.34014085147,0,0
"ENSG00000197061","ENSG00000197061",-6.99889362459356,1.96005003249732,1646.32360684925,0,0
"ENSG00000175832","ENSG00000175832",-6.97429048621041,5.69568968920701,1540.11800195567,0,0
"ENSG00000261150","ENSG00000261150",-6.92934409286162,5.39256305399173,1497.01535898117,0,0
"ENSG00000184292","ENSG00000184292",-6.92456594277257,7.82181722221757,1562.12858629284,0,0
"ENSG00000175063","ENSG00000175063",-6.92355161619791,6.12873864408866,1482.69805973516,0,0
"ENSG00000243678","ENSG00000243678",6.85267648233956,6.54710892345158,5700.47642955229,0,0
"ENSG00000182108","ENSG00000182108",-6.83278635608487,1.85222731381078,2245.64912572636,0,0
