"ensembl_gene_id","external_gene_name","description","gene_biotype","cluster","betweenness","degree_centrality","prize","type"
"ENSG00000080824","HSP90AA1","heat shock protein 90 alpha family class A member 1 ","protein_coding","1",696269,57,50,"Terminal"
"ENSG00000012048","BRCA1","BRCA1 DNA repair associated ","protein_coding","1",888033,55,50,"Terminal"
"ENSG00000141510","TP53","tumor protein p53 ","protein_coding","1",915902,53,50,"Terminal"
"ENSG00000146648","EGFR","epidermal growth factor receptor ","protein_coding","1",585826,52,50,"Terminal"
"ENSG00000130726","TRIM28","tripartite motif containing 28 ","protein_coding","1",327653,49,50,"Steiner"
"ENSG00000177885","GRB2","growth factor receptor bound protein 2 ","protein_coding","1",181853,49,50,"Terminal"
"ENSG00000186469","GNG2","G protein subunit gamma 2 ","protein_coding","1",507224,44,50,"Terminal"
"ENSG00000127588","GNG13","G protein subunit gamma 13 ","protein_coding","1",108670,43,50,"Terminal"
"ENSG00000136997","MYC","MYC proto-oncogene, bHLH transcription factor ","protein_coding","1",1180630,39,50,"Terminal"
"ENSG00000091831","ESR1","estrogen receptor 1 ","protein_coding","1",3202951,37,50,"Terminal"
"ENSG00000174021","GNG5","G protein subunit gamma 5 ","protein_coding","1",326362,35,50,"Terminal"
"ENSG00000242616","GNG10","G protein subunit gamma 10 ","protein_coding","1",1435188,35,50,"Terminal"
"ENSG00000105974","CAV1","caveolin 1 ","protein_coding","1",551292,34,50,"Terminal"
"ENSG00000111664","GNB3","G protein subunit beta 3 ","protein_coding","1",1533648,34,50,"Terminal"
"ENSG00000129007","CALML4","calmodulin like 4 ","protein_coding","1",356883,34,50,"Terminal"
"ENSG00000170606","HSPA4","heat shock protein family A (Hsp70) member 4 ","protein_coding","1",338519,34,50,"Terminal"
"ENSG00000185345","PRKN","parkin RBR E3 ubiquitin protein ligase ","protein_coding","1",921943,34,50,"Terminal"
"ENSG00000178372","CALML5","calmodulin like 5 ","protein_coding","1",324258,33,50,"Terminal"
"ENSG00000010810","FYN","FYN proto-oncogene, Src family tyrosine kinase ","protein_coding","1",265188,31,50,"Terminal"
"ENSG00000109971","HSPA8","heat shock protein family A (Hsp70) member 8 ","protein_coding","1",2417645,31,50,"Terminal"
"ENSG00000115414","FN1","fibronectin 1 ","protein_coding","1",209769,31,50,"Terminal"
"ENSG00000164924","YWHAZ","tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta ","protein_coding","1",1361175,31,50,"Terminal"
"ENSG00000170619","COMMD5","COMM domain containing 5 ","protein_coding","1",1293743,31,50,"Terminal"
"ENSG00000141367","CLTC","clathrin heavy chain ","protein_coding","1",1970691,30,50,"Terminal"
"ENSG00000178363","CALML3","calmodulin like 3 ","protein_coding","1",42875,30,50,"Terminal"
"ENSG00000188486","H2AX","H2A.X variant histone ","protein_coding","1",1171363,30,50,"Terminal"
"ENSG00000132646","PCNA","proliferating cell nuclear antigen ","protein_coding","1",546043,29,50,"Terminal"
"ENSG00000039068","CDH1","cadherin 1 ","protein_coding","1",389406,28,50,"Terminal"
"ENSG00000092470","WDR76","WD repeat domain 76 ","protein_coding","1",3749570,28,50,"Terminal"
"ENSG00000107295","SH3GL2","SH3 domain containing GRB2 like 2, endophilin A1 ","protein_coding","1",1748814,28,50,"Terminal"
"ENSG00000162188","GNG3","G protein subunit gamma 3 ","protein_coding","1",1543339,28,50,"Steiner"
"ENSG00000089177","KIF16B","kinesin family member 16B ","protein_coding","1",94650,27,50,"Terminal"
"ENSG00000196169","KIF19","kinesin family member 19 ","protein_coding","1",725735,27,50,"Terminal"
"ENSG00000168243","GNG4","G protein subunit gamma 4 ","protein_coding","1",12278,26,50,"Terminal"
"ENSG00000111530","CAND1","cullin associated and neddylation dissociated 1 ","protein_coding","1",120036,25,50,"Terminal"
"ENSG00000116406","EDEM3","ER degradation enhancing alpha-mannosidase like protein 3 ","protein_coding","1",2550876,25,50,"Terminal"
"ENSG00000125337","KIF25","kinesin family member 25 ","protein_coding","1",42415,25,50,"Terminal"
"ENSG00000164627","KIF6","kinesin family member 6 ","protein_coding","1",124484,25,50,"Terminal"
"ENSG00000186185","KIF18B","kinesin family member 18B ","protein_coding","1",58017,25,50,"Terminal"
"ENSG00000092820","EZR","ezrin ","protein_coding","1",351245,24,50,"Terminal"
"ENSG00000105647","PIK3R2","phosphoinositide-3-kinase regulatory subunit 2 ","protein_coding","1",53404,24,50,"Terminal"
"ENSG00000113522","RAD50","RAD50 double strand break repair protein ","protein_coding","1",1326491,23,50,"Terminal"
"ENSG00000149294","NCAM1","neural cell adhesion molecule 1 ","protein_coding","1",39199,23,50,"Terminal"
