ensembl_gene_id,external_gene_name,description,gene_biotype,degree,betweenness,closeness,eigen_centrality,cluster,source
ENSG00000143947,RPS27A,ribosomal protein S27a ,protein_coding,339,174964.954547433,0.000120336943441637,1,white,STRING
ENSG00000221983,UBA52,ubiquitin A-52 residue ribosomal protein fusion product 1 ,protein_coding,314,129387.924350415,0.000118301194842068,0.920575810740088,white,STRING
ENSG00000150991,UBC,ubiquitin C ,protein_coding,292,120690.336271535,0.000117771758332352,0.852758900512609,white,STRING
ENSG00000141510,TP53,tumor protein p53 ,protein_coding,263,170051.574440614,0.000118638035354135,0.729793231814664,white,STRING
ENSG00000170315,UBB,ubiquitin B ,protein_coding,263,76274.5921323471,0.000116049669258443,0.786867652352014,white,STRING
ENSG00000146648,EGFR,epidermal growth factor receptor ,protein_coding,247,226299.691798198,0.000122774708410068,0.495682649047842,white,STRING
ENSG00000197122,SRC,"SRC proto-oncogene, non-receptor tyrosine kinase ",protein_coding,207,115135.033016737,0.000118063754427391,0.398742601677855,white,STRING
ENSG00000168036,CTNNB1,catenin beta 1 ,protein_coding,205,180093.219542208,0.000119090151244492,0.489678614083709,white,STRING
ENSG00000274618,H4C6,H4 clustered histone 6 ,protein_coding,205,70381.502658636,0.000109158388822181,0.734090861379857,white,STRING
ENSG00000080824,HSP90AA1,heat shock protein 90 alpha family class A member 1 ,protein_coding,202,124480.361727134,0.000119717466778403,0.535232795958168,white,STRING
ENSG00000100393,EP300,E1A binding protein p300 ,protein_coding,199,77238.6165110494,0.000113726828158763,0.623630765691432,white,STRING
ENSG00000115414,FN1,fibronectin 1 ,protein_coding,193,175739.350411514,0.000115326951908661,0.261978126924726,white,STRING
ENSG00000177885,GRB2,growth factor receptor bound protein 2 ,protein_coding,191,88715.8146245137,0.000115566855425864,0.383654214112391,white,STRING
ENSG00000091831,ESR1,estrogen receptor 1 ,protein_coding,167,115697.143441033,0.000116686114352392,0.491057496920684,white,STRING
ENSG00000012048,BRCA1,BRCA1 DNA repair associated ,protein_coding,166,51081.5235256829,0.000109313511149978,0.510878914613845,white,STRING
ENSG00000116478,HDAC1,histone deacetylase 1 ,protein_coding,164,57862.007851436,0.000108956199607758,0.48966332918633,white,STRING
ENSG00000005339,CREBBP,CREB binding protein ,protein_coding,160,55853.5714732976,0.000109601052170101,0.512733100697334,white,STRING
ENSG00000096384,HSP90AB1,heat shock protein 90 alpha family class B member 1 ,protein_coding,160,77227.8609979855,0.000117813383600377,0.409654855067686,white,STRING
ENSG00000145675,PIK3R1,phosphoinositide-3-kinase regulatory subunit 1 ,protein_coding,158,46582.9810039211,0.000112866817155756,0.326213454259151,white,STRING
ENSG00000168610,STAT3,signal transducer and activator of transcription 3 ,protein_coding,140,69883.4594981214,0.000114757860913473,0.35270331873001,white,STRING
ENSG00000181163,NPM1,nucleophosmin 1 ,protein_coding,140,54862.7875688964,0.000110913930789707,0.379869011075922,white,STRING
ENSG00000170606,HSPA4,heat shock protein family A (Hsp70) member 4 ,protein_coding,139,75235.0313381766,0.00011648223645894,0.302234393941984,white,STRING
ENSG00000109971,HSPA8,heat shock protein family A (Hsp70) member 8 ,protein_coding,138,87099.6157659948,0.000113999088007296,0.323934836814375,white,STRING
ENSG00000141867,BRD4,bromodomain containing 4 ,protein_coding,136,45949.6745590391,0.000107619457597934,0.400079506106576,white,STRING
ENSG00000179295,PTPN11,protein tyrosine phosphatase non-receptor type 11 ,protein_coding,135,59191.7181015255,0.000108754758020663,0.275540648957481,white,STRING
ENSG00000160691,SHC1,SHC adaptor protein 1 ,protein_coding,133,23596.4436686896,0.000109134562916076,0.264267369851331,white,STRING
ENSG00000078369,GNB1,G protein subunit beta 1 ,protein_coding,131,68585.3109330451,0.00010160536476326,0.0718468957418334,white,STRING
ENSG00000010810,FYN,"FYN proto-oncogene, Src family tyrosine kinase ",protein_coding,128,33402.4829394011,0.0001089680723548,0.210722954291231,white,STRING
ENSG00000075624,ACTB,actin beta ,protein_coding,126,54829.2219153641,0.000111321384838027,0.308620919411353,white,STRING
ENSG00000135679,MDM2,MDM2 proto-oncogene ,protein_coding,126,39996.769666486,0.000111123458162018,0.406132920621618,white,STRING
ENSG00000142208,AKT1,AKT serine/threonine kinase 1 ,protein_coding,126,72834.5489895961,0.000115633672525439,0.320339464445092,white,STRING
ENSG00000142192,APP,amyloid beta precursor protein ,protein_coding,124,116878.173006831,0.000112107623318386,0.147084891746843,white,STRING
ENSG00000161011,SQSTM1,sequestosome 1 ,protein_coding,123,59377.8705114769,0.000112536574386676,0.263781172224939,white,STRING
ENSG00000166949,SMAD3,SMAD family member 3 ,protein_coding,121,42234.1593282019,0.000107480653482373,0.356199163704279,white,STRING
ENSG00000186469,GNG2,G protein subunit gamma 2 ,protein_coding,119,38269.0478589623,9.86777185711466e-05,0.0596578975225042,white,STRING
ENSG00000177606,JUN,"Jun proto-oncogene, AP-1 transcription factor subunit ",protein_coding,118,44328.8585967859,0.00011153245594468,0.393179988048864,white,STRING
ENSG00000188906,LRRK2,leucine rich repeat kinase 2 ,protein_coding,118,83483.0354211632,0.000110827884295689,0.258448620026754,white,STRING
ENSG00000026508,CD44,CD44 molecule (IN blood group) ,protein_coding,116,72944.0585476255,0.000110803324099723,0.167087974398292,white,STRING
ENSG00000127616,SMARCA4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4 ",protein_coding,115,26624.9230290637,0.000104942806170637,0.430123745788694,white,STRING
ENSG00000197153,H3C12,H3 clustered histone 12 ,protein_coding,115,16811.0661881129,0.000105318588730911,0.524456935943099,white,STRING
ENSG00000183598,H3C13,H3 clustered histone 13 ,protein_coding,114,12508.5814033589,0.000103584006629376,0.505412454137425,white,STRING
ENSG00000070831,CDC42,cell division cycle 42 ,protein_coding,113,47328.9696427069,0.000109661147055598,0.224640690908021,white,STRING
ENSG00000105974,CAV1,caveolin 1 ,protein_coding,113,64404.6064255998,0.000112435349673937,0.204478700542398,white,STRING
ENSG00000121879,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha ",protein_coding,113,15502.4697273378,0.000107181136120043,0.237976717228405,white,STRING
ENSG00000175104,TRAF6,TNF receptor associated factor 6 ,protein_coding,113,43331.7301019409,0.000109505037231713,0.279852362813142,white,STRING
ENSG00000136997,MYC,"MYC proto-oncogene, bHLH transcription factor ",protein_coding,112,28030.4684536404,0.000107770233861407,0.378495163872251,white,STRING
ENSG00000188486,H2AX,H2A.X variant histone ,protein_coding,112,14389.8359159212,0.000102870075095155,0.486562372290254,white,STRING
ENSG00000137486,ARRB1,arrestin beta 1 ,protein_coding,111,72214.295338237,0.000109998900011,0.187756466748834,white,STRING
ENSG00000204628,RACK1,receptor for activated C kinase 1 ,protein_coding,110,39832.409360657,0.000109469074986316,0.307334986131227,white,STRING
ENSG00000141367,CLTC,clathrin heavy chain ,protein_coding,109,40699.304861205,0.000109817702613661,0.210457723594864,white,STRING
ENSG00000115415,STAT1,signal transducer and activator of transcription 1 ,protein_coding,108,41375.7651325611,0.000108436347863804,0.25233931088025,white,STRING
ENSG00000121966,CXCR4,C-X-C motif chemokine receptor 4 ,protein_coding,108,53601.6056421154,0.000103906899418121,0.0899686069289767,white,STRING
ENSG00000170312,CDK1,cyclin dependent kinase 1 ,protein_coding,108,40202.3027227889,0.000107747010020472,0.319075454945389,white,STRING
ENSG00000039068,CDH1,cadherin 1 ,protein_coding,106,46835.1719843679,0.000107700592353258,0.273381391597983,white,STRING
ENSG00000196591,HDAC2,histone deacetylase 2 ,protein_coding,106,15314.7395676363,0.000103039670273055,0.348849934319018,white,STRING
ENSG00000114166,KAT2B,lysine acetyltransferase 2B ,protein_coding,105,16018.5727262113,0.000103060908997217,0.338992012068735,white,STRING
ENSG00000067369,TP53BP1,tumor protein p53 binding protein 1 ,protein_coding,104,22097.7946777005,0.000100897992129957,0.412354170620575,white,STRING
ENSG00000162521,RBBP4,"RB binding protein 4, chromatin remodeling factor ",protein_coding,104,7432.33208188663,9.5593155530064e-05,0.364302593487805,white,STRING
ENSG00000096968,JAK2,Janus kinase 2 ,protein_coding,103,28701.3546718203,0.000104253544620517,0.182643837454419,white,STRING
ENSG00000100387,RBX1,ring-box 1 ,protein_coding,103,28401.4989998772,0.000105977108944468,0.291100537614914,white,STRING
ENSG00000141480,ARRB2,arrestin beta 2 ,protein_coding,103,57510.2507253206,0.000107979699816435,0.183678816284601,white,STRING
ENSG00000160014,CALM3,calmodulin 3 ,protein_coding,103,57162.4920646618,0.000107642626480086,0.122492680572664,white,STRING
ENSG00000067560,RHOA,ras homolog family member A ,protein_coding,102,58625.2602827707,0.000109565026843432,0.202645270983335,white,STRING
ENSG00000132475,H3-3B,H3.3 histone B ,protein_coding,102,9650.59121907589,0.000102280863250486,0.435299352992974,white,STRING
ENSG00000141736,ERBB2,erb-b2 receptor tyrosine kinase 2 ,protein_coding,100,32353.0494979278,0.000109649122807018,0.246369664675694,white,STRING
ENSG00000197903,H2BC12,H2B clustered histone 12 ,protein_coding,100,7899.20074645248,0.000101430165331169,0.486395355924784,white,STRING
ENSG00000123374,CDK2,cyclin dependent kinase 2 ,protein_coding,99,20118.9607533438,0.000104297037964122,0.287058524298961,white,STRING
ENSG00000150093,ITGB1,integrin subunit beta 1 ,protein_coding,98,39555.9224448395,0.00010584250635055,0.122452161528732,white,STRING
ENSG00000168148,H3-4,"H3.4 histone, cluster member ",protein_coding,98,8607.94689506033,0.000100381449508131,0.406454079541939,white,STRING
ENSG00000035403,VCL,vinculin ,protein_coding,95,27452.2965882996,0.000105429625724829,0.131436794703056,white,STRING
ENSG00000277075,H2AC8,H2A clustered histone 8 ,protein_coding,95,6694.77808087291,0.000101142914938809,0.469744677634473,white,STRING
ENSG00000102054,RBBP7,"RB binding protein 7, chromatin remodeling factor ",protein_coding,94,7479.501765286,9.70402717127608e-05,0.342356339919624,white,STRING
ENSG00000105647,PIK3R2,phosphoinositide-3-kinase regulatory subunit 2 ,protein_coding,94,7857.19319890309,0.000102239034863511,0.185856959447366,white,STRING
ENSG00000127191,TRAF2,TNF receptor associated factor 2 ,protein_coding,94,23162.0135599617,0.000106518960374947,0.229683145112891,white,STRING
ENSG00000136869,TLR4,toll like receptor 4 ,protein_coding,94,49313.1195947169,0.000105764145954521,0.149773922934565,white,STRING
ENSG00000275714,H3C1,H3 clustered histone 1 ,protein_coding,94,9571.90921712375,0.000102658864592958,0.448745431519129,white,STRING
ENSG00000165025,SYK,spleen associated tyrosine kinase ,protein_coding,93,21346.5353210725,0.00010339123242349,0.152950697387208,white,STRING
ENSG00000169398,PTK2,protein tyrosine kinase 2 ,protein_coding,93,16883.7218596734,0.000107250107250107,0.195905908717183,white,STRING
ENSG00000106462,EZH2,enhancer of zeste 2 polycomb repressive complex 2 subunit ,protein_coding,92,13860.2954620482,0.000102679946606428,0.407278406589894,white,STRING
ENSG00000254087,LYN,"LYN proto-oncogene, Src family tyrosine kinase ",protein_coding,92,16338.2774888468,0.00010338054378166,0.164859721939494,white,STRING
ENSG00000164924,YWHAZ,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein zeta ,protein_coding,91,27811.294501591,0.000109577032653956,0.240695162296715,white,STRING
ENSG00000149806,FAU,FAU ubiquitin like and ribosomal protein S30 fusion ,protein_coding,90,56724.8200511722,9.78186442335909e-05,0.185126319715909,white,STRING
ENSG00000169083,AR,androgen receptor ,protein_coding,90,14484.4520227779,0.000107874865156419,0.348824055497817,white,STRING
ENSG00000100644,HIF1A,hypoxia inducible factor 1 subunit alpha ,protein_coding,89,34522.303549886,0.00010998680158381,0.318422365191107,white,STRING
ENSG00000104067,TJP1,tight junction protein 1 ,protein_coding,89,46848.0621266815,0.000101688021151108,0.08137189822739,white,STRING
ENSG00000124181,PLCG1,phospholipase C gamma 1 ,protein_coding,89,8449.21811768899,0.000102986611740474,0.178441978273795,white,STRING
ENSG00000175387,SMAD2,SMAD family member 2 ,protein_coding,89,22351.7418370342,0.000104613453290093,0.264988702991953,white,STRING
ENSG00000141646,SMAD4,SMAD family member 4 ,protein_coding,88,24944.4347593304,0.000103562551781276,0.253023181881556,white,STRING
ENSG00000178372,CALML5,calmodulin like 5 ,protein_coding,88,26558.0006775347,0.00010527423939362,0.116918974727565,white,STRING
ENSG00000100030,MAPK1,mitogen-activated protein kinase 1 ,protein_coding,87,30661.7472293965,0.000108979947689625,0.207066436777554,white,STRING
ENSG00000203812,,,,87,6338.03670769479,0.000100270730973629,0.428191888991296,white,STRING
ENSG00000178363,CALML3,calmodulin like 3 ,protein_coding,86,23515.3212864748,0.00010487676979549,0.115461044743801,white,STRING
ENSG00000184260,H2AC20,H2A clustered histone 20 ,protein_coding,86,5407.73844561704,9.95123892924669e-05,0.398766808347412,white,STRING
ENSG00000156508,EEF1A1,eukaryotic translation elongation factor 1 alpha 1 ,protein_coding,85,27356.2579519638,0.000103777501037775,0.216215202443926,white,STRING
ENSG00000181449,SOX2,SRY-box transcription factor 2 ,protein_coding,85,24828.9267762852,0.000100512614333099,0.28406245487852,white,STRING
ENSG00000213341,CHUK,component of inhibitor of nuclear factor kappa B kinase complex ,protein_coding,85,18262.5098965928,0.000107388316151203,0.246849153387493,white,STRING
ENSG00000139687,RB1,RB transcriptional corepressor 1 ,protein_coding,84,12364.4247452041,0.00010225994477963,0.257708064544096,white,STRING
ENSG00000055130,CUL1,cullin 1 ,protein_coding,83,15077.7581623128,0.000104395030796534,0.239182838429569,white,STRING
ENSG00000129007,CALML4,calmodulin like 4 ,protein_coding,83,21566.4423233544,0.000104712041884817,0.113997412375079,white,STRING
ENSG00000136238,RAC1,Rac family small GTPase 1 ,protein_coding,83,18689.8835015709,0.000102923013585838,0.119562522123788,white,STRING
ENSG00000138798,EGF,epidermal growth factor ,protein_coding,83,23340.8885291599,0.00010842459069717,0.213442927252807,white,STRING
ENSG00000167986,DDB1,damage specific DNA binding protein 1 ,protein_coding,83,14363.833161132,0.000101010101010101,0.342389928323215,white,STRING
ENSG00000169885,CALML6,calmodulin like 6 ,protein_coding,83,21566.4423233544,0.000104712041884817,0.113997412375079,white,STRING
ENSG00000175792,RUVBL1,RuvB like AAA ATPase 1 ,protein_coding,83,11578.5311835731,0.000100040016006403,0.313128355788089,white,STRING
ENSG00000166913,YWHAB,tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta ,protein_coding,82,31913.3025734783,0.000107596298687325,0.15268214948704,white,STRING
ENSG00000204843,DCTN1,dynactin subunit 1 ,protein_coding,82,29738.2328064924,0.000102722136620442,0.104474071556704,white,STRING
ENSG00000277836,"","",protein_coding,82,46281.0222547022,0.000100280786201364,0.0575760773590868,white,STRING
ENSG00000160791,CCR5,C-C motif chemokine receptor 5 ,protein_coding,81,16468.2672416538,9.534706331045e-05,0.0443830597966838,white,STRING
ENSG00000162434,JAK1,Janus kinase 1 ,protein_coding,81,19452.9806480055,0.000100847115772489,0.12622370041193,white,STRING
ENSG00000166851,PLK1,polo like kinase 1 ,protein_coding,81,24353.4163997755,0.000101564086938858,0.267426357948244,white,STRING
ENSG00000174720,LARP7,"La ribonucleoprotein 7, transcriptional regulator ",protein_coding,81,33809.4293694063,0.00010275380189067,0.183281128939592,white,STRING
ENSG00000232810,TNF,tumor necrosis factor ,protein_coding,81,23835.4099848262,0.000106609808102345,0.190742203374759,white,STRING
