"","GAMuT_20095","GAMuT_20104","GAMuT_20800","GAMuT_OV0711","GAMuT_1000"
"ENSG00000000003",715,2958,621,1049,723
"ENSG00000000419",482,1126,505,995,647
"ENSG00000000457",498,1352,664,1158,1260
"ENSG00000000460",239,1037,336,443,480
"ENSG00000000938",9,73,22,70,28
"ENSG00000000971",328,532,318,1610,2129
"ENSG00000001036",821,2797,916,1990,3262
"ENSG00000001084",864,3401,766,3150,2614
"ENSG00000001167",413,2245,757,1518,2880
"ENSG00000001460",91,313,88,256,302
"ENSG00000001461",714,1821,1835,1741,1882
"ENSG00000001497",450,1145,385,791,548
"ENSG00000001561",648,2160,722,1686,1520
"ENSG00000001617",44,550,98,81,331
"ENSG00000001626",2588,5563,5975,13172,2084
"ENSG00000001629",1918,4401,2159,4352,1799
"ENSG00000001630",56,697,54,200,389
"ENSG00000001631",1266,1792,1401,2694,1028
"ENSG00000002016",139,440,123,359,189
"ENSG00000002330",141,968,70,370,1050
"ENSG00000002549",1047,7819,1609,1947,1838
"ENSG00000002586",426,3659,423,823,588
"ENSG00000002587",124,292,419,583,393
"ENSG00000002726",1183,4029,1121,7585,987
"ENSG00000002822",99,894,230,539,951
"ENSG00000002834",1657,13715,2203,5186,22242
"ENSG00000002919",98,396,167,430,788
"ENSG00000002933",874,6197,1066,2104,82
"ENSG00000003056",1735,3439,1583,2736,1776
"ENSG00000003096",1131,581,20,319,97
"ENSG00000003147",2109,1897,2082,3584,3797
"ENSG00000003249",54,338,47,163,499
"ENSG00000003393",719,4412,1161,2182,2093
"ENSG00000003400",533,4126,759,1374,1096
"ENSG00000003402",1525,4535,2210,3491,2541
"ENSG00000003436",583,9165,2135,6491,3066
"ENSG00000003509",272,797,401,637,512
"ENSG00000003756",1318,3658,1820,4381,4520
"ENSG00000003989",859,2299,296,1909,652
"ENSG00000004059",386,2964,544,1287,914
"ENSG00000004139",129,817,203,588,759
"ENSG00000004142",431,3563,497,1503,3573
"ENSG00000004399",348,1074,1972,527,1028
"ENSG00000004455",1210,3059,1370,2416,1967
"ENSG00000004468",5,54,8,25,13
"ENSG00000004478",1802,12298,2321,3108,2482
"ENSG00000004487",898,5851,1263,2409,2504
"ENSG00000004534",820,2542,1197,2543,1983
"ENSG00000004660",29,143,64,194,43
"ENSG00000004700",713,1384,781,1160,568
"ENSG00000004766",1728,1761,1251,3039,889
"ENSG00000004777",5,34,7,43,110
"ENSG00000004779",613,1186,508,950,906
"ENSG00000004799",881,277,910,2480,611
"ENSG00000004848",33,0,0,80,62
"ENSG00000004864",979,2588,976,2895,1193
"ENSG00000004866",444,1161,542,1036,659
"ENSG00000004897",1505,2114,1646,2693,2513
"ENSG00000004961",597,959,306,724,241
"ENSG00000004975",96,1010,142,416,441
"ENSG00000005001",19,210,155,358,510
"ENSG00000005007",458,5227,703,2182,3096
"ENSG00000005020",1021,1517,743,3978,1546
"ENSG00000005022",6605,10075,3110,5841,2285
"ENSG00000005059",123,149,268,235,198
"ENSG00000005075",112,516,134,311,356
"ENSG00000005100",267,1621,338,762,694
"ENSG00000005108",33,51,84,116,353
"ENSG00000005156",601,2699,812,1764,2235
"ENSG00000005175",1010,1950,756,1430,604
"ENSG00000005187",416,386,153,1429,306
"ENSG00000005189",146,102,183,198,182
"ENSG00000005194",224,836,371,671,723
"ENSG00000005206",91,694,86,458,906
"ENSG00000005238",80,358,131,543,297
"ENSG00000005243",35,20,34,48,70
"ENSG00000005249",40,89,8,145,40
"ENSG00000005302",602,873,333,830,369
"ENSG00000005339",697,2941,816,2787,4456
