"","GAMuT_23091","GAMuT_32035","GAMuT_32810","GAMuT_41361","GAMuT_41828","GAMuT_49009","GAMuT_51027","GAMuT_51052","GAMuT_51056","GAMuT_70066","GAMuT_IC294"
"ENSG00000000003",1870,1216,1212,704,1511,680,1356,835,734,2490,891
"ENSG00000000419",797,658,1214,625,963,504,608,557,463,721,611
"ENSG00000000457",1267,1018,2808,921,1566,826,863,1457,1948,1274,2198
"ENSG00000000460",163,258,494,257,300,217,234,296,393,320,433
"ENSG00000000938",19,24,170,44,21,18,90,23,18,90,26
"ENSG00000000971",917,1687,1191,1515,2221,400,1536,126,1318,3909,1633
"ENSG00000001036",2097,1284,1386,1219,2190,920,1274,1661,999,1565,1398
"ENSG00000001084",1339,1462,1208,1692,3339,994,949,2317,971,1934,1439
"ENSG00000001167",918,1123,1732,1256,1299,874,1055,1526,1117,1622,1285
"ENSG00000001460",140,174,225,247,230,153,146,277,178,176,161
"ENSG00000001461",1909,1740,2763,1917,1961,1519,1476,2219,1606,1512,2155
"ENSG00000001497",597,565,734,565,655,477,631,625,454,749,706
"ENSG00000001561",1281,1045,2491,779,2169,730,740,1562,842,896,870
"ENSG00000001617",571,282,335,340,233,215,597,339,586,237,158
"ENSG00000001626",5279,545,1855,1039,2597,40,2457,99,4931,1101,268
"ENSG00000001629",2492,2611,3175,2776,3996,1884,2164,2781,2330,3682,2492
"ENSG00000001630",468,56,86,63,280,140,95,68,141,128,98
"ENSG00000001631",1384,1560,2012,1799,2049,1302,1161,1970,1675,2111,1863
"ENSG00000002016",279,377,467,534,364,318,283,443,386,473,458
"ENSG00000002330",903,262,208,308,447,467,494,251,162,257,103
"ENSG00000002549",1762,1560,2587,779,2514,1028,1574,760,1472,2124,1814
"ENSG00000002586",546,659,603,445,941,353,546,386,684,1283,448
"ENSG00000002587",517,681,1496,425,923,682,736,633,501,1927,975
"ENSG00000002726",5147,1506,2068,1090,3746,1598,2221,2047,1244,1015,1325
"ENSG00000002822",562,313,478,336,456,244,459,347,279,341,278
"ENSG00000002834",6031,4357,8419,5068,9149,4453,4557,6166,3251,4434,4408
"ENSG00000002919",642,369,509,403,668,377,461,385,203,415,315
"ENSG00000002933",398,232,1621,227,188,398,277,611,395,460,450
"ENSG00000003056",2468,1762,2112,1497,2983,1248,1673,1722,1374,1733,1820
"ENSG00000003096",88,160,320,128,86,115,105,27,180,432,212
"ENSG00000003147",2851,2163,3392,3436,3910,2370,1662,3130,2039,1614,2983
"ENSG00000003249",65,61,67,121,285,34,89,172,41,54,46
"ENSG00000003393",1256,2810,3411,2864,2350,2161,1505,3680,2331,2335,2770
"ENSG00000003400",1102,1239,1980,732,1435,1459,1048,994,908,1143,1628
"ENSG00000003402",2783,4231,6721,5409,4266,3706,3839,5389,5003,5158,6749
"ENSG00000003436",2475,1428,6381,2196,4611,1233,1232,1448,3810,3646,4162
"ENSG00000003509",383,495,594,579,584,435,368,674,503,576,543
"ENSG00000003756",2631,4556,5838,5829,4186,4354,3382,5759,4727,6338,5426
"ENSG00000003989",2900,573,570,600,603,124,365,22,968,2718,805
"ENSG00000004059",991,590,718,604,949,529,646,615,408,673,429
"ENSG00000004139",576,726,703,740,613,431,657,1192,768,847,748
"ENSG00000004142",1431,933,1104,887,1404,666,1119,1032,815,1096,905
"ENSG00000004399",514,832,590,487,412,600,1209,70,723,1642,675
"ENSG00000004455",1525,1698,1772,1812,2021,1373,1625,1996,1864,1946,2097
"ENSG00000004468",6,40,78,19,37,27,55,23,26,51,29
"ENSG00000004478",2824,1711,2153,1170,2708,947,1569,1783,1468,1664,2449
"ENSG00000004487",1786,1691,2213,1770,1865,1192,1755,1414,1415,2432,1756
"ENSG00000004534",1837,3462,3703,4412,3275,3537,2794,4376,3180,4722,3165
"ENSG00000004660",63,36,159,58,86,90,141,63,120,99,95
"ENSG00000004700",1031,855,1242,774,1441,574,953,695,538,1509,946
"ENSG00000004766",1292,1468,2379,1476,2282,1123,996,1527,1115,1939,1738
"ENSG00000004777",13,29,42,34,34,33,22,45,36,65,45
"ENSG00000004779",951,539,688,444,845,368,585,452,272,603,441
"ENSG00000004799",5179,1876,4406,5771,7881,761,1280,2213,1682,2438,1615
"ENSG00000004848",42,73,116,99,40,37,70,17,65,376,71
"ENSG00000004864",1837,1301,1675,1289,2139,1282,1393,1347,1021,1555,1365
"ENSG00000004866",924,538,855,646,1272,487,465,675,550,632,568
"ENSG00000004897",2178,1786,2575,1890,3396,1154,1456,1606,1748,2515,2404
"ENSG00000004961",490,394,656,397,699,284,401,307,273,378,438
"ENSG00000004975",248,334,397,364,304,308,348,340,248,549,239
"ENSG00000005001",292,278,846,540,379,476,402,382,264,157,200
"ENSG00000005007",2017,1663,2839,1488,1963,1801,2014,1628,1186,1462,1293
"ENSG00000005020",836,1316,2259,1190,1827,1484,730,1254,1040,1897,1149
"ENSG00000005022",4673,1952,2876,1809,4066,1916,2557,1717,1274,2597,2057
"ENSG00000005059",193,156,256,166,331,127,223,102,55,139,160
"ENSG00000005075",399,137,172,127,265,225,263,102,73,109,109
"ENSG00000005100",435,535,835,527,582,407,609,624,716,756,500
"ENSG00000005108",288,129,341,211,182,40,132,14,339,866,415
"ENSG00000005156",1662,1426,2207,1186,1851,1077,1133,1361,1378,1442,1997
"ENSG00000005175",718,881,1352,910,1067,553,594,967,924,1340,1009
"ENSG00000005187",2146,1422,1177,1388,1332,281,853,861,2184,7051,2348
"ENSG00000005189",143,143,118,146,135,72,123,181,120,469,150
"ENSG00000005194",632,427,685,504,647,376,585,430,364,676,448
"ENSG00000005206",444,479,419,435,284,570,455,476,248,364,487
"ENSG00000005238",448,298,449,346,732,309,570,423,359,232,132
"ENSG00000005243",79,38,86,29,35,44,64,12,59,163,46
"ENSG00000005249",183,306,319,225,216,25,149,56,330,1462,380
"ENSG00000005302",630,602,757,645,874,503,530,645,602,840,676
"ENSG00000005339",1819,2661,4157,3772,2694,2739,2509,3248,2877,3806,3264
"ENSG00000005379",255,391,227,313,190,162,367,534,157,307,357
"ENSG00000005436",481,681,635,739,505,318,459,770,652,922,804
"ENSG00000005448",214,83,93,83,164,69,198,80,69,176,79
"ENSG00000005469",706,381,667,411,1260,290,443,501,377,573,446
"ENSG00000005483",2698,4220,6650,6071,4900,3883,3452,5281,5091,5509,5488
"ENSG00000005486",962,654,700,534,914,424,669,547,494,1029,484
"ENSG00000005700",8142,4964,6978,5634,9745,4081,3736,6657,4045,4269,5631
"ENSG00000005801",674,1080,1641,1186,1115,1183,869,1444,1402,1305,1433
"ENSG00000005810",5872,7510,8904,7187,8107,6268,6552,6167,7609,10081,9028
"ENSG00000005812",1752,1898,2674,2019,2963,1303,1160,2112,1288,2630,1548
"ENSG00000005844",44,117,111,158,87,112,184,112,79,113,141
"ENSG00000005882",822,887,1366,977,928,498,511,933,500,899,685
"ENSG00000005884",6006,3029,3943,4313,6142,3116,5203,3516,2110,1769,2648
"ENSG00000005889",2334,2447,4046,2904,3727,1857,1974,2549,2376,4190,2833
"ENSG00000005893",5282,2664,4164,2612,6600,1704,2345,2983,2037,4682,2853
"ENSG00000006007",2400,556,1401,1102,2418,1028,855,822,534,1239,646
"ENSG00000006015",184,91,105,78,71,90,136,116,55,54,57
"ENSG00000006025",948,1311,1470,1677,1125,2000,1405,1963,879,1349,1244
"ENSG00000006042",2977,3256,2611,2948,3493,2151,3047,3128,1591,3229,2933
"ENSG00000006062",199,284,310,385,176,351,282,443,229,344,266
"ENSG00000006118",148,164,303,146,137,146,449,16,109,287,126
"ENSG00000006125",8135,5863,7724,5162,9768,4692,6494,7405,5552,6225,7148
"ENSG00000006194",1025,963,1120,831,989,796,864,922,746,1127,935
"ENSG00000006210",60,38,46,159,76,18,184,10,61,137,53
"ENSG00000006282",968,1238,988,1209,1092,1242,1191,1464,746,1298,795
"ENSG00000006327",466,277,543,393,810,210,787,212,212,172,125
"ENSG00000006432",776,619,665,718,723,615,666,1054,742,516,702
"ENSG00000006451",1099,1430,2160,2219,2681,1119,1097,2167,1014,1496,1552
"ENSG00000006453",2320,2347,3857,3325,4020,4073,2731,4051,1820,2267,2598
