"","GAMuT_23836","GAMuT_51163"
"ENSG00000000003",2629,1357
"ENSG00000000419",1158,1354
"ENSG00000000457",1060,1531
"ENSG00000000460",752,1084
"ENSG00000000938",23,63
"ENSG00000000971",896,967
"ENSG00000001036",1955,1539
"ENSG00000001084",1853,4643
"ENSG00000001167",1874,1445
"ENSG00000001460",503,579
"ENSG00000001461",2577,2034
"ENSG00000001497",949,758
"ENSG00000001561",3486,912
"ENSG00000001617",1824,1370
"ENSG00000001626",1449,946
"ENSG00000001629",5576,6056
"ENSG00000001630",179,351
"ENSG00000001631",2501,3417
"ENSG00000002016",510,975
"ENSG00000002330",408,315
"ENSG00000002549",1605,1657
"ENSG00000002586",2060,2504
"ENSG00000002587",199,223
"ENSG00000002726",6,6644
"ENSG00000002822",550,735
"ENSG00000002834",4125,13304
"ENSG00000002919",491,653
"ENSG00000002933",21,2679
"ENSG00000003056",4020,2070
"ENSG00000003096",288,853
"ENSG00000003147",3105,81
"ENSG00000003249",684,206
"ENSG00000003393",3536,1461
"ENSG00000003400",964,2853
"ENSG00000003402",4507,6448
"ENSG00000003436",927,1978
"ENSG00000003509",983,808
"ENSG00000003756",6368,5790
"ENSG00000003989",3242,487
"ENSG00000004059",1197,1663
"ENSG00000004139",231,1391
"ENSG00000004142",1658,2719
"ENSG00000004399",2304,1014
"ENSG00000004455",2156,3920
"ENSG00000004468",23,77
"ENSG00000004478",2794,3750
"ENSG00000004487",6164,4205
"ENSG00000004534",4770,5253
"ENSG00000004660",131,303
"ENSG00000004700",975,1518
"ENSG00000004766",2044,3175
"ENSG00000004777",39,275
"ENSG00000004779",1092,1618
"ENSG00000004799",7883,3168
"ENSG00000004848",5,65
"ENSG00000004864",3618,3717
"ENSG00000004866",1024,810
"ENSG00000004897",3822,4233
"ENSG00000004961",564,387
"ENSG00000004975",814,882
"ENSG00000005001",299,256
"ENSG00000005007",3101,6761
"ENSG00000005020",1618,2257
"ENSG00000005022",6110,3294
"ENSG00000005059",409,54
"ENSG00000005075",226,396
"ENSG00000005100",1077,945
"ENSG00000005108",685,128
"ENSG00000005156",2548,2462
"ENSG00000005175",2254,1775
"ENSG00000005187",3565,2035
"ENSG00000005189",443,526
"ENSG00000005194",1010,793
"ENSG00000005206",370,309
"ENSG00000005238",479,232
"ENSG00000005243",15,38
"ENSG00000005249",209,212
"ENSG00000005302",813,484
"ENSG00000005339",5206,5299
"ENSG00000005379",463,75
"ENSG00000005436",1118,1238
"ENSG00000005448",150,71
"ENSG00000005469",809,2320
"ENSG00000005483",6732,9927
"ENSG00000005486",1287,1198
"ENSG00000005700",6051,2917
"ENSG00000005801",2831,2261
"ENSG00000005810",11138,8451
"ENSG00000005812",2027,2473
"ENSG00000005844",39,50
"ENSG00000005882",183,2498
"ENSG00000005884",1702,4005
"ENSG00000005889",3432,7031
"ENSG00000005893",11334,2470
"ENSG00000006007",3810,869
"ENSG00000006015",219,499
"ENSG00000006025",147,640
"ENSG00000006042",869,5256
"ENSG00000006062",131,1159
"ENSG00000006118",970,125
"ENSG00000006125",11250,7913
"ENSG00000006194",1300,1505
"ENSG00000006210",560,243
"ENSG00000006282",828,2328
"ENSG00000006327",1220,264
"ENSG00000006432",1574,1660
"ENSG00000006451",2120,1938
"ENSG00000006453",1754,7552
"ENSG00000006459",6781,4202
"ENSG00000006468",1741,234
"ENSG00000006530",1403,934
"ENSG00000006534",343,1588
"ENSG00000006555",78,1710
"ENSG00000006576",1263,1192
"ENSG00000006607",2170,5554
"ENSG00000006611",0,3595
"ENSG00000006625",1133,1106
"ENSG00000006634",724,1064
"ENSG00000006652",2289,1917
"ENSG00000006695",664,667
"ENSG00000006704",1164,2014
"ENSG00000006712",765,695
"ENSG00000006715",6973,4570
"ENSG00000006740",58,3717
"ENSG00000006744",1869,1298
"ENSG00000006747",1092,91
"ENSG00000006756",8742,2705
"ENSG00000006757",561,338
"ENSG00000006831",2983,4144
"ENSG00000007047",643,332
"ENSG00000007062",2498,549
"ENSG00000007080",311,428
"ENSG00000007168",8579,4791
"ENSG00000007174",253,17
"ENSG00000007202",9877,13446
"ENSG00000007237",2099,178
"ENSG00000007255",283,247
"ENSG00000007306",20,47
"ENSG00000007341",954,1351
"ENSG00000007376",216,179
"ENSG00000007384",773,339
"ENSG00000007392",3676,1249
"ENSG00000007516",1297,80
"ENSG00000007520",430,290
"ENSG00000007541",678,326
"ENSG00000007545",712,439
"ENSG00000007866",387,1034
"ENSG00000007923",1512,3602
"ENSG00000007944",1783,1965
"ENSG00000007968",109,1637
"ENSG00000008018",2638,1898
"ENSG00000008083",1247,445
"ENSG00000008086",783,650
"ENSG00000008128",41,56
"ENSG00000008130",1453,2672
"ENSG00000008226",147,83
"ENSG00000008256",728,4718
"ENSG00000008277",157,644
"ENSG00000008282",4144,6559
"ENSG00000008283",2683,1239
"ENSG00000008294",6946,11651
"ENSG00000008300",159,2599
"ENSG00000008311",578,186
"ENSG00000008323",200,3205
"ENSG00000008324",328,363
"ENSG00000008382",305,73
"ENSG00000008394",1089,557
"ENSG00000008405",928,1201
"ENSG00000008441",514,550
"ENSG00000008513",3945,272
"ENSG00000008517",41,390
"ENSG00000008710",494,1094
"ENSG00000008838",1556,2404
"ENSG00000008853",348,524
"ENSG00000008869",4045,4220
"ENSG00000008952",4327,5115
"ENSG00000008988",6775,1782
"ENSG00000009307",28074,34155
"ENSG00000009335",6675,8758
"ENSG00000009413",21264,4914
"ENSG00000009765",2,1287
"ENSG00000009780",775,984
"ENSG00000009790",22,56
"ENSG00000009830",906,556
"ENSG00000009844",1996,1760
"ENSG00000009950",167,2052
"ENSG00000009954",6728,13533
"ENSG00000010017",2997,1481
"ENSG00000010030",21,214
"ENSG00000010072",685,832
"ENSG00000010165",1073,1807
"ENSG00000010219",360,151
"ENSG00000010244",11811,9910
"ENSG00000010256",2933,4998
"ENSG00000010270",1121,270
"ENSG00000010278",8177,10023
"ENSG00000010292",2369,6919
"ENSG00000010295",40,90
"ENSG00000010310",31,5
"ENSG00000010318",136,408
"ENSG00000010322",2389,1722
"ENSG00000010327",1176,1003
"ENSG00000010361",321,60
"ENSG00000010404",1815,607
"ENSG00000010438",0,1475
"ENSG00000010539",580,821
"ENSG00000010610",233,267
"ENSG00000010626",178,208
"ENSG00000010671",64,84
"ENSG00000010704",300,460
"ENSG00000010803",1511,3578
"ENSG00000010810",1872,304
"ENSG00000010818",5222,2707
"ENSG00000010932",24,46
"ENSG00000011007",2599,3549
"ENSG00000011009",919,1010
"ENSG00000011021",572,1818
"ENSG00000011028",335,798
"ENSG00000011105",396,519
"ENSG00000011114",3470,3346
"ENSG00000011132",186,94
"ENSG00000011143",533,585
"ENSG00000011198",644,726
"ENSG00000011201",34,81
"ENSG00000011243",1275,1192
"ENSG00000011258",2270,2611
"ENSG00000011260",1361,1921
"ENSG00000011275",2172,2826
"ENSG00000011295",3589,1234
"ENSG00000011304",3954,4094
"ENSG00000011347",268,13
"ENSG00000011376",1408,1122
"ENSG00000011405",13175,7247
"ENSG00000011422",4733,425
"ENSG00000011426",2167,5548
"ENSG00000011451",614,1575
"ENSG00000011454",7685,4634
"ENSG00000011465",1872,2420
"ENSG00000011478",192,99
"ENSG00000011485",1331,2244
"ENSG00000011523",1093,1252
"ENSG00000011566",3717,2640
"ENSG00000011600",119,161
"ENSG00000011638",697,810
"ENSG00000012048",1790,4421
"ENSG00000012061",1172,1035
"ENSG00000012124",62,385
"ENSG00000012171",1256,1241
"ENSG00000012174",1473,684
"ENSG00000012211",160,76
"ENSG00000012223",3,170
"ENSG00000012232",4732,555
"ENSG00000012504",9,1896
"ENSG00000012660",3595,1197
"ENSG00000012779",74,110
"ENSG00000012822",1813,1236
"ENSG00000012963",1402,1838
"ENSG00000012983",3308,2967
"ENSG00000013016",463,132
"ENSG00000013275",1935,1580
"ENSG00000013288",2054,722
"ENSG00000013297",74,449
"ENSG00000013306",1973,2142
"ENSG00000013364",2822,2402
"ENSG00000013374",1898,3503
"ENSG00000013375",3471,1461
"ENSG00000013392",349,161
"ENSG00000013441",6542,3818
"ENSG00000013503",740,773
"ENSG00000013523",1137,920
"ENSG00000013561",3126,1194
"ENSG00000013563",869,340
"ENSG00000013573",473,1201
"ENSG00000013583",457,1219
"ENSG00000013588",7056,5258
"ENSG00000013619",51,126
"ENSG00000013725",2,12
"ENSG00000013810",782,1555
"ENSG00000014123",3484,1662
"ENSG00000014138",669,1246
"ENSG00000014164",249,434
"ENSG00000014216",2956,5221
"ENSG00000014257",244,18
"ENSG00000014641",3366,5506
"ENSG00000014824",6400,3189
"ENSG00000014914",728,2409
"ENSG00000014919",1561,1716
"ENSG00000015133",2719,1972
"ENSG00000015153",2210,580
"ENSG00000015171",5362,3437
"ENSG00000015475",345,1417
"ENSG00000015479",2001,1045
"ENSG00000015520",0,1267
"ENSG00000015532",968,1083
"ENSG00000015676",2481,2926
"ENSG00000016391",1579,6950
"ENSG00000016402",2935,228
"ENSG00000016490",1,511
"ENSG00000016864",1719,941
"ENSG00000017260",6909,20426
"ENSG00000017427",214,496
"ENSG00000017483",5,15
"ENSG00000017797",3670,5313
"ENSG00000018189",2277,1590
"ENSG00000018236",37,243
"ENSG00000018280",104,84
"ENSG00000018408",4889,703
"ENSG00000018510",4403,4033
"ENSG00000018610",511,463
"ENSG00000018699",1179,1156
"ENSG00000018869",142,76
"ENSG00000019102",71,4
"ENSG00000019144",675,2479
"ENSG00000019485",668,2032
"ENSG00000019505",5743,3319
"ENSG00000019549",145,110
"ENSG00000019582",3152,6922
"ENSG00000019991",124,210
"ENSG00000019995",3018,1712
"ENSG00000020129",396,468
"ENSG00000020181",186,257
"ENSG00000020256",505,856
"ENSG00000020426",1790,957
"ENSG00000020577",266,75
"ENSG00000020633",134,1203
"ENSG00000020922",2352,2357
"ENSG00000021300",548,125
"ENSG00000021355",2155,3070
"ENSG00000021574",1925,1947
"ENSG00000021762",386,652
"ENSG00000021776",6123,6448
"ENSG00000021826",27,13627
"ENSG00000022267",167,383
"ENSG00000022277",1321,1717
"ENSG00000022556",1757,23
"ENSG00000022567",757,1093
"ENSG00000022840",3736,3475
"ENSG00000022976",398,670
"ENSG00000023041",2642,1347
"ENSG00000023171",300,2838
"ENSG00000023191",1489,2242
"ENSG00000023228",9344,8446
"ENSG00000023287",6041,2259
"ENSG00000023318",2453,3047
"ENSG00000023330",1701,1864
"ENSG00000023445",1542,3967
"ENSG00000023516",8671,4265
"ENSG00000023572",198,198
"ENSG00000023608",501,301
"ENSG00000023697",1537,1544
