"","gene_id","cluster","betweenness","degree_centrality"
"217","H2AX","1",22190,18
"366","PLK1","1",26558,14
"53","CCNB1","1",13966,13
"228","H4C8","1",4771,13
"229","H4C9","1",8003,13
"73","CDK1","1",9419,12
"219","H2BC12","1",13405,12
"371","PPP1CA","1",14317,12
"404","RARA","1",18240,12
"6","AGR2","1",12679,11
"152","E2F1","1",5982,11
"216","H2AC8","1",19868,11
"269","KIF26B","1",4855,11
"357","PCNA","1",4407,11
"416","RMI2","1",14108,11
"36","BRCA2","1",17227,10
"37","BRIP1","1",112,10
"192","FN1","1",10709,10
"218","H2AZ1","1",2946,10
"220","H2BC15","1",0,10
"221","H2BC21","1",2391,10
"223","H2BC5","1",165,10
"265","KIF20A","1",8315,10
"267","KIF22","1",1069,10
"306","MIS18A","1",39,10
"327","NCAPG2","1",2324,10
"351","PARP1","1",11873,10
"355","PCGF2","1",1781,10
"412","RFC4","1",359,10
"415","RMI1","1",887,10
"52","CCNA2","1",8106,9
"90","CENPX","1",14342,9
"143","DNA2","1",3099,9
"225","H2BC9","1",40,9
"230","HDAC9","1",1374,9
"232","HJURP","1",942,9
"264","KIF18B","1",18,9
"266","KIF21A","1",0,9
"273","KNL1","1",2173,9
"410","RFC2","1",216,9
"411","RFC3","1",4536,9
"512","UBE2S","1",21951,9
"110","CLTC","1",9369,8
"169","ERBB2","1",5708,8
"182","FANCD2","1",18415,8
"222","H2BC4","1",2082,8
"260","KIF11","1",631,8
"263","KIF18A","1",0,8
"465","STAG3","1",721,8
"495","TOP2A","1",2383,8
"521","WDR76","1",2739,8
"39","BUB1B","1",1365,7
"71","CDCA8","1",2687,7
"174","EZH2","1",2695,7
"254","ISG15","1",1426,7
"261","KIF14","1",2449,7
"281","L1CAM","1",2748,7
"299","MCM4","1",7822,7
"302","MED1","1",3486,7
"378","PSMA7","1",1396,7
"408","RECQL4","1",3169,7
"472","SYCP2","1",46,7
"25","AURKA","1",452,6
"28","BARD1","1",2789,6
"32","BLM","1",896,6
"43","CACNG4","1",5144,6
"50","CBX8","1",11,6
"55","CCNE1","1",1468,6
"79","CENPA","1",2214,6
"177","F5","1",4495,6
"233","HMGA1","1",6830,6
"262","KIF15","1",6,6
"300","MCM6","1",10520,6
"365","PLAU","1",5999,6
"368","POLE2","1",902,6
"382","PSMD12","1",1162,6
"398","RAD51AP1","1",263,6
"479","TFRC","1",5615,6
"523","XRCC2","1",0,6
"8","AIFM1","1",5379,5
"13","ANLN","1",1353,5
"20","ASPM","1",5286,5
"22","ATP5MC1","1",1802,5
"26","AURKB","1",1423,5
"38","BUB1","1",1353,5
"49","CBX2","1",139,5
"62","CDC20","1",4497,5
"82","CENPI","1",1629,5
"84","CENPL","1",0,5
"85","CENPM","1",0,5
"89","CENPW","1",0,5
"109","CLSPN","1",1520,5
"127","CXCL10","1",1312,5
"128","CXCL11","1",2032,5
"140","DLG3","1",1931,5
"163","EME1","1",836,5
"212","GRIN2D","1",2963,5
"270","KIF2C","1",861,5
"272","KIFC1","1",100,5
"316","MRPS34","1",1700,5
"374","PPP2R2C","1",4111,5
"396","RACGAP1","1",884,5
"418","RPL19","1",2337,5
"456","SPAG5","1",824,5
"496","TPD52","1",557,5
"15","AP1S3","1",2141,4
"44","CALML5","1",1745,4
"48","CBX1","1",2443,4
"54","CCNB2","1",902,4
"58","CCNO","1",452,4
"59","CCT3","1",551,4
"60","CCT5","1",3157,4
"80","CENPE","1",903,4
"83","CENPK","1",0,4
"87","CENPO","1",0,4
"88","CENPU","1",0,4
"95","CFAP90","1",2690,4
"97","CHEK1","1",452,4
"151","DTL","1",1,4
"173","EXO1","1",0,4
"188","FEN1","1",455,4
"194","FOXM1","1",562,4
"211","GRIN1","1",2519,4
"227","H3C6","1",1351,4
"246","IGHV3-11","1",1350,4
"268","KIF23","1",0,4
"275","KPNA2","1",452,4
"291","MAD2L1","1",1235,4
"297","MCM10","1",979,4
"303","MED24","1",882,4
"308","MKI67","1",35,4
"329","NDC80","1",13241,4
"332","NHERF1","1",2691,4
"343","ORC1","1",2582,4
"364","PKMYT1","1",3724,4
"383","PSMD14","1",380,4
"388","PTTG1","1",1476,4
"397","RAD51","1",7936,4
"405","RASGRF1","1",0,4
"441","SKA2","1",7517,4
"451","SNRPE","1",903,4
"453","SOX11","1",2135,4
"467","STAT1","1",2699,4
"469","STIP1","1",1020,4
"494","TONSL","1",8344,4
"497","TPM3","1",2455,4
"503","TRIM36","1",1353,4
"511","UBE2C","1",0,4
"14","AP1M2","1",0,3
"19","ASF1B","1",560,3
"21","ATAD2","1",71,3
"30","BGN","1",1152,3
"31","BIRC5","1",902,3
"41","CACNA1H","1",452,3
"45","CAMK2B","1",0,3
"47","CATSPERB","1",0,3
"66","CDC45","1",735,3
"81","CENPF","1",612,3
"86","CENPN","1",0,3
"98","CHML","8",3,3
"105","CKS1B","1",2973,3
"111","CNIH2","1",3539,3
"112","COL10A1","2",9,3
"117","COL5A2","2",8,3
"130","CXCL9","1",159,3
"131","CXCR3","1",0,3
"141","DLGAP5","1",488,3
"146","DNMT3B","1",2244,3
"150","DSN1","1",40,3
"154","E2F7","1",1231,3
"158","ECT2","1",4,3
"167","EPN3","1",452,3
"176","F12","1",0,3
"178","F7","1",0,3
"183","FANCI","1",180,3
"193","FOXA1","1",5345,3
"198","GAPDH","1",0,3
"226","H3C10","1",120,3
"245","IGHV1-3","1",0,3
"247","IGHV3-15","1",0,3
"248","IGKV2D-29","1",451,3
"253","IRF7","1",3032,3
"278","KRT8","1",902,3
"285","LLGL2","1",1101,3
"286","LMNB1","1",452,3
"305","MFAP2","1",1326,3
"311","MRPL13","1",24,3
"314","MRPL58","1",938,3
"315","MRPS12","1",528,3
"319","MUC1","1",1808,3
"339","OAS2","9",2,3
"361","PHB1","1",5408,3
"367","PLK4","1",456,3
"370","PPFIA3","1",1799,3
"373","PPP1R9B","1",3132,3
"379","PSMB3","1",961,3
"380","PSMC4","1",0,3
"381","PSMD11","1",47,3
"384","PSMD3","1",2048,3
"385","PSME2","1",0,3
"395","RAC3","1",894,3
"399","RAD54B","1",2959,3
"407","RCC1","1",2169,3
"409","RET","1",1352,3
"413","RIBC2","1",2417,3
"429","SAP30","1",1352,3
"431","SDC1","1",1966,3
"438","SHISA9","1",0,3
"440","SKA1","1",4794,3
"442","SKA3","1",6234,3
"454","SPAG1","1",2050,3
"470","STMN1","1",903,3
"473","TACC3","1",750,3
"504","TRIM37","1",4462,3
"507","TTK","1",452,3
"509","TXN","1",3438,3
"510","TYMS","1",486,3
"514","UHRF1","1",452,3
"516","UNC5B","1",5046,3
"519","WDHD1","1",781,3
"4","ABCC4","1",3122,2
"7","AGT","3",1,2
"11","ALDOA","1",341,2
"33","BMPR1B","1",3560,2
"42","CACNB3","1",0,2
"67","CDC6","1",452,2
"68","CDC7","1",153,2
"69","CDCA2","1",256,2
"72","CDH2","1",1350,2
"74","CDK12","1",452,2
"77","CDT1","1",0,2
"91","CEP55","1",136,2
"92","CERS2","1",452,2
"113","COL11A1","2",2,2
"114","COL11A2","2",0,2
"115","COL12A1","2",9,2
"118","COMP","1",452,2
"129","CXCL17","1",0,2
"133","DBF4","1",4,2
"136","DEPDC1B","1",267,2
"138","DIAPH3","1",351,2
"139","DKK1","1",452,2
"159","EEF1A2","1",0,2
"166","EPCAM","1",452,2
"170","ERCC6L","1",452,2
"175","F11R","1",902,2
"179","FAM83D","1",0,2
"180","FANCA","1",0,2
"185","FBXO5","1",862,2
"186","FCGR1A","1",1796,2
"190","FLAD1","17",1,2
"196","G6PD","1",452,2
"202","GINS2","1",550,2
"203","GINS4","1",0,2
"204","GJB1","1",452,2
"208","GPI","1",5494,2
"213","GSR","1",452,2
"224","H2BC8","1",0,2
"234","HMMR","1",1796,2
"237","HPX","13",1,2
"240","HSPE1","1",0,2
"249","IKZF3","1",452,2
"258","KCTD5","4",1,2
"259","KDM5B","1",452,2
"271","KIF4A","1",0,2
"276","KRT18","1",651,2
"279","KRT81","1",0,2
"280","KRT86","1",0,2
"288","LPCAT1","22",1,2
"289","LRP8","1",2704,2
"290","LRRC46","1",3560,2
"295","MAPK8IP2","1",3046,2
"298","MCM2","1",0,2
"301","MDK","1",452,2
"304","MELK","1",452,2
"307","MISP","1",1140,2
"309","MMP1","1",283,2
"310","MRPL12","1",0,2
"312","MRPL27","1",0,2
"313","MRPL41","1",2100,2
"320","MUC5B","1",2500,2
"321","MUC6","1",2081,2
"324","MYCN","1",902,2
"331","NEK2","1",404,2
"333","NME1","1",452,2
"338","OAS1","9",0,2
"340","OAS3","9",0,2
"341","OASL","1",902,2
"342","OLR1","1",501,2
"344","ORC6","1",0,2
"354","PBK","1",0,2
"360","PGK1","1",5978,2
"363","PIPOX","1",452,2
"375","PPP4C","1",481,2
"376","PRDX1","1",0,2
"377","PRODH","25",0,2
"389","PYCR1","25",0,2
"390","PYCR3","25",0,2
"400","RAD54L","1",0,2
"401","RAE1","1",452,2
"417","RND1","1",207,2
"419","RPL39L","1",0,2
"420","RPS6KB1","1",452,2
"421","RRM2","1",414,2
"422","RSAD2","1",452,2
"423","RTN4R","1",452,2
"433","SEC16A","1",0,2
"445","SLC38A5","1",452,2
"446","SLC7A11","1",236,2
"447","SLC7A5","1",281,2
"448","SMC4","1",529,2
"450","SNRNP25","1",0,2
"452","SNRPG","1",449,2
"460","SPINDOC","1",9,2
"461","SPTBN2","1",1585,2
"464","SREBF1","1",0,2
"471","STX1A","1",902,2
"481","TIMELESS","1",253,2
"484","TINCR","1",452,2
"485","TJP3","1",452,2
"486","TK1","1",260,2
"489","TNFRSF9","1",452,2
"499","TPX2","1",2,2
"505","TRIP13","1",452,2
"522","WNT2","1",902,2
"1","ABCA12","1",0,1
"2","ABCC2","1",0,1
"3","ABCC3","1",0,1
"5","ABHD11","2",0,1
"9","AKR1B15","1",0,1
"10","ALCAM","1",0,1
"12","ALYREF","1",0,1
"16","ARFGEF3","1",0,1
"17","ARPC5L","1",0,1
"18","ARRDC1","4",0,1
"23","ATP6V0A4","1",0,1
"24","AUNIP","1",0,1
"27","B4GALT3","1",0,1
"29","BEND3","1",0,1
"34","BPIFB1","5",0,1
"35","BPIFB2","5",0,1
"40","CABLES2","6",0,1
"46","CAPS","1",0,1
"51","CCN4","1",0,1
"56","CCNE2","1",0,1
"57","CCNF","1",0,1
"61","CD24","1",0,1
"63","CDC25A","1",0,1
"64","CDC25B","1",0,1
"65","CDC25C","1",0,1
"70","CDCA5","1",0,1
"75","CDKN2A","1",0,1
"76","CDKN3","1",0,1
"78","CEACAM5","7",0,1
"93","CERS6","1",0,1
"94","CFAP45","1",0,1
"96","CHAF1B","1",0,1
"99","CHTF18","1",0,1
"100","CIT","1",0,1
"101","CKAP2","9",0,1
"102","CKAP4","1",0,1
"103","CKMT1A","10",0,1
"104","CKMT1B","10",0,1
"106","CKS2","1",0,1
"107","CLDN3","1",0,1
"108","CLIC3","11",0,1
"116","COL22A1","2",0,1
"119","COMTD1","12",0,1
"120","CP","13",0,1
"121","CRABP2","1",0,1
"122","CRB3","1",0,1
"123","CREB3L1","14",0,1
"124","CREB3L4","14",0,1
"125","CSTA","1",0,1
"126","CSTB","1",0,1
"132","CYP27B1","1",0,1
"134","DDX39A","1",0,1
"135","DEPDC1","1",0,1
"137","DHTKD1","1",0,1
"142","DLK1","6",0,1
"144","DNAJA4","15",0,1
"145","DNAJC1","12",0,1
"147","DONSON","1",0,1
"148","DPP3","3",0,1
"149","DSCC1","1",0,1
"153","E2F2","1",0,1
"155","E2F8","1",0,1
"156","EAF2","1",0,1
"157","ECM1","1",0,1
"160","EFNA3","16",0,1
"161","EFNA4","16",0,1
"162","EIF4EBP1","1",0,1
"164","ENAH","1",0,1
"165","ENPP3","17",0,1
"168","EPOP","1",0,1
"171","ESCO2","1",0,1
"172","ESPL1","1",0,1
"181","FANCB","1",0,1
"184","FBN2","1",0,1
"187","FDPS","1",0,1
"189","FGFR4","1",0,1
"191","FLVCR1","13",0,1
"195","FOXP3","1",0,1
"197","GALNT6","18",0,1
"199","GAS2L3","1",0,1
"200","GEN1","1",0,1
"201","GINS1","1",0,1
"205","GJB2","1",0,1
"206","GNMT","1",0,1
"207","GPC2","1",0,1
"209","GPSM2","1",0,1
"210","GRB7","1",0,1
"214","GTSE1","1",0,1
"215","H1-2","1",0,1
"231","HELLS","1",0,1
"235","HOXB5","19",0,1
"236","HOXB7","19",0,1
"238","HSD17B6","20",0,1
"239","HSPA6","1",0,1
"241","HSPH1","1",0,1
"242","IDO1","21",0,1
"243","IFI27","1",0,1
"244","IFIT1","1",0,1
"250","IL21R","1",0,1
"251","INHBA","15",0,1
"252","IQGAP3","1",0,1
"255","ITGB6","1",0,1
"256","JPT1","1",0,1
"257","JPT2","1",0,1
"274","KNSTRN","1",0,1
"277","KRT19","1",0,1
"282","LASP1","1",0,1
"283","LBP","3",0,1
"284","LINGO1","1",0,1
"287","LMNB2","1",0,1
"292","MAGED1","23",0,1
"293","MAL2","1",0,1
"294","MAPK15","11",0,1
"296","MARCKSL1","1",0,1
"317","MSL1","1",0,1
"318","MST1R","1",0,1
"322","MXD3","1",0,1
"323","MYBL2","1",0,1
"325","NAT14","1",0,1
"326","NCAPG","1",0,1
"328","NCAPH","1",0,1
"330","NDUFAF6","18",0,1
"334","NQO1","1",0,1
"335","NUF2","1",0,1
"336","NUP210","1",0,1
"337","NVL","1",0,1
"345","ORMDL3","24",0,1
"346","OSM","1",0,1
"347","OTX1","1",0,1
"348","PAFAH1B3","22",0,1
"349","PAK4","1",0,1
"350","PAPSS2","17",0,1
"352","PARPBP","1",0,1
"353","PAX9","1",0,1
"356","PCLAF","1",0,1
"358","PDZK1IP1","1",0,1
"359","PFKP","7",0,1
"362","PIF1","1",0,1
"369","POLQ","1",0,1
"372","PPP1R1B","1",0,1
"386","PSRC1","1",0,1
"387","PTK6","1",0,1
"391","RAB19","8",0,1
"392","RAB26","8",0,1
"393","RAB3D","8",0,1
"394","RABIF","1",0,1
"402","RAP1GAP","1",0,1
"403","RAP2C","1",0,1
"406","RASSF7","1",0,1
"414","RIMS1","1",0,1
"424","S100A14","26",0,1
"425","S100A16","26",0,1
"426","S100A8","27",0,1
"427","S100A9","27",0,1
"428","S100P","1",0,1
"430","SCIN","1",0,1
"432","SDR16C5","20",0,1
"434","SGO1","1",0,1
"435","SGO2","1",0,1
"436","SH2D4A","1",0,1
"437","SHCBP1","1",0,1
"439","SHMT2","1",0,1
"443","SLC26A6","1",0,1
"444","SLC38A3","1",0,1
"449","SMIM22","28",0,1
"455","SPAG4","1",0,1
"457","SPC24","1",0,1
"458","SPC25","1",0,1
"459","SPDEF","1",0,1
"462","SPTSSB","24",0,1
"463","SQLE","28",0,1
"466","STARD10","22",0,1
"468","STIL","1",0,1
"474","TANC2","1",0,1
"475","TDO2","21",0,1
"476","TDRD1","1",0,1
"477","TEDC1","29",0,1
"478","TEDC2","29",0,1
"480","TICRR","1",0,1
"482","TIMM17A","1",0,1
"483","TIMM17B","1",0,1
"487","TMEM45A","4",0,1
"488","TMEM63C","1",0,1
"490","TNFSF4","1",0,1
"491","TNNT1","1",0,1
"492","TOB1","1",0,1
"493","TOM1L1","1",0,1
"498","TPRN","1",0,1
"500","TRAF4","1",0,1
"501","TRAIP","1",0,1
"502","TRIB3","1",0,1
"506","TSPAN8","1",0,1
"508","TUBA1C","1",0,1
"513","UBE2T","1",0,1
"515","UNC5A","23",0,1
"517","USP18","1",0,1
"518","UTP18","1",0,1
"520","WDR62","1",0,1
"524","ZBP1","1",0,1
"525","ZWINT","1",0,1
