"","external_gene_name","uniprot_gn_id","cluster","betweenness","degree_centrality","logFC","file_id","ID","pocket","druggability","num_drug_pockets","struct_score","base_count","cancer_count","MeSH_count","title_query","ovarian_count","title_count"
"1","SIDT1","Q9NXL6","1",0,1,2.49173780654091,"AF-Q9NXL6-F1-model_v4","Q9NXL6-F1",0.211,1,6,80.4918290288476,24,7,3,3,0,3
"2","SULT1E1","P49888","1",16275,2,3.06216025881722,"AF-P49888-F1-model_v4","P49888-F1",0.122,1,1,97.2009963695038,286,98,50,18,7,18
"3","ABCA12","Q86UK0","1",0,1,6.92720053539434,"AF-Q86UK0-F1-model_v4","Q86UK0-F1",0.128,0.999,5,68.1765444239899,231,35,21,7,1,7
"4","BPIFA2","Q96DR5","9",0,5,6.42434866348215,"AF-Q96DR5-F1-model_v4","Q96DR5-F1",0.057,0.999,1,61.7753846153846,95,8,6,1,0,1
"5","CD1B","P29016","1",0,3,3.06972134602041,"AF-P29016-F1-model_v4","P29016-F1",0.036,0.999,1,90.786004601227,445,75,41,14,2,14
"6","SRD5A1","P18405","61",0,2,2.4390118851694,"AF-P18405-F1-model_v4","P18405-F1",0.002,0.998,1,91.8701925854598,294,111,76,7,18,7
"7","CENPE","Q02224","1",620,3,4.16703984439318,"AF-Q02224-F6-model_v4","Q02224-F6",0.135,0.997,5,72.5524854202401,445,189,84,68,6,68
"8","GABRA3","P34903","1",2,3,6.55358208035734,"AF-P34903-F1-model_v4","P34903-F1",-0.016,0.996,1,77.5765834834062,166,25,19,5,0,5
"9","BPIFB1","Q8TDL5","9",0,4,6.57505499303319,"AF-Q8TDL5-F1-model_v4","Q8TDL5-F1",0.322,0.994,1,88.2841393331526,53,21,13,5,0,5
"10","CENPU","Q71F23","1",2046,9,3.90146122043085,"AF-Q71F23-F1-model_v4","Q71F23-F1",0.002,0.994,1,65.518599280144,60,41,23,9,1,9
"11","MELK","Q14680","1",0,1,5.36375357836932,"AF-Q14680-F1-model_v4","Q14680-F1",0.159,0.993,1,70.6437161388783,685,326,209,109,11,109
"12","PLPP4","Q5VZY2","57",0,1,6.65426307516141,"AF-Q5VZY2-F1-model_v4","Q5VZY2-F1",0.383,0.993,2,92.0033816651076,12,8,4,0,1,0
"13","AKR1B15","C9JRZ8","6",0,1,6.15984957432107,"AF-C9JRZ8-F1-model_v4","C9JRZ8-F1",0.393,0.992,1,97.7242989930287,8,3,0,0,0,0
"14","OR10H5","Q8NGA6","1",0,1,2.13908522695198,"AF-Q8NGA6-F1-model_v4","Q8NGA6-F1",0.075,0.992,1,86.7356191254597,1,1,1,0,0,0
"15","DHCR7","Q9UBM7","26",0,1,2.19445027495959,"AF-Q9UBM7-F1-model_v4","Q9UBM7-F1",0.132,0.991,1,91.715849935317,548,92,51,10,4,10
"16","IDO1","P14902","40",0,1,3.18916808923725,"AF-P14902-F1-model_v4","P14902-F1",0.277,0.991,1,93.3983944810285,2126,1263,689,325,49,325
"17","KIF11","P52732","1",4002,7,4.51919046102336,"AF-P52732-F1-model_v4","P52732-F1",0.141,0.991,1,74.7686384864088,836,432,247,51,22,51
"18","CD1A","P06126","1",6278,4,3.48370807608703,"AF-P06126-F1-model_v4","P06126-F1",0.024,0.99,1,89.2181280975982,4002,1308,979,112,11,112
"19","SCN1A","P35498","1",0,1,5.58549163982651,"AF-P35498-F1-model_v4","P35498-F1",0.286,0.989,2,69.2496348733234,1684,39,14,7,1,7
"20","AKR1B10","O60218","6",0,1,4.29802323964566,"AF-O60218-F1-model_v4","O60218-F1",0.091,0.988,1,97.7875245579568,392,290,169,119,5,119
"21","CYP2J2","P51589","1",0,1,2.6385663678456,"AF-P51589-F1-model_v4","P51589-F1",0.08,0.987,1,93.7890555828824,714,98,53,30,1,30
"22","AQP3","Q92482","1",0,1,2.84555114268811,"AF-Q92482-F1-model_v4","Q92482-F1",0.388,0.985,1,93.1370197486535,1450,248,158,44,10,44
"23","CCR3","P51677","1",0,7,3.05363144480484,"AF-P51677-F1-model_v4","P51677-F1",0.223,0.984,4,83.613241284087,1861,247,137,51,13,51
"24","TSPAN8","P19075","1",0,1,2.27021282691603,"AF-P19075-F1-model_v4","P19075-F1",0.098,0.981,1,88.3677491785323,215,130,84,41,6,41
"25","SLC12A2","P55011","1",8902,2,2.29153413350452,"AF-P55011-F1-model_v4","P55011-F1",0.163,0.98,1,74.7184598768766,706,81,37,7,2,7
"26","ADAM12","O43184","1",0,1,2.10894973681432,"AF-O43184-F1-model_v4","O43184-F1",0.156,0.978,1,71.6607918942225,615,242,172,110,7,110
"27","GABRB3","P28472","1",0,1,2.26488425339732,"AF-P28472-F1-model_v4","P28472-F1",0.328,0.978,1,80.5361431567908,447,27,14,1,0,1
"28","ATP6V0A4","Q9HBG4","1",0,1,3.31042289106167,"AF-Q9HBG4-F1-model_v4","Q9HBG4-F1",0.147,0.977,1,82.9373032714412,109,12,7,1,0,1
"29","RXFP3","Q9NSD7","59",0,1,2.87889356943354,"AF-Q9NSD7-F1-model_v4","Q9NSD7-F1",0.139,0.977,2,73.6481873783709,191,12,8,2,0,2
"30","FBN2","P35556","1",0,1,4.4585830713416,"AF-P35556-F5-model_v4","P35556-F5",0.107,0.975,1,75.7839261809141,324,51,39,6,5,6
"31","TRPC7","Q9HCX4","58",0,1,2.20504802504186,"AF-Q9HCX4-F1-model_v4","Q9HCX4-F1",0.106,0.975,2,81.9592626925271,176,22,9,5,2,5
"32","CREB3L1","Q96BA8","25",3,3,2.73045346244024,"AF-Q96BA8-F1-model_v4","Q96BA8-F1",0.439,0.972,1,55.439218671992,206,94,78,30,1,30
"33","EZR","P15311","1",10552,11,2.28430886257421,"AF-P15311-F1-model_v4","P15311-F1",0.19,0.972,1,88.4196745138178,220,116,82,18,3,18
"34","CACNA1B","Q00975","1",3683,3,4.00606136256458,"AF-Q00975-F1-model_v4","Q00975-F1",0.13,0.971,2,60.3841264342931,339,28,15,2,1,2
"35","SRD5A3","Q9H8P0","61",0,2,2.33728934923506,"AF-Q9H8P0-F1-model_v4","Q9H8P0-F1",0.234,0.97,1,89.2306916537867,87,28,13,7,0,7
"36","CSF2","P04141","1",0,1,2.47758732404542,"AF-P04141-F1-model_v4","P04141-F1",0.225,0.969,2,88.5871842105263,674,201,115,16,4,16
"37","DNAH8","Q96JB1","30",0,1,3.14322535154066,"AF-Q96JB1-F15-model_v4","Q96JB1-F15",0.174,0.969,3,85.8871525363288,35,14,7,0,0,0
"38","PLA2G2D","Q9UNK4","56",0,3,6.37418390567775,"AF-Q9UNK4-F1-model_v4","Q9UNK4-F1",0.034,0.968,1,92.6282536924414,65,28,11,2,5,2
"39","TAS1R3","Q7RTX0","1",0,1,2.16287817341947,"AF-Q7RTX0-F1-model_v4","Q7RTX0-F1",0.408,0.967,1,87.428557282145,188,7,4,1,0,1
"40","SGPP2","Q8IWX5","57",0,1,3.20938679438482,"AF-Q8IWX5-F1-model_v4","Q8IWX5-F1",0.102,0.966,1,84.2117957635157,41,13,4,4,0,4
"41","G6PD","P11413","1",0,1,2.02526756506731,"AF-P11413-F1-model_v4","P11413-F1",0.379,0.965,2,94.638745210728,6848,874,498,194,21,194
"42","H2BC4","P62807","1",77,8,3.08249003447723,"AF-P62807-F1-model_v4","P62807-F1",0.291,0.965,1,87.8297338792221,0,0,0,0,0,0
"43","H2BC6","P62807","1",37367,14,3.58049619625415,"AF-P62807-F1-model_v4","P62807-F1",0.291,0.965,1,87.8297338792221,0,0,0,0,0,0
"44","H2BC8","P62807","1",9779,15,2.17940936033829,"AF-P62807-F1-model_v4","P62807-F1",0.291,0.965,1,87.8297338792221,2,1,0,0,0,0
"45","DHTKD1","Q96HY7","27",0,1,2.16807764216721,"AF-Q96HY7-F1-model_v4","Q96HY7-F1",0.105,0.964,3,95.0743758611188,53,7,2,1,0,1
"46","CCR2","P41597","1",0,2,3.10629099362927,"AF-P41597-F1-model_v4","P41597-F1",0.058,0.963,3,78.2824847664184,5628,1127,545,253,41,253
"47","MS4A1","P11836","1",1371,2,2.56842465576219,"AF-P11836-F1-model_v4","P11836-F1",0.126,0.961,1,70.5959067357513,147,98,74,7,2,7
"48","NTSR1","P30989","1",0,1,2.53666954624731,"AF-P30989-F1-model_v4","P30989-F1",0.155,0.961,2,79.9278613071494,233,102,72,17,3,17
"49","CERS6","Q6ZMG9","1",0,1,2.26429754410783,"AF-Q6ZMG9-F1-model_v4","Q6ZMG9-F1",0.159,0.96,2,87.9754488188976,156,82,51,29,3,29
"50","DNAH3","Q8TD57","30",0,1,3.5742800564167,"AF-Q8TD57-F4-model_v4","Q8TD57-F4",0.164,0.96,4,85.6663929332386,17,5,2,0,0,0
"51","HACD3","Q9P035","16",0,1,2.16738039868942,"AF-Q9P035-F1-model_v4","Q9P035-F1",0.082,0.96,2,88.7885658153242,15,3,1,0,0,0
"52","H2BC5","P58876","1",1199,12,2.50864323775971,"AF-P58876-F1-model_v4","P58876-F1",0.283,0.959,1,87.5827170582227,2,1,0,0,0,0
"53","H2BC17","P23527","1",0,7,4.90890986786528,"AF-P23527-F1-model_v4","P23527-F1",0.371,0.957,2,88.0009928352098,0,0,0,0,0,0
"54","ACSM1","Q08AH1","2",0,1,4.61554643582838,"AF-Q08AH1-F1-model_v4","Q08AH1-F1",0.095,0.956,2,88.5628971962617,31,10,8,2,1,2
"55","TTK","P33981","1",619,3,4.96108032890632,"AF-P33981-F1-model_v4","P33981-F1",0.087,0.956,1,63.954351783879,2107,766,461,82,40,82
"56","UGT1A1","P22309","62",0,2,5.06416832419197,"AF-P22309-F1-model_v4","P22309-F1",0.033,0.956,1,91.3475698257341,3294,1131,710,340,21,340
"57","NLRP7","Q8WX94","4",3,3,2.71583215542208,"AF-Q8WX94-F1-model_v4","Q8WX94-F1",0.106,0.954,1,82.2552123995408,181,105,89,57,4,57
"58","NR1H4","Q96RI1","1",0,1,2.95344305866257,"AF-Q96RI1-F1-model_v4","Q96RI1-F1",0.437,0.954,1,69.7652944188428,245,62,34,6,0,6
"59","MFSD2A","Q8NA29","1",0,1,2.3333435564653,"AF-Q8NA29-F1-model_v4","Q8NA29-F1",0.233,0.953,1,80.9013797169811,166,24,13,10,0,10
"60","PLK1","P53350","1",14890,13,3.68833814713881,"AF-P53350-F1-model_v4","P53350-F1",0.175,0.953,2,85.1698896752706,3060,2136,1139,698,57,698
"61","CYBB","P04839","1",0,1,2.01511380193074,"AF-P04839-F1-model_v4","P04839-F1",0.295,0.952,3,90.3958427209705,2692,288,131,13,4,13
"62","EPGN","Q6UW88","1",0,1,5.56789664733185,"AF-Q6UW88-F1-model_v4","Q6UW88-F1",0.038,0.951,1,67.0733806343906,55,21,11,0,2,0
"63","CELSR3","Q9NYQ7","1",0,1,2.09157297334128,"AF-Q9NYQ7-F9-model_v4","Q9NYQ7-F9",0.156,0.95,1,73.9963924528302,114,36,22,12,2,12
"64","DSP","P15924","1",96,2,2.41989046424237,"AF-P15924-F7-model_v4","P15924-F7",0.154,0.95,1,78.5653919845316,5584,516,309,18,24,18
"65","HTR1D","P28221","39",0,1,4.31836802343811,"AF-P28221-F1-model_v4","P28221-F1",0.188,0.95,2,79.0031651997292,59,11,7,3,0,3
