gene_id,base_count,cancer_count,MeSH_count,title_query,ovarian_count,title_count
DEPDC1B,57,47,26,30,1,30.0
PTK6,254,194,142,68,10,68.0
CDC45,620,240,83,31,5,31.0
PSME2,126,36,16,3,1,3.0
MAD2L1,693,441,270,33,19,33.0
POLE2,59,46,28,14,2,14.0
PPP1R9B,28,10,6,2,0,2.0
GSR,2350,161,87,4,17,4.0
KNSTRN,38,21,13,10,0,10.0
TTK,2140,773,462,82,40,82.0
KIF11,844,432,247,51,22,51.0
BUB1,1324,785,413,130,32,130.0
PGK1,1222,407,273,93,10,93.0
TDO2,243,138,85,36,6,36.0
S100A16,100,71,46,36,4,36.0
SGO1,258,94,26,25,0,25.0
GJB2,2616,282,182,33,2,33.0
TXN,642,242,174,9,8,9.0
DBF4,341,108,35,32,2,32.0
CDCA8,216,152,86,31,8,31.0
TRIB3,536,230,141,74,6,74.0
ASPM,533,217,135,63,11,63.0
CDCA5,163,120,75,32,8,32.0
CCNE1,1101,906,699,108,164,108.0
CCNE2,317,242,174,24,10,24.0
NDUFAF6,42,7,5,1,0,1.0
E2F8,160,112,54,40,5,40.0
ORMDL3,299,32,13,8,0,8.0
PLAU,605,326,218,30,10,30.0
SHCBP1,76,63,45,38,1,38.0
BPIFB1,55,22,13,6,0,6.0
ERBB2,37633,35205,31308,2367,1678,2367.0
CENPK,51,32,18,12,1,12.0
AP1S3,42,7,5,3,0,3.0
KIF18A,157,90,49,36,2,36.0
LRRC46,8,4,3,0,2,0.0
RASSF7,42,33,16,10,0,10.0
ATP6V0A4,111,12,7,1,0,1.0
CBX2,204,124,68,38,10,38.0
GINS1,72,49,30,14,1,14.0
FBN2,327,51,39,6,5,6.0
WDHD1,66,36,17,9,1,9.0
RMI1,185,86,25,23,10,23.0
SAP30,80,25,14,6,0,6.0
TANC2,29,5,2,2,0,2.0
CDH2,1271,719,554,24,29,24.0
MARCKSL1,111,43,24,13,1,13.0
KIF23,217,143,80,40,8,40.0
PSMD3,46,22,14,4,0,4.0
KRT18,424,188,127,5,5,5.0
RAB3D,167,38,20,26,0,26.0
EPOP,31,4,2,1,0,1.0
CEACAM5,354,295,223,55,8,55.0
BRCA2,14790,14150,11403,3739,6209,3739.0
LPCAT1,180,90,60,37,1,37.0
KRT8,455,193,124,9,8,9.0
MSL1,127,12,3,6,1,6.0
