file_id,uniprot_id,ID,hydrophobicity_score,volume_score,alpha_max_dist,pocket,druggability,num_drug_pockets,struct_score
AF-A6NDP7-F1-model_v4,A6NDP7,A6NDP7-F1,59.281,4,30.078,0.25,1,1,86.323099137931
AF-E9PKD4-F1-model_v4,E9PKD4,E9PKD4-F1,52.588,4.824,41.282,0.031,1,1,52.1777035193743
AF-M0QZD8-F10-model_v4,M0QZD8,M0QZD8-F10,45.455,3.886,41.371,0.161,1,5,68.0445303609738
AF-M0QZD8-F8-model_v4,M0QZD8,M0QZD8-F8,44.947,3.991,60.346,0.256,1,8,67.7847503011211
AF-M0QZD8-F9-model_v4,M0QZD8,M0QZD8-F9,49.819,3.944,42.773,0.111,1,9,66.414912199201
AF-O00116-F1-model_v4,O00116,O00116-F1,28.588,3.835,52.34,0.817,1,1,89.1953030598324
AF-O14609-F1-model_v4,O14609,O14609-F1,56.784,4.459,37.097,0.141,1,4,60.2154032889585
AF-O43617-F1-model_v4,O43617,O43617-F1,60.526,4.5,36.094,0.192,1,1,90.5854154929578
AF-O95490-F1-model_v4,O95490,O95490-F1,71.304,4.652,30.184,0.173,1,1,69.2972899068188
AF-O95992-F1-model_v4,O95992,O95992-F1,37.527,4.291,37.235,-0.004,1,1,92.038676731794
AF-P00395-F1-model_v4,P00395,P00395-F1,56.524,4.286,28.458,0.108,1,2,96.1362496897493
AF-P11597-F1-model_v4,P11597,P11597-F1,64.347,4.449,57,0.011,1,1,91.4414715805866
AF-P16112-F1-model_v4,P16112,P16112-F1,43.414,3.543,64.173,1.204,1,6,53.5530948754216
AF-P16671-F1-model_v4,P16671,P16671-F1,48.038,4.434,38.11,0.173,1,2,94.1377510040161
AF-P19099-F1-model_v4,P19099,P19099-F1,48.516,4.578,39.011,0.098,1,1,90.130202020202
AF-P21397-F1-model_v4,P21397,P21397-F1,35.391,3.87,29.623,0.402,1,1,96.9742401902497
AF-P25391-F7-model_v4,P25391,P25391-F7,45.719,4.035,43.962,0.103,1,3,76.3553362856352
AF-P49888-F1-model_v4,P49888,P49888-F1,35.628,4.86,37.661,0.122,1,1,97.2009963695038
AF-P51790-F1-model_v4,P51790,P51790-F1,64.737,5.474,27.739,0.476,1,2,80.0069497346238
AF-P58550-F1-model_v4,P58550,P58550-F1,64.636,4.227,31.74,-0.021,1,1,71.77163538874
AF-Q02817-F6-model_v4,Q02817,Q02817-F6,-24.196,3,44.354,0.595,1,2,59.838326425893
AF-Q02817-F7-model_v4,Q02817,Q02817-F7,-8.739,2.938,137.329,4.795,1,3,53.2482505269497
AF-Q03001-F29-model_v4,Q03001,Q03001-F29,32.382,4.353,34.783,0.628,1,3,86.8189890323722
AF-Q15629-F1-model_v4,Q15629,Q15629-F1,55.344,4.656,30.943,0.09,1,2,84.3789078386356
AF-Q685J3-F12-model_v4,Q685J3,Q685J3-F12,26.093,3.674,27.659,0.13,1,3,55.2405705081575
AF-Q685J3-F3-model_v4,Q685J3,Q685J3-F3,29.709,3.764,29.18,0.321,1,5,57.0481037344398
AF-Q685J3-F5-model_v4,Q685J3,Q685J3-F5,22.191,3.515,51.35,0.317,1,7,50.3874125077656
AF-Q6NUT2-F1-model_v4,Q6NUT2,Q6NUT2-F1,52.755,4.939,30.115,0.083,1,3,81.6917430894309
AF-Q6TCH7-F1-model_v4,Q6TCH7,Q6TCH7-F1,44.449,4.265,36.213,0.06,1,1,89.5246346228996
AF-Q6UWP8-F1-model_v4,Q6UWP8,Q6UWP8-F1,11.167,2.729,68.1,0.528,1,3,51.220296728972
AF-Q6ZWL3-F1-model_v4,Q6ZWL3,Q6ZWL3-F1,53.585,4.528,34.515,0.24,1,1,91.2869478850199
AF-Q7KZN9-F1-model_v4,Q7KZN9,Q7KZN9-F1,41.629,3.786,39.119,0.033,1,1,85.1079506933744
AF-Q7Z449-F1-model_v4,Q7Z449,Q7Z449-F1,50.91,4.258,44.141,0.238,1,1,88.501808
AF-Q7Z5P9-F18-model_v4,Q7Z5P9,Q7Z5P9-F18,21.635,2.482,38.613,0.298,1,3,51.4479530771846
AF-Q7Z5P9-F20-model_v4,Q7Z5P9,Q7Z5P9-F20,31.455,3.312,55.708,0.183,1,4,55.3858748577929
AF-Q7Z5P9-F25-model_v4,Q7Z5P9,Q7Z5P9-F25,22.144,2.356,45.627,0.149,1,3,58.2354247324072
AF-Q8N7P7-F1-model_v4,Q8N7P7,Q8N7P7-F1,24.423,6.308,40.933,0.521,1,2,50.7633491404861
AF-Q8TCJ2-F1-model_v4,Q8TCJ2,Q8TCJ2-F1,39.426,4.18,56.253,0.887,1,1,80.5183854402658
AF-Q8TD08-F1-model_v4,Q8TD08,Q8TD08-F1,24.167,4.093,34.527,0.055,1,1,69.3901375711575
AF-Q969W1-F1-model_v4,Q969W1,Q969W1-F1,61.304,4.348,37.322,0.18,1,1,88.1179343942839
AF-Q96RQ9-F1-model_v4,Q96RQ9,Q96RQ9-F1,27.067,3.84,45.794,0.511,1,1,86.8211604326273
AF-Q9H6D3-F1-model_v4,Q9H6D3,Q9H6D3-F1,58.969,4.844,29.807,0.143,1,4,82.4310862014525
AF-Q9HCS2-F1-model_v4,Q9HCS2,Q9HCS2-F1,52.25,4.446,30.338,0.114,1,1,91.2253174976482
AF-Q9NRZ7-F1-model_v4,Q9NRZ7,Q9NRZ7-F1,57.033,4.817,35.278,0.642,1,2,94.9153703099511
AF-Q9NXL6-F1-model_v4,Q9NXL6,Q9NXL6-F1,64.281,4.781,33.058,0.211,1,6,80.4918290288476
AF-Q9UPC5-F1-model_v4,Q9UPC5,Q9UPC5-F1,52.462,4.718,35.865,0.205,1,1,77.8073467401881
AF-A3KFT3-F1-model_v4,A3KFT3,A3KFT3-F1,37.821,4.077,32.052,0.073,0.999,1,85.1275864875865
AF-O43704-F1-model_v4,O43704,O43704-F1,33.262,4.762,27.341,0.493,0.999,1,97.8191419276128
AF-O60341-F1-model_v4,O60341,O60341-F1,31.074,3.815,33.467,0.456,0.999,1,85.127216022015
AF-O60840-F1-model_v4,O60840,O60840-F1,71.667,4.396,29.879,0.17,0.999,5,67.3246816045329
AF-O94956-F1-model_v4,O94956,O94956-F1,39.16,4.12,27.972,0.074,0.999,2,78.8894650817236
AF-O95180-F1-model_v4,O95180,O95180-F1,66.308,4.615,26.455,0.271,0.999,4,58.8297794480715
AF-P04000-F1-model_v4,P04000,P04000-F1,42,3.714,27.295,0.2,0.999,1,82.5083566433566
AF-P11712-F1-model_v4,P11712,P11712-F1,48.544,4.123,27.362,0.133,0.999,1,92.7475115089514
AF-P22670-F1-model_v4,P22670,P22670-F1,56.875,4.969,24.071,0.158,0.999,1,60.8896990646604
AF-P25101-F1-model_v4,P25101,P25101-F1,45.967,3.867,28.999,0.114,0.999,1,75.1757427483153
AF-P29016-F1-model_v4,P29016,P29016-F1,52.333,4.222,29.96,0.036,0.999,1,90.786004601227
AF-P46089-F1-model_v4,P46089,P46089-F1,53.5,3.952,29.935,0.28,0.999,1,82.1874816924329
AF-P50226-F1-model_v4,P50226,P50226-F1,40.286,4.643,28.877,0.285,0.999,1,96.7244086021505
AF-P78329-F1-model_v4,P78329,P78329-F1,44.833,4.3,32.522,0.146,0.999,1,92.4006892468025
AF-P98187-F1-model_v4,P98187,P98187-F1,41.368,4.368,28.783,0.116,0.999,1,91.2930309473187
AF-Q02505-F11-model_v4,Q02505,Q02505-F11,24.853,3.647,25.997,0.538,0.999,3,51.5640022375915
AF-Q09428-F1-model_v4,Q09428,Q09428-F1,50.58,4.48,47.123,0.122,0.999,2,82.6240913102784
AF-Q12816-F1-model_v4,Q12816,Q12816-F1,49.137,4.02,26.784,0.197,0.999,2,50.0885673295736
AF-Q16518-F1-model_v4,Q16518,Q16518-F1,46.776,4.408,28.292,0.591,0.999,1,95.1571799628942
AF-Q16572-F1-model_v4,Q16572,Q16572-F1,25.111,4.2,30.482,0.115,0.999,1,76.2258599202393
AF-Q16635-F1-model_v4,Q16635,Q16635-F1,32.978,4.111,33.438,0.091,0.999,1,87.9650508474576
AF-Q33E94-F1-model_v4,Q33E94,Q33E94-F1,58.517,5.241,30.774,0.101,0.999,1,66.6760006824774
AF-Q5U5X0-F1-model_v4,Q5U5X0,Q5U5X0-F1,52.88,4.4,27.539,-0.022,0.999,1,91.3494040524434
AF-Q674R7-F1-model_v4,Q674R7,Q674R7-F1,41.659,4.073,28.977,0.094,0.999,2,69.4013621076233
AF-Q685J3-F2-model_v4,Q685J3,Q685J3-F2,26.644,3.667,28.718,0.338,0.999,8,53.7420016594068
AF-Q6NXT6-F1-model_v4,Q6NXT6,Q6NXT6-F1,73.625,4.792,27.817,0.267,0.999,2,72.0728308986277
AF-Q6QHF9-F1-model_v4,Q6QHF9,Q6QHF9-F1,33.819,4.014,33.74,0.135,0.999,1,92.9707172026544
AF-Q6TCH4-F1-model_v4,Q6TCH4,Q6TCH4-F1,18.019,4.154,36.472,0.048,0.999,1,91.5229519194931
AF-Q6ZRR5-F1-model_v4,Q6ZRR5,Q6ZRR5-F1,44.639,3.806,26.444,0.045,0.999,2,94.8906510681587
AF-Q86SK9-F1-model_v4,Q86SK9,Q86SK9-F1,50.769,4.462,28.612,0.203,0.999,3,90.2770570570571
AF-Q86UK0-F1-model_v4,Q86UK0,Q86UK0-F1,62.667,4.529,28,0.128,0.999,5,68.1765444239899
AF-Q86UQ4-F2-model_v4,Q86UQ4,Q86UQ4-F2,57.857,4.595,35.224,0.262,0.999,7,57.5871986313388
AF-Q86YH6-F1-model_v4,Q86YH6,Q86YH6-F1,56.25,4.344,27.31,0.122,0.999,1,80.2112838709677
AF-Q8NCK7-F1-model_v4,Q8NCK7,Q8NCK7-F1,40.047,3.907,31.668,0.108,0.999,1,84.3856035502959
AF-Q8NFM4-F1-model_v4,Q8NFM4,Q8NFM4-F1,55.483,4.793,33.076,0.495,0.999,5,79.1683163265306
AF-Q8NGY2-F1-model_v4,Q8NGY2,Q8NGY2-F1,38.841,4.091,39.894,0.039,0.999,2,85.9097859922179
AF-Q8TDI7-F1-model_v4,Q8TDI7,Q8TDI7-F1,62.609,4.304,32.847,0.115,0.999,2,68.1981326135105
AF-Q8WTV0-F1-model_v4,Q8WTV0,Q8WTV0-F1,54.447,4.638,37.596,0.232,0.999,3,84.3474257657236
AF-Q96AQ2-F1-model_v4,Q96AQ2,Q96AQ2-F1,50.63,3.593,28.308,-0.012,0.999,1,65.8054387096774
AF-Q96B21-F1-model_v4,Q96B21,Q96B21-F1,43.543,4.829,25.923,0.597,0.999,1,90.5541474245115
AF-Q96DR5-F1-model_v4,Q96DR5,Q96DR5-F1,56.194,4.278,26.987,0.057,0.999,1,61.7753846153846
AF-Q96P50-F1-model_v4,Q96P50,Q96P50-F1,50.28,4.16,30.059,0.114,0.999,1,76.483696054254
AF-Q96PP9-F1-model_v4,Q96PP9,Q96PP9-F1,40.208,3.917,24.956,0.268,0.999,2,86.2397819739147
AF-Q96PS8-F1-model_v4,Q96PS8,Q96PS8-F1,44.25,3.875,27.306,0.22,0.999,1,91.0967352415027
AF-Q96SA4-F1-model_v4,Q96SA4,Q96SA4-F1,77.545,5.045,25.924,0.38,0.999,5,78.6529680493274
AF-Q9BXC1-F1-model_v4,Q9BXC1,Q9BXC1-F1,43.943,4.457,31.991,0.088,0.999,1,84.2611189069424
AF-Q9GZR5-F1-model_v4,Q9GZR5,Q9GZR5-F1,54.25,4.531,24.984,0.055,0.999,1,84.0631597089238
AF-Q9HBI6-F1-model_v4,Q9HBI6,Q9HBI6-F1,41.203,4.312,32.952,0.11,0.999,1,92.136736618722
AF-Q9HCN3-F1-model_v4,Q9HCN3,Q9HCN3-F1,55.605,4.651,32.106,0.109,0.999,1,81.318483627204
AF-Q9NRD8-F1-model_v4,Q9NRD8,Q9NRD8-F1,66.487,4.692,24.598,0.161,0.999,4,83.9241270481879
AF-Q9NZP2-F1-model_v4,Q9NZP2,Q9NZP2-F1,60.289,3.974,27.056,0.367,0.999,3,89.4049089437475
AF-Q9ULL1-F1-model_v4,Q9ULL1,Q9ULL1-F1,32.946,4.676,36.503,0.102,0.999,1,50.8804623695294
AF-Q9UPQ8-F1-model_v4,Q9UPQ8,Q9UPQ8-F1,62.741,4.611,29.422,0.076,0.999,3,90.1405023923445
AF-Q9Y5P4-F1-model_v4,Q9Y5P4,Q9Y5P4-F1,30.415,4.453,33.929,0.032,0.999,1,77.8958796389168
AF-B2RXF0-F1-model_v4,B2RXF0,B2RXF0-F1,56.818,4.909,25.622,0.296,0.998,1,81.5380860286762
AF-O00254-F1-model_v4,O00254,O00254-F1,60.7,4.5,23.58,0.106,0.998,4,76.8267676431425
AF-O00338-F1-model_v4,O00338,O00338-F1,24.119,4.69,29.453,0.298,0.998,1,95.7546737357259
AF-O14994-F1-model_v4,O14994,O14994-F1,23.58,4.14,29.678,0.306,0.998,1,73.8307624831309
AF-O43315-F1-model_v4,O43315,O43315-F1,47.667,4,26.451,0.47,0.998,1,91.0660036084799
AF-P07202-F1-model_v4,P07202,P07202-F1,40.273,4.545,24.35,0.39,0.998,3,84.39631062595
AF-P0C870-F1-model_v4,P0C870,P0C870-F1,29.657,4.143,34.332,0.316,0.998,1,97.8788928289992
AF-P15812-F1-model_v4,P15812,P15812-F1,68.375,4.821,32.681,-0.002,0.998,1,80.1762483745124
AF-P18405-F1-model_v4,P18405,P18405-F1,34.407,4.644,33.353,0.002,0.998,1,91.8701925854598
AF-P23109-F1-model_v4,P23109,P23109-F1,20.854,4.78,33.226,0.124,0.998,3,83.6296095717884
AF-P48651-F1-model_v4,P48651,P48651-F1,45.257,4.6,29.576,0.058,0.998,4,80.3455863647927
AF-P50225-F1-model_v4,P50225,P50225-F1,43,4.805,25.196,0.296,0.998,1,96.750099626401
AF-P63135-F1-model_v4,P63135,P63135-F1,26.423,4.481,42.372,0.69,0.998,5,72.8946182287188
AF-Q02127-F1-model_v4,Q02127,Q02127-F1,33.123,3.895,27.61,0.4,0.998,1,95.8251125082727
AF-Q08357-F1-model_v4,Q08357,Q08357-F1,58.9,4.85,23.539,0.345,0.998,1,72.9532440056417
AF-Q3LXA3-F1-model_v4,Q3LXA3,Q3LXA3-F1,74.086,4.657,25.175,0.092,0.998,1,95.4100193845408
AF-Q5CZC0-F13-model_v4,Q5CZC0,Q5CZC0-F13,15.865,4.189,28.827,0.073,0.998,2,50.9761038261182
AF-Q685J3-F10-model_v4,Q685J3,Q685J3-F10,29.889,3.75,22.439,0.303,0.998,8,57.3136964859542
AF-Q685J3-F11-model_v4,Q685J3,Q685J3-F11,37.386,3.841,26.979,0.223,0.998,4,55.8011703011423
AF-Q685J3-F13-model_v4,Q685J3,Q685J3-F13,23.667,3.37,33.535,0.184,0.998,9,52.1710827629123
