"Drugs","Targeted","Approved","Common"
"ABEMACICLIB",TRUE,TRUE,TRUE
"ABRAXANE",FALSE,TRUE,FALSE
"ADO-TRASTUZUMAB EMTANSINE",TRUE,TRUE,TRUE
"AFINITOR",FALSE,TRUE,FALSE
"AFINITOR DISPERZ",FALSE,TRUE,FALSE
"ALPELISIB",TRUE,TRUE,TRUE
"ANASTROZOLE",TRUE,TRUE,TRUE
"AREDIA",FALSE,TRUE,FALSE
"ARIMIDEX",FALSE,TRUE,FALSE
"AROMASIN",FALSE,TRUE,FALSE
"CAPECITABINE",FALSE,TRUE,FALSE
"CAPIVASERTIB",TRUE,TRUE,TRUE
"CYCLOPHOSPHAMIDE",FALSE,TRUE,FALSE
"DOCETAXEL",FALSE,TRUE,FALSE
"DOXORUBICIN HYDROCHLORIDE",FALSE,TRUE,FALSE
"ELACESTRANT DIHYDROCHLORIDE",TRUE,TRUE,TRUE
"ELLENCE",FALSE,TRUE,FALSE
"ENHERTU",FALSE,TRUE,FALSE
"EPIRUBICIN HYDROCHLORIDE",FALSE,TRUE,FALSE
"ERIBULIN MESYLATE",FALSE,TRUE,FALSE
"EVEROLIMUS",TRUE,TRUE,TRUE
"EXEMESTANE",TRUE,TRUE,TRUE
"5-FU",FALSE,TRUE,FALSE
"FAM-TRASTUZUMAB DERUXTECAN-NXKI",TRUE,TRUE,TRUE
"FARESTON",FALSE,TRUE,FALSE
"FASLODEX",FALSE,TRUE,FALSE
"FEMARA",FALSE,TRUE,FALSE
"FLUOROURACIL INJECTION",FALSE,TRUE,FALSE
"FULVESTRANT",TRUE,TRUE,TRUE
"GEMCITABINE HYDROCHLORIDE",FALSE,TRUE,FALSE
"GEMZAR",FALSE,TRUE,FALSE
"GOSERELIN ACETATE",FALSE,TRUE,FALSE
"HALAVEN",FALSE,TRUE,FALSE
"HERCEPTIN HYLECTA",FALSE,TRUE,FALSE
"HERCEPTIN",FALSE,TRUE,FALSE
"IBRANCE",FALSE,TRUE,FALSE
"INFUGEM",FALSE,TRUE,FALSE
"IXABEPILONE",FALSE,TRUE,FALSE
"IXEMPRA",FALSE,TRUE,FALSE
"KADCYLA",FALSE,TRUE,FALSE
"KEYTRUDA",FALSE,TRUE,FALSE
"KISQALI",FALSE,TRUE,FALSE
"LAPATINIB DITOSYLATE",TRUE,TRUE,TRUE
"LETROZOLE",TRUE,TRUE,TRUE
"LYNPARZA",FALSE,TRUE,FALSE
"MARGENZA",FALSE,TRUE,FALSE
"MARGETUXIMAB-CMKB",TRUE,TRUE,TRUE
"MEGESTROL ACETATE",FALSE,TRUE,FALSE
"METHOTREXATE SODIUM",FALSE,TRUE,FALSE
"NERATINIB MALEATE",TRUE,TRUE,TRUE
"NERLYNX",FALSE,TRUE,FALSE
"OLAPARIB",TRUE,TRUE,TRUE
"ORSERDU",FALSE,TRUE,FALSE
"PACLITAXEL",FALSE,TRUE,FALSE
"PACLITAXEL ALBUMIN-STABILIZED NANOPARTICLE FORMULATION",FALSE,TRUE,FALSE
"PALBOCICLIB",TRUE,TRUE,TRUE
"PAMIDRONATE DISODIUM",FALSE,TRUE,FALSE
"PEMBROLIZUMAB",TRUE,TRUE,TRUE
"PERJETA",FALSE,TRUE,FALSE
"PERTUZUMAB",TRUE,TRUE,TRUE
"PERTUZUMAB, TRASTUZUMAB, AND HYALURONIDASE-ZZXF",TRUE,TRUE,TRUE
"PHESGO",FALSE,TRUE,FALSE
"PIQRAY",FALSE,TRUE,FALSE
"RIBOCICLIB",TRUE,TRUE,TRUE
"SACITUZUMAB GOVITECAN-HZIY",TRUE,TRUE,TRUE
"SOLTAMOX",FALSE,TRUE,FALSE
"TALAZOPARIB TOSYLATE",TRUE,TRUE,TRUE
"TALZENNA",FALSE,TRUE,FALSE
"TAMOXIFEN CITRATE",TRUE,TRUE,TRUE
"TAXOTERE",FALSE,TRUE,FALSE
"TECENTRIQ",FALSE,TRUE,FALSE
"TEPADINA",FALSE,TRUE,FALSE
"THIOTEPA",FALSE,TRUE,FALSE
"TOREMIFENE",TRUE,TRUE,TRUE
"TRASTUZUMAB",TRUE,TRUE,TRUE
"TRASTUZUMAB AND HYALURONIDASE-OYSK",FALSE,TRUE,FALSE
"TREXALL",FALSE,TRUE,FALSE
"TRODELVY",FALSE,TRUE,FALSE
"TRUQAP",FALSE,TRUE,FALSE
"TUCATINIB",TRUE,TRUE,TRUE
"TUKYSA",FALSE,TRUE,FALSE
"TYKERB",FALSE,TRUE,FALSE
"VERZENIO",FALSE,TRUE,FALSE
"VINBLASTINE SULFATE",FALSE,TRUE,FALSE
"XELODA",FALSE,TRUE,FALSE
"ZOLADEX",FALSE,TRUE,FALSE
