"","node_1","node_2","stringdb..score"
"1","ENSP00000254624","ENSP00000484634",0.448
"2","ENSP00000241261","ENSP00000479618",0.407
"3","ENSP00000231706","ENSP00000346080",0.717
"4","ENSP00000250160","ENSP00000404854",0.772
"5","ENSP00000254624","ENSP00000254627",0.4
"6","ENSP00000254624","ENSP00000407107",0.556
"7","ENSP00000295797","ENSP00000337688",0.675
"8","ENSP00000254627","ENSP00000407107",0.922
"9","ENSP00000276708","ENSP00000302578",0.524
"10","ENSP00000295797","ENSP00000420294",0.402
"11","ENSP00000325978","ENSP00000326240",0.561
"12","ENSP00000295797","ENSP00000391299",0.658
"13","ENSP00000295797","ENSP00000415243",0.45
"14","ENSP00000302578","ENSP00000319305",0.538
"15","ENSP00000312150","ENSP00000479618",0.495
"16","ENSP00000295797","ENSP00000348161",0.497
"17","ENSP00000302578","ENSP00000479618",0.408
"18","ENSP00000312150","ENSP00000319305",0.483
"19","ENSP00000325978","ENSP00000414635",0.614
"20","ENSP00000325978","ENSP00000333037",0.498
"21","ENSP00000326240","ENSP00000342188",0.728
"22","ENSP00000326240","ENSP00000414635",0.702
"23","ENSP00000333037","ENSP00000414635",0.757
"24","ENSP00000326240","ENSP00000333037",0.729
"25","ENSP00000333037","ENSP00000342188",0.789
"26","ENSP00000325978","ENSP00000342188",0.671
"27","ENSP00000337688","ENSP00000391299",0.628
"28","ENSP00000337688","ENSP00000415243",0.441
"29","ENSP00000337688","ENSP00000420294",0.58
"30","ENSP00000348161","ENSP00000415243",0.474
"31","ENSP00000337688","ENSP00000348161",0.456
"32","ENSP00000342188","ENSP00000414635",0.797
"33","ENSP00000348161","ENSP00000420294",0.644
"34","ENSP00000348161","ENSP00000391299",0.542
"35","ENSP00000404854","ENSP00000479618",0.71
"36","ENSP00000391299","ENSP00000415243",0.433
"37","ENSP00000415243","ENSP00000420294",0.541
