"","gene_id","gene_name","unstranded_1"
"1","ENSG00000000003.15","TSPAN6",6191
"2","ENSG00000000005.6","TNMD",0
"3","ENSG00000000419.13","DPM1",4079
"4","ENSG00000000457.14","SCYL3",621
"5","ENSG00000000460.17","C1orf112",762
"6","ENSG00000000938.13","FGR",564
"7","ENSG00000000971.16","CFH",822
"8","ENSG00000001036.14","FUCA2",2466
"9","ENSG00000001084.13","GCLC",2482
"10","ENSG00000001167.14","NFYA",8274
"11","ENSG00000001460.18","STPG1",1483
"12","ENSG00000001461.17","NIPAL3",3949
"13","ENSG00000001497.18","LAS1L",4999
"14","ENSG00000001561.7","ENPP4",3169
"15","ENSG00000001617.12","SEMA3F",13317
"16","ENSG00000001626.16","CFTR",7584
"17","ENSG00000001629.10","ANKIB1",7027
"18","ENSG00000001630.17","CYP51A1",264
"19","ENSG00000001631.16","KRIT1",803
"20","ENSG00000002016.18","RAD52",447
"21","ENSG00000002079.14","MYH16",53
"22","ENSG00000002330.14","BAD",1117
"23","ENSG00000002549.12","LAP3",5232
"24","ENSG00000002586.20","CD99",1355
"25","ENSG00000002586.20_PAR_Y","CD99",0
"26","ENSG00000002587.10","HS3ST1",38
"27","ENSG00000002726.21","AOC1",3473
"28","ENSG00000002745.13","WNT16",17
"29","ENSG00000002746.15","HECW1",73
"30","ENSG00000002822.15","MAD1L1",12
"31","ENSG00000002834.18","LASP1",13145
"32","ENSG00000002919.15","SNX11",1194
"33","ENSG00000002933.9","TMEM176A",5101
"34","ENSG00000003056.8","M6PR",1983
"35","ENSG00000003096.14","KLHL13",35
"36","ENSG00000003137.8","CYP26B1",281
"37","ENSG00000003147.19","ICA1",1835
"38","ENSG00000003249.15","DBNDD1",4526
"39","ENSG00000003393.15","ALS2",3145
"40","ENSG00000003400.15","CASP10",1669
"41","ENSG00000003402.20","CFLAR",6300
"42","ENSG00000003436.16","TFPI",242
"43","ENSG00000003509.16","NDUFAF7",2545
"44","ENSG00000003756.17","RBM5",5400
"45","ENSG00000003987.14","MTMR7",195
"46","ENSG00000003989.18","SLC7A2",2089
"47","ENSG00000004059.11","ARF5",6918
"48","ENSG00000004139.14","SARM1",208
"49","ENSG00000004142.12","POLDIP2",8703
"50","ENSG00000004399.13","PLXND1",22113
"51","ENSG00000004455.17","AK2",13276
"52","ENSG00000004468.13","CD38",255
"53","ENSG00000004478.8","FKBP4",7055
"54","ENSG00000004487.17","KDM1A",16509
"55","ENSG00000004534.15","RBM6",4930
"56","ENSG00000004660.15","CAMKK1",306
"57","ENSG00000004700.16","RECQL",531
"58","ENSG00000004766.17","VPS50",2534
"59","ENSG00000004776.13","HSPB6",1818
"60","ENSG00000004777.18","ARHGAP33",1734
"61","ENSG00000004779.10","NDUFAB1",5881
"62","ENSG00000004799.8","PDK4",456
"63","ENSG00000004809.14","SLC22A16",3
"64","ENSG00000004838.14","ZMYND10",1478
"65","ENSG00000004846.16","ABCB5",2
"66","ENSG00000004848.8","ARX",2
"67","ENSG00000004864.14","SLC25A13",6238
"68","ENSG00000004866.22","ST7",2597
"69","ENSG00000004897.12","CDC27",5418
"70","ENSG00000004939.15","SLC4A1",5
"71","ENSG00000004948.16","CALCR",11
"72","ENSG00000004961.15","HCCS",2419
"73","ENSG00000004975.12","DVL2",4477
"74","ENSG00000005001.10","PRSS22",4228
"75","ENSG00000005007.13","UPF1",13307
"76","ENSG00000005020.13","SKAP2",1380
"77","ENSG00000005022.6","SLC25A5",18708
"78","ENSG00000005059.16","MCUB",1017
"79","ENSG00000005073.6","HOXA11",2
"80","ENSG00000005075.15","POLR2J",3507
"81","ENSG00000005100.13","DHX33",3707
"82","ENSG00000005102.14","MEOX1",5422
"83","ENSG00000005108.16","THSD7A",1316
"84","ENSG00000005156.12","LIG3",1768
"85","ENSG00000005175.10","RPAP3",2687
"86","ENSG00000005187.12","ACSM3",6353
"87","ENSG00000005189.20","REXO5",1488
"88","ENSG00000005194.15","CIAPIN1",4163
"89","ENSG00000005206.17","SPPL2B",4010
"90","ENSG00000005238.20","FAM214B",1067
"91","ENSG00000005243.10","COPZ2",301
"92","ENSG00000005249.13","PRKAR2B",77
"93","ENSG00000005302.19","MSL3",5028
"94","ENSG00000005339.15","CREBBP",6825
"95","ENSG00000005379.17","TSPOAP1",711
"96","ENSG00000005381.8","MPO",32
"97","ENSG00000005421.9","PON1",74
"98","ENSG00000005436.14","GCFC2",1903
"99","ENSG00000005448.17","WDR54",2665
"100","ENSG00000005469.12","CROT",357
"101","ENSG00000005471.19","ABCB4",23
"102","ENSG00000005483.21","KMT2E",12158
"103","ENSG00000005486.17","RHBDD2",20449
"104","ENSG00000005513.10","SOX8",14
"105","ENSG00000005700.15","IBTK",2823
"106","ENSG00000005801.18","ZNF195",2526
"107","ENSG00000005810.18","MYCBP2",6519
"108","ENSG00000005812.11","FBXL3",4591
"109","ENSG00000005844.19","ITGAL",587
"110","ENSG00000005882.12","PDK2",2032
"111","ENSG00000005884.18","ITGA3",30518
"112","ENSG00000005889.16","ZFX",2290
"113","ENSG00000005893.16","LAMP2",23196
"114","ENSG00000005961.19","ITGA2B",185
"115","ENSG00000005981.13","ASB4",26
"116","ENSG00000006007.12","GDE1",3700
"117","ENSG00000006015.18","REX1BD",2201
"118","ENSG00000006016.11","CRLF1",325
"119","ENSG00000006025.12","OSBPL7",620
"120","ENSG00000006042.12","TMEM98",1831
"121","ENSG00000006047.13","YBX2",650
"122","ENSG00000006059.4","KRT33A",0
"123","ENSG00000006062.17","MAP3K14",549
"124","ENSG00000006071.15","ABCC8",5
"125","ENSG00000006116.4","CACNG3",0
"126","ENSG00000006118.15","TMEM132A",12103
"127","ENSG00000006125.18","AP2B1",7696
"128","ENSG00000006128.12","TAC1",0
"129","ENSG00000006194.10","ZNF263",2946
"130","ENSG00000006210.7","CX3CL1",2199
"131","ENSG00000006282.21","SPATA20",1064
"132","ENSG00000006283.18","CACNA1G",18
"133","ENSG00000006327.14","TNFRSF12A",7039
"134","ENSG00000006377.11","DLX6",20
"135","ENSG00000006432.15","MAP3K9",1592
"136","ENSG00000006451.8","RALA",7992
"137","ENSG00000006453.14","BAIAP2L1",6495
"138","ENSG00000006459.11","KDM7A",2843
"139","ENSG00000006468.14","ETV1",375
"140","ENSG00000006530.18","AGK",1317
"141","ENSG00000006534.16","ALDH3B1",514
"142","ENSG00000006555.11","TTC22",1133
"143","ENSG00000006576.16","PHTF2",4502
"144","ENSG00000006606.9","CCL26",2
"145","ENSG00000006607.14","FARP2",2940
"146","ENSG00000006611.17","USH1C",2
"147","ENSG00000006625.18","GGCT",3816
"148","ENSG00000006634.8","DBF4",4949
"149","ENSG00000006638.13","TBXA2R",163
"150","ENSG00000006652.15","IFRD1",1201
"151","ENSG00000006659.13","LGALS14",0
"152","ENSG00000006695.12","COX10",1466
"153","ENSG00000006704.11","GTF2IRD1",7167
"154","ENSG00000006712.15","PAF1",6333
"155","ENSG00000006715.16","VPS41",7034
"156","ENSG00000006740.17","ARHGAP44",1391
"157","ENSG00000006744.19","ELAC2",6792
"158","ENSG00000006747.15","SCIN",78
"159","ENSG00000006756.16","ARSD",3402
"160","ENSG00000006757.12","PNPLA4",960
"161","ENSG00000006788.14","MYH13",29
"162","ENSG00000006831.10","ADIPOR2",3765
"163","ENSG00000006837.12","CDKL3",42
"164","ENSG00000007001.13","UPP2",20
"165","ENSG00000007038.11","PRSS21",7976
"166","ENSG00000007047.15","MARK4",7289
"167","ENSG00000007062.12","PROM1",35
"168","ENSG00000007080.11","CCDC124",4976
"169","ENSG00000007129.18","CEACAM21",26
"170","ENSG00000007168.14","PAFAH1B1",9825
"171","ENSG00000007171.18","NOS2",8
"172","ENSG00000007174.18","DNAH9",44
"173","ENSG00000007202.15","KIAA0100",10549
"174","ENSG00000007216.15","SLC13A2",0
"175","ENSG00000007237.19","GAS7",640
"176","ENSG00000007255.10","TRAPPC6A",1560
"177","ENSG00000007264.15","MATK",40
"178","ENSG00000007306.15","CEACAM7",1
"179","ENSG00000007312.13","CD79B",95
"180","ENSG00000007314.12","SCN4A",39
"181","ENSG00000007341.19","ST7L",733
"182","ENSG00000007350.17","TKTL1",948
"183","ENSG00000007372.24","PAX6",1
"184","ENSG00000007376.8","RPUSD1",4413
"185","ENSG00000007384.15","RHBDF1",3340
"186","ENSG00000007392.17","LUC7L",3232
"187","ENSG00000007402.12","CACNA2D2",1054
"188","ENSG00000007516.14","BAIAP3",3260
"189","ENSG00000007520.4","TSR3",3520
"190","ENSG00000007541.17","PIGQ",5280
"191","ENSG00000007545.16","CRAMP1",2436
"192","ENSG00000007866.22","TEAD3",3019
"193","ENSG00000007908.16","SELE",7
"194","ENSG00000007923.16","DNAJC11",1810
"195","ENSG00000007933.13","FMO3",39
