"gene","p.fisher","q.fisher"
"AKT1",0,0
"CBFB",0,0
"CDH1",0,0
"GATA3",0,0
"MAP2K4",0,0
"MAP3K1",0,0
"NCOR1",0,0
"PIK3CA",0,0
"PIK3R1",0,0
"PTEN",0,0
"RUNX1",0,0
"TBX3",0,0
"TP53",0,0
"CDKN1B",1.64313007644523e-14,2.21376567870785e-11
"FOXA1",1.37262645694136e-10,0.000000172603201538853
"A1BG",NA,NA
"A1CF",NA,NA
"A2BP1",NA,NA
"A2LD1",NA,NA
"A2M",NA,NA
"A2ML1",NA,NA
"A4GALT",NA,NA
"A4GNT",NA,NA
"AAAS",NA,NA
"AACS",NA,NA
"AADAC",NA,NA
"AADACL2",NA,NA
"AADACL3",NA,NA
"AADACL4",NA,NA
"AADAT",NA,NA
"AAGAB",NA,NA
"AAK1",NA,NA
"AAMP",NA,NA
"AANAT",NA,NA
"AARS",NA,NA
"AARS2",NA,NA
"AARSD1",NA,NA
"AASDH",NA,NA
"AASDHPPT",NA,NA
"AASS",NA,NA
"AATF",NA,NA
"AATK",NA,NA
"ABAT",NA,NA
"ABCA1",NA,NA
"ABCA10",NA,NA
"ABCA12",NA,NA
"ABCA13",NA,NA
"ABCA2",NA,NA
"ABCA3",NA,NA
"ABCA4",NA,NA
"ABCA5",NA,NA
"ABCA6",NA,NA
"ABCA7",NA,NA
"ABCA8",NA,NA
"ABCA9",NA,NA
"ABCB1",NA,NA
"ABCB10",NA,NA
"ABCB11",NA,NA
"ABCB4",NA,NA
"ABCB5",NA,NA
"ABCB6",NA,NA
"ABCB7",NA,NA
"ABCB8",NA,NA
"ABCB9",NA,NA
"ABCC1",NA,NA
"ABCC10",NA,NA
"ABCC11",NA,NA
"ABCC12",NA,NA
"ABCC2",NA,NA
"ABCC3",NA,NA
"ABCC4",NA,NA
"ABCC5",NA,NA
"ABCC6",NA,NA
"ABCC8",NA,NA
"ABCC9",NA,NA
"ABCD1",NA,NA
"ABCD2",NA,NA
"ABCD3",NA,NA
"ABCD4",NA,NA
"ABCE1",NA,NA
"ABCF1",NA,NA
"ABCF2",NA,NA
"ABCF3",NA,NA
"ABCG1",NA,NA
"ABCG2",NA,NA
"ABCG4",NA,NA
"ABCG5",NA,NA
"ABCG8",NA,NA
"ABHD1",NA,NA
"ABHD10",NA,NA
"ABHD11",NA,NA
"ABHD12",NA,NA
"ABHD12B",NA,NA
"ABHD13",NA,NA
"ABHD14A",NA,NA
"ABHD14B",NA,NA
"ABHD15",NA,NA
"ABHD2",NA,NA
"ABHD3",NA,NA
"ABHD4",NA,NA
"ABHD5",NA,NA
"ABHD6",NA,NA
"ABHD8",NA,NA
"ABI1",NA,NA
"ABI2",NA,NA
"ABI3",NA,NA
"ABI3BP",NA,NA
"ABL1",NA,NA
"ABL2",NA,NA
"ABLIM1",NA,NA
"ABLIM2",NA,NA
"ABLIM3",NA,NA
"ABO",NA,NA
"ABP1",NA,NA
"ABR",NA,NA
"ABRA",NA,NA
"ABT1",NA,NA
"ABTB1",NA,NA
"ABTB2",NA,NA
"ACAA1",NA,NA
"ACAA2",NA,NA
"ACACA",NA,NA
"ACACB",NA,NA
"ACAD10",NA,NA
"ACAD11",NA,NA
"ACAD8",NA,NA
"ACAD9",NA,NA
"ACADL",NA,NA
"ACADM",NA,NA
"ACADS",NA,NA
"ACADSB",NA,NA
"ACADVL",NA,NA
"ACAN",NA,NA
"ACAP1",NA,NA
"ACAP2",NA,NA
"ACAP3",NA,NA
"ACAT1",NA,NA
"ACAT2",NA,NA
"ACBD3",NA,NA
"ACBD4",NA,NA
"ACBD5",NA,NA
