gene,q.btBinom,q.fisher,q.lrt,q.ct,q.projection
AKT1,0,0,0,0,0
CBFB,0.000225470555590893,0,0,0,0
CDKN1B,0,2.21376567870785e-11,0,6.06697046363272e-15,0
FOXA1,0,0.000000172603201538853,0.000000741399738727703,1.52747241530792e-09,0
GATA3,0.000367444117635959,0,0,0,0
MAP2K4,0.000289881311683598,0,0,0,0
PIK3CA,0,0,0,0,0
PIK3R1,0.000147758014294341,0,0,0,0
PTEN,0.0000481965256084698,0,0,0,0
RUNX1,0,0,0,0,0
TBX3,0.000225470555590893,0,0,0,0
TP53,0.000147758014294341,0,0,0,0
CDH1,0,0,0,0,7.17374877450101e-15
MAP3K1,0.000208454185274909,0,0,0,1.17762942254883e-14
NCOR1,0.00190933285971946,0,0,0,7.80431275160254e-12
