"ensembl_gene_id","external_gene_name","description","gene_biotype","logFC","logCPM","F","PValue","FDR"
"ENSG00000000419","DPM1","dolichyl-phosphate mannosyltransferase subunit 1, catalytic ","protein_coding",1.06600642387974,5.72269624212294,621.803217490821,7.35340228184968e-96,2.92996975014558e-95
"ENSG00000000971","CFH","complement factor H ","protein_coding",-2.99289423599728,7.39872854343012,944.808832673613,3.30150722453261e-127,2.13633917619801e-126
"ENSG00000001461","NIPAL3","NIPA like domain containing 3 ","protein_coding",1.40052418454844,5.24210539020775,667.312612345357,9.71961898087515e-101,4.18539287893948e-100
"ENSG00000001497","LAS1L","LAS1 like ribosome biogenesis factor ","protein_coding",-0.986178573021811,6.00917808206138,847.074130818441,1.84067371945707e-118,1.05002234673504e-117
"ENSG00000001561","ENPP4","ectonucleotide pyrophosphatase/phosphodiesterase 4 ","protein_coding",2.00613279230382,4.43884611837316,836.017274448205,1.96928107102848e-117,1.10414653745015e-116
"ENSG00000001617","SEMA3F","semaphorin 3F ","protein_coding",3.89457368432903,6.684919028709,1280.10601605358,1.53056663520477e-153,1.56356608606309e-152
"ENSG00000001630","CYP51A1","cytochrome P450 family 51 subfamily A member 1 ","protein_coding",-5.63804661907053,4.64338552179875,5361.86992448945,1.60853436499746e-308,2.41347177014827e-306
"ENSG00000001631","KRIT1","KRIT1 ankyrin repeat containing ","protein_coding",-2.51356715222642,4.35683191720004,4980.59414555666,2.51962326327314e-300,3.66592459436226e-298
"ENSG00000002549","LAP3","leucine aminopeptidase 3 ","protein_coding",1.90416842901561,6.71060454919574,804.738211738203,1.72014656878062e-114,9.16987090181939e-114
"ENSG00000002587","HS3ST1","heparan sulfate-glucosamine 3-sulfotransferase 1 ","protein_coding",-3.46497970174762,5.47191434849713,1839.75085363385,1.42629851024323e-188,2.89357799176669e-187
"ENSG00000002726","AOC1","amine oxidase copper containing 1 ","protein_coding",8.46035475248089,4.94205949704765,752.290241883135,5.49870657816315e-112,2.8046518963124e-111
"ENSG00000002822","MAD1L1","mitotic arrest deficient 1 like 1 ","protein_coding",-5.10592936441228,2.5588286103156,7299.53287227526,0,0
"ENSG00000003147","ICA1","islet cell autoantigen 1 ","protein_coding",2.97529525910637,4.15703837277806,1032.2062861106,1.47685447095632e-134,1.08755684047315e-133
