"gene_id","cluster","betweenness","degree_centrality"
"TRIM28","1",327330,61
"BRCA1","1",874036,43
"HSP90AA1","1",141006,34
"TP53","1",209410,32
"H2BC17","1",866594,31
"EDEM3","1",838391,30
"GRB2","1",98998,29
"ACTB","1",199757,27
"WDR76","1",416533,27
"AP2S1","1",586106,26
"CALML5","1",102210,25
"HSP90AB1","1",137450,23
"CANX","1",330968,22
"SEC24A","1",101409,22
"SH3GL2","1",216022,22
"AKT1","1",93311,21
"AP1S3","1",21008,21
"CD74","1",151465,21
"H2AX","1",38398,21
"RFC5","1",49362,21
"AP1M2","1",45518,20
"HLA-DPB1","1",701840,20
"HLA-DQB2","1",163030,20
"HSPA5","1",172638,20
"HSPA8","1",281579,20
"PHB1","1",280128,20
"RFC3","1",104878,20
"HSPA4","1",104372,19
"KIF26B","1",86571,19
"PPP1CA","1",153850,19
"PSMG1","1",22701,19
"RFC2","1",27438,19
"SEC24D","1",468775,19
"AP1B1","1",45,18
"CDH1","1",80837,18
"CFTR","1",276245,18
"FN1","1",59545,18
"HAUS8","1",251435,18
"HLA-DQA2","1",150320,18
"PCNA","1",75886,18
"RMI2","1",140578,18
"VCP","1",80721,18
"CLTC","1",116623,17
"COMMD5","1",138628,17
"DCTN5","1",116576,17
"KIF16B","1",14052,17
"KIF18B","1",41342,17
"LCK","1",100488,17
"MRPS23","1",28405,17
"RUVBL1","1",19323,17
"SPAG1","1",164609,17
"YWHAZ","1",34854,17
"AGR2","1",122502,16
"H2BC7","1",288883,16
"HLA-DQA1","1",3842,16
"IGHV3-11","1",6967,16
"MRPL14","1",59426,16
"RFC4","1",103652,16
"RPA3","1",92609,16
"CHCHD1","1",10246,15
"CHML","1",31512,15
"H2AZ1","1",13460,15
"HDAC2","1",33996,15
"IGKV1D-33","1",45738,15
"PARP1","1",147711,15
"RAD21","1",20194,15
"SOX2","1",22444,15
"SYCP2","1",452226,15
"SYK","1",14257,15
"YWHAQ","1",14401,15
"CAND1","1",34894,14
"CBX3","1",87785,14
"CCT7","1",110298,14
"CDK1","1",52412,14
"CNIH2","1",26533,14
"GNGT2","1",39737,14
"KPNA2","1",19101,14
"PIK3CB","1",30264,14
"PLK1","1",346686,14
"RMI1","1",2057,14
"STAU1","1",113023,14
"TRAF2","1",95066,14
"CCT5","1",6633,13
"DDB1","1",20224,13
"ERBB2","1",33820,13
"GNG4","1",74789,13
"H2BC21","1",19174,13
"IGKV2D-40","1",8201,13
"MRPL35","1",10523,13
"NEIL3","1",781,13
"OIP5","1",20221,13
"P4HB","1",91859,13
"PRKDC","1",40284,13
"RBBP7","1",42983,13
"RPL26L1","1",24318,13
"SPRTN","1",89243,13
"TFRC","1",59652,13
"XRCC5","1",19667,13
"YKT6","1",34987,13
"AP2B1","1",260850,12
"ASCC3","1",125720,12
"CCT3","1",30402,12
"CENPX","1",4578,12
"HDLBP","1",107439,12
"HSPD1","1",72432,12
"IL7R","1",40589,12
"MIS18A","1",27526,12
"MRPL36","1",2733,12
"MRPL37","1",10028,12
"MSR1","1",50254,12
"POLE3","1",24981,12
"RHNO1","1",10551,12
"RPAP3","1",123149,12
"TUBB4B","1",71123,12
"XIAP","1",42319,12
"YWHAB","1",36079,12
"ANLN","1",10610,11
"APOO","1",682,11
"ARF1","1",16290,11
"BRIP1","1",793,11
"CD3G","1",72555,11
"CNIH1","1",0,11
"CTSZ","1",9088,11
"DNA2","1",110363,11
"DNMT1","1",40118,11
"EZR","1",36995,11
"FCGR1A","1",53314,11
"GSK3B","1",177546,11
"H2BC15","1",18403,11
"HLA-DRB1","1",18976,11
"ISG15","1",28195,11
"KIF20A","1",2510,11
"KIF2A","1",26858,11
"LIPC","1",3305,11
"MRPL51","1",5502,11
"NBN","1",227980,11
"NDUFAF6","1",39724,11
"PEX13","1",45968,11
"RBBP5","1",196220,11
"RECQL4","1",14292,11
"SCARB2","1",20967,11
"SEC13","1",385530,11
"SMC2","1",401062,11
"STX1A","1",87803,11
"TMED10","1",38583,11
"TOP1","1",15298,11
"TRIM24","1",21645,11
"UBE2S","1",80491,11
"VAMP8","1",28464,11
"VAV1","1",9349,11
"XCR1","1",28694,11
"APOBR","1",37049,10
"ARF4","1",33677,10
"BARD1","1",10086,10
"BRCA2","1",11131,10
"CALR","1",132592,10
"CAPZA1","1",21653,10
"CBX1","1",158344,10
"CCNB1","1",32790,10
"CSNK2A1","1",6188,10
"ESRP1","1",81663,10
"GNA13","1",28694,10
"GRSF1","1",10158,10
"HLA-DRA","1",119412,10
"HLA-DRB5","1",13740,10
"HSPA2","1",33844,10
"KDELR1","1",10261,10
"KNL1","1",2638,10
"KRT80","1",10,10
"LMAN1","1",122459,10
"LSR","1",40143,10
"PABPC1","1",21854,10
"PLA2G7","1",24408,10
"PLOD1","1",36048,10
"POLH","1",1430,10
"RAD51","1",188568,10
"RRP1B","1",180184,10
"SKP2","1",12135,10
"SMARCA4","1",29462,10
"STAT1","1",13577,10
"VAV3","1",123762,10
"AP1S1","1",0,9
"AR","1",8726,9
"ARMC7","1",61428,9
"AURKA","1",8440,9
"BLM","1",2620,9
"BTK","1",19962,9
"CBX2","1",9456,9
"CCND1","1",23249,9
"CCR3","1",4988,9
"CCT2","1",107062,9
"CCT6A","1",29832,9
"CD3E","1",32330,9
"CD4","1",10855,9
"CDCA8","1",71981,9
"CHEK1","1",36,9
"CSK","1",23765,9
"CSTA","1",13666,9
"CXCR4","1",54402,9
"DAP3","1",5431,9
"DCK","1",0,9
"DNAJC5","1",218474,9
"DNASE2","1",2716,9
"DTL","1",250,9
"DYNLL1","1",25806,9
"ENTHD1","1",5121,9
"FANCD2","1",13933,9
"FANCI","1",31238,9
"GABBR2","1",38118,9
"H2AC8","1",20324,9
"H2BC11","1",91746,9
"H2BC9","1",164571,9
"HSPA9","1",36436,9
"KIF14","1",86709,9
"KRT6C","1",1356,9
"KRT8","1",21649,9
"LONP2","1",72183,9
"NCKAP1L","1",47545,9
"PPP4C","1",13600,9
"RAC3","1",110550,9
"SEM1","1",5431,9
"SERPINA1","1",10988,9
"SMARCB1","1",13709,9
"SSBP1","1",23850,9
"TGFA","1",34042,9
"TMED2","1",13643,9
"TNF","1",20340,9
"TOP2A","1",151,9
"UBE2L6","1",111715,9
"UBE2N","1",73215,9
"VAPB","1",69098,9
"XCL2","1",18432,9
"YIPF6","1",2716,9
"ACTR2","1",10829,8
"APOF","1",0,8
"ATP5MC1","1",64921,8
"AURKB","1",10777,8
"BMP7","1",13569,8
"BUB1B","1",18579,8
"CALU","1",5796,8
"CASP3","1",14729,8
"CCL18","1",9039,8
"CCT8","1",8150,8
"CD9","1",10672,8
"CLDN10","1",32775,8
"CPD","1",0,8
"CRIPT","1",2704,8
"CX3CR1","1",13694,8
"CXCR6","1",450,8
"CYCS","1",8189,8
"DBI","1",2784,8
"DDX6","1",21580,8
"EPHA1","1",5059,8
"EZH2","1",18987,8
"FOXA1","1",12216,8
"H2BC12","1",0,8
"H2BC5","1",2615,8
"HSPA14","1",28396,8
"HSPA1L","1",31340,8
"IGHV3-72","1",12744,8
"KCNJ10","1",0,8
"KDELR3","1",9733,8
"KIAA0319","1",0,8
"KRT18","1",16657,8
"KRT4","1",0,8
"KRT6A","1",0,8
"KRT81","1",0,8
"KRT83","1",2713,8
"KRT86","1",0,8
"MACROH2A1","1",27283,8
"MAPK9","1",49593,8
"MAPRE1","1",76806,8
"MDH2","1",34977,8
"MRPL17","1",2181,8
"MRPL18","1",8,8
"NCBP1","1",39011,8
"NCF1","1",11269,8
"PDIA3","1",10800,8
"POLD2","1",0,8
"POLR2K","1",1406,8
"PRMT6","1",36724,8
"PTPA","1",18904,8
"RAC2","1",284,8
"RAD51C","1",21719,8
"RPP25L","1",29559,8
"SNRPF","1",18785,8
"SOD1","1",13575,8
"SREBF1","1",198049,8
"TRMT10C","1",5474,8
"TUBG1","1",123260,8
"UBA1","1",218605,8
"XRCC2","1",0,8
"ACTG1","1",24067,7
"ALB","1",25999,7
"AP3M1","1",308,7
"BGN","1",25061,7
"CASP8","1",8364,7
"CBX5","1",45545,7
"CCNE1","1",17057,7
"CCR4","1",4184,7
"CD247","1",7269,7
"CD3D","1",0,7
"CD40LG","1",22664,7
"CD48","1",21641,7
"CDH2","1",10975,7
"CDK7","1",13391,7
"CENPI","1",227052,7
"CENPL","1",2909,7
"CENPM","1",0,7
"CENPW","1",0,7
"CETN2","1",14025,7
"CFAP53","1",19573,7
"CFL1","1",13427,7
"CXCL17","1",5099,7
"DCD","1",10583,7
"DNAJC3","1",5512,7
"DNAJC30","1",2716,7
"EIF4A3","1",24288,7
"ERBB3","1",19896,7
"ERLIN2","1",10848,7
"EXO1","1",24751,7
"F11R","1",7759,7
"FBXO6","1",1287,7
"FEN1","1",0,7
"FGF5","1",13551,7
"FOXM1","1",8503,7
"GAPDH","1",8163,7
"GNAS","1",13599,7
"GOLPH3","1",24403,7
"GRIN2D","1",10646,7
"H2BC4","1",0,7
"H3C10","1",47533,7
"H3C6","1",5286,7
"HJURP","1",1,7
"HLA-DPA1","1",97159,7
"HLA-DQB1","1",0,7
"HNRNPF","1",89726,7
"HSPA13","1",19030,7
"HYOU1","1",77509,7
"IGHD","1",67,7
"KCTD5","1",16275,7
"KIAA2012","1",4392,7
"KIF11","1",70886,7
"KIF2C","1",21486,7
"KIF3B","1",26828,7
"KRT7","1",0,7
"LAG3","1",98366,7
"LEO1","1",76434,7
"LTA","1",50260,7
"MED1","1",25275,7
"MRPL19","1",137,7
"MRPL27","1",0,7
"MRPS16","1",0,7
"MTIF2","1",3971,7
"NDE1","1",13244,7
"NUP205","1",13668,7
"OCLN","1",8407,7
"PAK1","1",14121,7
"PAK4","1",14812,7
"PIERCE1","1",11387,7
"PLAU","1",35084,7
"POLA1","1",6581,7
"POLE2","1",598,7
"POLR2F","1",1323,7
"POLR3B","1",13196,7
"PRIM2","1",28538,7
"PRKACB","1",49926,7
"PSMD5","1",24354,7
"RARA","1",13567,7
"REPS2","1",2716,7
"RIBC2","1",3969,7
"RUVBL2","1",18981,7
"SEC16A","1",20426,7
"SET","1",147027,7
"SF3B4","1",76325,7
"SSR1","1",286210,7
"SUMO1","1",18846,7
"TEKT1","1",1467,7
"TPD52","1",2720,7
"TPM3","1",7559,7
"TSEN54","1",2810,7
"TSN","1",78206,7
"TUBB","1",31869,7
"USP9X","1",3640,7
"VAV2","1",10983,7
"VBP1","1",29720,7
"VDAC3","1",11104,7
"VIRMA","1",3128,7
"ZC3HAV1","1",61070,7
"ADAM10","1",8145,6
"AGT","1",8145,6
"APC2","1",7469,6
"APOL1","1",0,6
"ATAD2","1",2372,6
"ATIC","1",80912,6
"CAPRIN1","1",581,6
"CCDC47","1",8144,6
"CENPA","1",27079,6
"CENPK","1",0,6
"CENPN","1",9,6
"CHAF1A","1",38806,6
"CLDN14","1",510,6
"CLDN9","1",0,6
"CLSPN","1",5982,6
"COL20A1","1",0,6
"COL8A2","1",5430,6
"COPZ1","1",38,6
"CSTF1","1",2716,6
"CTLA4","1",21641,6
"CXCL11","1",7773,6
"DCAF7","1",8145,6
"DCUN1D1","1",15322,6
"DERL1","1",19948,6
"DHX9","1",71845,6
"DLG3","1",4187,6
"DNAJA1","1",3747,6
"DNAJB1","1",10855,6
"DNAJC10","1",106397,6
"DYNLL2","1",14138,6
"E2F1","1",34357,6
"EBNA1BP2","1",23849,6
"EFHC2","1",18966,6
"EIF2AK2","1",16254,6
"ENO1","1",8542,6
"FCGR3A","1",10014,6
"FGB","1",10834,6
"FZD2","1",7312,6
"GET3","1",2733,6
"GNA14","1",11865,6
"GRN","1",8144,6
"H3C8","1",28,6
"HSPH1","1",9408,6
"ILF2","1",29470,6
"ITGAV","1",29874,6
"ITGB2","1",24302,6
"KDELR2","1",0,6
"KIF15","1",0,6
"KIF22","1",503,6
"KRT40","1",5422,6
"LCLAT1","1",5518,6
"LIG1","1",0,6
"LPCAT1","1",13630,6
"LTB","1",7609,6
"MCM5","1",72,6
"MED24","1",22698,6
"MRPL30","1",0,6
"MRPS12","1",3423,6
"MRPS33","1",2175,6
"MRPS34","1",2387,6
"MRPS35","1",62656,6
"MRPS7","1",19929,6
"MSH2","1",5600,6
"NOP10","1",3173,6
"PARN","1",10857,6
"PDIA4","1",5556,6
"PLK4","1",29279,6
"POTEF","1",2596,6
"POU2F2","1",10677,6
"PPP2R2C","1",8146,6
"PSMB3","1",5663,6
"PSMD1","1",15749,6
"PSMD4","1",10856,6
"RACGAP1","1",80241,6
"RAD1","1",10616,6
"RAD23B","1",25251,6
"RANGAP1","1",23354,6
"RHOV","1",70198,6
"RNF20","1",8142,6
"RPL19","1",5486,6
