"interaction","name","selected","shared interaction","shared name","stringdb::databases","stringdb::experiments","stringdb::interspecies","stringdb::score","stringdb::textmining"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000340820","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000340820",,"0.236",,"0.447","0.306"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000378199","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000378199","0.5",,,"0.52","0.081"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000343925","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000343925","0.5",,,"0.499",
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000231509","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000231509","0.8","0.457",,"0.975","0.791"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000351646","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000351646","0.5","0.345",,"0.721","0.219"
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000350815","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000350815","0.8","0.089",,"0.891","0.452"
"ppp","9606.ENSP00000002829 (ppp) 9606.ENSP00000352882","false","ppp","9606.ENSP00000002829 (ppp) 9606.ENSP00000352882",,"0.077",,"0.692","0.68"
"ppp","9606.ENSP00000002829 (ppp) 9606.ENSP00000368314","false","ppp","9606.ENSP00000002829 (ppp) 9606.ENSP00000368314",,,,"0.551","0.551"
"ppp","9606.ENSP00000002829 (ppp) 9606.ENSP00000265371","false","ppp","9606.ENSP00000002829 (ppp) 9606.ENSP00000265371",,,,"0.955","0.955"
"ppp","9606.ENSP00000002829 (ppp) 9606.ENSP00000358696","false","ppp","9606.ENSP00000002829 (ppp) 9606.ENSP00000358696",,"0.077",,"0.971","0.97"
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000320130","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000320130","0.5",,,"0.499",
"ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000405330","false","ppp","9606.ENSP00000001008 (ppp) 9606.ENSP00000405330","0.5","0.329",,"0.836","0.551"
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000483185","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000483185","0.5",,,"0.499",
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000366654","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000366654",,,,"0.426","0.426"
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000248553","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000248553",,"0.457",,"0.513","0.141"
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000262613","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000262613","0.9","0.549",,"0.999","0.981"
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000369198","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000369198",,,,"0.418","0.418"
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000428112","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000428112","0.5","0.123",,"0.542",
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000238738","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000238738","0.5",,,"0.499",
"ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000222812","false","ppp","9606.ENSP00000003084 (ppp) 9606.ENSP00000222812",,"0.457",,"0.457",
