"external_gene_name","description","count","counts_when_betweeness_0","counts_when_centrality_0","counts_when_druggability_0","counts_when_cryptic_pockets_0"
"NUDCD1","NudC domain containing 1",224,15,27,6,0
"ESR1","estrogen receptor 1",191,3,6,5,0
"H2BC13","H2B clustered histone 13",179,1,4,4,0
"GRB2","growth factor receptor bound protein 2",123,2,4,5,0
"H2AC20","H2A clustered histone 20",117,1,3,3,0
"RFC2","replication factor C subunit 2",89,1,3,3,0
"PLK1","polo like kinase 1",85,11,11,5,0
"H2AX","H2A.X variant histone",81,6,12,2,0
"CENPX","centromere protein X",77,1,2,2,0
"CLTC","clathrin heavy chain",73,1,1,1,0
"RPA3","replication protein A3",71,9,18,0,0
"MED1","mediator complex subunit 1",68,22,35,0,0
"H2BC7","H2B clustered histone 7",67,14,29,0,0
"EXOC3L4","exocyst complex component 3 like 4",65,12,9,0,0
"EZR","ezrin",63,20,33,0,0
"NOX1","NADPH oxidase 1",58,1,2,0,0
"CCT5","chaperonin containing TCP1 subunit 5",50,15,27,0,0
"PCNA","proliferating cell nuclear antigen",49,6,15,0,0
"RBBP7","RB binding protein 7, chromatin remodeling factor",48,12,23,0,0
"PRKDC","protein kinase, DNA-activated, catalytic subunit",45,6,15,0,0
"CCDC87","coiled-coil domain containing 87",42,7,13,0,0
"GBA1","glucosylceramidase beta 1",41,8,11,0,1
"UGCG","UDP-glucose ceramide glucosyltransferase",40,6,10,0,2
"RFC4","replication factor C subunit 4",38,6,12,0,6
"WDR76","WD repeat domain 76",35,1,2,0,0
"BPIFB1","BPI fold containing family B member 1",33,2,2,0,1
"H2BC12","H2B clustered histone 12",31,1,4,0,4
"CCT3","chaperonin containing TCP1 subunit 3",27,1,4,0,4
"ANLN","anillin, actin binding protein",26,1,3,0,3
"HM13","histocompatibility minor 13",25,2,6,0,8
"DTL","denticleless E3 ubiquitin protein ligase homolog",24,1,3,0,3
"CDC45","cell division cycle 45",22,1,2,0,2
"RARA","retinoic acid receptor alpha",21,4,4,18,0
"H3C12","H3 clustered histone 12",20,43,17,52,37
"CENPS","centromere protein S",18,8,0,8,0
"H1-4","H1.4 linker histone, cluster member",18,51,4,39,42
"DHCR7","7-dehydrocholesterol reductase",17,3,0,1,0
"CENPE","centromere protein E",16,19,0,0,0
"SLC7A8","solute carrier family 7 member 8",16,8,0,5,0
"CYP2C8","cytochrome P450 family 2 subfamily C member 8",15,16,8,0,30
"IARS2","isoleucyl-tRNA synthetase 2, mitochondrial",15,22,1,0,31
"SPAG17","sperm associated antigen 17",15,5,0,0,0
"KIF18B","kinesin family member 18B",14,3,0,0,6
"AP2B1","adaptor related protein complex 2 subunit beta 1",13,2,5,0,10
"ABCA12","ATP binding cassette subfamily A member 12",12,3,13,0,29
"RFC5","replication factor C subunit 5",12,8,0,0,20
"OIP5","Opa interacting protein 5",11,12,14,3,50
"CENPU","centromere protein U",10,40,40,59,56
"SOX2","SRY-box transcription factor 2",10,17,0,18,0
"CACNA1H","calcium voltage-gated channel subunit alpha1 H",8,16,19,59,23
"KIFC2","kinesin family member C2",8,9,11,49,5
"ZNF217","zinc finger protein 217",8,18,7,29,0
"DNA2","DNA replication helicase/nuclease 2",7,4,0,0,6
"H2BC5","H2B clustered histone 5",7,3,0,0,7
"IRF9","interferon regulatory factor 9",7,4,7,1,0
"SRP54","signal recognition particle 54",7,7,0,0,0
"H2BC15","H2B clustered histone 15",6,9,0,0,0
"KIF11","kinesin family member 11",6,5,21,44,18
"KIF1A","kinesin family member 1A",6,5,0,0,1
"FBXO45","F-box protein 45",5,1,0,0,0
"ARHGEF16","Rho guanine nucleotide exchange factor 16",4,12,6,51,16
"DNAJC9","DnaJ heat shock protein family (Hsp40) member C9",4,1,6,0,21
"IL4I1","interleukin 4 induced 1",4,13,0,0,5
"MAPK15","mitogen-activated protein kinase 15",4,19,0,18,12
"DNAJC12","DnaJ heat shock protein family (Hsp40) member C12",3,5,4,0,35
"LASP1","LIM and SH3 protein 1",3,15,0,15,21
"SIDT1","SID1 transmembrane family member 1",3,4,11,42,18
"SULT1A2","sulfotransferase family 1A member 2",3,5,0,7,6
"TAF2","TATA-box binding protein associated factor 2",3,5,10,26,34
"ACTN2","actinin alpha 2",2,0,5,7,4
"ATP8B1","ATPase phospholipid transporting 8B1",2,0,24,8,16
"CHD5","chromodomain helicase DNA binding protein 5",2,0,0,0,6
"PLPP4","phospholipid phosphatase 4",2,0,12,12,0
"SULT2B1","sulfotransferase family 2B member 1",2,0,2,0,2
"TRIM55","tripartite motif containing 55",2,0,11,7,12
"CECR2","CECR2 histone acetyl-lysine reader",1,0,4,3,1
"H2BC9","H2B clustered histone 9",1,0,3,3,6
