"interaction","name","selected","shared interaction","shared name","stringdb::databases","stringdb::experiments","stringdb::interspecies","stringdb::score","stringdb::textmining"
"ppp","9606.ENSP00000004982 (ppp) 9606.ENSP00000340989","false","ppp","9606.ENSP00000004982 (ppp) 9606.ENSP00000340989",,"0.9",,"0.9",
"ppp","9606.ENSP00000004982 (ppp) 9606.ENSP00000252252","false","ppp","9606.ENSP00000004982 (ppp) 9606.ENSP00000252252",,,,"0.404","0.404"
"ppp","9606.ENSP00000004982 (ppp) 9606.ENSP00000281938","false","ppp","9606.ENSP00000004982 (ppp) 9606.ENSP00000281938",,"0.322",,"0.639","0.49"
"ppp","9606.ENSP00000004982 (ppp) 9606.ENSP00000379287","false","ppp","9606.ENSP00000004982 (ppp) 9606.ENSP00000379287",,,,"0.614","0.614"
"ppp","9606.ENSP00000005178 (ppp) 9606.ENSP00000420927","false","ppp","9606.ENSP00000005178 (ppp) 9606.ENSP00000420927",,"0.671",,"0.671",
"ppp","9606.ENSP00000005178 (ppp) 9606.ENSP00000306253","false","ppp","9606.ENSP00000005178 (ppp) 9606.ENSP00000306253",,,,"0.786","0.786"
"ppp","9606.ENSP00000005178 (ppp) 9606.ENSP00000376352","false","ppp","9606.ENSP00000005178 (ppp) 9606.ENSP00000376352",,"0.585",,"0.585",
"ppp","9606.ENSP00000005178 (ppp) 9606.ENSP00000258729","false","ppp","9606.ENSP00000005178 (ppp) 9606.ENSP00000258729",,,,"0.525","0.525"
"ppp","9606.ENSP00000005226 (ppp) 9606.ENSP00000384582","false","ppp","9606.ENSP00000005226 (ppp) 9606.ENSP00000384582","0.54","0.292",,"0.781","0.383"
"ppp","9606.ENSP00000005226 (ppp) 9606.ENSP00000424565","false","ppp","9606.ENSP00000005226 (ppp) 9606.ENSP00000424565",,"0.292",,"0.716","0.616"
"ppp","9606.ENSP00000005226 (ppp) 9606.ENSP00000224721","false","ppp","9606.ENSP00000005226 (ppp) 9606.ENSP00000224721",,"0.943",,"0.998","0.98"
"ppp","9606.ENSP00000005226 (ppp) 9606.ENSP00000252597","false","ppp","9606.ENSP00000005226 (ppp) 9606.ENSP00000252597",,"0.23",,"0.667","0.586"
"ppp","9606.ENSP00000005226 (ppp) 9606.ENSP00000480279","false","ppp","9606.ENSP00000005226 (ppp) 9606.ENSP00000480279","0.8","0.963",,"0.999","0.911"
"ppp","9606.ENSP00000005260 (ppp) 9606.ENSP00000304283","false","ppp","9606.ENSP00000005260 (ppp) 9606.ENSP00000304283","0.5","0.138",,"0.55",
"ppp","9606.ENSP00000005260 (ppp) 9606.ENSP00000261623","false","ppp","9606.ENSP00000005260 (ppp) 9606.ENSP00000261623",,,,"0.422","0.422"
"ppp","9606.ENSP00000005260 (ppp) 9606.ENSP00000494689","false","ppp","9606.ENSP00000005260 (ppp) 9606.ENSP00000494689",,"0.564",,"0.564",
"ppp","9606.ENSP00000006015 (ppp) 9606.ENSP00000209728","false","ppp","9606.ENSP00000006015 (ppp) 9606.ENSP00000209728",,,,"0.493","0.493"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000259607","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000259607",,,,"0.507","0.507"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000334448","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000334448",,"0.8",,"0.8",
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000295683","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000295683","0.65",,,"0.984","0.958"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000362095","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000362095",,,,"0.565","0.565"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000263339","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000263339",,,,"0.513","0.513"
"ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000326432","false","ppp","9606.ENSP00000006053 (ppp) 9606.ENSP00000326432","0.65",,,"0.762","0.349"
