"","gene_id","logFC","logCPM","LR","PValue","FDR"
"ENSG00000105173","ENSG00000105173",-6.7985866899243,0.908415985048259,738.145265681008,1.51731202059703e-162,2.35486825596659e-158
"ENSG00000185900","ENSG00000185900",-6.664498955185,0.912616997960289,647.763262939987,6.84792007537541e-143,5.31398597849132e-139
"ENSG00000105357","ENSG00000105357",-8.68766315654743,2.45971442423606,566.068676150261,4.02244794061859e-125,2.08094640128002e-121
"ENSG00000137309","ENSG00000137309",-6.68579116367787,3.42420607515616,534.988279760046,2.3212986134435e-118,9.00663862016077e-115
"ENSG00000196083","ENSG00000196083",-5.58932518059182,3.21514803795187,512.24572215202,2.05878933932149e-113,6.39048210925391e-110
"ENSG00000166145","ENSG00000166145",-7.39302431063267,3.20532793993212,479.478278047979,2.7750405191062e-106,7.17810480942138e-103
"ENSG00000114346","ENSG00000114346",-6.47536691797058,2.31703032378269,462.733774804036,1.22173901964022e-102,2.70876994068804e-99
"ENSG00000130119","ENSG00000130119",-4.95315080479366,2.83103658955674,446.088261128906,5.12184432127671e-99,9.93637798327683e-96
"ENSG00000075275","ENSG00000075275",-7.20238372062414,2.99975841143094,441.671521575032,4.68446774552106e-98,8.07810437894299e-95
"ENSG00000167889","ENSG00000167889",-5.89183694458609,0.82835995931735,429.79316357283,1.80262752533146e-95,2.79767791931442e-92
"ENSG00000137166","ENSG00000137166",-4.12118063438143,5.87083273998055,402.2526515092,1.7805908456324e-89,2.51225181129227e-86
"ENSG00000113361","ENSG00000113361",-8.31935134155732,3.41199688899964,397.400061305011,2.02727741352079e-88,2.62194545482022e-85
"ENSG00000173898","ENSG00000173898",-6.02813641459067,3.00422102759514,388.580694819092,1.6860216309167e-86,2.01285043937132e-83
"ENSG00000149948","ENSG00000149948",-7.70767365115554,1.86391095977394,374.787818565498,1.6972876050467e-83,1.8815645450232e-80
"ENSG00000137364","ENSG00000137364",-3.86368744656302,3.29167683957858,368.522297769811,3.92588343451179e-82,4.0619807269082e-79
"ENSG00000272398","ENSG00000272398",-8.78002750429982,3.33403793850806,356.685819593117,1.4833593175165e-79,1.43885853799101e-76
