"","uniprot_gn_id","external_gene_name","ensembl_gene_id","cluster","betweenness","degree_centrality","file_id","ID","pocket","druggability","num_drug_pockets","struct_score"
"1","A0AUZ9","KANSL1L","ENSG00000144445","1",9,2,"AF-A0AUZ9-F1-model_v4","A0AUZ9-F1",0.225,0.717,1,50.2433430564363
"2","A0AV02","SLC12A8","ENSG00000221955","1",9269,3,"AF-A0AV02-F1-model_v4","A0AV02-F1",0.113,0.601,2,68.8725790047221
"3","A0AVT1","UBA6","ENSG00000033178","1",1229,4,"AF-A0AVT1-F1-model_v4","A0AVT1-F1",0.096,0.455,1,91.7037600867156
"4","A0PJX2","TLDC2","ENSG00000101342","1",5100,3,"AF-A0PJX2-F1-model_v4","A0PJX2-F1",0.338,0.418,1,85.9121470937129
"5","A0PJZ3","GXYLT2","ENSG00000172986","1",78576,7,"AF-A0PJZ3-F1-model_v4","A0PJZ3-F1",0.196,0.281,0,83.8320759423503
"6","A0PK00","TMEM120B","ENSG00000188735","1",376382,6,"AF-A0PK00-F1-model_v4","A0PK00-F1",0.463,0.835,4,90.421148981026
"7","A1A4S6","ARHGAP10","ENSG00000071205","1",0,2,"AF-A1A4S6-F1-model_v4","A1A4S6-F1",0.17,0.492,1,80.1481860095389
"8","A1A5B4","ANO9","ENSG00000185101","1",19886,5,"AF-A1A5B4-F1-model_v4","A1A5B4-F1",0.084,0.806,3,81.334865713837
"9","A1IGU5","ARHGEF37","ENSG00000183111","1",22954,4,"AF-A1IGU5-F1-model_v4","A1IGU5-F1",0.223,0.879,1,83.8301915210115
"10","A1L0T0","ILVBL","ENSG00000105135","1",0,1,"AF-A1L0T0-F1-model_v4","A1L0T0-F1",0.153,0.821,1,94.7076030981788
"11","A1L390","PLEKHG3","ENSG00000126822","1",100618,9,"AF-A1L390-F1-model_v4","A1L390-F1",0.093,0.471,1,55.7904616687844
"12","A1YPR0","ZBTB7C","ENSG00000184828","1",19,2,"AF-A1YPR0-F1-model_v4","A1YPR0-F1",0.094,0.257,0,55.6186858908342
"13","A1Z1Q3","MACROD2","ENSG00000172264","1",35408,3,"AF-A1Z1Q3-F1-model_v4","A1Z1Q3-F1",0.124,0.663,1,71.9430834086119
"14","A2A2Y4","FRMD3","ENSG00000172159","1",2919,3,"AF-A2A2Y4-F1-model_v4","A2A2Y4-F1",0.148,0.819,2,75.288783811687
"15","A2A3K4","PTPDC1","ENSG00000158079","1",4,2,"AF-A2A3K4-F1-model_v4","A2A3K4-F1",0.069,0.292,0,70.4573076923077
"16","A2RRP1","NBAS","ENSG00000151779","1",7435,4,"AF-A2RRP1-F1-model_v4","A2RRP1-F1",0.136,0.852,1,75.090248424175
"17","A2RUB6","CCDC66","ENSG00000180376","1",0,3,"AF-A2RUB6-F1-model_v4","A2RUB6-F1",0.26,0.294,0,57.9488157036651
"18","A2RUS2","DENND3","ENSG00000105339","1",21347,4,"AF-A2RUS2-F1-model_v4","A2RUS2-F1",1.374,0.553,2,81.2055379614094
"19","A3KMH1","VWA8","ENSG00000102763","1",104,2,"AF-A3KMH1-F1-model_v4","A3KMH1-F1",0.121,0.483,1,79.0282982665079
"20","A3KN83","SBNO1","ENSG00000139697","1",0,1,"AF-A3KN83-F1-model_v4","A3KN83-F1",0.134,0.498,1,68.2881398137047
"21","A4D0V7","CPED1","ENSG00000106034","1",8530,6,"AF-A4D0V7-F1-model_v4","A4D0V7-F1",0.093,0.813,4,72.9920831822029
"22","A4D1B5","GSAP","ENSG00000186088","1",105796,5,"AF-A4D1B5-F1-model_v4","A4D1B5-F1",0.392,0.274,0,80.8121475243212
"23","A4D1P6","WDR91","ENSG00000105875","1",242288,11,"AF-A4D1P6-F1-model_v4","A4D1P6-F1",0.099,0.046,0,75.9195682593857
"24","A4GXA9","EME2","ENSG00000197774","1",35213,6,"AF-A4GXA9-F1-model_v4","A4GXA9-F1",0.37,0.937,1,80.9574421815671
"25","A5PLN9","TRAPPC13","ENSG00000113597","1",9485,3,"AF-A5PLN9-F1-model_v4","A5PLN9-F1",0.312,0.442,1,87.2180424093423
"26","A5YKK6","CNOT1","ENSG00000125107","1",1312,3,"AF-A5YKK6-F1-model_v4","A5YKK6-F1",0.148,0.861,1,75.6027543569792
"27","A6ND36","FAM83G","ENSG00000188522","1",64079,4,"AF-A6ND36-F1-model_v4","A6ND36-F1",0.06,0.836,1,57.3405046875
"28","A6NFI3","ZNF316","ENSG00000205903","1",101295,8,"AF-A6NFI3-F1-model_v4","A6NFI3-F1",0.161,0.552,1,60.4855856918239
"29","A6NGR9","MROH6","ENSG00000204839","1",48097,4,"AF-A6NGR9-F1-model_v4","A6NGR9-F1",0.379,0.551,2,75.0825142646788
"30","A6NHC0","CAPN8","ENSG00000203697","1",28555,7,"AF-A6NHC0-F1-model_v4","A6NHC0-F1",0.236,0.613,3,89.4861355081556
"31","A6NKD9","CCDC85C","ENSG00000205476","1",0,1,"AF-A6NKD9-F1-model_v4","A6NKD9-F1",0.414,0.799,2,70.5446255506608
"32","A8K7I4","CLCA1","ENSG00000016490","1",0,2,"AF-A8K7I4-F1-model_v4","A8K7I4-F1",0.069,0.644,3,88.2732213718821
"33","A8K855","EFCAB7","ENSG00000203965","1",9893,3,"AF-A8K855-F1-model_v4","A8K855-F1",0.041,0.957,2,81.2967782841292
"34","A8K8P3","SFI1","ENSG00000198089","1",390,6,"AF-A8K8P3-F1-model_v4","A8K8P3-F1",0.163,0.3,0,67.6819493719436
"35","A8MQ14","ZNF850","ENSG00000267041","1",4117,3,"AF-A8MQ14-F1-model_v4","A8MQ14-F1",0.252,0.3,0,71.1459760956175
"36","A8MQ27","NEURL1B","ENSG00000214357","1",0,1,"AF-A8MQ27-F1-model_v4","A8MQ27-F1",0.137,0.184,0,72.0867938564915
"37","A8MVW5","HEPACAM2","ENSG00000188175","1",0,4,"AF-A8MVW5-F1-model_v4","A8MVW5-F1",0.161,0.376,0,78.4666970450152
"38","A8MW92","PHF20L1","ENSG00000129292","1",305523,10,"AF-A8MW92-F1-model_v4","A8MW92-F1",0.284,0.725,1,54.492407086224
