"","weighted_zscore","unweighted_zscore"
"A1BG",-0.151349500401382,-0.151349500401382
"A1BG-AS1",-0.151349500401382,-0.151349500401382
"A1CF",-1.19125313356347,-1.19125313356347
"A2M",0.627132472515703,0.627132472515703
"A2M-AS1",0.627132472515703,0.627132472515703
"A2ML1",0.627132472515703,0.627132472515703
"A2ML1-AS1",0.757486013944435,0.558924049874681
"A2ML1-AS2",0.627132472515703,0.627132472515703
"A2MP1",0.699060358149253,0.627132472515703
"A3GALT2",0.929858970838033,0.929858970838033
"A4GALT",-1.09472006301961,-1.09472006301961
"A4GNT",2.36026895610736,0.676941421489161
"AAAS",1.13083638253501,1.13083638253501
"AACS",-0.344526152626448,-0.344526152626448
"AACSP1",-1.05935642612364,-1.05935642612364
"AADAC",2.39463083997884,2.39463083997884
"AADACL2",2.39463083997884,2.39463083997884
"AADACL2-AS1",2.39463083997884,2.39463083997884
"AADACL3",0.838155390412869,0.838155390412869
"AADACL4",0.838155390412869,0.838155390412869
"AADACP1",2.39463083997884,2.39463083997884
"AADAT",-0.420158762448886,-0.420158762448886
"AAGAB",-1.37315570034364,-1.37315570034364
"AAK1",1.74667718231502,1.74667718231502
"AAMDC",-0.534005798442102,-0.534005798442102
"AAMP",-0.383810464618046,-0.383810464618046
"AANAT",-1.29198981008474,-1.29198981008474
"AAR2",0.644635779694089,0.644635779694089
"AARD",-0.450348135685313,-0.450348135685313
"AARS1",-1.75855772507027,-1.75855772507027
"AARS1P1",-0.0875011872865725,-0.0875011872865725
"AARS2",-0.815189179856114,-0.815189179856114
"AARSD1",-0.809088056423711,-0.809088056423711
"AARSD1P1",0.549554230868182,0.549554230868182
"AASDH",-1.03570240362519,-1.03570240362519
"AASDHPPT",-0.834661520456374,-0.834661520456374
"AASS",1.16086479242128,1.16086479242128
"AATBC",0.99713332049953,0.99713332049953
"AATF",-0.912641749562588,-0.838147288583568
"AATK",-1.38534049710617,-1.10690292123992
"ABALON",0.738183098046061,0.738183098046061
"ABAT",-0.361122464654903,-0.361122464654903
"ABCA1",-1.70048414617796,-1.69823211878965
"ABCA10",-1.04398008359805,-1.05291689463447
"ABCA11P",NA,NA
"ABCA12",0.134208229593678,0.134208229593678
"ABCA13",2.42162931469422,1.75097295123948
"ABCA15P",-0.405503368729794,-0.405503368729794
"ABCA17P",0.180924760413659,0.180924760413659
"ABCA2",0.583859280776463,0.583859280776463
"ABCA3",0.180924760413659,0.180924760413659
"ABCA3P1",-0.462085507825527,-0.462085507825527
"ABCA4",-0.501724410548056,-0.543679834263227
"ABCA5",-1.07744546761343,-1.07744546761343
"ABCA6",-1.05291689463447,-1.05291689463447
"ABCA7",0.0767865275705349,0.0767865275705349
"ABCA8",-1.05291689463447,-1.05291689463447
"ABCA9",-1.05291689463447,-1.05291689463447
"ABCA9-AS1",-1.05291689463447,-1.05291689463447
"ABCB1",1.33426124700065,1.33426124700065
"ABCB10",1.15809715649808,1.15809715649808
"ABCB10P1",NA,NA
"ABCB10P3",-1.21817223138342,-1.21817223138342
"ABCB10P4",-1.21817223138342,-1.21817223138342
"ABCB11",-1.21101079190058,-1.23669820698525
"ABCB4",1.33426124700065,1.33426124700065
"ABCB5",2.12442495301291,2.47697712039143
"ABCB6",-0.383810464618046,-0.383810464618046
"ABCB7",0.671392488712731,-0.0165292831894043
"ABCB8",0.419952398778094,0.419952398778094
"ABCB9",-0.263366322115186,-0.263366322115186
"ABCC1",-0.395638546093289,-0.395638546093289
"ABCC10",-0.793487963663994,-0.793487963663994
"ABCC11",-1.35758815810336,-1.35758815810336
"ABCC12",-1.35758815810336,-1.35758815810336
"ABCC13",2.69982148659487,2.69982148659487
"ABCC2",-1.15012286761189,-1.15012286761189
"ABCC3",-0.637552465862411,-0.637552465862411
"ABCC4",-0.745390119886017,-0.367753980828229
"ABCC5",0.320400342576341,0.320400342576341
"ABCC5-AS1",0.320400342576341,0.320400342576341
"ABCC6",-0.435181790462352,-0.395638546093289
"ABCC6P1",-0.602329037223311,-0.48445852773075
"ABCC6P2",-0.402393321899251,-0.402393321899251
