"","gene_id","avg_seg_mean"
"2","IGKV3-7",-0.03682
"11","IGLV7-46",-0.0802
"19","IGLV3-9",-0.10813
"21","TRGV11",0.05205
"29","TRGV2",-0.05903
"43","TRAV18",-0.04379
"54","TMEM265",0.01619
"57","TBC1D3D",-0.20337
"63","TRBV18",0.2131
"65","TBC1D3K",-0.20337
"67","SMIM26",-0.02741
"76","TRBV5-3",0.24917
"85","TRBV13",0.2131
"86","TRBV6-6",0.24917
"90","TRBV7-1",0.24917
"91","TRAV16",-0.04379
"107","IGKV1D-43",0.05598
"109","TRAV13-2",-0.0852
"112","TRAV10",-0.11293
"115","TRAV12-1",-0.0852
"126","TRAV34",-0.01636
"139","IGKV3D-20",0.10315
"142","TRGV4",-0.05903
"157","TRBV5-4",0.24917
"159","IGKV2-24",0.03346
"164","PRAMEF33",-0.1011
"167","TEX13C",-0.01641
"177","TRBV27",0.2131
"182","CD300H",0.10938
"185","TMEM275",0.10703
"188","ZNF593OS",-0.10071
"199","TMEM272",-0.09972
"200","FAM237A",-0.09279
"204","EDDM13",-0.14021
"210","CIROP",-0.0582
"212","CCDC196",-0.13953
"215","CFAP97D2",-0.03708
"218","TEX51",0.0203
"226","C10orf143",0.02693
"227","C17orf113",-0.1981
"232","GOLGA6L7",0.00794
"239","PRSS51",-0.12233
"240","C13orf42",-0.08935
"241","IQCM",-0.05158
"256","TMEM269",0.05481
"257","EXOC1L",0.09285
"258","SMIM39",0.03144
"260","PRRT1B",-0.06078
"277","TAF11L4",0.21273
"278","DUXB",-0.25547
"282","TAF11L14",0.21273
"283","CPHXL",-0.25547
"286","ERFL",-0.10848
"294","PMIS2",-0.000749999999999999
"300","H2BK1",0.22079
"303","OOSP4A",0.04958
"306","MCTS2",0.14291
"307","TRIM51G",-0.0306
"311","SPDYE21",0.13859
"313","FAM246A",0.02223
"320","TRBV5-1",0.24917
"321","TRBV5-5",0.24917
"323","TRBV11-3",0.2131
"330","KANSL1L",-0.08439
"331","SLC12A8",0.138300132948747
"334","FER1L5",0.12446
"339","ESYT3",0.12994
"344","BLTP3B",0.04392
"346","SHTN1",0.07502
"347","PLSCR5",0.0853
"349","SLC5A10",-0.140272481281254
"350","TMEM223",0.02914
"352","CIB4",0.03385
"354","SHISA3",-0.03765
"355","TMEM82",0.01053
"358","TMEM120B",0.02587
"360","CLRN2",-0.12902
"364","IRGM",-0.03267
"370","ARHGEF37",-0.03378
"372","PXDNL",0.0560143039911994
"374","ILVBL",0.01728
"375","TSPAN11",0.11056
"382","IGSF23",-0.1129
"384","ELOVL7",-0.139188096022155
"389","PRSS38",0.06412
"391","FSD2",-0.01987
"393","SH3PXD2B",0.05134
"394","CIBAR1",0.36926
"396","MACROD2",-0.00708921288211104
"399","FRMD3",-0.01698
"400","ANKRD18B",0.02801
"401","MAGEB16",0.07278
"403","TTC24",0.15907
"405","CCDC78",-0.16495
"406","HFM1",0.0370176534147504
"407","ZNF320",-0.00947
"408","WDR27",-0.140431637327956
"409","TMEM213",0.23607
"410","NBAS",0.0943233816231983
"413","TMEM218",-0.08633
"416","HYKK",-0.01804
"418","FAM234B",-0.0338645651430988
"420","TYW5",0.04878
"432","PRAMEF27",-0.02153
"433","LAMB4",-0.05482
"434","SMIM30",-0.06233
"435","CPED1",0.0447018905187823
"436","CRPPA",-0.11006064210434
"442","KLRG2",0.24652
"447","CDC14C",0.21713
"450","OR2A25",0.22361
"452","GRID2IP",-0.12418
"453","MTMR11",0.11231
"457","EME2",-0.13128
"458","SLC35F4",-0.14326
"461","XIRP2",0.05618
"462","POTEF",0.113821801123365
"464","CLEC18A",-0.18006
"466","ODAD3",0.01815
"468","PSMB11",-0.0582
"469","PSD",0.06377
"470","RGSL1",0.15563
"472","PEDS1",0.233700117198272
"476","CNOT1",-0.25615
"478","MEGF11",-0.09317
"481","DPPA5",0.108
"482","TMEM150B",-0.06632
"483","ANKRD62",0.0479547632936662
"484","PINLYP",-0.11675
"485","CCDC88B",0.03362
