"gene_id","logFC","logCPM","LR","PValue","FDR"
"ENSG00000163072",-2.7976548395031,4.11070973203363,849.214000545404,1.07756724617058e-186,1.64587621180095e-182
"ENSG00000168497",-4.72951510048723,5.42999149589969,837.099103573803,4.63738988469147e-184,3.54157465493888e-180
"ENSG00000079337",-2.81578693565941,4.35203770905884,826.369467469657,9.97652046656895e-182,5.07937912021247e-178
"ENSG00000111077",-2.30442355341747,6.71722355395591,797.011127684876,2.40933549768017e-175,9.20004759789172e-172
"ENSG00000186642",-3.44238927387646,4.62684489522465,775.704795321813,1.03365985240803e-170,3.15762411713605e-167
"ENSG00000280339",-4.3018336578261,3.14527878353205,750.941503101357,2.50429261426193e-165,6.37509423170613e-162
"ENSG00000149090",-3.95196916402595,4.90991220822802,737.211231571563,2.42198827048142e-162,5.04728575086603e-159
"ENSG00000082175",-5.25877029878207,5.29244897510618,737.036365506329,2.64359604602123e-162,5.04728575086603e-159
"ENSG00000163491",-4.42654319820585,3.05652843320894,732.076073152756,3.1678986497e-161,5.37627599727975e-158
"ENSG00000068489",2.94516151342701,4.9764065953871,728.1124245876,2.30484808954562e-160,3.52042497197197e-157
"ENSG00000165197",-5.27153157113266,3.55412556351838,724.818070228674,1.19945591067421e-159,1.66549905269435e-156
"ENSG00000105173",3.81374787344911,4.16426150145772,719.525935352981,1.69724164249659e-158,2.16030573729108e-155
"ENSG00000137225",-3.62351672122752,2.0526750259128,717.330928635539,5.09383584647652e-158,5.98486528608326e-155
"ENSG00000120262",-3.30805168660921,3.28479625376605,709.47643591932,2.60022244007125e-156,2.83684268211774e-153
"ENSG00000112742",3.35328318188977,4.68549751701629,695.645815783509,2.64578359775828e-153,2.69411324481067e-150
"ENSG00000143321",1.69567180684635,9.05990188894386,687.026546507824,1.98109095487448e-151,1.89119895279705e-148
"ENSG00000109906",-5.50437326499734,5.51035211334885,684.984066770972,5.50893829298776e-151,4.94961902865265e-148
"ENSG00000131831",-2.8944701623083,4.42769325852006,684.407427998365,7.35302044532539e-151,6.23944634899444e-148
"ENSG00000076555",-3.96987797846254,6.80910019484398,680.277089110809,5.81658497600461e-150,4.67592204860497e-147
"ENSG00000134690",3.25264019921933,5.17451047700961,674.720748419805,9.39696909986889e-149,7.17646530156987e-146
"ENSG00000175356",-4.28537671199696,6.28469383428037,673.679781404866,1.58257828616042e-148,1.15106194013401e-145
"ENSG00000164045",2.79349861243558,3.71470987624262,671.262632190885,5.30909751217585e-148,3.68596160913518e-145
"ENSG00000170962",-2.76017712318265,5.29802841226969,669.513170912305,1.27490078065926e-147,8.46644979295198e-145
"ENSG00000173210",-3.35929161239135,5.18011839419132,666.351088451957,6.21067524079508e-147,3.952577234496e-144
"ENSG00000182481",2.29660600337869,7.43409464605968,664.173585779489,1.84793270973319e-146,1.12901296833859e-143
"ENSG00000071539",2.93654438890082,4.86567926206878,659.791081271921,1.65870129527366e-145,9.74423214769613e-143
"ENSG00000170271",-2.85411244175914,5.3878259398991,658.629475187606,2.96748974618804e-145,1.67871994012134e-142
"ENSG00000149554",2.4216321153437,4.63011771592363,653.409325883599,4.05184603486232e-144,2.2102820120174e-141
"ENSG00000146410",3.06321460617174,2.49424770731592,651.129083955583,1.26928160147804e-143,6.6851748899916e-141
"ENSG00000183722",-2.39342940158474,6.11339453531361,645.559775973229,2.06432205756949e-142,1.05101517024388e-139
"ENSG00000154263",-3.91418150013762,3.05883687499834,636.256426324206,2.17829422559889e-140,1.07326664521927e-137
"ENSG00000197776",-2.16939632702781,1.84036943648591,634.998832787673,4.08910057951282e-140,1.95177882035871e-137
"ENSG00000134057",2.46678298706746,5.78675591858445,633.324331709881,9.45829084510734e-140,4.37775558691423e-137
"ENSG00000165810",-4.44740545887016,5.12366815988196,632.030435221921,1.80809570616236e-139,8.12260406350703e-137
"ENSG00000120334",1.8372791381357,3.79049869122471,625.96317040686,3.77397680734816e-138,1.64696347872674e-135
"ENSG00000196550",3.13440603650435,0.922904635099281,622.654208361207,1.9791489239656e-137,8.39708907351403e-135
"ENSG00000079308",-2.94317563350033,8.79146946994713,618.972669272497,1.25082957673231e-136,5.16355971757007e-134
"ENSG00000173207",1.81519927503742,5.51130258642834,618.564012027776,1.53489929713921e-136,6.1694873327643e-134
"ENSG00000131471",-4.05924138772259,7.2971916877398,615.907836613806,5.8048701023344e-136,2.27342528059117e-133
"ENSG00000134201",-5.11919417656655,4.27834141445396,613.453354284529,1.98445321809955e-135,7.57763461331313e-133
"ENSG00000168477",-4.55791729491259,6.51292777472044,612.767057381277,2.79840537150421e-135,1.04250838156964e-132
"ENSG00000119927",-4.06979320397315,7.34927712803207,610.950418897004,6.95074396442325e-135,2.52775388839526e-132
"ENSG00000169744",-2.41186876215028,4.65449757236033,607.224222004063,4.49250717079756e-134,1.59578033783167e-131
"ENSG00000154258",-4.23068138151322,4.15727419680577,606.177182218512,7.58969118815939e-134,2.6346578001806e-131
"ENSG00000188610",3.11074686485765,0.999406811335445,602.813368490263,4.0913945774608e-133,1.38871023946969e-130
