"","external_gene_name","uniprot_gn_id","cluster","betweenness","degree_centrality","logFC","file_id","ID","pocket","druggability","num_drug_pockets","struct_score","base_count","cancer_count","MeSH_count","title_query","ovarian_count","title_count"
"1","ACAN","P16112","1",729,2,5.07175766125542,"AF-P16112-F1-model_v4","P16112-F1",1.204,1,5,53.5530948754216,1573,121,43,4,5,4
"2","IL4I1","Q96RQ9","8",0,1,2.16924613978603,"AF-Q96RQ9-F1-model_v4","Q96RQ9-F1",0.511,1,1,86.8211604326273,134,70,42,31,5,31
"3","MAPK15","Q8TD08","11",0,1,1.81938595265847,"AF-Q8TD08-F1-model_v4","Q8TD08-F1",0.055,1,1,69.3901375711575,69,36,14,11,1,11
"4","AQP9","O43315","3",0,1,1.30707191657917,"AF-O43315-F1-model_v4","O43315-F1",0.47,0.998,1,91.0660036084799,654,102,62,18,11,18
"5","CENPE","Q02224","1",2907,4,2.6509551961602,"AF-Q02224-F6-model_v4","Q02224-F6",0.135,0.997,5,72.5524854202401,450,191,84,70,6,70
"6","RYR1","P21817","1",729,2,1.03590620153572,"AF-P21817-F19-model_v4","P21817-F19",0.226,0.997,3,75.5543385568513,8109,286,155,5,8,5
"7","CENPU","Q71F23","1",0,5,1.95352554317289,"AF-Q71F23-F1-model_v4","Q71F23-F1",0.002,0.994,1,65.518599280144,60,41,23,9,1,9
"8","CYP1B1","Q16678","12",0,1,1.25716366336483,"AF-Q16678-F1-model_v4","Q16678-F1",0.5,0.994,1,92.2863456156716,3010,1358,799,356,87,356
"9","MELK","Q14680","1",729,2,3.53082811686846,"AF-Q14680-F1-model_v4","Q14680-F1",0.159,0.993,1,70.6437161388783,689,329,211,110,11,110
"10","IDO1","P14902","18",0,1,3.34180866740048,"AF-P14902-F1-model_v4","P14902-F1",0.277,0.991,1,93.3983944810285,2160,1283,699,331,51,331
"11","KIF11","P52732","1",42,10,2.52310541367463,"AF-P52732-F1-model_v4","P52732-F1",0.141,0.991,1,74.7686384864088,843,432,247,51,22,51
"12","RYR2","Q92736","1",0,1,1.10270791940358,"AF-Q92736-F17-model_v4","Q92736-F17",0.196,0.988,2,74.6349787910923,8298,305,155,19,6,19
"13","TEAD4","Q15561","24",0,1,1.6284525730378,"AF-Q15561-F1-model_v4","Q15561-F1",0.243,0.986,2,76.5831209630065,405,209,134,71,8,71
"14","DONSON","Q9NYP3","1",0,1,1.77093794947532,"AF-Q9NYP3-F1-model_v4","Q9NYP3-F1",0.154,0.977,1,72.3494840461643,195,133,105,15,1,15
"15","FBN2","P35556","1",0,1,2.58509485396148,"AF-P35556-F5-model_v4","P35556-F5",0.107,0.975,1,75.7839261809141,326,51,39,6,5,6
