gene_id,base_count,cancer_count,MeSH_count,title_query,ovarian_count,title_count
FANCD2,1150,861,318,216,70,216.0
CYC1,891,41,19,4,3,4.0
IDO1,2160,1283,699,331,51,331.0
PCLAF,105,74,60,9,2,9.0
CCT3,113,73,40,26,2,26.0
MUC16,1392,1122,896,156,622,156.0
DBF4,341,108,34,32,2,32.0
CDC7,672,250,97,102,7,102.0
FBXO5,123,62,32,6,4,6.0
H2AZ1,24,7,2,1,0,1.0
MX2,1131,212,123,40,9,40.0
NCS1,342,46,16,9,1,9.0
PFDN2,19,11,5,1,0,1.0
ESPL1,147,80,53,12,3,12.0
PUF60,85,33,17,15,2,15.0
MEX3A,71,61,30,41,4,41.0
PSMG1,23,5,2,0,0,0.0
TNF,227683,36601,19809,4173,1192,4173.0
CXCL1,6415,1450,779,205,82,205.0
ISG15,1917,423,209,108,17,108.0
SDC1,1597,858,690,27,15,27.0
TOMM40,353,35,11,2,0,2.0
CALU,2173,759,516,71,30,71.0
KIF18B,81,64,34,25,1,25.0
TRIM47,42,21,14,13,1,13.0
CCNE1,1098,903,699,108,163,108.0
MRGBP,28,19,11,6,0,6.0
MMP7,3120,1785,1370,309,91,309.0
H2AC11,1,1,1,0,0,0.0
PIM2,576,265,163,82,3,82.0
LCN2,3756,684,418,74,32,74.0
USP1,279,144,70,75,5,75.0
SHCBP1,76,63,45,38,1,38.0
ACAN,1573,121,43,4,5,4.0
H2AC8,1,0,0,0,0,0.0
IMPA2,62,15,10,7,1,7.0
SDF2L1,31,9,6,3,3,3.0
TAPBP,61,19,10,3,0,3.0
ATP6V1C2,24,10,6,1,0,1.0
HSPE1,62,23,12,1,1,1.0
TRAF3IP3,36,21,6,6,2,6.0
NASP,340,38,16,7,2,7.0
TGM1,267,29,12,6,2,6.0
COCH,946,63,34,1,4,1.0
BUB1B,492,358,206,52,20,52.0
LRFN4,20,10,3,4,1,4.0
FABP5,966,264,158,65,5,65.0
PLOD1,155,43,26,11,1,11.0
MEAK7,7,3,0,3,0,3.0
SALL4,883,572,417,218,65,218.0
NFKBIE,119,53,36,4,1,4.0
AUNIP,20,7,3,2,0,2.0
CDC25A,1255,851,552,224,37,224.0
GBP5,170,52,22,10,4,10.0
MRPL47,12,5,2,0,0,0.0
ESCO2,140,46,18,14,1,14.0
SMG5,69,16,11,2,0,2.0
RFC4,130,85,52,7,0,7.0
CDKN2A,14026,11746,9530,1012,305,1012.0
RSAD2,415,58,23,5,3,5.0
TNFSF13B,1375,290,198,4,2,4.0
CXCR4,16220,6503,4276,2687,186,2687.0
RRP1,80,9,6,0,0,0.0
NUDT5,63,37,16,18,0,18.0
CALML5,43,20,16,2,0,2.0
CCT5,110,42,20,5,2,5.0
SMARCA4,1892,1207,854,315,167,315.0
TTLL12,26,12,8,3,1,3.0
ANP32E,99,42,27,15,1,15.0
RAD54L,186,114,63,17,12,17.0
TTLL4,22,2,2,1,0,1.0
CHMP4C,69,49,16,9,3,9.0
CDH19,42,20,16,2,0,2.0
