"","gene_id","avg_seg_mean"
"A1BG","A1BG",-0.05997
"A1BG-AS1","A1BG-AS1",-0.05997
"A1CF","A1CF",0.09751
"A2M","A2M",0.07471
"A2M-AS1","A2M-AS1",0.07471
"A2ML1","A2ML1",0.07471
"A2ML1-AS1","A2ML1-AS1",0.0585880667971846
"A2ML1-AS2","A2ML1-AS2",0.07471
"A2MP1","A2MP1",0.0629096944828412
"A3GALT2","A3GALT2",-0.03062
"A4GALT","A4GALT",-0.11574
"A4GNT","A4GNT",0.115375032134286
"AAAS","AAAS",0.04941
"AACS","AACS",0.00480999999999999
"AACSP1","AACSP1",0.09555
"AADAC","AADAC",0.08552
"AADACL2","AADACL2",0.08552
"AADACL2-AS1","AADACL2-AS1",0.08552
"AADACL3","AADACL3",-0.08326
"AADACL4","AADACL4",-0.08326
"AADACP1","AADACP1",0.08552
"AADAT","AADAT",-0.19941
"AAGAB","AAGAB",-0.08734
"AAK1","AAK1",0.07576
"AAMDC","AAMDC",0.07161
"AAMP","AAMP",0.00586
"AANAT","AANAT",0.09178
"AAR2","AAR2",0.15045
"AARD","AARD",0.4317
"AARS1","AARS1",-0.18072
"AARS1P1","AARS1P1",0.01242
"AARS2","AARS2",0.12564
"AARSD1","AARSD1",-0.19999
"AARSD1P1","AARSD1P1",-0.00531
"AASDH","AASDH",0.08774
"AASDHPPT","AASDHPPT",0.13799
"AASS","AASS",0.04821
"AATBC","AATBC",-0.02902
"AATF","AATF",-0.175136280301062
"AATK","AATK",0.079364215840667
"ABALON","ABALON",0.14291
"ABAT","ABAT",0.01259
"ABCA1","ABCA1",-0.0143999384770287
"ABCA10","ABCA10",0.0575901249070991
"ABCA11P","ABCA11P",NA
"ABCA12","ABCA12",-0.08475
"ABCA13","ABCA13",0.0881098091177747
"ABCA15P","ABCA15P",0.02363
"ABCA17P","ABCA17P",-0.13468
"ABCA2","ABCA2",-0.04401
"ABCA3","ABCA3",-0.13468
"ABCA3P1","ABCA3P1",0.03517
"ABCA4","ABCA4",0.0131896258309803
"ABCA5","ABCA5",0.06716
"ABCA6","ABCA6",0.07151
"ABCA7","ABCA7",-0.21507
"ABCA8","ABCA8",0.07151
"ABCA9","ABCA9",0.07151
"ABCA9-AS1","ABCA9-AS1",0.07151
"ABCB1","ABCB1",0.08804
"ABCB10","ABCB10",0.04735
"ABCB10P1","ABCB10P1",NA
"ABCB10P3","ABCB10P3",0.00794
