"gene","avg_rank","rank_variance"
"EGFR",6.35431235431235,279.394074502003
"CTNNB1",6.3999333999334,181.425942700426
"XDH",8.20879120879121,83.8314749873711
"CALM3",9.70962370962371,189.194800757759
"ESR1",10.6876456876457,68.4833483194576
"EZR",11.5531135531136,65.3252093232107
"CA2",12.6886446886447,87.9133520266099
"MUC16",14.4781884781885,108.572059075723
"GRB2",16.4605394605395,669.472376391097
"CD44",18.018315018315,89.9706837688183
"MUC5B",18.2947052947053,113.826177819516
"DNAH5",20.7788877788878,1208.24089989513
"BTNL8",31.0862470862471,368.878968022872
"RAB27B",31.3643023643024,720.219005067773
"CFTR",32.1674991674992,450.866338413973
"RDX",32.2271062271062,239.010364274855
"SLC26A3",32.2790542790543,108.884128085994
"NHERF1",33.9300699300699,248.531417283582
"BTRC",33.977355977356,125.602418456516
"HOXB7",35.8741258741259,1019.14271138588
"USH1C",36.021978021978,455.3432876251
"CALM1",36.5044955044955,561.641801902295
"HOXB5",39.4565434565435,320.237534617281
"LYN",39.5454545454545,232.03615771304
"MSLN",39.998667998668,316.483675773483
"MYO5A",41.3959373959374,284.187951511069
"RAB27A",41.8551448551449,489.551628251828
"CREBBP",44.014319014319,689.691000760288
"ERBB2",45.042957042957,831.238993518141
"CD9",47.8974358974359,252.251968772955
"ALB",47.9287379287379,190.928963996252
"DNAH8",51.6859806859807,4093.64652890969
"DNAH17",52.8737928737929,4097.96108177854
"TLR4",53.038961038961,835.168701385224
"CAV1",53.8707958707959,5238.196491938
"DNAH3",55.4678654678655,4646.43625883333
"MUC5AC",56.2850482850483,238.141238730179
"DNAH2",56.5504495504495,4258.80250063062
"DNAI2",58.6733266733267,5392.72436158112
"EP300",60.4931734931735,1774.40260161779
"MFGE8",62.8874458874459,1393.31044527314
"JUN",63.8561438561439,650.494954745454
"LGALS3",65.0579420579421,757.201838135216
"MYO7A",65.2600732600733,2303.8693813404
"PDZK1IP1",66.5474525474526,181.573613594933
"ODAD1",66.6043956043956,5613.7155303058
"SIAE",66.6660006660007,2052.40639529247
"DNHD1",66.6816516816517,5478.19908694459
"DNAH1",68.1601731601732,5498.45235066954
"JAK2",68.1665001665002,835.726432350683
"DNAH12",69.1368631368631,5505.16347410085
"CD151",69.9194139194139,554.509826172051
"CDH23",70.2807192807193,436.110044519105
"LTF",70.9204129204129,1947.7335038934
"DNAI3",71.962703962704,6012.11386503792
"DNAH7",72.03663003663,5634.00598624116
"MUC1",73.1232101232101,8442.22065698015
