"","node_1","node_2","score"
"86","TRIP13","MAD2L1",0.961
"91","RTN4R","ANPEP",0.982
"577","RTN4R","TNFRSF19",0.982
"481","TRIP13","CDC20",0.95
"72","TRIP13","BUB1B",0.457
"13","CDC6","MCM4",0.929
"600","KRT23","KRT15",0.4
"676","CDC6","CCNF",0.422
"456","CDC6","ORC1",0.993
"752","CDC6","CDC45",0.904
"636","CDC6","CDK1",0.54
"710","CDC6","CDC7",0.818
"1","CDC6","ORC6",0.997
"108","CDC6","CDT1",0.999
"152","CDC6","CLSPN",0.499
"79","CDC6","CCNB2",0.453
"266","CDC6","E2F1",0.636
"242","CENPM","CENPA",0.974
"785","CDC6","MCM10",0.948
"58","CENPM","CENPH",0.999
"1223","CDC6","CCNA2",0.974
"1113","CENPM","H4C4",0.8
"395","CENPM","CENPW",0.972
"187","CENPM","H2BC4",0.8
"29","CDC6","MCM6",0.909
"1068","CENPM","H4C1",0.8
"503","CENPM","CENPI",0.999
"930","CENPM","H2BC8",0.8
"1444","CENPM","H2BC6",0.8
"1207","CENPM","H4C13",0.8
"776","CENPM","HJURP",0.499
"232","CENPM","KNL1",0.499
"569","CENPM","H2BC10",0.8
"4","NID2","LAMA5",0.599
"39","CDC6","MCM2",0.979
"288","CENPM","H2BC7",0.8
"685","NID2","FBLN2",0.65
"2","CENPM","OIP5",0.499
"665","CENPM","CENPK",0.999
"120","AURKA","BIRC5",0.875
"43","AURKA","PHLDA1",0.9
"196","AURKA","TACC3",0.984
"511","AURKA","CDCA8",0.599
"104","AURKA","TPX2",0.999
"80","AURKA","CCNB2",0.769
"859","AURKA","CCNE2",0.616
"1237","AURKA","FAM83D",0.457
"830","AURKA","BRCA1",0.815
"283","AURKA","UBE2C",0.778
"31","AURKA","UBE2S",0.499
"640","AURKA","CDK1",0.654
"486","AURKA","CDC20",0.49
"347","AURKA","RRM2",0.512
"5","AURKA","CCNB1",0.445
"158","AURKA","AURKB",0.742
"259","MYBL2","FOXM1",0.99
"95","AURKA","PLK1",0.879
"1225","MYBL2","CCNA2",0.647
"388","AURKA","ASPM",0.414
"597","AURKA","PTTG1",0.459
"795","ORC6","MCM10",0.499
"44","ABCD1","SLC27A2",0.52
"449","ORC6","ORC1",0.978
"690","GLA","A4GALT",0.9
"6","ORC6","CCNB1",0.499
"190","ORC6","SPAG5",0.453
"147","ORC6","CLSPN",0.499
"12","ORC6","MCM4",0.893
"745","ORC6","CDC45",0.891
"398","OIP5","CENPW",0.499
"112","ORC6","CDT1",0.986
"644","ORC6","CDK1",0.499
"711","ORC6","CDC7",0.834
"34","ORC6","MCM2",0.886
"60","OIP5","CENPH",0.499
"500","OIP5","CENPI",0.499
"28","ORC6","MCM6",0.861
"953","ITGB8","TLN2",0.762
"233","OIP5","KNL1",0.499
"687","ITGB8","PARVB",0.65
"948","ITGB8","ITGA7",0.563
"238","OIP5","CENPA",0.745
"1479","OIP5","UBE2T",0.476
"774","OIP5","HJURP",0.716
"668","OIP5","CENPK",0.499
"701","RPL19","RPL39L",0.499
"23","APOB","GPC1",0.499
"1250","RPL19","RECQL4",0.457
"1460","RAD51AP1","RAD51",0.896
"270","RAD51AP1","BLM",0.499
"824","RAD51AP1","BRCA1",0.649
"1448","PFKFB4","PFKFB3",0.84
"783","APOB","C4B",0.43
"854","APOB","MTTP",0.983
"955","RPL19","BOP1",0.502
"107","RPL19","MED1",0.495
"703","RAD51AP1","CHEK1",0.429
"302","RAD51AP1","DNA2",0.499
"339","RAD51AP1","XRCC2",0.499
"354","RAD51AP1","EXO1",0.555
"273","RARRES1","KHDRBS3",0.435
"84","APOB","FABP1",0.468
"3","NCAPH","NCAPG",0.999
"22","NCAPH","WDR76",0.457
"46","LAMA5","BCAM",0.46
"209","H1-3","H1-5",0.661
"957","PYCARD","NLRP1",0.998
"189","E2F8","E2F7",0.957
"206","H1-3","H1-10",0.42
"9","DLGAP5","KIF11",0.751
"766","DLGAP5","TOP2A",0.4
"105","DLGAP5","TPX2",0.416
"88","DLGAP5","MELK",0.563
"387","DLGAP5","ASPM",0.489
"164","DLGAP5","AURKB",0.633
"82","DLGAP5","CCNB2",0.516
"345","GGT1","DPP4",0.443
"262","CERS4","ACER2",0.9
"947","LAMA5","ITGA7",0.499
"35","GINS2","MCM2",0.974
"151","GINS2","CLSPN",0.8
"14","GINS2","MCM4",0.982
"50","GINS2","GINS4",0.999
"18","GINS2","GINS1",0.999
"24","GINS2","MCM6",0.982
"753","GINS2","CDC45",0.995
"393","RARA","XPR1",0.522
"877","RARA","H2AX",0.499
"988","RARA","H2BC11",0.499
"106","RARA","MED1",0.88
"293","RARA","H2BC12",0.499
"1485","PDLIM4","ESPN",0.723
"140","PDLIM4","RAC3",0.9
"272","PDLIM4","PDLIM7",0.54
"181","RARA","H2BC4",0.63
"1026","RARA","H2BC17",0.499
"411","RARA","H2BC21",0.499
"781","RARA","TRIB3",0.457
"574","RARA","IGFBP3",0.4
"1045","RARA","H2BC14",0.499
"199","RARA","H2AC14",0.499
"1377","RARA","H2BC15",0.499
"1291","RARA","H2BC3",0.499
"333","RARA","H3C12",0.499
"545","RARA","H2BC13",0.499
"135","RARA","H2AC8",0.499
"884","CCNB1","H2AX",0.893
"219","RARA","H3C13",0.499
"852","CCNB1","BRCA1",0.726
"768","CCNB1","TOP2A",0.78
"1212","CCNB1","GAS2L1",0.482
"675","CCNB1","CCNF",0.574
"75","CCNB1","CCNB2",0.991
"858","CCNB1","PBK",0.464
"494","CCNB1","CDC20",0.931
"459","CCNB1","ORC1",0.499
"66","CCNB1","BUB1B",0.916
"97","CCNB1","PLK1",0.967
"118","CCNB1","BIRC5",0.656
"590","CCNB1","HMMR",0.469
"10","CCNB1","NDC80",0.774
"389","CCNB1","ASPM",0.457
"7","CCNB1","ESPL1",0.978
"89","CCNB1","MELK",0.619
"15","CCNB1","MCM4",0.537
"364","CCNB1","CENPF",0.72
"171","CCNB1","SKA3",0.72
"642","CCNB1","CDK1",0.999
"16","CCNB1","PKMYT1",0.595
"255","CCNB1","FOXM1",0.608
"138","CCNB1","CDC25A",0.646
"178","CCNB1","CDC25C",0.527
"30","CCNB1","UBE2S",0.499
"1227","CCNB1","CCNA2",0.918
"126","CCNB1","BUB1",0.615
"1243","CCNB1","RECQL4",0.461
"207","CCNB1","H1-5",0.457
"62","CCNB1","SKA1",0.72
"525","CCNB1","CKS2",0.987
"342","SEMA6A","PLXNA4",0.995
"278","CCNB1","UBE2C",0.816
"599","ESPL1","PTTG1",0.999
"42","TMOD1","ANLN",0.402
"497","USP44","CDC20",0.9
"442","ESPL1","TTK",0.42
"629","ESPL1","CDK1",0.946
"1418","TMOD1","NEB",0.824
"467","KIF23","KIF2C",0.575
"194","KIF23","KIF15",0.54
"717","KIF23","KIFC1",0.596
"603","KIF23","PRC1",0.751
"93","KIF23","PLK1",0.654
"623","KIF23","KIF20A",0.66
"737","KIF23","RACGAP1",0.999
"159","KIF23","AURKB",0.491
"1162","KIF23","H3C1",0.43
"20","KIF23","KIF18A",0.54
"41","KIF23","ANLN",0.511
"8","KIF23","KIF11",0.669
"212","MNS1","FAM166C",0.8
"444","KIF23","CEP55",0.652
"760","KIF23","TOP2A",0.407
"814","KIF23","BRCA1",0.439
"900","KIF23","KIF1A",0.564
"968","KIF23","KIF18B",0.568
"376","KIF23","KIF14",0.678
"193","KIF11","KIF15",0.734
"377","KIF11","KIF14",0.54
"895","KIF11","KIF1A",0.54
"965","KIF11","KIF18B",0.54
"474","KIF11","KIF2C",0.6
"608","KIF11","KIF20A",0.567
"142","KIF23","SHCBP1",0.675
"464","KIF23","KIF20B",0.66
"11","SLC3A1","SLC7A5",0.812
"176","SLC3A1","SLC7A8",0.515
"720","KIF11","KIFC1",0.54
"65","KIF11","BUB1B",0.544
"730","KIF11","RACGAP1",0.412
"256","KIF11","FOXM1",0.4
"1215","KIF11","CCNA2",0.45
"19","KIF11","KIF18A",0.54
"610","LMNB1","KIF20A",0.49
"490","KIF11","CDC20",0.487
"460","KIF11","KIF20B",0.54
"645","KIF11","CDK1",0.682
"197","LMNB1","LMNB2",0.998
"643","LMNB1","CDK1",0.506
"146","DNAH3","DNAH7",0.9
"57","NDC80","CENPH",0.591
"64","SLC7A5","ATP1B3",0.456
"110","NDC80","CDT1",0.497
"173","NDC80","SKA3",0.72
"48","NDC80","NUF2",0.999
"367","NDC80","CENPF",0.752
"236","NDC80","KNL1",0.951
"963","NDC80","SPC24",0.999
"125","NDC80","BUB1",0.725
"371","NDC80","NEK2",0.809
"177","SLC7A5","SLC7A8",0.842
"55","NDC80","SPC25",0.993
"69","NDC80","BUB1B",0.755
"92","NDC80","PLK1",0.774
"61","NDC80","SKA1",0.83
"913","SLC7A5","ATP1A1",0.491
"141","CYBA","RAC3",0.81
"1248","MCM4","RECQL4",0.457
"712","MCM4","CDC7",0.966
"96","MCM4","PLK1",0.457
"609","MCM4","KIF20A",0.406
"748","MCM4","CDC45",0.987
"21","MCM4","ASF1B",0.611
"448","MCM4","ORC1",0.931
"27","MCM4","MCM6",0.999
"327","MCM4","H3C12",0.604
"694","MCM4","TONSL",0.457
"37","MCM4","MCM2",0.999
"17","MCM4","GINS1",0.979
"63","CYBA","FZD7",0.499
"153","MCM4","CLSPN",0.899
"406","CYBA","S100A9",0.499
"432","MCM4","H3C10",0.439
"1170","MCM4","H3C1",0.483
"51","MCM4","GINS4",0.991
"798","MCM4","MCM10",0.98
"1196","MCM4","H4C13",0.422
"114","MCM4","CDT1",0.961
"54","KCNH2","KCNE4",0.499
"188","CHTF18","DSCC1",0.999
"74","PKMYT1","CCNB2",0.584
"526","PKMYT1","CKS2",0.65
"1222","PKMYT1","CCNA2",0.595
"637","PKMYT1","CDK1",0.668
"102","PKMYT1","PLK1",0.632
"983","CHTF18","POLD1",0.417
"686","DNAH9","BCL6",0.464
"265","CHTF18","E2F1",0.633
"754","GINS1","CDC45",0.996
"156","CHTF18","ATAD5",0.809
"791","GINS1","MCM10",0.598
"1475","NHERF1","ABCC4",0.655
"154","GINS1","CLSPN",0.8
"36","GINS1","MCM2",0.974
"1486","NHERF1","ABCC2",0.658
"799","NHERF1","MME",0.426
"40","KIF18A","CENPE",0.821
"570","NHERF1","PODXL",0.858
"253","NHERF1","PDZK1",0.825
"208","CCNE1","H1-5",0.457
"137","CCNE1","CDC25A",0.457
"653","CCNE1","CDK1",0.738
"267","CCNE1","E2F1",0.411
"527","CCNE1","CKS2",0.664
"1213","CCNE1","CCNA2",0.759
"352","CCNE1","E2F2",0.54
"26","GINS1","MCM6",0.973
"52","GINS1","GINS4",0.999
"109","CCNE1","CDT1",0.551
"860","CCNE1","CCNE2",0.946
"261","CCNE1","FOXM1",0.457
"1344","ASF1B","H3C11",0.559
"1126","ASF1B","H4C4",0.921
"25","ASF1B","MCM6",0.627
"220","ASF1B","H3C13",0.946
"337","ASF1B","H3C12",0.765
"699","ASF1B","TONSL",0.743
"722","KIF18A","KIFC1",0.61
"607","KIF18A","KIF20A",0.54
"1093","ASF1B","H4C1",0.921
"38","ASF1B","MCM2",0.97
"509","SGO1","CDCA8",0.933
"427","ASF1B","H3C10",0.595
"1157","ASF1B","H3C1",0.705
"1201","ASF1B","H4C13",0.956
"170","ASF1B","CHAF1B",0.848
"463","KIF18A","KIF20B",0.54
"802","KIF18A","BRCA1",0.439
"169","SGO1","AURKB",0.49
"973","KIF18A","KIF18B",0.54
"904","KIF18A","KIF1A",0.54
"70","SGO1","BUB1B",0.44
"480","KIF18A","KIF2C",0.847
"588","WDR76","DBN1",0.457
"195","KIF18A","KIF15",0.54
"378","KIF18A","KIF14",0.633
"221","WDR76","H3C13",0.457
"914","WDR76","ATP1A1",0.457
"45","GPC1","ERBB2",0.54
"593","CDH3","JUP",0.763
"679","CDH3","CDH24",0.54
"150","MCM6","CLSPN",0.895
"335","MCM6","H3C12",0.407
"695","MCM6","TONSL",0.457
"113","MCM6","CDT1",0.999
"789","MCM6","MCM10",0.944
"101","MCM6","PLK1",0.457
"1194","MCM6","H4C13",0.459
"33","MCM6","MCM2",0.999
"1164","MCM6","H3C1",0.58
"53","MCM6","GINS4",0.98
"1242","MCM6","RECQL4",0.457
"749","MCM6","CDC45",0.996
"458","MCM6","ORC1",0.91
"488","MCM6","CDC20",0.446
"881","MCM6","H2AX",0.42
"715","MCM6","CDC7",0.839
"32","RASGEF1B","ICAM1",0.416
"1219","UBE2S","CCNA2",0.499
"981","POLQ","POLD1",0.448
"98","UBE2S","PLK1",0.499
"372","UBE2S","NEK2",0.499
"849","UBE2S","BRCA1",0.938
"157","UBE2S","AURKB",0.499
"641","UBE2S","CDK1",0.499
"145","UBE2S","CBX2",0.9
"492","UBE2S","CDC20",0.919
"73","UBE2S","BUB1B",0.76
"1472","UBE2S","RAD51",0.72
"1021","NEIL3","H2BC17",0.499
"534","NEIL3","H2BC13",0.499
"134","NEIL3","H2AC8",0.499
"186","NEIL3","H2BC4",0.499
"1311","NEIL3","H2BC3",0.499
"87","UBE2S","MAD2L1",0.499
"878","NEIL3","H2AX",0.499
"1380","NEIL3","H2BC15",0.499
"203","NEIL3","H2AC14",0.499
"276","UBE2S","UBE2C",0.967
"1070","MCM2","H4C1",0.9
"598","UBE2S","PTTG1",0.499
"865","CP","HEPH",0.9
"950","ICAM1","TLN2",0.495
"582","ICAM1","CD9",0.803
"1046","NEIL3","H2BC14",0.499
"408","NEIL3","H2BC21",0.499
"999","NEIL3","H2BC11",0.499
"292","NEIL3","H2BC12",0.499
"438","ICAM1","CD2",0.981
"1333","MCM2","H3C11",0.921
"1317","MCM2","H2BC3",0.457
"1188","MCM2","H4C13",0.94
"796","MCM2","MCM10",0.917
"139","DEPDC1B","RAC3",0.543
"1101","MCM2","H4C4",0.9
"223","MCM2","H3C13",0.958
"742","MCM2","CDC45",0.995
"49","MCM2","GINS4",0.993
"1144","MCM2","H3C1",0.946
"1247","MCM2","RECQL4",0.578
"435","MCM2","H3C10",0.941
"323","MCM2","H3C12",0.954
"133","MCM2","H2AC8",0.457
"457","MCM2","ORC1",0.939
"713","MCM2","CDC7",0.917
"368","CENPE","CENPF",0.881
"478","CENPE","KIF2C",0.89
"122","CENPE","BIRC5",0.721
"698","MCM2","TONSL",0.918
"111","MCM2","CDT1",0.955
"129","CENPE","BUB1",0.781
"78","MCM2","CCNB2",0.62
"155","MCM2","CLSPN",0.954
"77","CENPE","CCNB2",0.56
