"gene_id","cluster","betweenness","degree_centrality"
"TP53","1",111507,34
"BRCA1","1",252585,31
"GRB2","1",29509,30
"H2AX","1",287560,27
"HSP90AA1","1",80470,25
"CALML5","1",45882,21
"ESR1","1",110683,21
"KIF6","1",28666,21
"EDEM3","1",310731,20
"KIF16B","1",67684,20
"KIF26B","1",17834,20
"KIF5C","1",80614,20
"HSPA8","1",252948,19
"KIF13B","1",1257,19
"KIF18B","1",1449,19
"WDR76","1",229264,19
"CLTC","1",139753,18
"RUNX1","1",278817,18
"CANX","1",222989,17
"SH3GL2","1",101081,17
"AP2B1","1",246343,16
"CAPZA1","1",100885,16
"FN1","1",29498,16
"H2AZ2","1",271902,16
"H2BC15","1",95139,16
"PPP1CA","1",42813,16
"AP1S3","1",4866,15
"H2BC12","1",2683,15
"LCK","1",150689,15
"RPA3","1",170741,15
"AP1M2","1",24588,14
"CHML","1",22660,14
"EZR","1",32651,14
"MAPT","1",89214,14
"PCNA","1",159643,14
"RAD21","1",107754,14
"RBBP7","1",41281,14
"SOX2","1",25761,14
"TMED2","1",43966,14
"ACTN2","1",74963,13
"CCT3","1",35305,13
"CXCR4","1",25265,13
"GNG4","1",52924,13
"H2BC11","1",5546,13
"H2BC9","1",39661,13
"HLA-DQB2","1",268964,13
"P4HB","1",44949,13
"RFC4","1",23609,13
"RMI2","1",53249,13
"YWHAZ","1",20866,13
"AP1S1","1",3309,12
"CDK1","1",34559,12
"ERBB2","1",16338,12
"H2BC4","1",848,12
"H2BC5","1",2792,12
"HLA-DPB1","1",175840,12
"IGHV3-11","1",32904,12
"KIF14","1",27474,12
"KIF20A","1",54519,12
"KIF2A","1",9409,12
"RUVBL1","1",20989,12
"SMC1B","1",158579,12
"SMC2","1",24319,12
"SYK","1",23842,12
"VAMP8","1",23774,12
"AR","1",20127,11
"CCNB1","1",54556,11
"CCND1","1",39735,11
"CDH1","1",21352,11
"ELOB","1",13271,11
"H2BC7","1",47268,11
"HSPA4","1",22385,11
"KIF22","1",393,11
"NEIL3","1",36,11
"SYCP3","1",0,11
"TNF","1",92878,11
"TUBB4B","1",77930,11
"AGR2","1",17929,10
"ASH2L","1",9319,10
"BCL2","1",17203,10
"BTRC","1",31602,10
"CBX3","1",3384,10
"CBX4","1",5241,10
"E2F1","1",60330,10
"HLA-DQA2","1",706,10
"IGKV2D-40","1",3861,10
"KPNA2","1",19408,10
"LMAN1","1",29451,10
"MRPL14","1",3498,10
"OIP5","1",11511,10
"PARP1","1",101698,10
"SEC16A","1",8833,10
"TOP2A","1",15220,10
"AREG","1",191656,9
"CBX2","1",8353,9
"CCR4","1",39714,9
"CCT2","1",8392,9
"CD3E","1",12096,9
"CD44","1",6971,9
"CD9","1",11893,9
"CLBA1","1",488,9
"DLG3","1",7219,9
"H2AC8","1",12423,9
"H2BC21","1",85003,9
"HLA-DQA1","1",6865,9
"HLA-DRA","1",22481,9
"IGF1R","1",82474,9
"KDELR2","1",13911,9
"KIF15","1",1177,9
"KRT18","1",14048,9
"NBN","1",33677,9
"NDE1","1",1749,9
"PLK1","1",11445,9
"POLR2F","1",44775,9
"PRKDC","1",97691,9
"RBBP8","1",10053,9
"RECQL4","1",75446,9
"RMI1","1",5051,9
"TRIM24","1",10478,9
"XCR1","1",4886,9
"ALB","1",12798,8
"AURKA","1",6984,8
"BUB1B","1",9769,8
"CAMK2B","1",4874,8
"CD4","1",129024,8
"CDCA8","1",11296,8
"CDH2","1",13544,8
"CFAP52","1",9351,8
"CFAP53","1",11296,8
"CRP","1",4716,8
"CXCL11","1",11526,8
"DCLRE1C","1",0,8
"DNAAF2","1",50453,8
"DNASE2","1",5243,8
"ENTHD1","1",1872,8
"EPHA1","1",18861,8
"EPN3","1",1749,8
"FANCD2","1",5333,8
"HSPA2","1",39283,8
"KDELR3","1",3496,8
"KIF11","1",3912,8
"KIF18A","1",812,8
