"","node_1","node_2","uniprot_id"
"18719","Q7L592","Q7L0Y3",0.406
"9006","Q7L592","Q8IYE0",0.414
"4625","Q7L592","Q9UBK2",0.418
"41542","Q7L592","Q5JTJ3",0.433
"24566","Q7L592","P40926",0.464
"606","Q7L592","P28330",0.504
"49267","Q7L592","Q96BR5",0.523
"5863","Q7L592","Q9Y4W6",0.545
"104544","Q7L592","A8MUP2",0.547
"43968","Q7L592","Q96FB5",0.56
"80039","Q7L592","P11474",0.569
"85785","Q7L592","P28331",0.581
"98771","Q7L592","O95178",0.613
"97962","Q7L592","P56556",0.615
"109066","Q7L592","O43677",0.626
"41133","Q7L592","Q9H5Q4",0.628
"7570","Q7L592","Q9Y6M9",0.628
"84107","Q7L592","Q86Y39",0.629
"1968","Q7L592","Q9HA92",0.63
"7447","Q7L592","Q9NX14",0.637
"40860","Q7L592","P03897",0.68
"49105","Q7L592","O15239",0.688
"2018","Q7L592","O43674",0.706
"115369","Q7L592","O14561",0.712
"100990","Q7L592","Q9P0J0",0.718
"53887","Q7L592","P51970",0.745
"12737","Q7L592","O95169",0.746
"97885","Q7L592","Q9NPL8",0.747
"13735","Q7L592","O95182",0.775
"704","Q7L592","O43676",0.803
"96697","Q7L592","Q16718",0.809
"5369","Q7L592","Q16795",0.855
"20169","Q7L592","O00217",0.877
"3748","Q7L592","O75489",0.88
"602","Q7L592","O75251",0.911
"95234","O14792","Q8N307",0.402
"3215","O14792","Q9H2A9",0.422
"17291","O14792","O43916",0.424
"34103","O14792","O95461",0.439
"52531","O14792","Q7LGC8",0.453
"43898","O14792","Q16570",0.457
"90328","O14792","Q7LFX5",0.475
"86500","O14792","Q12923",0.489
"84183","O14792","Q9NS00",0.497
"11233","O14792","P04843",0.505
"62123","O14792","Q8N0V5",0.524
"38117","O14792","Q8IWU5",0.535
"6528","O14792","O75335",0.581
"20530","O14792","Q9P109",0.616
"60143","O14792","Q16394",0.637
"92600","O14792","Q96EG1",0.675
"103961","O14792","Q96MM7",0.71
"2763","O14792","O94923",0.816
"2054","O14792","O60243",0.816
"51275","O14792","P31431",0.93
