Gene,Essential CEG
YJL074C,Essential
YOR151C,Essential
YKL173W,Essential
YJR064W,Essential
YPL235W,Essential
YOR341W,Essential
YDR190C,Essential
YIL142W,Essential
YHR170W,Essential
YJL111W,Essential
YDR091C,Essential
YBR143C,Essential
YMR125W,Non-essential
YDR064W,Essential
YBR079C,Essential
YDR021W,Essential
YHR169W,Essential
YJL033W,Essential
YNL290W,Essential
YPR178W,Essential
YPR110C,Essential
YMR213W,Essential
YNR038W,Essential
YBR202W,Essential
YLR197W,Essential
YLR186W,Essential
YDL143W,Essential
YPL178W,Non-essential
YJR007W,Essential
YGL120C,Essential
YPL211W,Essential
YLR276C,Essential
YML010W,Essential
YML069W,Essential
YLR347C,Essential
YBR237W,Essential
YLR274W,Essential
YMR128W,Essential
YLL036C,Essential
YJL109C,Essential
YPL266W,Essential
YOR224C,Essential
YMR288W,Essential
YDL014W,Essential
YOR310C,Essential
YKL078W,Essential
YLR175W,Essential
YLL034C,Essential
YLR147C,Essential
YGR091W,Essential
YDR243C,Essential
YBR247C,Essential
YDR429C,Essential
YGR116W,Essential
YPL160W,Essential
YDR337W,Non-essential
YKR024C,Non-essential
YEL032W,Essential
YMR308C,Essential
YMR093W,Essential
YFL002C,Essential
YBR087W,Essential
YDR188W,Essential
YDL031W,Essential
YHR069C,Essential
YGL064C,Non-essential
YGL238W,Essential
YLR272C,Essential
YDR390C,Essential
YLL008W,Essential
YDL140C,Essential
YDL060W,Essential
YPL217C,Essential
YJL008C,Essential
YPR010C,Essential
YNR053C,Essential
YOR210W,Essential
YOR145C,Essential
YOR159C,Essential
YOR116C,Essential
YHR066W,Non-essential
YOL021C,Essential
YIL143C,Essential
YDL160C,Non-essential
YOR001W,Non-essential
YGR220C,Non-essential
YLR397C,Essential
YGL044C,Essential
YMR229C,Essential
YLR409C,Essential
YBR251W,Non-essential
YDL102W,Essential
YMR290C,Essential
YJL050W,Essential
YDR398W,Essential
YKL145W,Essential
YDR449C,Essential
YLR418C,Non-essential
YBL038W,Non-essential
YMR131C,Essential
YER171W,Essential
YML049C,Essential
YGL092W,Essential
YGL201C,Essential
YNL177C,Non-essential
YOR217W,Essential
YER107C,Non-essential
YPR088C,Essential
YNL292W,Non-essential
YOR063W,Essential
YDR416W,Essential
YMR080C,Non-essential
YJL014W,Essential
YOL127W,Essential
YGR162W,Non-essential
YOL034W,Essential
YNL189W,Essential
YDL208W,Essential
YHR166C,Essential
YGR218W,Essential
YHR085W,Essential
YLR086W,Essential
YBR154C,Essential
YMR239C,Essential
YHR165C,Essential
YGR103W,Essential
YJR103W,Non-essential
YOL142W,Essential
YPR019W,Essential
YIL078W,Essential
YGR090W,Essential
YKL009W,Non-essential
YNL113W,Essential
YBR252W,Essential
YPL093W,Essential
YPR180W,Essential
YLR398C,Non-essential
YLR106C,Essential
YML093W,Essential
YNL132W,Essential
YLR430W,Essential
YDR339C,Essential
YOL005C,Essential
YLR129W,Essential
YAR007C,Essential
YLR069C,Non-essential
YOL077C,Essential
YPR187W,Essential
YMR217W,Non-essential
YPR182W,Essential
YBL079W,Non-essential
YNL178W,Essential
YJL138C,Non-essential
YCR072C,Essential
YNL081C,Non-essential
YOR048C,Essential
YBL076C,Essential
YLR277C,Essential
YPL226W,Non-essential
YGR005C,Essential
YDR037W,Essential
YGL207W,Essential
YBR142W,Essential
YNL110C,Essential
YHR065C,Essential
YDR299W,Essential
YHR148W,Essential
YPR144C,Essential
YER012W,Essential
YDL007W,Essential
YEL055C,Essential
YOL145C,Non-essential
YPL043W,Essential
YAL019W,Non-essential
YNL207W,Essential
YJR068W,Essential
YBR017C,Non-essential
YNL247W,Essential
YDR341C,Essential
YMR146C,Essential
YLR196W,Essential
YJR123W,Essential
YDR289C,Non-essential
YNL308C,Essential
YOR335C,Essential
YBL026W,Essential
YPL013C,Non-essential
YJR072C,Essential
YOL023W,Non-essential
YNL262W,Essential
YDR116C,Non-essential
YPL008W,Non-essential
YOR168W,Essential
YGR095C,Essential
YMR277W,Essential
YKL172W,Essential
YER009W,Essential
YKL143W,Non-essential
YEL026W,Essential
YOR056C,Essential
YGR135W,Non-essential
YNL317W,Essential
YIL075C,Essential
YGR271W,Non-essential
YOR026W,Non-essential
YDR237W,Non-essential
YIR008C,Essential
YOR206W,Essential
YDR280W,Essential
YLR435W,Non-essential
YGR186W,Essential
YGR119C,Essential
YDL153C,Essential
YGL103W,Essential
YKR081C,Essential
YDR385W,Non-essential
YPL029W,Non-essential
YOR361C,Essential
YGL173C,Non-essential
YMR240C,Essential
YGR264C,Essential
YOR207C,Essential
YBR155W,Essential
YJR113C,Non-essential
YOL133W,Essential
YKR079C,Essential
YBR257W,Essential
YLR009W,Essential
YDR324C,Essential
YDL111C,Essential
YJR002W,Essential
YLR259C,Essential
YKL113C,Non-essential
YPR137W,Essential
YHR020W,Essential
YGR231C,Non-essential
YDR334W,Non-essential
YLR115W,Essential
YER172C,Essential
YGR278W,Essential
YNL073W,Non-essential
YCL054W,Essential
YMR061W,Essential
YNL182C,Essential
YML063W,Non-essential
YER126C,Essential
YBR088C,Essential
YML092C,Essential
YDR301W,Essential
YOR308C,Non-essential
YNL137C,Essential
YJR084W,Non-essential
YGL011C,Essential
YDL051W,Non-essential
YER105C,Non-essential
YJL087C,Essential
YIL021W,Essential
YOL097C,Essential
YBL023C,Essential
YOR187W,Non-essential
YJR121W,Non-essential
YGR085C,Non-essential
YNL005C,Non-essential
YDR060W,Essential
YDL202W,Non-essential
YGR253C,Essential
YDL148C,Essential
YJL030W,Non-essential
YJL010C,Essential
YKR002W,Essential
YER179W,Non-essential
YGL070C,Non-essential
YKL059C,Essential
YLL011W,Essential
YDR172W,Essential
YGL112C,Essential
YNL313C,Essential
YOR119C,Essential
YFR038W,Non-essential
YMR314W,Essential
YER164W,Non-essential
YER094C,Essential
YBL004W,Essential
YGR185C,Essential
YCL059C,Essential
YDL030W,Essential
YOR362C,Essential
YPL040C,Non-essential
YLR382C,Non-essential
YHR062C,Essential
YHR077C,Non-essential
YHR089C,Essential
YBR121C,Non-essential
YKR086W,Essential
YLR200W,Non-essential
YDR308C,Essential
YPL086C,Non-essential
YGR274C,Essential
YLR045C,Essential
YLR222C,Essential
YKL021C,Essential
YNL124W,Essential
YKR063C,Essential
YPL081W,Non-essential
YMR078C,Non-essential
YOL139C,Essential
YHR091C,Non-essential
YOL010W,Essential
YNL284C,Non-essential
YLR383W,Essential
YDL075W,Non-essential
YGL172W,Essential
YBR268W,Non-essential
YAL033W,Essential
YOR046C,Essential
YPR175W,Essential
YKR084C,Non-essential
YBR133C,Non-essential
YDR462W,Non-essential
YCR057C,Essential
YDR194C,Non-essential
YKL045W,Essential
YFL022C,Essential
YBR189W,Non-essential
YHR164C,Essential
YLR085C,Non-essential
YNL102W,Essential
YDR312W,Non-essential
YPL012W,Essential
YGR094W,Essential
YMR260C,Essential
YPL097W,Non-essential
YJL130C,Non-essential
YBL084C,Essential
YER127W,Essential
YOR261C,Essential
YJL072C,Essential
YNL002C,Essential
YNR003C,Essential
YGL076C,Non-essential
YHR088W,Essential
YGR258C,Non-essential
YOR204W,Essential
YER095W,Non-essential
YPL198W,Non-essential
YJL102W,Non-essential
YOR234C,Non-essential
YGL123W,Essential
YDL126C,Essential
YAL043C,Essential
YOR150W,Non-essential
YMR286W,Non-essential
YER165W,Essential
YNR032C-A,Non-essential
YOL135C,Essential
YKR095W,Non-essential
YOL072W,Non-essential
YLR293C,Essential
YLR340W,Essential
YOR232W,Essential
YER007C-A,Non-essential
YKL144C,Essential
YLL045C,Non-essential
YER029C,Essential
YDL084W,Essential
YDR381W,Essential
YOR340C,Essential
YOR294W,Essential
YKL194C,Non-essential
YLR002C,Essential
YCR046C,Non-essential
YOL006C,Non-essential
YKL014C,Essential
YPR190C,Essential
YNR054C,Essential
YDR228C,Essential
YOR259C,Essential
YMR001C,Essential
YNL004W,Non-essential
YGR246C,Essential
YFL036W,Non-essential
YML065W,Essential
YEL056W,Non-essential
YMR024W,Non-essential
YER148W,Essential
YBL072C,Non-essential
YDL043C,Essential
YNL096C,Non-essential
YBR198C,Essential
YOL038W,Essential
YCR012W,Essential
YPR024W,Non-essential
YGL241W,Non-essential
YHR143W-A,Essential
YEL050C,Non-essential
YDL116W,Non-essential
YLR419W,Non-essential
YPR086W,Essential
YBR034C,Non-essential
YNR037C,Non-essential
YKL170W,Non-essential
YDR120C,Non-essential
YLR060W,Essential
YGR188C,Non-essential
YGL068W,Essential
YMR089C,Non-essential
YDL074C,Non-essential
YDL164C,Essential
YFL039C,Essential
YCR003W,Non-essential
YKL099C,Essential
YBR146W,Non-essential
YPR072W,Non-essential
YER087W,Non-essential
YBL099W,Non-essential
YKL082C,Essential
YIL061C,Essential
YPR016C,Essential
YHL001W,Non-essential
YFR037C,Essential
YCR031C,Non-essential
YLR234W,Non-essential
YOR117W,Essential
YGR002C,Essential
YDR527W,Essential
YPR033C,Essential
YBR267W,Non-essential
YJL136C,Non-essential
YKR082W,Non-essential
YGR158C,Essential
YCR093W,Essential
YDL083C,Non-essential
YER112W,Essential
YNL256W,Essential
YLR116W,Essential
YHR019C,Essential
YBR119W,Non-essential
YPL228W,Essential
YDR175C,Non-essential
YNL088W,Essential
YLL004W,Essential
YBR245C,Non-essential
YPR166C,Non-essential
YPL151C,Essential
YFR031C,Essential
YLR442C,Non-essential
YNL248C,Non-essential
YLR406C,Non-essential
YGL122C,Essential
YJL125C,Essential
YHR197W,Essential
YBR061C,Non-essential
YLR441C,Non-essential
YHL011C,Non-essential
YBL091C,Non-essential
YJR050W,Non-essential
YNL273W,Non-essential
YLR005W,Essential
YAL025C,Essential
YNL062C,Essential
YFR004W,Essential
YJL124C,Non-essential
YIL022W,Essential
YPL119C,Non-essential
YNL306W,Essential
YGR195W,Essential
YDR180W,Essential
YKL081W,Non-essential
YDR325W,Essential
YER168C,Essential
YOR272W,Essential
YDR473C,Essential
YGL130W,Essential
YPL169C,Essential
YIL026C,Essential
YBR031W,Non-essential
YKR060W,Non-essential
YDL136W,Non-essential
YOR027W,Non-essential
YGL043W,Non-essential
YDR045C,Essential
YPL237W,Essential
YPR112C,Essential
YGR210C,Non-essential
YJR045C,Essential
YDR041W,Essential
YNL232W,Essential
YNR011C,Essential
YGR214W,Non-essential
YGL150C,Essential
YDL108W,Essential
YNL163C,Essential
YCR035C,Essential
YJL203W,Essential
YNL185C,Non-essential
YGR074W,Essential
YMR309C,Essential
YOR061W,Non-essential
YMR235C,Essential
YNL014W,Non-essential
YNL112W,Essential
YDL064W,Essential
YMR049C,Essential
YBR236C,Essential
YGL234W,Non-essential
YOL022C,Essential
YLR048W,Non-essential
YOL094C,Essential
YHL015W,Essential
YNL001W,Non-essential
YER025W,Essential
YBL087C,Non-essential
YDR404C,Essential
YOR185C,Non-essential
YKL012W,Essential
YJL191W,Non-essential
YBR048W,Non-essential
YDL166C,Essential
YBR091C,Essential
YJL039C,Essential
YPR041W,Essential
YNL061W,Essential
YOR194C,Essential
YLR074C,Non-essential
YNL302C,Non-essential
YDL082W,Non-essential
YNR017W,Essential
YOR253W,Non-essential
YLR016C,Non-essential
YPR163C,Non-essential
YGL171W,Essential
YLR367W,Non-essential
YNL075W,Essential
YPR094W,Essential
YGL111W,Essential
YOR096W,Non-essential
YJL194W,Essential
YGR276C,Non-essential
YER070W,Non-essential
YKL057C,Non-essential
YBR118W,Non-essential
YBL068W,Non-essential
YLR275W,Essential
YER013W,Essential
YMR227C,Essential
YLR449W,Non-essential
YKR085C,Non-essential
YDR002W,Essential
YIL091C,Essential
YGR063C,Non-essential
YIR009W,Non-essential
YGR132C,Non-essential
YAL035W,Non-essential
YHR021C,Non-essential
YGR270W,Non-essential
YDR159W,Non-essential
YOR156C,Non-essential
YMR158W,Non-essential
YGL135W,Non-essential
YJL069C,Essential
YOR091W,Non-essential
YER006W,Essential
YKL156W,Non-essential
YHR064C,Non-essential
YAL003W,Essential
YBR227C,Non-essential
YPL063W,Essential
YFL037W,Essential
YDL097C,Essential
YOR095C,Essential
YOR319W,Essential
YLR022C,Essential
YIL066C,Non-essential
YBR135W,Essential
YHR168W,Non-essential
YJL081C,Essential
YJL140W,Non-essential
YGL003C,Non-essential
YNL064C,Non-essential
YDL087C,Essential
YNL261W,Essential
YIR012W,Essential
YMR287C,Non-essential
YDR496C,Non-essential
YMR186W,Non-essential
YMR236W,Essential
YOR369C,Non-essential
YBL041W,Essential
YJR119C,Non-essential
YKL049C,Essential
YLR305C,Essential
YKL068W,Non-essential
YLR243W,Essential
YJL176C,Non-essential
YPL146C,Essential
YOL040C,Essential
