"","external_gene_name","description","count","counts_when_betweeness_0","counts_when_centrality_0","counts_when_citation_0","counts_when_druggability_0","counts_when_num_drug_pockets_0","counts_when_cryptic_pockets_0","counts_when_num_cryp_pockets_0"
"1","H2BC13","H2B clustered histone 13",4807,832,809,880,1075,942,672,0
"2","H2BC6","H2B clustered histone 6",3356,704,823,746,802,670,626,0
"3","NR5A2","nuclear receptor subfamily 5 group A member 2",3247,1177,1332,1224,1107,1076,998,0
"4","ORC1","origin recognition complex subunit 1",3135,1315,1538,1353,1303,1084,1079,77
"5","SPTBN2","spectrin beta, non-erythrocytic 2",3109,904,1071,521,1102,989,715,72
"6","WDR62","WD repeat domain 62",2742,798,820,846,944,800,592,0
"7","H2BC7","H2B clustered histone 7",2501,718,875,722,413,525,512,0
"8","H2BC15","H2B clustered histone 15",2255,314,342,178,384,265,195,0
"9","UBE2S","ubiquitin conjugating enzyme E2 S",2071,744,918,207,743,501,450,48
"10","PCDHGA5","protocadherin gamma subfamily A, 5",2042,460,365,512,168,283,361,0
"11","CLSPN","claspin",1991,108,86,132,116,100,0,0
"12","H2BC10","H2B clustered histone 10",1951,30,30,15,9,24,0,0
"13","CDK1","cyclin dependent kinase 1",1869,38,50,21,44,34,0,3
"14","KIF14","kinesin family member 14",1832,135,162,201,154,200,0,291
"15","MUC17","mucin 17, cell surface associated",1743,16,22,33,31,21,0,30
"16","JAG2","jagged canonical Notch ligand 2",1612,239,266,336,183,202,0,437
"17","CENPE","centromere protein E",1589,80,80,82,110,95,0,168
"18","HMMR","hyaluronan mediated motility receptor",1424,140,164,192,32,161,0,217
"19","H2BC14","H2B clustered histone 14",1402,20,25,5,31,21,0,31
"20","PCDHGB1","protocadherin gamma subfamily B, 1",1402,19,21,31,12,26,0,31
"21","H2BC8","H2B clustered histone 8",1395,7,5,11,11,7,0,11
"22","ASPM","assembly factor for spindle microtubules",1288,24,29,31,45,5,0,44
"23","CCNA2","cyclin A2",1138,24,2,27,40,36,0,40
"24","H2BC3","H2B clustered histone 3",1090,64,81,91,96,0,0,102
"25","ABCA2","ATP binding cassette subfamily A member 2",1073,735,942,847,440,76,488,803
"26","H2BC4","H2B clustered histone 4",947,604,692,775,330,85,260,769
"27","RARA","retinoic acid receptor alpha",934,1966,1204,1482,1712,1911,1672,2303
"28","BUB1B","BUB1 mitotic checkpoint serine/threonine kinase B",795,319,376,414,90,103,25,437
"29","ABCC2","ATP binding cassette subfamily C member 2",788,56,72,69,43,0,31,0
"30","H2AC14","H2A clustered histone 14",755,748,913,765,572,14,818,856
"31","H2BC17","H2B clustered histone 17",749,131,58,152,89,0,2,101
"32","H2BC18","H2B clustered histone 18",652,343,399,434,285,0,477,395
"33","DNAH3","dynein axonemal heavy chain 3",628,3,3,1,3,0,0,0
"34","FZD7","frizzled class receptor 7",620,76,100,108,71,0,65,99
