"","gene","count","counts_when_betweeness_0","counts_when_centrality_0","counts_when_citation_0","counts_when_druggability_0"
"H2BC10","H2BC10",257,2,4,2,0
"H2BC7","H2BC7",257,1,1,1,0
"H2BC6","H2BC6",233,60,29,34,40
"H2BC17","H2BC17",222,61,48,48,49
"H2BC13","H2BC13",187,61,61,61,62
"H2BC8","H2BC8",161,61,61,61,62
"H2BC15","H2BC15",153,58,27,26,22
"CENPI","CENPI",141,17,0,24,3
"PHF19","PHF19",137,60,20,24,31
"H2BC14","H2BC14",111,1,0,1,0
"ORC1","ORC1",88,21,1,41,11
"H2AC8","H2AC8",77,34,25,1,4
"NR5A2","NR5A2",73,43,8,6,5
"UBE2S","UBE2S",72,51,7,17,23
"H2BC4","H2BC4",67,1,31,44,39
"H2BC3","H2BC3",62,16,4,5,37
"CCNA2","CCNA2",52,41,61,40,51
"H2AC14","H2AC14",48,5,5,0,0
"RARA","RARA",34,1,0,0,1
"H2BC18","H2BC18",26,9,16,0,6
"H3C13","H3C13",23,2,3,0,1
"WDR76","WDR76",21,3,6,0,6
"PLK1","PLK1",12,0,41,45,32
"NOTCH1","NOTCH1",11,0,10,4,0
"ABCA2","ABCA2",10,0,5,12,0
"H3C12","H3C12",8,0,0,7,7
"CDK1","CDK1",7,0,24,15,41
"H2BC12","H2BC12",6,0,1,0,1
"MUC17","MUC17",4,0,31,32,22
"H3C10","H3C10",3,0,18,4,0
"CENPE","CENPE",1,0,10,0,19
"CD9","CD9",1,0,18,22,16
"H3C1","H3C1",1,0,25,24,26
"H2AC21","H2AC21",1,0,6,9,3
