"","ensembl_gene_id","external_gene_name"
"1","ENSG00000003249","DBNDD1"
"2","ENSG00000006118","TMEM132A"
"3","ENSG00000006210","CX3CL1"
"4","ENSG00000007174","DNAH9"
"5","ENSG00000007306","CEACAM7"
"6","ENSG00000007516","BAIAP3"
"7","ENSG00000007968","E2F2"
"8","ENSG00000008300","CELSR3"
"9","ENSG00000008517","IL32"
"10","ENSG00000009950","MLXIPL"
"11","ENSG00000010278","CD9"
"12","ENSG00000011347","SYT7"
"13","ENSG00000011426","ANLN"
"14","ENSG00000012048","BRCA1"
"15","ENSG00000012779","ALOX5"
"16","ENSG00000013810","TACC3"
"17","ENSG00000016490","CLCA1"
"18","ENSG00000020633","RUNX3"
"19","ENSG00000023839","ABCC2"
"20","ENSG00000024526","DEPDC1"
"21","ENSG00000029993","HMGB3"
"22","ENSG00000035499","DEPDC1B"
"23","ENSG00000040608","RTN4R"
"24","ENSG00000047457","CP"
"25","ENSG00000049769","PPP1R3F"
"26","ENSG00000051180","RAD51"
"27","ENSG00000051341","POLQ"
"28","ENSG00000051523","CYBA"
"29","ENSG00000054967","RELT"
"30","ENSG00000055118","KCNH2"
"31","ENSG00000056736","IL17RB"
"32","ENSG00000061656","SPAG4"
"33","ENSG00000062038","CDH3"
"34","ENSG00000062822","POLD1"
"35","ENSG00000063660","GPC1"
"36","ENSG00000064787","BCAS1"
"37","ENSG00000065268","WDR18"
"38","ENSG00000065328","MCM10"
"39","ENSG00000066279","ASPM"
"40","ENSG00000068078","FGFR3"
"41","ENSG00000068489","PRR11"
"42","ENSG00000069011","PITX1"
"43","ENSG00000069122","ADGRF5"
"44","ENSG00000069849","ATP1B3"
"45","ENSG00000069974","RAB27A"
"46","ENSG00000070019","GUCY2C"
"47","ENSG00000071539","TRIP13"
"48","ENSG00000072571","HMMR"
"49","ENSG00000072657","TRHDE"
"50","ENSG00000073111","MCM2"
"51","ENSG00000073756","PTGS2"
"52","ENSG00000074800","ENO1"
"53","ENSG00000075218","GTSE1"
"54","ENSG00000075702","WDR62"
"55","ENSG00000076003","MCM6"
"56","ENSG00000076382","SPAG5"
"57","ENSG00000077063","CTTNBP2"
"58","ENSG00000077152","UBE2T"
