gene_id,citation_score
ABCC2,244
CITED4,2
CENPM,0
FBLN1,0
EME1,3
CBX2,3
SLC1A1,9
PRAME,19
PLXNA4,1
KIF4A,2
ESPN,2
ISYNA1,0
SLC7A5,64
ITGA7,4
TMOD1,0
ALOX5,32
UBE2S,1
SLC9A3R1,17
GINS4,0
ORC1,2
E2F1,129
KIF11,86
MAD2L1,11
RCOR2,1
PITPNM1,1
CDCA8,4
FZD7,15
NEIL3,1
CENPE,12
FBXL6,0
RAD54L,5
TPD52L1,2
KIF24,0
FABP1,12
SEMA6A,2
CCNE1,41
SPC25,1
PBK,24
BCL6,368
RECQL4,9
CAP2,3
CCNB2,8
OBSCN,1
TTYH3,1
PFKFB4,4
UBE2C,12
LMNB2,1
SLC2A1,100
NUP210,2
TPX2,16
CLDN3,13
ESPL1,2
NCAPG,3
KIF20B,3
PDZK1,5
SKA3,4
DNM1,2
ALDH1A2,12
E2F8,1
CD9,44
ESCO2,1
TGM2,10
ID1,42
FBXL19,0
ATP1A1,9
JUP,2
PSMD3,1
CKS2,3
TOP2A,157
PLK4,21
ITGB8,0
ANPEP,6
PRC1,20
PSAT1,3
CDC45,7
CCNA2,23
AURKA,260
PDLIM4,0
SPTBN2,1
DNAH3,0
MCM10,4
PDLIM7,3
DACH1,4
RAD51AP1,3
UHRF1,27
CENPF,14
PLK1,273
BUB1,22
GINS2,1
UBE2T,2
CDT1,11
FANCA,22
MYB,75
E2F2,9
CDC7,24
GAPDH,145
FGFR3,179
CHAF1B,0
ASF1B,2
GRB7,16
MED1,70
ASPM,19
LGR5,36
KIF14,3
FAM83D,1
PHLDA1,2
MDK,47
CHTF18,0
KIF18B,2
PLOD2,3
CDC6,10
RTKN,1
SLC3A1,3
PTGS1,184
ERBB2,7957
SLC27A2,0
CDC25C,80
NCAPH,1
LMNB1,9
KIFC1,6
ICAM1,949
TACC3,29
WDR62,0
MZT2A,0
NDC80,11
SKA1,1
VAV3,7
EPHB2,13
BOP1,1
CDCA5,3
CDC20,28
TNFRSF19,5
EXO1,9
ZNF219,0
KIF2C,5
ABCA2,8
LAMA5,2
KPNA2,9
CDH3,3
BCAM,6
KIF20A,8
FGFR4,79
SHCBP1,0
DLGAP5,1
NRARP,0
DPP4,875
CDH24,0
BUB1B,7
E2F7,3
PTGS2,2764
CHEK1,216
CCNB1,63
CLDN2,6
MCM4,4
IGSF8,0
NR5A2,11
CPM,398
INTS1,0
ATP1B3,1
ABCD1,18
RAC3,19
TRIP13,4
RRM2,50
PPFIA3,0
CYBA,19
PAFAH1B3,1
DTL,28
SPTBN5,1
CLDN7,0
CEBPD,8
FAP,284
FBLN2,0
KIF15,2
GPI,923
PDE3A,23
DNA2,9
SPAG5,6
HMMR,9
NRCAM,3
NUF2,4
IQGAP3,0
MCM2,24
RACGAP1,5
BLM,253
ADH6,1
RUNX3,29
ENO1,15
TEAD4,10
BRAT1,0
HSPB1,53
ATAD2,19
TTK,115
CEP55,2
RARA,187
CCNE2,8
RTN4R,5
KRT15,3
CENPI,0
WDR76,0
CDC25A,60
ANLN,3
CENPH,1
DSCC1,0
S100A4,37
MIF,164
PHF19,1
CDKN3,11
TRAIP,1
JAG2,3
CIT,345
KIF18A,4
SPRY1,1
PIF1,6
RAD51,200
HOXA10,8
KIF1A,1
MTTP,69
CENPK,0
POLQ,7
MZT2B,0
MLXIPL,4
CENPW,0
CCNJL,0
POLD1,7
ERCC6L,0
KIF23,1
MCM6,5
SPSB1,2
PFKFB3,32
HKDC1,0
CLDN4,26
STIL,32
IRF5,13
DBN1,0
CDK1,298
ARPC1B,1
NUSAP1,4
TONSL,2
MUC17,3
GUCY2C,14
ORC6,0
RPL19,1
GINS1,4
MELK,39
DNAH7,1
PKMYT1,13
GLRX,1
NOTCH1,267
ID2,34
GPC1,3
RAB11FIP3,0
NOS3,219
CCNF,1
CENPA,6
PCK1,8
AURKB,112
ABCC4,77
PTTG1,11
MYBL2,8
PODXL,14
SPC24,0
S100A9,52
RPL39L,0
ZNRF3,3
FANCB,2
XRCC2,9
HMGA1,10
SLC1A5,33
CLSPN,3
NEK2,25
GABRE,6
FOXM1,109
WDR18,0
OIP5,1
USP44,0
LDHA,66
