gene_id,citation_score
CDC25C,1460
FBLN1,148
ZNRF3,159
RTN4R,339
PITX1,479
BCAM,423
CHTF18,19
SLC2A1,3559
CENPE,436
TRIP13,195
CENPK,50
FZD7,386
H2BC4,0
LMNB2,73
TMOD1,153
DNAH9,74
ERBB2,36829
H2BC21,2
CDKN3,184
CCNE2,307
CENPF,385
XRCC2,428
GLA,12784
LDHA,2214
DNA2,599
RAD51AP1,94
PPFIA3,8
FANCA,687
SHCBP1,64
CDCA8,204
RECQL4,333
GRB7,309
SLC7A5,853
SEMA6A,133
H2AC16,0
H2AC4,0
HMMR,249
CLDN7,302
CD9,2701
PDE3A,369
RPL19,131
CDH24,8
EME1,191
CDK1,5952
H2AC12,0
PFKFB3,653
MCM10,230
ERCC6L,62
DNM1,259
CDC25A,1238
ORC6,101
NRARP,46
H4C1,1
H2BC8,1
PDZK1,290
E2F1,5115
UHRF1,695
DSCC1,20
IGSF8,48
RTKN,69
FGFR4,1190
DNAH3,16
BAMBI,571
H3C12,0
JAG2,318
CHEK1,2096
KRT23,47
ABCA2,138
PCLAF,103
CLDN2,412
BRAT1,53
NHERF1,466
IGFBP3,8133
CLSPN,151
GINS2,85
GAPDH,8498
H1-5,137
CENPI,68
FBLN2,73
BLM,5410
GINS1,67
OIP5,270
CCNB2,453
RAC3,299
PCDHGB1,2
RACGAP1,171
S100A4,1705
FGFR3,3412
HMGA1,1299
CEP55,273
BUB1B,471
TOP2A,1326
DEPDC1,91
TONSL,54
MYBL2,477
SPAG5,126
DTL,625
STIL,468
PTGS1,3038
MELK,658
PRC1,1521
CDC45,594
KIF15,153
S100A9,2187
PCDHGA4,4
GPI,20915
CENPW,60
KHDRBS3,63
SKA3,97
EPHB2,843
SKA1,114
ANLN,227
FAM83D,57
SPINDOC,8
DBN1,47
CKS2,168
FANCB,86
H3C1,5
MCM2,1556
KRT15,229
PDLIM4,70
PFKFB4,139
KIF20A,300
PKMYT1,107
KIF23,207
CCNF,183
H2BC17,0
SPTBN5,17
H3C13,1
ITGA7,230
KIF2C,295
TEAD4,380
H2BC10,0
IL32,623
NRCAM,323
KIF18A,143
ESPN,202
NDC80,592
H2BC12,2
JUP,483
H2BC18,0
CHAF1B,92
NEIL3,151
KIF18B,74
DPP4,5879
ATAD2,166
RRM2,904
CCNA2,778
PCDHGB2,2
POLQ,184
H2BC14,1
MAD2L1,680
NUSAP1,179
CDC6,1059
PBK,779
EXO1,922
TNFRSF19,117
CYBA,1043
MUC17,99
CCNB1,2282
NUF2,201
H2AC13,1
CDT1,655
H2BC7,0
SPTBN2,97
SPAG4,51
H2BC15,0
H2AC15,0
MCM4,448
RARA,4395
TTK,2042
KIF4A,225
GINS4,36
DEPDC1B,54
USP44,60
TRIB3,510
MRPL12,36
UBE2C,434
TGM2,588
MTTP,429
LGR5,2019
SPRY1,315
KPNA2,312
NEK2,489
ABCD1,668
PHLDA1,193
SLC19A3,179
KIF20B,56
H4C4,19
ICAM1,31115
SLC1A5,530
MED1,1102
H3C11,1
ENO1,866
H1-3,151
CLDN15,36
SLC3A1,276
CIT,8626
ORC1,375
DNAH7,21
TACC3,369
WDR18,14
MCM6,380
E2F2,639
POLD1,318
ASPM,510
ATP1A1,567
ABCC4,841
DLGAP5,180
SLC27A2,78
NCAPH,71
RARRES1,100
RAD54L,180
E2F8,151
CDCA5,156
RUNX3,1559
PHF19,69
PARVB,81
H2AX,7213
PODXL,211
A4GALT,69
SGO1,254
H1-10,41
PLK1,2967
TPX2,682
GGT1,177
H3C10,0
MDK,948
H4C13,0
PIF1,475
RPL39L,19
H2BC11,1
PTGS2,41091
PCDHGA5,0
FABP1,893
PLK4,483
H2BC6,0
H2BC13,0
HEPH,201
MUC16,1348
ABCC2,2201
ESPL1,146
KIF14,163
PLXNA4,106
XPR1,176
FBXL19,64
H2AC8,1
NOTCH1,9053
H2AC14,0
LMNB1,199
H2BC3,2
CENPM,49
CBX2,189
ATP1B3,51
AURKA,2465
CENPA,1087
CLDN3,485
KIF11,818
KIF1A,351
LAMA5,154
BUB1,1283
H2AC21,0
ASF1B,113
BOP1,120
BCL6,4213
TRAIP,59
GPC1,264
FOXM1,2249
UBE2T,146
WDR76,21
WDR62,124
E2F7,223
PDLIM7,174
CDC20,1649
MZT2A,5
CDH3,264
IQGAP3,85
ITGB8,131
AURKB,1367
TK1,777
MME,2260
MZT2B,3
H2AC11,1
RAD51,5826
CLDN4,625
NCAPG,252
SPC24,79
PRAME,548
KIFC1,186
PTTG1,437
ANPEP,188
UBE2S,116
CDC7,657
C4B,3350
NR5A2,563
SPC25,106
CCNE1,1060
CENPH,90
