"","external_gene_name","uniprot_gn_id","ID","cluster","betweenness","degree_centrality","pocket","druggability","num_drug_pockets","struct_score","logFC","regulation","citation_score"
"1","MUC17","Q685J3","Q685J3-F12",3,0,1,0.13,1,3,55.2405705081575,2.93209621105159,"up_reg",99
"2","MUC17","Q685J3","Q685J3-F5",3,0,1,0.317,1,7,50.3874125077656,2.93209621105159,"up_reg",99
"3","MUC17","Q685J3","Q685J3-F3",3,0,1,0.321,1,5,57.0481037344398,2.93209621105159,"up_reg",99
"4","MUC17","Q685J3","Q685J3-F2",3,0,1,0.338,0.999,8,53.7420016594068,2.93209621105159,"up_reg",99
"5","MUC17","Q685J3","Q685J3-F10",3,0,1,0.303,0.998,8,57.3136964859542,2.93209621105159,"up_reg",99
"6","MUC17","Q685J3","Q685J3-F11",3,0,1,0.223,0.998,4,55.8011703011423,2.93209621105159,"up_reg",99
"7","MUC17","Q685J3","Q685J3-F13",3,0,1,0.184,0.998,9,52.1710827629123,2.93209621105159,"up_reg",99
"8","CENPE","Q02224","Q02224-F6",2,0,1,0.135,0.997,5,72.5524854202401,1.26951602554695,"up_reg",436
"9","MUC17","Q685J3","Q685J3-F7",3,0,1,0.253,0.996,7,51.4707361010457,2.93209621105159,"up_reg",99
"10","MUC17","Q685J3","Q685J3-F1",3,0,1,0.162,0.996,6,51.8669174632542,2.93209621105159,"up_reg",99
"11","CD9","P21926","P21926-F1",3,194,6,0.063,0.994,1,88.1191475042064,1.19763020928596,"up_reg",2701
"12","MELK","Q14680","Q14680-F1",2,0,1,0.159,0.993,1,70.6437161388783,1.75287709769629,"up_reg",658
"13","MUC17","Q685J3","Q685J3-F6",3,0,1,0.273,0.993,5,57.7093163011998,2.93209621105159,"up_reg",99
"14","MUC17","Q685J3","Q685J3-F17",3,0,1,0.018,0.993,2,52.4057740764467,2.93209621105159,"up_reg",99
"15","XPR1","Q9UBH6","Q9UBH6-F1",2,0,1,0.207,0.993,3,83.7337209705373,1.31562712118993,"up_reg",176
"16","KIF11","P52732","P52732-F1",2,293,4,0.141,0.991,1,74.7686384864088,1.23577300099621,"up_reg",818
"17","PTGS2","P35354","P35354-F1",2,256,2,0.262,0.987,1,93.3276978417266,2.32862698059374,"up_reg",41091
"18","TEAD4","Q15561","Q15561-F1",2,0,1,0.243,0.986,2,76.5831209630065,1.5950209164224,"up_reg",380
"19","FABP1","P07148","P07148-F1",2,0,1,-0.023,0.981,1,94.9501004016064,7.46207811851609,"up_reg",893
"20","ABCA2","Q9BZC7","Q9BZC7-F1",2,3146,2,0.258,0.976,5,72.3389071383449,1.25859054539232,"up_reg",138
"21","PRC1","O43663","O43663-F1",2,0,1,0.226,0.975,2,80.1142706257473,1.45568791902902,"up_reg",1521
"22","SPAG4","Q9NPE6","Q9NPE6-F1",2,0,1,0.378,0.975,1,71.5642399294325,1.51783508097878,"up_reg",51
"23","KIF20B","Q96Q89","Q96Q89-F1",2,0,2,0.232,0.971,4,63.7483354768835,1.01850773070468,"up_reg",56
"24","H2BC10","P62807","P62807-F1",2,5961,14,0.291,0.965,1,87.8297338792221,1.19742086017872,"up_reg",0
"25","H2BC4","P62807","P62807-F1",2,386,9,0.291,0.965,1,87.8297338792221,1.12067620338952,"up_reg",0
"26","H2BC6","P62807","P62807-F1",2,3612,15,0.291,0.965,1,87.8297338792221,1.51120168645001,"up_reg",0
"27","H2BC7","P62807","P62807-F1",2,5693,14,0.291,0.965,1,87.8297338792221,1.6482629514824,"up_reg",0
"28","H2BC8","P62807","P62807-F1",2,1806,14,0.291,0.965,1,87.8297338792221,1.31323291724831,"up_reg",1
"29","CENPE","Q02224","Q02224-F2",2,0,1,0.126,0.96,2,70.7644444444445,1.26951602554695,"up_reg",436
"30","DNAH3","Q8TD57","Q8TD57-F4",7,0,1,0.164,0.96,4,85.6663929332386,2.30179516810229,"up_reg",16
"31","RARA","P10276","P10276-F1",2,1096,15,0.362,0.958,1,79.418920518602,1.48948861862522,"up_reg",4395
"32","CYBA","P13498","P13498-F1",2,1015,3,0.48,0.957,1,77.0298854447439,1.27298668433821,"up_reg",1043
"33","H2BC17","P23527","P23527-F1",2,6202,10,0.371,0.957,2,88.0009928352098,1.84228775339242,"up_reg",0
"34","TTK","P33981","P33981-F1",2,256,3,0.087,0.956,1,63.954351783879,1.45403650581907,"up_reg",2042
"35","SLC19A3","Q9BZV2","Q9BZV2-F1",3,0,1,0.137,0.955,2,82.1684011184545,3.20388762735079,"up_reg",179
"36","FZD7","O75084","O75084-F1",2,511,3,0.435,0.953,3,84.1490576150067,1.54686289420718,"up_reg",386
"37","PLK1","P53350","P53350-F1",2,3740,10,0.175,0.953,2,85.1698896752706,1.60064405687355,"up_reg",2967
"38","IL32","P24001","P24001-F1",2,0,1,0.099,0.95,2,71.1900160599572,1.53999190076225,"up_reg",623
"39","ASPM","Q8IZT6","Q8IZT6-F10",2,741,4,0.434,0.949,4,62.6404820392025,1.47551523673316,"up_reg",510
"40","CENPE","Q02224","Q02224-F3",2,0,1,0.416,0.949,1,70.8415997235899,1.26951602554695,"up_reg",436
"41","LAMA5","O15230","O15230-F12",5,3,2,0.086,0.946,2,79.2431394807853,2.19606214167148,"up_reg",154
"42","PDE3A","Q14432","Q14432-F1",2,0,1,0.272,0.945,3,61.4864284900285,1.81425732412606,"up_reg",369
"43","H2BC13","Q99880","Q99880-F1",2,926,19,0.414,0.944,2,87.4487040816327,1.72183355257125,"up_reg",0
"44","PTGS1","P23219","P23219-F1",2,0,1,0.142,0.943,1,94.1155716054478,1.69000702753312,"up_reg",3038
"45","SPTBN5","Q9NRC6","Q9NRC6-F9",2,0,1,0.088,0.942,1,80.5840741069054,1.85874495571891,"up_reg",17
"46","DNAH3","Q8TD57","Q8TD57-F14",7,0,1,0.099,0.941,1,85.2511541897445,2.30179516810229,"up_reg",16
"47","H2BC3","P33778","P33778-F1",2,590,12,0.423,0.941,2,87.6427142857143,1.42720846777323,"up_reg",2
"48","FBLN2","P98095","P98095-F1",8,0,1,0.228,0.938,1,67.6160731319555,2.42906566945165,"up_reg",73
"49","H2BC12","O60814","O60814-F1",2,21,10,0.241,0.937,1,88.0577868852459,1.1262710491504,"up_reg",2
"50","RAC3","P60763","P60763-F1",2,2502,5,0.341,0.937,1,93.8337150466045,1.21074016440356,"up_reg",299
"51","NR5A2","O00482","O00482-F1",2,3092,15,0.203,0.936,2,72.8614365541327,1.94220842611759,"up_reg",563
"52","H2BC15","Q99877","Q99877-F1",2,0,17,0.313,0.935,1,87.691308793456,1.13153950869111,"up_reg",0
"53","DNAH9","Q9NYC9","Q9NYC9-F12",2,0,1,0.087,0.93,2,85.7943238180196,3.10971793258756,"up_reg",74
"54","DNAH9","Q9NYC9","Q9NYC9-F13",2,0,1,0.158,0.928,1,84.3100259136806,3.10971793258756,"up_reg",74
"55","ASPM","Q8IZT6","Q8IZT6-F7",2,741,4,0.335,0.927,1,64.3894747828991,1.47551523673316,"up_reg",510
"56","CDC45","O75419","O75419-F1",2,256,2,0.323,0.926,1,92.8874267100977,1.48084265049745,"up_reg",594
"57","SLC27A2","O14975","O14975-F1",4,0,1,0.206,0.925,1,92.7394009681323,1.65646389122171,"up_reg",78
"58","CDC6","Q99741","Q99741-F1",2,4,2,0.244,0.922,2,69.8394804010939,3.35463621839279,"up_reg",1059
"59","DNAH7","Q8WXX0","Q8WXX0-F5",7,0,1,0.424,0.921,2,88.3114077237943,1.51206333200623,"up_reg",21
"60","LAMA5","O15230","O15230-F10",5,3,2,0.241,0.919,3,79.9928498342018,2.19606214167148,"up_reg",154
"61","LAMA5","O15230","O15230-F1",5,3,2,0.244,0.918,2,82.4136653161217,2.19606214167148,"up_reg",154
"62","CENPI","Q92674","Q92674-F1",2,8115,10,0.058,0.915,3,72.7981596597415,1.17371338473514,"up_reg",68
"63","CENPF","P49454","P49454-F7",2,0,3,0.122,0.906,1,71.418744961032,1.5414593193871,"up_reg",385
"64","PBK","Q96KB5","Q96KB5-F1",2,0,2,0.152,0.901,1,84.9070023696682,1.60704601509028,"up_reg",779
"65","TOP2A","P11388","P11388-F1",2,2028,9,0.045,0.897,1,76.4083174292472,2.03075419568085,"up_reg",1326
"66","ITGB8","P26012","P26012-F1",5,0,2,0.085,0.896,1,76.4670721097541,1.64761928058,"up_reg",131
"67","HEPH","Q9BQS7","Q9BQS7-F1",6,0,1,0.288,0.895,2,89.662720356483,1.6746848975766,"up_reg",201
"68","H2BC14","Q99879","Q99879-F1",2,1166,15,0.365,0.888,2,86.1224313326551,1.59222070898207,"up_reg",1
"69","SPAG5","Q96R06","Q96R06-F1",2,1036,5,0.223,0.887,2,63.8131142310147,1.53243066388186,"up_reg",126
"70","ANPEP","P15144","P15144-F1",3,76,2,0.232,0.886,1,93.7512643826761,6.65023315236068,"up_reg",188
"71","HMMR","O75330","O75330-F1",2,0,1,0.192,0.886,2,76.1048990670059,1.77891351591794,"up_reg",249
"72","DNAH3","Q8TD57","Q8TD57-F15",7,0,1,0.172,0.885,2,86.9610395148299,2.30179516810229,"up_reg",16
"73","ESPL1","Q14674","Q14674-F1",2,0,1,0.619,0.885,1,75.7783475713937,1.91147888967904,"up_reg",146
"74","ABCD1","P33897","P33897-F1",4,0,1,0.179,0.884,1,81.7340458668492,1.25865756658411,"up_reg",668
"75","CIT","O14578","O14578-F1",2,0,1,0.129,0.882,1,70.152782431933,1.1162148699126,"up_reg",8626
"76","CENPE","Q02224","Q02224-F8",2,0,1,0.191,0.88,2,74.1531594148887,1.26951602554695,"up_reg",436
"77","ABCC2","Q92887","Q92887-F1",3,0,2,0.256,0.879,6,81.4368457086967,1.50530666465772,"up_reg",2201
"78","DNAH3","Q8TD57","Q8TD57-F5",7,0,1,0.312,0.878,4,88.0664393804522,2.30179516810229,"up_reg",16
"79","SPTBN5","Q9NRC6","Q9NRC6-F11",2,0,1,0.288,0.878,4,81.4864283163721,1.85874495571891,"up_reg",17
"80","MTTP","P55157","P55157-F1",2,0,1,0.279,0.871,2,86.9198238327127,3.18448616997346,"up_reg",429
"81","H2BC11","P06899","P06899-F1",2,383,10,0.25,0.87,2,85.698045035824,1.47967758816573,"up_reg",1
"82","KIF15","Q9NS87","Q9NS87-F1",2,58,2,0.241,0.869,1,72.0212966758756,1.3517848202133,"up_reg",153
"83","SLC1A5","Q15758","Q15758-F1",2,2706,2,0.051,0.866,2,79.5913765385582,1.28684740858986,"up_reg",530
