"ensembl_peptide_id","uniprot_id","cluster","betweenness","degree_centrality"
"ENSP00000231706","Q8TBB6","1",12,2
"ENSP00000241261","P50591","1",0,1
"ENSP00000250160","O95388","1",0,1
"ENSP00000265896","Q14534","1",0,1
"ENSP00000276708","Q9BYG8","1",0,1
"ENSP00000295822","Q9GZV4","1",22,2
"ENSP00000302578","Q96KN1","1",44,4
"ENSP00000312150","Q96RU8","1",30,2
"ENSP00000318016","Q12768","1",12,3
"ENSP00000319305","Q7Z3I7","1",50,4
"ENSP00000346080","Q6P5R6","1",0,1
"ENSP00000404854","Q92597","1",12,2
"ENSP00000419298","Q06416","1",0,1
"ENSP00000254624","Q14156","2",7,3
"ENSP00000254627","Q02509","2",0,1
"ENSP00000286355","P40145","2",4,2
"ENSP00000373648","O43525","2",0,1
"ENSP00000484634","Q86X45","2",0,1
"ENSP00000264674","Q03112","3",0,1
"ENSP00000295797","P41743","3",8,2
"ENSP00000337688","Q99442","3",0,2
"ENSP00000348161","Q9UJ42","3",2,2
"ENSP00000391299","Q7Z3H4","3",0,1
"ENSP00000415243","P12757","3",11,4
"ENSP00000420294","Q8NDX5","3",5,2
"ENSP00000325978","Q6UY01","4",6,4
"ENSP00000326240","Q9NPC7","4",0,1
"ENSP00000333037","Q9BYD9","4",0,1
"ENSP00000342188","A6NIV6","4",0,1
"ENSP00000414635","Q8IZ02","4",0,1
