"","external_gene_name","logFC"
"1","MLXIPL",3.87880636181869
"2","CP",3.94791641715218
"3","MCM10",3.14988951386258
"4","GUCY2C",4.8453083327235
"5","HMMR",3.00346605731921
"6","CDH17",3.48659301263227
"7","RIMS1",-3.84867971734663
"8","NDC80",3.12807931337274
"9","FOLH1",4.50363153784477
"10","SI",6.38654894170535
"11","CDC6",5.02037880277827
"12","MYBL2",3.09125888109068
"13","VSIG1",-3.19827892454749
"14","OLFM4",3.30614131886277
"15","SLC7A5",3.11488445792631
"16","ANXA13",4.41162604128811
"17","FSD1L",3.19010598837733
"18","PRUNE2",3.80667218905319
"19","KRT23",7.60868026738393
"20","ALDH3A1",-4.47379205083804
"21","POU2AF1",-3.77777637980708
"22","FHL5",-3.07584278681448
"23","MEP1A",4.57677150840639
"24","AADAC",-4.85646074577786
"25","PADI2",4.53299290341571
"26","CDC20",3.12427768822784
"27","MYB",3.01834651331211
"28","RARRES1",4.12077545805618
"29","KIF18A",3.18561686414788
"30","DEPDC7",3.5976135417403
"31","FABP3",3.47385219431371
"32","SV2C",-3.90584828467585
"33","PCK1",5.60091313231242
"34","HIF3A",3.65495019289914
"35","SCGB2A1",4.79302522063399
"36","KLF2",-3.65764993837586
"37","ALDH1A2",4.37252152895506
"38","KLK10",3.05853051280423
"39","H19",3.42006833111658
"40","TOP2A",3.04743751420142
"41","PPP1R1B",4.20119795977669
"42","JCHAIN",-3.81156336613793
"43","PDZD2",-3.12808269496606
"44","CHL1",-3.03257285132377
"45","VAV3",4.23248775422408
"46","CAPN9",-3.39966778568132
"47","SLC19A3",3.02897864990213
"48","ALPK3",3.10701795218442
"49","IL33",-3.43703993063486
"50","MGARP",-3.10095500593278
"51","MMP7",5.49229331462309
"52","KHK",3.60562787571852
"53","BTBD16",-3.25154664781269
"54","MTTP",4.40888491553117
"55","CYP11A1",-3.07909972903708
"56","PMAIP1",3.25042404912155
"57","GRB7",3.84957795560287
"58","MIEN1",3.61581026485957
"59","PGGHG",3.12677719834019
"60","ABCA12",3.84058243221783
"61","ADGRG7",3.75631502955845
"62","ALDH1L1",3.30224397437554
"63","DCDC2",3.42539536727974
"64","ANO7",-4.48544092167563
"65","CREB5",3.09637420550124
"66","CACNA1C",-3.32687106317659
"67","TMEM163",-3.09173843055352
"68","CYP3A4",3.82644024918557
"69","RECQL4",3.20237524197441
"70","PGAP3",3.0132733936506
"71","ASRGL1",3.99589896961818
"72","LRATD1",3.75641532676638
"73","FABP1",7.97890805705229
"74","FREM1",3.53001396923189
"75","CLDN3",5.61706819082508
"76","DDIAS",3.23971926958008
"77","CDX2",3.49377848655453
"78","SLC18A2",-3.54329490743434
"79","PRAP1",4.08986966733188
"80","NNMT",3.31643858974713
"81","ANPEP",7.47792065583611
"82","CDT1",3.10972954994917
"83","CXCL8",4.25643665260546
"84","MUC17",3.19681875660596
"85","SLC26A5",-3.58262390189924
"86","KCND3",-3.08766509782542
"87","NDNF",-3.00335367314767
"88","PDZK1",3.5973640973094
"89","PIPOX",3.94954486154633
"90","SLC9A4",-5.21112773814844
"91","MUC16",5.73200475074391
"92","RGS6",-3.88957383480016
"93","NEB",4.34956909224736
"94","CHST6",3.41610109918716
"95","LRRC19",4.57702907552865
"96","SAPCD2",3.19884355382391
"97","CYP4X1",3.92434445767398
"98","SPTSSB",-3.58737711623866
"99","MME",3.15730890067024
"100","MMP1",-3.81737127866599
"101","UGT2B15",-3.21668051151818
"102","H2BC26",3.38523378413557
"103","H3C12",3.18780650913192
"104","SERPINA1",3.19798889478519
"105","FAM177B",-4.38154871363623
"106","DPP4",4.41872263135952
"107","SULT1C2",-3.86347790853032
"108","MUC2",3.74864841956978
"109","MIR29B2CHG",-3.03829832810301
"110","IGKC",-3.2798628986596
"111","MUC5AC",-3.27735866084897
"112","RNU6ATAC",3.23846788989934
"113","LHFPL3-AS2",3.05409239985109
"114","LINC00342",-3.13054768048761
"115","PHGR1",3.40138416412098
"116","CPHL1P",-3.24253650365427
"117","GBA3",5.02685617399419
"118","HOXA10",3.71125733090613
"119","SNORD3B-2",5.40639044345492
"120","SPON1",3.63489099465521
"121","RHEX",6.94612029377572
"122","H2BC17",3.04946028102464
"123","PRSS2",-6.50784906424803
"124","H2AC16",3.03205907868279
"125","H2AC4",3.08239288375053
