uniprot_id,struct_score,pocket,druggability,num_drug_pockets
O00116,0.885004370629371,0.565,1,2
O00555,0.628770755398044,0.333,1,7
O60341,0.880755078574166,0.133,1,1
P00395,0.833430275913497,0.08,1,1
P05120,0.811514592933948,0.551,1,1
P14920,0.881970588235294,0.386,1,2
P19099,0.891639989504067,0.1,1,1
P21397,0.886886125335284,0.478,1,1
P27338,0.923504402515723,0.647,1,1
P43007,0.788096392846317,0.094,1,6
P49888,0.926561104344296,0.324,1,1
Q09428,0.717825213056762,0.179,1,3
Q1EHB4,0.755208195637806,0.08,1,3
Q7Z7J7,0.683474341192788,0.532,1,2
Q86V24,0.794286345558992,0.221,1,1
Q9NYQ3,0.848200371057514,0.076,1,1
Q9UNN8,0.861472045293701,0.104,1,1
Q9UPR5,0.66803730017762,0.431,1,2
O60706,0.677397137014315,0.135,0.999,3
P01008,0.805061547479484,0.35,0.999,1
P29017,0.819675799086758,0.13,0.999,2
P35499,0.664445334109768,0.128,0.999,5
P40939,0.818431904503527,0.304,0.999,2
P46095,0.752642156862745,0.268,0.999,1
P49815,0.693458166024748,0.121,0.999,3
P50225,0.926186224489796,0.288,0.999,1
P59541,0.78615763546798,0.085,0.999,2
Q05940,0.706940170940171,0.071,0.999,1
Q14108,0.904637909319899,0.17,0.999,1
Q14524,0.635592605272167,0.096,0.999,5
Q16518,0.9113406133829,0.572,0.999,1
Q5T9L3,0.863803863298663,0.268,0.999,5
Q6VVX0,0.938030867482704,0.314,0.999,1
Q7Z4L5,0.888523329798515,0.375,0.999,1
Q99835,0.743320393374741,0.639,0.999,2
Q9BY41,0.925495432185524,0.542,0.999,1
Q9H244,0.735317394888706,0.086,0.999,1
Q9H461,0.697084597236266,0.088,0.999,1
Q9H9F9,0.583091776958125,0.112,0.999,1
Q9P0X4,0.603501271088514,0.115,0.999,12
Q9Y3I0,0.905631647211414,0.283,0.999,2
Q9Y6N5,0.919770186335404,0.057,0.999,1
A0FGR8,0.839481481481481,0.083,0.998,1
O43497,0.566850912778905,0.146,0.998,9
O60551,0.884625660142902,0.196,0.998,1
O75897,0.893013411567477,0.498,0.998,1
O95373,0.679903097421699,0.168,0.998,7
O95622,0.624233036119087,0.109,0.998,3
P02771,0.883085677474769,0.171,0.998,1
P08686,0.825218586747319,0.201,0.998,1
P0DMM9,0.919272959183673,0.508,0.998,1
P0DMN0,0.919272959183673,0.508,0.998,1
P13584,0.916337809917355,0.057,0.998,1
P13945,0.759416088199265,0.325,0.998,4
P15813,0.842493138151876,0.013,0.998,1
P20815,0.829992076069731,0.104,0.998,2
P25100,0.645680095731951,0.066,0.998,3
P29016,0.844245873648264,0.367,0.998,1
P48739,0.879850475758949,0.369,0.998,1
P50226,0.924885593220339,0.5,0.998,1
Q13635,0.715431240742851,0.098,0.998,2
Q14728,0.920009369144285,0.091,0.998,1
Q15858,0.645205333333333,0.077,0.998,5
Q5GH70,0.72577589023195,0.229,0.998,2
Q7LBE3,0.719286186384666,0.03,0.998,1
Q7Z4H7,0.741027742749054,0.228,0.998,1
Q8TDV5,0.810714285714286,0.123,0.998,1
Q96A54,0.78337224383917,0.144,0.998,1
Q96LT7,0.657475888674566,0.125,0.998,2
Q96PR1,0.686055497925311,0.31,0.998,3
Q99250,0.628320701245634,0.102,0.998,5
Q9H1C4,0.852238070539419,0.071,0.998,2
Q9NY46,0.63651131190977694,0.083,0.998,4
Q9NY59,0.822092833876221,0.17,0.998,1
O00763,0.676492019430951,0.493,0.997,4
O00767,0.876349693251534,0.361,0.997,1
O15229,0.855560283687943,0.067,0.997,1
O15438,0.786820710312366,0.062,0.997,6
P18428,0.814267373709182,0.58,0.997,2
P22059,0.795082116788321,0.136,0.997,3
P23786,0.923656431868352,0.061,0.997,1
P32418,0.693439358318352,0.132,0.997,1
P35367,0.510880129589633,0.236,0.997,1
P54219,0.688190998268898,0.1,0.997,1
Q14204,0.769411604573384,0.692,0.997,4
Q69YN4,0.832305326608439,0.196,0.997,2
Q6QHF9,0.829307530279094,0.154,0.997,1
Q86YC3,0.73288471849866,0.262,0.997,5
Q92911,0.786442100215776,0.087,0.997,1
