uniprot_id,struct_score,hydrophobicity_score,volume_score,alpha_max_dist,pocket,druggability,num_drug_pockets
O00116,0.885004370629371,27.759,3.772,41.554,0.565,1,2
O00555,0.628770755398044,78.421,4.684,32.067,0.333,1,7
O60341,0.880755078574166,37.833,4,41.629,0.133,1,1
P00395,0.833430275913497,48.32,4.227,36.469,0.08,1,1
P05120,0.811514592933948,41.907,4.352,43.285,0.551,1,1
P14920,0.881970588235294,29.153,3.712,40.637,0.386,1,2
P19099,0.891639989504067,50.046,4.846,35.219,0.1,1,1
P21397,0.886886125335284,36.107,3.964,41.955,0.478,1,1
P27338,0.923504402515723,38.878,4.102,31.217,0.647,1,1
P43007,0.788096392846317,50.284,3.657,40.642,0.094,1,6
P49888,0.926561104344296,33.045,4.727,38.46,0.324,1,1
Q09428,0.717825213056762,54.106,4.532,44.874,0.179,1,3
Q1EHB4,0.755208195637806,24.053,3.789,28.454,0.08,1,3
Q7Z7J7,0.683474341192788,57.455,4.273,27.226,0.532,1,2
Q86V24,0.794286345558992,29.872,4.277,32.065,0.221,1,1
Q9NYQ3,0.848200371057514,14.643,4.024,30.498,0.076,1,1
Q9UNN8,0.861472045293701,56.239,4.565,32.366,0.104,1,1
Q9UPR5,0.66803730017762,29.774,3.935,30.101,0.431,1,2
O60706,0.677397137014315,61.481,4.741,25.548,0.135,0.999,3
P01008,0.805061547479484,47.661,4.39,47.442,0.35,0.999,1
P29017,0.819675799086758,62.977,4.558,29.452,0.13,0.999,2
P35499,0.664445334109768,74.525,4.525,26.664,0.128,0.999,5
P40939,0.818431904503527,46.816,3.868,27.62,0.304,0.999,2
P46095,0.752642156862745,51.27,3.946,26.331,0.268,0.999,1
P49815,0.693458166024748,37.784,4.412,35.309,0.121,0.999,3
P50225,0.926186224489796,36.14,4.581,28.432,0.288,0.999,1
P59541,0.78615763546798,39.545,4.121,27.535,0.085,0.999,2
Q05940,0.706940170940171,26.581,4.032,26.131,0.071,0.999,1
Q14108,0.904637909319899,37.617,4.362,33.637,0.17,0.999,1
Q14524,0.635592605272167,52.182,4.788,40.115,0.096,0.999,5
Q16518,0.9113406133829,49.959,4.429,26.106,0.572,0.999,1
Q5T9L3,0.863803863298663,77.409,4.455,24.825,0.268,0.999,5
Q6VVX0,0.938030867482704,48.047,4.234,27.772,0.314,0.999,1
Q7Z4L5,0.888523329798515,21.634,4.61,42.15,0.375,0.999,1
Q99835,0.743320393374741,67.774,4.194,27.091,0.639,0.999,2
Q9BY41,0.925495432185524,47.226,5,26.783,0.542,0.999,1
Q9H244,0.735317394888706,28.149,4.638,31.046,0.086,0.999,1
Q9H461,0.697084597236266,36.756,4.422,27.486,0.088,0.999,1
Q9H9F9,0.583091776958125,16.8,3.6,28.606,0.112,0.999,1
Q9P0X4,0.603501271088514,64.382,4.412,39.094,0.115,0.999,12
Q9Y3I0,0.905631647211414,18.068,3.682,31.785,0.283,0.999,2
Q9Y6N5,0.919770186335404,30.755,4.094,36.648,0.057,0.999,1
A0FGR8,0.839481481481481,78.422,4.933,27.52,0.083,0.998,1
O43497,0.566850912778905,66.457,4.6,31.408,0.146,0.998,9
O60551,0.884625660142902,40.656,4.344,39.703,0.196,0.998,1
O75897,0.893013411567477,40.368,4.868,23.754,0.498,0.998,1
O95373,0.679903097421699,40.224,3.98,29.407,0.168,0.998,7
O95622,0.624233036119087,40.897,4.828,23.071,0.109,0.998,3
P02771,0.883085677474769,42.8,4.067,26.799,0.171,0.998,1
P08686,0.825218586747319,45.974,4.231,34.667,0.201,0.998,1
P0DMM9,0.919272959183673,29.659,4.636,28.049,0.508,0.998,1
P0DMN0,0.919272959183673,29.659,4.636,28.049,0.508,0.998,1
P13584,0.916337809917355,43.568,4.636,22.807,0.057,0.998,1
P13945,0.759416088199265,54.091,4.273,25.506,0.325,0.998,4
P15813,0.842493138151876,58.463,4.426,29.843,0.013,0.998,1
P20815,0.829992076069731,45.306,4.548,33.832,0.104,0.998,2
P25100,0.645680095731951,47,4.235,24.76,0.066,0.998,3
P29016,0.844245873648264,49.677,4.277,30.196,0.367,0.998,1
P48739,0.879850475758949,44.321,4.304,28.31,0.369,0.998,1
P50226,0.924885593220339,37.87,4.652,28.047,0.5,0.998,1
Q13635,0.715431240742851,36.066,4.451,44.219,0.098,0.998,2
Q14728,0.920009369144285,39.608,4.314,31.793,0.091,0.998,1
Q15858,0.645205333333333,64.656,4.393,31.599,0.077,0.998,5
Q5GH70,0.72577589023195,76.065,4.871,24.743,0.229,0.998,2
Q7LBE3,0.719286186384666,51.95,4.2,25.676,0.03,0.998,1
Q7Z4H7,0.741027742749054,64.293,4.805,26.956,0.228,0.998,1
Q8TDV5,0.810714285714286,48.839,4.452,28.562,0.123,0.998,1
Q96A54,0.78337224383917,53.484,4.387,23.686,0.144,0.998,1
Q96LT7,0.657475888674566,18.34,4.298,46.06,0.125,0.998,2
Q96PR1,0.686055497925311,21,4.611,38.386,0.31,0.998,3
Q99250,0.628320701245634,72.786,4.429,26.454,0.102,0.998,5
Q9H1C4,0.852238070539419,58.203,4.627,25.596,0.071,0.998,2
Q9NY46,0.63651131190977694,73.95,4.5,26.444,0.083,0.998,4
Q9NY59,0.822092833876221,41.05,4.225,36.578,0.17,0.998,1
O00763,0.676492019430951,57.59,4.564,21.418,0.493,0.997,4
O00767,0.876349693251534,44.529,4.559,26.896,0.361,0.997,1
O15229,0.855560283687943,39.385,4.615,33.386,0.067,0.997,1
O15438,0.786820710312366,73.25,5.281,26.249,0.062,0.997,6
P18428,0.814267373709182,65.02,4.54,31.409,0.58,0.997,2
P22059,0.795082116788321,41.568,4.189,29.326,0.136,0.997,3
P23786,0.923656431868352,31.517,3.966,38.127,0.061,0.997,1
P32418,0.693439358318352,34.929,3.857,22.575,0.132,0.997,1
P35367,0.510880129589633,59.455,4.636,22.884,0.236,0.997,1
P54219,0.688190998268898,40.018,4.071,31.8,0.1,0.997,1
Q14204,0.769411604573384,11.574,4.265,42.893,0.692,0.997,4
Q69YN4,0.832305326608439,41.5,3.867,29.758,0.196,0.997,2
Q6QHF9,0.829307530279094,33.767,4.082,35.535,0.154,0.997,1
Q86YC3,0.73288471849866,58.639,4.222,24.545,0.262,0.997,5
Q92911,0.786442100215776,28.941,3.735,26.185,0.087,0.997,1
Q969R2,0.805903431521409,45.189,4.243,29.25,0.141,0.997,1
Q9GZN0,0.626170659941152,37.344,3.688,25.121,0.046,0.997,2
Q9H9Y6,0.890403154153709,25.808,4.487,47.747,0.804,0.997,4
Q9HC97,0.874544217687075,40.917,5,32.764,0.29,0.997,2
Q9HD34,0.794688856729378,35,4.286,43.036,-0.009,0.997,1
Q9NYV8,0.763819849874896,48.486,4.297,28.561,0.031,0.997,2
Q9UHI7,0.793062865497076,42.3,4.067,30.73,0.153,0.997,4
O43617,0.837453846153846,74.2,4.68,21.643,0.32,0.996,1
P00414,0.763878702397743,44.071,4.464,29.851,-0.008,0.996,1
P04839,0.853930121527778,41.026,3.974,24.072,-0.003,0.996,4
P21453,0.750599755201958,43.104,4.292,33.892,0.102,0.996,1
P23975,0.897110462505613,36.755,3.837,28.839,0.252,0.996,3
P35498,0.628315789473684,65.817,4.433,28.896,0.082,0.996,5
P46089,0.801102625298329,55.564,4.077,26.886,0.078,0.996,1
Q14534,0.916555146016445,36.897,4.162,39.041,0.208,0.996,1
Q16836,0.89147504456328,40.167,4.214,37.106,0.065,0.996,1
Q5VTY9,0.876719325961032,61.25,4.357,23.734,0.12,0.996,4
Q6P2M8,0.737205169628433,23.552,3.776,39.01,0.087,0.996,2
Q7L0J3,0.733362554790232,30.551,4.286,34.469,0.111,0.996,1
Q8IVF4,0.868717862165963,39.885,4.423,25.622,0.237,0.996,4
Q8NEB9,0.663529158905287,52.268,4.439,24.505,0.107,0.996,4
Q9H3N8,0.670116358658453,33.949,4.641,25.402,0.138,0.996,2
Q9NS75,0.782612958226769,47.119,4.714,32.692,0.124,0.996,2
O14520,0.786089947089947,45.273,4.182,30.46,0.498,0.995,2
O15118,0.724666874221669,35.89,4.297,50.663,0.181,0.995,4
P0C870,0.923179669030733,33.5,4.5,26.33,0.23,0.995,1
P21817,0.694512253602887,24.439,4.659,36.082,0.131,0.995,2
P28223,0.71920598388952806,41.421,4.123,35.086,0.252,0.995,1
P46019,0.735853984575836,24.677,3.935,23.204,0.098,0.995,2
P52566,0.703047318611987,36.258,4.387,28.326,0.225,0.995,2
Q01668,0.651819636241159,64,4.542,23.58,0.126,0.995,8
Q13085,0.708598094170404,52,4.457,20.262,0.245,0.995,5
Q9BZF3,0.792110649184522,23.098,4.373,30.671,0.233,0.995,1
Q9H981,0.820044728434505,12.189,3.595,28.009,0.237,0.995,1
Q9UHC9,0.809022657054583,32.738,3.705,32.96,0.104,0.995,7
Q9UQD0,0.631405516237846,63.919,4.514,27.062,0.118,0.995,5
Q9Y5W5,0.764942402633022,62.953,4.791,25.021,-0.03,0.995,1
Q9Y678,0.614794192486155,34.194,4.333,30.92,0.109,0.995,7
O60774,0.866143424433544,32,3.682,31.443,0.131,0.994,6
O95154,0.90272265625,23.778,4.267,30.873,0.1,0.994,1
P00156,0.71523097374543,38.909,4.386,23.927,0.058,0.994,4
P04040,0.906196655852259,37.529,4.265,21.167,0.121,0.994,1
P30419,0.905295581829496,39.03,4.394,39.583,0.131,0.994,1
P31040,0.873774063888301,27.024,3.317,24.385,0.54,0.994,4
P35368,0.66602766798419,43.8,4.167,24.742,0.249,0.994,3
P51991,0.802522154055896,27.957,4.304,26.084,0.09,0.994,2
P78345,0.63749001711352,49.97,4.909,22.893,0.104,0.994,1
Q14416,0.743219799458857,44.121,4.758,25.439,0.055,0.994,1
Q5GJ75,0.828432288192128,77.455,4.667,20.449,0.178,0.994,1
Q86SK9,0.782482589102827,46.923,4.462,28.962,0.272,0.994,1
Q8NFN8,0.751569664902998,54.791,4.047,26.465,0.147,0.994,1
Q96LT4,0.795175558595531,43.824,4.324,22.597,0.017,0.994,2
Q9H6D3,0.835225254850378,59.75,4.531,25.437,0.324,0.994,4
Q9NXL6,0.755902135798534,36.131,4.426,41.203,0.03,0.994,3
Q9NY33,0.908355046030919,14.305,4.295,46.525,1.392,0.994,2
Q9Y223,0.910885365047902,11.256,4.023,25.779,0.518,0.994,2
Q9Y6K0,0.77418496340652,40.444,3.639,22.278,0.066,0.994,1
P14061,0.858945921173236,32.271,3.833,33.194,0.058,0.993,1
P19793,0.727729709035222,59.893,4.464,19.025,0.416,0.993,1
P28702,0.713047026816945,60.448,4.448,18.937,0.415,0.993,1
P48443,0.705003858024691,60.448,4.448,18.999,0.502,0.993,1
P69891,0.795743362831858,66.586,4.655,19.898,0.031,0.993,1
P69892,0.799911504424779,66.586,4.655,19.896,0.1,0.993,1
P78527,0.702686752836944,12.523,4.154,48.213,0.136,0.993,6
P98164,0.765728347028251,19.5,4.045,25.876,0.254,0.993,5
Q06278,0.905754141238012,25.308,3.564,24.403,0.136,0.993,2
Q13219,0.76770756302521,18.792,4.208,25.829,0.234,0.993,2
Q8TDU9,0.787913921826965,49.522,4.609,26.031,0.171,0.993,3
Q9NRD9,0.811265362225097,45.375,4.3,21.132,0.7,0.993,5
Q9NWC5,0.873487456960157,54.032,4.774,22.205,0.355,0.993,1
O43704,0.951629052113254,36.108,4.919,20.953,0.544,0.992,1
O75908,0.760765904879555,69.5,5.227,20.131,0.128,0.992,4
P08684,0.868249406802004,37.486,4.365,34.084,0.048,0.992,1
P11597,0.894765625,62.178,4.467,26.213,0.075,0.992,2
P19397,0.836782922429345,70.154,4.385,21.866,0.144,0.992,1
P23945,0.765130208333333,50.643,3.893,21.496,0.187,0.992,1
P25929,0.728508033664881,52.941,4.118,20.669,0.269,0.992,3
P42704,0.847895416397676,56.758,5,24.934,0.148,0.992,1
P51580,0.870699039487727,34.37,4.37,25.23,0.102,0.992,1
P59540,0.807501024170422,38.528,4.306,32.464,0.104,0.992,1
Q01118,0.697388669301713,74,4.697,26.35,0.073,0.992,3
Q13093,0.903219772879091,64.2,4.48,21.181,0.104,0.992,1
Q14149,0.782119113573407,18.424,4,24.576,0.227,0.992,1
Q14643,0.667223544788312,62.143,4.5,23.02,0.101,0.992,3
Q86YT5,0.777542471491738,72.333,4.556,19.131,0.126,0.992,2
Q8IZ02,0.899120470733973,30.679,4.5,20.567,0.235,0.992,1
Q8TDF5,0.634412770809578,40.038,4.692,23.5,0.477,0.992,2
Q96EK5,0.609625796178344,34.029,4.206,29.819,0.435,0.992,4
Q9BSA4,0.761095977193538,55.5,3.769,23.037,0.262,0.992,2
Q9NR09,0.604056842974232,31.607,4.5,21.66,0.243,0.992,5
O00391,0.825763717251607,32.774,4.34,30.767,0.058,0.991,1
O94910,0.840179577464789,34.451,4,32.581,0.169,0.991,1
O95342,0.738492487647474,20.405,3.952,27.588,0.336,0.991,6
P05093,0.908361909786336,48.444,3.978,21.78,0.234,0.991,1
P05177,0.842439024390244,49.333,4.333,20.53,0.263,0.991,1
P10586,0.844658967095228,19.05,4.125,30.241,0.108,0.991,3
P15812,0.88016081871345,72.778,4.75,20.043,0.133,0.991,1
P21462,0.797435456110155,49,4.781,29.3,0.057,0.991,2
P22888,0.790147303397482,49,4.172,21.79,0.144,0.991,1
P78363,0.695386898096305,39.25,4.375,31.547,0.117,0.991,2
Q13200,0.516088295687885,31.205,4.023,34.206,0.383,0.991,4
Q13698,0.678875031600236,68.68,4.48,23.785,0.182,0.991,14
Q86WU2,0.925498112111531,17.048,3.19,22.117,0.315,0.991,1
Q8NBN3,0.780807995495496,69.29,4.645,25.944,0.155,0.991,1
Q9Y4A5,0.732754592796181,47.146,4.39,22.075,0.15,0.991,5
O14936,0.799840182648402,24.679,3.643,20.447,0.28,0.99,4
O15160,0.865228352210449,78,5,19.275,0.238,0.99,1
P0DSN6,0.754876644736842,34.2,4,23.976,0.206,0.99,5
P15428,0.889721218378936,27.736,3.679,31.068,0.072,0.99,1
P21554,0.696187196110211,49.2,4.714,20.043,0.272,0.99,2
P29033,0.733493150684931,45.294,4.088,26.072,0.034,0.99,2
P41440,0.773765339718647,48.941,4.735,25.473,0.08,0.99,1
P59542,0.74842663273961,46.816,4.184,22.299,0.149,0.99,2
