gene_id,citation_score
NCAPG,258
KIF1A,354
PDE3A,371
KIF18B,78
PARVB,81
MELK,669
RTKN,70
MCM4,450
AURKB,1380
IGFBP3,8159
H2AC15,0
SPC24,80
KRT15,232
H1-10,41
DEPDC1B,55
RARA,4411
FBXL19,65
H3C13,1
UBE2C,444
SKA1,115
DSCC1,21
CDCA8,210
TACC3,373
CDT1,661
MYBL2,483
CDCA5,158
SPTBN5,17
PLK4,487
CDK1,6002
ESPL1,146
DTL,635
IGSF8,49
MAD2L1,687
GINS4,38
DNA2,607
NDC80,596
NUF2,201
UBE2S,119
DEPDC1,92
ABCD1,675
ASPM,518
ATP1A1,574
WDR62,124
RAD51,5877
PTTG1,440
GRB7,311
DNAH3,16
LGR5,2038
H2AC8,1
KIF4A,229
CHTF18,19
ASF1B,114
RPL39L,19
TEAD4,388
CDC25A,1245
FAM83D,60
NRCAM,325
NEK2,497
RPL19,131
BOP1,122
GINS1,69
SPAG5,127
S100A9,2221
USP44,63
RAD51AP1,101
CDH3,267
RAC3,301
H2AC21,0
SLC27A2,79
LAMA5,155
H1-5,139
CENPE,439
MZT2B,3
SLC7A5,872
TNFRSF19,118
SPINDOC,9
GPC1,268
ABCC2,2209
H2BC13,0
FZD2,255
NRARP,46
PPFIA3,8
BRCA2,14413
WDR76,22
FANCA,697
FOXM1,2285
MTTP,434
SEMA6A,133
POLQ,186
CLDN15,38
NEIL3,153
CLDN7,303
ANLN,232
BCAM,431
TTK,2071
E2F2,642
PSMD3,45
KIF20B,57
RUNX3,1565
PRC1,1534
ITGB8,134
EXO1,931
PRAME,566
CLDN3,487
MCM10,234
UBE2T,149
CLSPN,151
KIF18A,147
PCDHGA5,0
PKMYT1,108
H2AC11,1
PDLIM4,71
CYBA,1045
ANPEP,193
MDK,962
WDR18,14
NHERF1,466
SLC19A3,180
H4C4,19
NUSAP1,186
KIFC1,190
H3C11,1
TPX2,689
TRIP13,205
RECQL4,335
C4B,3359
NR5A2,569
RAD54L,181
CENPM,49
CDC7,661
H2AC14,0
FBLN2,74
EME1,191
E2F1,5151
HMMR,255
SPTBN2,98
H2BC15,0
PCDHGB2,2
CDC25C,1464
H2AC13,1
ENO1,881
MED1,1104
TGM2,595
GINS2,87
XPR1,180
H2BC6,0
CENPI,68
MME,2311
RRM2,923
H2AC16,0
CDC6,1062
PCLAF,103
SGO1,255
PITX1,481
BUB1,1290
SLC3A1,278
OIP5,272
H2AC4,1
JUP,491
RACGAP1,177
PLK1,3003
H2BC18,0
CHEK1,2110
EPHB2,851
JAG2,322
ERBB2,37036
KIF20A,306
MZT2A,5
CCNB1,2303
H2BC10,0
GGT1,180
NCAPH,73
FGFR3,3446
H2AX,7263
H2BC14,1
SPC25,108
KIF14,164
NECTIN1,389
ABCC4,845
CLDN4,632
CCNE1,1067
PCDHGB1,3
KPNA2,315
CCNE2,308
POLD1,323
GPI,20988
FGFR4,1205
PHF19,70
CENPH,90
TK1,784
MRPL12,36
ERCC6L,64
MCM2,1566
CENPA,1099
H3C10,0
ZNRF3,160
PTGS2,41309
PLXNA4,108
FABP1,900
CEP55,279
ESPN,203
CDKN3,184
BLM,5467
DNAH7,21
HEPH,201
SLC2A1,3575
H2BC4,0
IQGAP3,86
CENPK,51
H4C1,1
TONSL,54
E2F7,226
H2BC8,1
KIF15,161
DNM1,263
H2BC11,1
CCNF,185
ITGA7,231
MUC17,99
TRIB3,514
CLDN2,415
CENPF,391
H2BC21,2
PIF1,478
DLGAP5,184
H2AC12,0
SPAG4,51
LMNB1,202
BCL6,4242
NOTCH1,9140
AURKA,2494
CBX2,194
BRAT1,53
H2BC17,0
UHRF1,703
H2BC3,2
E2F8,153
KRT23,48
H1-3,153
XRCC2,432
STIL,476
A4GALT,69
FANCB,87
S100A4,1720
FZD7,390
PTGS1,3045
H3C1,5
H4C13,0
TMOD1,153
FBLN1,150
ATAD2,168
PFKFB3,668
KIF23,207
KIF2C,302
CDH24,8
TRAIP,59
GAPDH,8565
LMNB2,73
PCDHGA4,4
BUB1B,478
SLC1A5,544
BAMBI,578
H2BC12,3
SKA3,99
ORC6,103
ORC1,378
DPP4,5935
ATP1B3,52
PDZK1,291
KIF11,827
H3C12,0
GLA,12907
CHAF1B,92
PDLIM7,175
PBK,788
IL32,628
DNAH9,75
DBN1,49
PHLDA1,193
H2BC7,0
ABCA2,138
ICAM1,31229
RTN4R,341
CD9,2729
CDC20,1658
SPRY1,317
CDC45,603
TOP2A,1351
MUC16,1358
SHCBP1,66
CCNB2,456
KHDRBS3,64
CENPW,61
LDHA,2265
MCM6,384
PFKFB4,142
CIT,8694
RARRES1,102
PODXL,212
CCNA2,784
HMGA1,1303
CKS2,172
