"ID","uniprot_id","max_hit","num_hits"
"A0A024RBG1-F1","A0A024RBG1",0.331971428571429,0
"A0A075B6H5-F1","A0A075B6H5",0.761909523809524,1
"A0A075B6H7-F1","A0A075B6H7",0.0821130769230769,0
"A0A075B6H8-F1","A0A075B6H8",0.806304761904762,1
"A0A075B6H9-F1","A0A075B6H9",0.816353333333333,1
"A0A075B6I0-F1","A0A075B6I0",0.6094,0
"A0A075B6I1-F1","A0A075B6I1",0.498,0
"A0A075B6I3-F1","A0A075B6I3",0.640495238095238,0
"A0A075B6I4-F1","A0A075B6I4",0.70345,1
"A0A075B6I6-F1","A0A075B6I6",0.116825238095238,0
"A0A075B6I7-F1","A0A075B6I7",0.74877619047619,2
"A0A075B6I9-F1","A0A075B6I9",0.293584615384615,0
"A0A075B6J1-F1","A0A075B6J1",0.697927272727273,0
"A0A075B6J2-F1","A0A075B6J2",0.532838095238095,0
"A0A075B6J6-F1","A0A075B6J6",0.406752380952381,0
"A0A075B6J9-F1","A0A075B6J9",0.452275,0
"A0A075B6K0-F1","A0A075B6K0",0.507131578947368,0
"A0A075B6K2-F1","A0A075B6K2",0.877705882352941,1
"A0A075B6K4-F1","A0A075B6K4",0.581563636363636,0
"A0A075B6K5-F1","A0A075B6K5",0.3431,0
"A0A075B6K6-F1","A0A075B6K6",0.716295238095238,3
"A0A075B6L2-F1","A0A075B6L2",0.914395238095238,1
"A0A075B6L6-F1","A0A075B6L6",0.387345454545455,0
"A0A075B6N1-F1","A0A075B6N1",0.156738095238095,0
"A0A075B6N2-F1","A0A075B6N2",0.489386666666667,0
"A0A075B6N3-F1","A0A075B6N3",0.358328571428571,0
"A0A075B6N4-F1","A0A075B6N4",0.296727272727273,0
"A0A075B6P5-F1","A0A075B6P5",0.480066666666667,0
"A0A075B6Q5-F1","A0A075B6Q5",0.585478571428571,0
"A0A075B6R0-F1","A0A075B6R0",0.606604761904762,0
"A0A075B6R2-F1","A0A075B6R2",0.4761,0
"A0A075B6R9-F1","A0A075B6R9",0.395904761904762,0
"A0A075B6S2-F1","A0A075B6S2",0.951857142857143,1
"A0A075B6S4-F1","A0A075B6S4",0.879476190476191,1
"A0A075B6S5-F1","A0A075B6S5",0.640466666666667,0
"A0A075B6S6-F1","A0A075B6S6",0.906819047619048,1
"A0A075B6S9-F1","A0A075B6S9",0.151384,0
"A0A075B6T6-F1","A0A075B6T6",0.968471428571429,1
"A0A075B6T7-F1","A0A075B6T7",0.5922,0
"A0A075B6T8-F1","A0A075B6T8",0.509072727272727,0
"A0A075B6U4-F1","A0A075B6U4",0.119502380952381,0
"A0A075B6U6-F1","A0A075B6U6",0.810392857142857,1
"A0A075B6V5-F1","A0A075B6V5",0.542257142857143,0
"A0A075B6W5-F1","A0A075B6W5",0.581866666666667,0
"A0A075B6X5-F1","A0A075B6X5",0.66207619047619,0
"A0A075B734-F1","A0A075B734",0.261171428571429,0
"A0A075B759-F1","A0A075B759",0.750061904761905,1
"A0A075B767-F1","A0A075B767",0.443780952380952,0
"A0A075B7B6-F1","A0A075B7B6",0.070705,0
"A0A075B7B8-F1","A0A075B7B8",0.817671428571429,1
"A0A075B7D0-F1","A0A075B7D0",0.326346153846154,0
"A0A075B7D4-F1","A0A075B7D4",0.266796153846154,0
"A0A075B7D8-F1","A0A075B7D8",0.467985714285714,0
"A0A075B7E8-F1","A0A075B7E8",0.467680952380952,0
"A0A075B7F0-F1","A0A075B7F0",0.2976,0
"A0A075B7F1-F1","A0A075B7F1",0.268804761904762,0
"A0A087WSX0-F1","A0A087WSX0",0.556304761904762,0
"A0A087WSY4-F1","A0A087WSY4",0.401219047619048,0
"A0A087WSY6-F1","A0A087WSY6",0.493363636363636,0
"A0A087WSZ0-F1","A0A087WSZ0",0.73077619047619,3
"A0A087WSZ9-F1","A0A087WSZ9",0.306914285714286,0
"A0A087WT01-F1","A0A087WT01",0.846433333333333,1
"A0A087WT02-F1","A0A087WT02",0.672390476190476,0
"A0A087WT03-F1","A0A087WT03",0.670072727272727,0
"A0A087WTH1-F1","A0A087WTH1",0.637652380952381,0
"A0A087WTH5-F1","A0A087WTH5",0.834771428571429,1
"A0A087WUM9-F1","A0A087WUM9",0.98277619047619,1
"A0A087WUV0-F1","A0A087WUV0",0.688947058823529,0
"A0A087WV53-F1","A0A087WV53",0.671146666666667,0
"A0A087WV62-F1","A0A087WV62",0.675285714285714,0
