"","uniprotswissprot","logFC"
"1","O43657",1.11958016329063
"2","Q8IZE3",-1.78334408357113
"3","Q9NSG2",-1.6091135873141
"4","P08603",1.13650256901347
"5","P48506",-1.59286097751393
"6","Q6P499",-2.19629349475826
"7","Q9Y4W2",1.66229088412082
"8","Q9Y6X5",-3.19023066576643
"9","Q13275",-1.72988599596053
"10","Q9P2G1",-1.36539871187973
"11","Q16850",-1.60303217583396
"12","P28838",-1.10873476999032
"13","P14209",2.26522837009299
"14","O14792",1.37958789926087
"15","Q14847",-1.80795183947208
"16","Q96HP8",1.2032740316528
"17","P20645",-1.03727561279369
"18","Q05084",-4.88541448518856
"19","Q96Q42",-1.72828224915624
"20","Q92851",-3.27932638978115
"21","P10646",-1.80977971982035
"22","P52569",2.46459036549183
"23","Q6SZW1",-1.12355749117207
"24","P78332",1.3340560629832
"25","Q8N5S9",2.06578882187979
"26","P46063",-1.72977870059437
"27","Q96JG6",-1.57415822937114
"28","O14559",4.48680815303877
"29","Q16654",2.14410772444072
"30","Q96QS3",4.75043732210978
"31","Q9UJS0",-1.6938416451104
"32","P30260",-1.19003216360608
"33","P53701",-1.01910977770432
"34","O14641",2.20260502992372
"35","O75563",-1.3420360737091
"36","P52435",1.25665419821725
"37","Q9UPZ6",-2.15598861369041
"38","P49916",-1.12340230638239
"39","Q53FZ2",2.18335313952722
"40","Q8TCT7",1.82757146866299
"41","Q9P299",1.73420679900361
"42","P31323",2.07845695116939
"43","O95153",3.55429319801926
"44","Q6NTF9",1.00964583409842
"45","Q9P2D0",-1.91936377516112
"46","O14628",-1.99302278149089
"47","O75592",-1.27428260638092
"48","P26006",-1.80457595712609
"49","Q9NZC3",-1.22729649278818
"50","Q96EN9",2.01071088458235
"51","Q9Y2Y6",1.09836177927598
"52","Q8TB22",1.45299703413113
"53","Q9NP84",-2.37630136975284
"54","P80192",-2.27399670104776
"55","P11233",-1.26433951980255
"56","Q9UHR4",-5.44380414624535
"57","Q6ZMT4",-2.78921250859616
"58","P50549",-3.48203207947838
"59","P43353",-2.55107818171482
"60","Q5TAA0",-5.58522471503723
"61","O94887",-2.39168200108818
"62","Q8N7H5",1.43805162585859
"63","P49754",-1.17248236661622
"64","Q9Y6U3",-5.78620944404403
"65","P51689",-1.84100828605541
"66","Q96L34",2.09647203480466
"67","Q96CT7",2.15218610482213
"68","Q9NYC9",-2.25579825825884
"69","Q14667",-1.81937397077492
"70","O60861",1.46185640733999
"71","Q96CC6",1.88491115796882
"72","O94812",-1.39816362425317
"73","Q9BRB3",1.65441155626016
"74","Q96RY5",2.05504543301039
"75","Q99594",2.00274326102346
"76","O76039",-1.37236401991396
"77","Q9UQ88",4.14560052778715
"78","P49447",-2.0261333101046
"79","Q9NYQ7",-1.44864918236906
"80","Q9UDR5",2.25054105252956
"81","P10620",-2.87860757310137
"82","Q14938",1.97619434121887
"83","P24001",-1.47157849412564
"84","P98161",2.92399820918464
"85","Q9BYZ6",1.99173453100902
"86","Q9P2D3",-1.67704606734937
"87","P60866",2.6041940841382
"88","Q15386",-1.32865591442994
"89","O60673",-1.71980772547245
"90","Q9NP79",-1.66957324245878
"91","Q9Y603",-2.03463326404981
"92","Q9H040",-1.72158055910752
"93","P21926",-1.5235207883269
"94","Q15021",-1.60244889560884
"95","Q0D2I5",3.40751263982072
"96","Q9Y2I1",1.98228270595033
"97","Q9BT04",1.19923519779054
"98","P22304",1.73287733264601
"99","P98182",-1.09982278210756
"100","Q06187",-1.01155243291635
"101","Q96GD3",1.06678702593344
"102","Q01740",1.23688002573555
"103","P51797",1.70506996681742
"104","Q9UBG0",2.22668817729362
"105","O75954",2.04660670920675
"106","Q9P203",-1.08320453039745
"107","O96018",1.36843044606157
"108","Q8WTS1",-1.71864030245919
"109","P23352",-1.95764191717843
"110","Q9ULX6",1.1490286294364
"111","O00443",-1.58986199608126
"112","Q03405",-1.68517009051113
"113","Q9NQW6",-4.22443152333603
"114","O95785",1.75873114000442
"115","P07585",3.5248951285309
"116","Q9NXS2",1.41557705728925
"117","P38398",-2.97818028540314
"118","P20273",3.96898109704911
"119","Q96RI1",1.48681894667774
"120","P09917",-2.47508621319452
"121","Q9P1Z2",1.63653341846776
"122","Q9Y2E5",1.20807073200704
"123","O75508",2.42047287151844
"124","O95394",-1.19287308005131
"125","Q9NW08",-1.33052757277836
"126","P49184",-1.27993242097906
"127","Q96FC9",1.27884591319522
"128","Q9NRV9",1.91821911139695
"129","Q8NFJ5",-2.80759183379635
"130","Q13495",3.57128342779767
"131","Q9Y6A5",-1.93428578013008
"132","O94874",-1.20308841173604
"133","Q8IXZ2",1.33030816287406
"134","P15309",-2.73490241434888
"135","Q6PML9",-1.16569490410966
"136","Q9P219",-3.39373693940314
"137","P55957",-1.32570762754174
"138","P43243",-1.77818685159678
"139","Q9UHC9",-3.74025992471201
"140","Q8NE62",-3.19252572483065
"141","Q9UHF4",-2.62058157507381
"142","P98194",-1.52998554522142
"143","P05019",-2.34938781979367
"144","Q12860",1.08145770179099
"145","O00116",-2.68365905152368
"146","Q96IQ7",-6.54713245484255
"147","Q86UU1",1.14042207260556
"148","Q9NQV5",1.2472410057323
"149","O43623",1.59844209379246
"150","P04233",-1.11665252362623
"151","Q9UGI0",-1.12777386718939
"152","Q9UBB6",1.45837648909549
"153","Q96PE1",2.3128151027954
"154","Q13761",-2.33103116083251
"155","Q9UF11",-2.9461956083504
"156","P30740",-3.36717104249024
"157","Q9UBP0",-1.33456840234956
"158","Q9H0X9",1.45504238836873
"159","O60306",-1.6348208400153
"160","P31327",-4.12902369565517
"161","Q13642",3.34047150272998
"162","Q5BKX6",-2.06325842348845
"163","P13489",1.56127419623526
"164","P28331",-2.06441738641506
"165","Q8TDY2",-1.32428222982962
"166","P13196",-1.60970164880381
"167","Q13489",-3.82095306488873
"168","Q9UKA4",-1.28451213699984
"169","Q9NS18",-1.35475490628483
"170","Q9Y315",-2.25065696914633
"171","Q92887",-1.07440835327755
"172","Q53GL0",1.92109120102548
"173","P48507",-1.64507508481197
"174","Q8IWV8",-1.36384823387293
"175","Q9NZN4",2.58792831462834
"176","Q6IBW4",1.21031270159306
"177","P08670",2.17412032653094
"178","P16070",-3.14990591845107
"179","Q9NRZ5",1.06831504858001
"180","Q99797",-1.01454528259485
"181","Q86Y07",-1.88837139237729
"182","Q9HBM0",-1.12410194140531
"183","Q9NUM3",-1.95680061540951
"184","P16157",-2.79121034700375
"185","Q8WVM0",-1.28202588576239
"186","O15347",-1.87946179854149
"187","Q9UKS7",-3.85603884549169
"188","Q53HC9",-1.61262541645393
"189","Q8IY17",1.27818483713847
"190","Q9BT22",-1.46162969917214
"191","Q9BYC5",-2.74247744349532
"192","A0AVT1",-1.79876023292584
"193","O75925",-1.09996922209841
"194","Q9Y6M7",-1.63450829509326
"195","Q2TB18",-1.11720720166804
"196","Q96C01",-1.14137281561857
"197","Q9UIK4",-2.87183911490559
"198","P30520",-1.04512035759444
"199","P16035",3.26248793297324
"200","Q13618",-1.50805335512696
"201","Q8IYH5",-1.52525185871203
"202","P41180",-3.26355724282983
"203","Q9NRH3",2.60200618029478
"204","Q9UNX3",1.89219723184511
"205","P35916",2.00911770597007
"206","P55082",-2.14511044808607
"207","P20933",-1.24449003981716
"208","Q8TCG2",-1.28019308211121
"209","Q8NFC6",-1.00399202445059
"210","Q6P2E9",1.76382832833673
"211","P13611",-3.53014434292881
"212","P21757",-2.4574942600838
"213","P12830",-6.66920631954275
"214","P42285",-1.30147250523061
"215","Q6ZS17",2.54159094998856
"216","P13671",1.29458738520888
"217","Q96EA4",-1.03307478017
"218","Q9NUL3",-1.40416961832497
"219","O60931",1.52927454305148
"220","Q8WTV1",1.14223844625424
"221","Q6NUM9",-1.90117308630362
"222","P40121",-3.04728423955613
"223","Q9UKQ2",-6.24582372555123
"224","Q96GG9",-1.76350584667179
"225","Q13094",-1.18403310299056
"226","P35221",-1.31836588588915
"227","Q14126",-4.28362107846798
"228","Q70Z35",-1.26800377815155
"229","P30876",-1.24726612739772
"230","Q32MH5",-1.35045249644802
"231","Q8WZ64",-4.59975416431065
"232","P12270",-1.56673720154166
"233","O60303",-1.13496746441669
"234","P51811",-5.00891525132006
"235","Q9NQ89",-1.29481326670685
"236","Q9UN30",1.21646491809975
"237","Q9ULE0",1.64175327710517
"238","Q9UKV0",-3.2864174983948
"239","Q2TB10",-1.70912672691338
"240","Q96T23",-1.37759029779214
"241","Q5THJ4",-1.83954007375769
"242","O95319",2.58161879867371
"243","Q9NZB2",-1.10174948676113
"244","Q14055",-2.8218451600408
"245","P21583",-3.8915926979619
"246","Q13216",-1.57804916989891
"247","Q9UKP5",-1.87685062788689
"248","O95479",1.1749548650377
"249","P15502",3.44555842520515
"250","Q96PU5",-3.49410824897957
"251","Q6ZSY5",2.64557608414665
"252","P07686",-1.34828321359434
"253","Q9UBP4",1.20740929442874
"254","Q9Y4A8",-1.98289211144427
"255","Q96AQ8",-1.30445852550962
"256","Q9UHB6",-2.1775849328636
"257","Q9Y6N6",-1.36943975795665
"258","P43115",1.37304386376326
"259","Q15011",1.03473155403125
"260","Q9NSC5",2.51985699091527
"261","P42338",-2.16162933217623
"262","P13498",-2.05645753141277
"263","Q9Y5Z4",-1.01790071720962
"264","Q99550",-1.54419206809351
"265","Q9HAU0",-1.0181734998318
"266","Q9BRV8",-1.44955012611703
"267","Q9P278",-3.06332011031105
"268","Q15800",-1.14439071147505
"269","Q9NZ43",1.27507751825786
"270","Q16787",-3.01926351889313
"271","Q9H0R1",-1.85321283128675
"272","P51787",-3.94993389975608
"273","Q9Y5L3",-2.88123743822016
"274","O60449",-3.15502581073509
"275","Q4LE39",-1.26391063627714
"276","Q9H1Y3",-3.99964306839466
"277","Q86SQ7",-1.2324273510128
"278","Q5VTY9",-1.84593946348858
"279","Q8WXH0",-1.72546506806913
"280","Q9ULM0",-4.17040402053527
"281","O75110",-1.89232663437631
"282","Q12809",1.17609069474176
"283","P19525",-1.74351390408579
"284","Q9P275",2.07305494545207
"285","Q8NEZ4",-1.73222354566363
"286","Q8ND82",-1.21420837980933
"287","Q13077",2.5969140478294
"288","Q9HBD1",-1.53155527718788
"289","Q9NRM6",-2.41567802545809
"290","O43734",-1.44028209210874
"291","P35610",-1.3036129530385
"292","Q99959",-1.14607300473756
"293","P50395",-1.11106072563759
"294","Q9H1Y0",-1.30541831855571
"295","Q9ULS5",-1.15364846824343
"296","Q9Y2G3",-2.48590126445343
"297","Q13753",-6.20385599721698
"298","O14974",-1.0345804006849
"299","Q5TZA2",2.49643783670683
"300","Q9BTX1",-2.1741575865483
"301","Q4VC44",2.67989259700768
"302","Q9H9P5",1.63312837897688
"303","P24557",-3.05843207318805
"304","Q9H0J9",-1.61751320380832
"305","P54886",-2.46998007268655
"306","Q13395",-1.66347410858019
"307","Q05195",-2.01037166746074
"308","P11169",2.08920110154249
"309","A5PKW4",2.88258417374905
"310","P16989",1.16905346605447
"311","Q9NZT2",1.64300544949251
"312","P30679",-2.23316854005034
"313","Q92729",1.20986082824817
"314","P12107",-1.22285020779308
"315","P54687",-2.1924092412876
"316","Q8WUI4",1.63145702456873
"317","Q9NPE6",1.16670616991077
"318","Q9Y2A7",-1.61235876721285
"319","P82673",-2.02913727282446
"320","Q07912",1.22515470095812
"321","Q7Z3U7",-1.1363198043543
"322","Q96PD7",-3.28791422461296
"323","Q9UJU3",-1.32157767364368
"324","Q7Z5K2",-1.99888107203306
"325","Q96GC9",-3.59572716358426
"326","P23588",1.02183844259657
"327","Q9NZM4",2.25422123669398
"328","Q9NRA0",1.14449499629011
"329","Q07020",1.93452942682893
"330","O75493",4.11656116299626
"331","P26368",1.05682336901258
"332","Q9Y6I3",1.00530205780113
"333","Q9NX70",1.09946568866893
"334","P35052",2.99603779405821
"335","Q14790",-2.80160020694752
"336","Q9NVM9",-1.44911195197388
"337","Q9NS93",-1.33101467785275
"338","Q9Y274",-2.18473508504021
"339","Q4KMG0",1.15394584587431
"340","Q6P1X5",-1.19894730489189
"341","Q9H2X6",-2.47141839691108
"342","Q9Y5L0",-1.10188305817963
"343","Q9NX61",1.63373317189178
"344","Q8IX01",1.16975373000455
"345","P55011",-4.11143738724627
"346","Q99439",1.57179556379158
"347","Q8IZY2",-1.60401255997912
"348","Q9Y6H5",2.74879051702133
"349","Q9H0C5",-1.03444796705818
"350","Q96K12",-3.80408811083179
"351","Q9Y2G9",1.23480022257382
"352","P36508",1.74566721619275
"353","Q15599",1.31408042009762
"354","Q6BDS2",-1.24653237977435
"355","P08754",-1.52077758703917
"356","Q9UNX4",-1.67389744293468
"357","Q16513",-1.39216104433936
"358","P21860",-6.7089398081723
"359","Q8N8A2",-1.03515376272737
"360","Q9BUB4",-1.47649059990716
"361","Q15746",1.05383459455212
"362","Q9H813",-1.17603498253835
