"","node_1","node_2","uniprot_id"
"1303","P84085","P15153",0.4
"17968","P84085","Q8NFJ9",0.401
"21229","P84085","Q9H267",0.409
"740","P84085","P08567",0.422
"35712","P84085","Q92786",0.437
"67745","P84085","Q9NRD5",0.45
"16271","P84085","Q9UJY4",0.457
"24797","P84085","Q8TDY4",0.463
"58047","P84085","Q7Z3U7",0.48
"30709","P84085","Q10567",0.486
"12075","P84085","P61006",0.49
"22278","P84085","Q6WKZ4",0.499
"3281","P84085","O14939",0.501
"20641","P84085","P62136",0.527
"11472","P84085","Q5S007",0.529
"35341","P84085","P09874",0.543
"5","P84085","A5PKW4",0.55
"23936","P84085","P61966",0.565
"1287","P84085","Q9UIA0",0.579
"11673","P84085","Q9Y3Q3",0.607
"93256","P84085","P11277",0.623
"3402","P84085","Q9H254",0.623
"30033","P84085","Q01082",0.625
"30395","P84085","Q01484",0.626
"28715","P84085","Q14161",0.638
"14680","P84085","Q9UPQ3",0.646
"86588","P84085","O15020",0.657
"238","P84085","Q9UI14",0.658
"69589","P84085","O43731",0.67
"2888","P84085","Q15363",0.671
"2049","P84085","P33947",0.703
"7601","P84085","O43150",0.741
"3164","P84085","O14579",0.745
"18","P84085","Q15027",0.765
"20183","P84085","Q9Y678",0.771
"102607","P84085","Q86YS3",0.774
"21709","P84085","P35606",0.781
"13909","P84085","P18085",0.902
"88932","P84085","P84077",0.969
"82918","Q9NR63","P19793",0.401
"64399","Q9NR63","O75452",0.417
"63792","Q9NR63","P48449",0.433
"2012","Q9NR63","Q02318",0.483
"1956","Q9NR63","Q92781",0.441
"65381","Q13275","P78352",0.405
"79494","O14792","Q8N307",0.402
"46137","O14792","Q92935",0.413
"3038","O14792","Q9H2A9",0.422
"15231","O14792","O43916",0.424
"44565","O14792","Q7LGC8",0.453
"37142","O14792","Q16570",0.457
"15309","Q13275","Q16555",0.407
"64214","Q13275","P54762",0.409
"51628","O14792","Q96DC8",0.469
"622","Q13275","Q92187",0.42
"75312","O14792","Q7LFX5",0.475
"946","O14792","P10124",0.48
"72318","O14792","Q12923",0.489
"41372","O14792","P61326",0.49
"25800","Q13275","Q9HB63",0.424
"70421","O14792","Q9NS00",0.497
"93436","Q13275","Q96B86",0.424
"10547","O14792","P04843",0.505
"103240","Q13275","P09958",0.424
"28672","Q13275","Q96FE5",0.429
"15046","Q13275","O00212",0.432
"52205","O14792","Q8N0V5",0.524
"60923","Q13275","P48061",0.434
"32123","O14792","Q8IWU5",0.535
"23058","Q9NR63","P58012",0.493
"6","Q13275","Q9BZR6",0.435
"63002","Q13275","P13612",0.443
"4857","Q9NR63","Q14534",0.505
"15808","Q9NR63","O75881",0.509
"55133","Q9NR63","P31371",0.516
"2722","Q13275","P35916",0.455
"268","Q13275","P14210",0.455
"79271","Q13275","Q9C0A1",0.456
"3578","Q13275","Q9UPQ7",0.47
"634","Q9NR63","P09455",0.524
"39127","Q13275","Q93097",0.47
"31384","Q13275","Q8TDZ2",0.474
"63923","Q13275","Q96MS0",0.475
"39490","Q9NR63","P05093",0.592
"38828","Q13275","P01138",0.479
"69357","Q13275","P61073",0.479
"6243","Q9NR63","Q9Y2D4",0.593
"43","Q13275","P98172",0.48
"22779","Q9NR63","P10826",0.594
"29285","Q9NR63","Q6UW02",0.595
"86368","Q13275","P09086",0.481
"25888","Q13275","Q92859",0.487
"10664","Q13275","Q04912",0.496
"23471","Q13275","Q8IZJ1",0.509
"51382","Q13275","Q92823",0.51
"56533","Q13275","P20916",0.511
"17866","Q13275","P08581",0.526
"48186","Q13275","P61587",0.546
"102761","Q9NR63","P29373",0.665
"94777","Q9NR63","Q9BX79",0.678
"896","Q9NR63","Q8IZV5",0.68
"32078","Q13275","Q9HCM2",0.553
"35819","Q13275","O75051",0.561
"57452","Q13275","O14908",0.594
"6776","Q13275","P21709",0.614
"81003","Q13275","Q9HCK4",0.618
"22734","Q13275","O75094",0.62
"56024","Q13275","Q9UF33",0.703
"25","Q13275","O95631",0.707
"46927","Q9NR63","Q06278",0.906
"99677","Q13275","P15692",0.889
"2038","Q13275","O60486",0.973
"60360","O14792","Q9NXK6",0.563
"32621","Q13275","O60462",0.995
"2219","O14792","Q8IWU6",0.586
"36175","O14792","Q9ULL1",0.606
"17725","O14792","Q9P109",0.616
"294","Q9NR63","P20815",0.929
"12195","Q9NR63","P11509",0.93
"50509","O14792","Q16394",0.637
"4660","Q13275","O14786",0.998
"38049","P52569","Q8TF71",0.408
"11105","Q9NR63","P00352",0.962
"19364","P52569","Q86XE3",0.412
"85963","O14792","Q96MM7",0.71
"80392","P52569","P11166",0.414
"63522","P52569","Q9UM01",0.43
"2142","O14792","O60243",0.816
"36303","O14792","Q9Y2C2",0.871
"53659","Q16654","P30825",0.405
"95588","Q16654","Q9H3M7",0.406
"92703","P52569","Q9H2H9",0.433
"1196","Q16654","P20393",0.408
"36747","Q16654","O00141",0.409
"43496","O14792","P31431",0.93
"10924","P52569","Q13595",0.439
"54098","O14792","P18827",0.932
"84100","P52569","Q9BTF0",0.451
"27134","O14792","O75056",0.935
"51772","O14792","O00468",0.936
"58801","O14792","P51654",0.945
"14741","Q16654","P99999",0.412
"49561","P52569","P19623",0.46
"42250","Q16654","P13584",0.418
"457","Q16654","Q96PD7",0.42
"11469","Q16654","Q5S007",0.422
"53042","Q16654","O75521",0.423
"49654","O14792","Q9Y625",0.949
"38014","P52569","P04181",0.461
"14547","O14792","P34741",0.958
"630","Q16654","Q08426",0.593
"26008","Q16654","Q96A54",0.426
"13844","P52569","Q9NY97",0.465
"15198","P52569","Q96FV3",0.486
"54592","P52569","P22102",0.493
"66558","P52569","O94901",0.494
"717","P52569","P11926",0.505
"52089","Q16654","Q12778",0.599
"14698","P52569","P62079",0.513
"1148","P52569","Q8WV83",0.531
"69854","Q16654","Q15120",0.606
"13281","Q16654","P06213",0.437
"43096","P52569","P00966",0.578
"16634","Q16654","Q86YN6",0.445
"2942","P52569","P43005",0.647
"13589","Q16654","P35568",0.453
"67031","Q16654","O00327",0.461
"8586","Q16654","P37231",0.627
"18629","Q16654","P35558",0.631
"2648","P52569","P78540",0.675
"19269","Q16654","P14672",0.695
"67336","Q16654","P11474",0.699
"46314","Q16654","Q5I0G3",0.462
"25821","Q16654","O00763",0.465
"58066","P52569","P51606",0.676
"100019","P52569","O00341",0.703
"61405","Q16654","P07195",0.474
"16701","P11233","Q92930",0.41
"56504","Q16654","Q9Y6R4",0.483
"79437","Q16654","Q9NRP4",0.484
"60635","Q16654","Q92523",0.742
"4298","Q16654","Q9UBK2",0.811
"58913","P11233","O00522",0.414
"91249","Q16654","P00338",0.51
"26822","P11233","O60725",0.418
"68117","Q16654","Q15034",0.513
"14611","Q16654","P11177",0.94
"11442","P11233","Q5S007",0.425
"138","P11233","O14965",0.426
"64618","P11233","Q96M91",0.434
"11271","P11233","P62330",0.779
"19261","P11233","P14672",0.83
"72680","P11233","O95398",0.44
"87379","P11233","P47736",0.442
"120","Q16654","Q16822",0.526
"16356","Q16654","P55851",0.531
"13397","P11233","P60763",0.847
"6238","P11233","Q9Y2D4",0.872
"41423","Q16654","P23786",0.539
"26849","P11233","Q5VW32",0.455
"63197","P11233","Q8WZA2",0.459
"1317","P11233","P15153",0.887
"48776","P11233","O00453",0.464
"47646","P11233","Q9P258",0.466
"9143","P11233","Q8IZJ4",0.897
"23190","P11233","Q15759",0.918
"24816","P11233","Q9Y3M8",0.471
"704","Q16654","P28330",0.552
"29432","P11233","P63000",0.924
"27678","Q16654","P08237",0.553
"80435","Q16654","P11166",0.556
"1769","Q16654","P15090",0.562
"527","Q16654","P04406",0.562
"6671","P11233","P00533",0.491
"37715","P11233","P51153",0.926
"15425","Q16654","P06858",0.563
"31632","P11233","P53779",0.926
"38938","P11233","P01111",0.926
"1750","P11233","P01116",0.928
"13487","Q16654","P49327",0.575
"12091","P11233","P61006",0.93
"43197","P11233","P67809",0.516
"4204","P11233","P61026",0.933
"88607","Q16654","P49748",0.587
"3284","P11233","O14939",0.965
"31494","Q9UHR4","Q99683",0.406
"14407","Q9UHR4","Q9BZE9",0.413
"3308","Q9UHR4","Q16204",0.415
"69204","Q9UHR4","P51826",0.419
"97552","Q9UHR4","O43900",0.422
"97853","Q9UHR4","Q9Y4F1",0.427
"45625","Q9UHR4","Q9H694",0.432
"8331","P11233","Q13009",0.538
"76469","P11233","P03372",0.573
"26493","P11233","Q13393",0.994
"2052","P11233","B0I1T2",0.575
"65159","P11233","Q8IVT5",0.584
"877","P11233","P35080",0.592
"353","P11233","P07737",0.595
"12898","P11233","Q6GYQ0",0.596
"25339","Q9UHR4","P22607",0.481
"6692","Q9UHR4","P00533",0.487
"42512","P11233","Q12967",0.998
"1438","P11233","P04049",0.606
"3","P11233","Q15311",0.999
"10956","P11233","Q8N8U9",0.613
"47506","P11233","Q9UIM3",0.616
"17611","Q9UHR4","Q9UQB8",0.631
"55435","P11233","Q13421",0.624
"19389","Q9UHR4","O75410",0.529
"80840","Q9UHR4","P16333",0.729
"49416","Q9UHR4","P42768",0.74
"65961","Q9UHR4","P60953",0.803
"20758","Q9UHR4","Q9Y6A5",0.616
"57958","P11233","Q3MIN7",0.644
"7582","Q9UHR4","Q12929",0.918
"10959","Q24JP5","Q9UHE8",0.441
