"","Phase","Status","URL Name","URL","Disease ID","Disease Name","Drug ID","Drug Name","Mechanism of Action","Action Type","Target ID","Target Approved Name","Target Approved Symbol","Drug Type","NCT_ID"
"1",4,"Recruiting","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT05732064","MONDO_0007254","breast cancer","CHEMBL395091","ESKETAMINE","Glutamate [NMDA] receptor negative allosteric modulator","NEGATIVE ALLOSTERIC MODULATOR","ENSG00000176884","glutamate ionotropic receptor NMDA type subunit 2A","GRIN2A","Small molecule","NCT05732064"
"2",4,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT00172029","MONDO_0007254","breast cancer","CHEMBL924","ZOLEDRONIC ACID","Farnesyl diphosphate synthase inhibitor","INHIBITOR","ENSG00000160752","farnesyl diphosphate synthase","FDPS","Small molecule","NCT00172029"
"3",4,"Recruiting","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT03355157","MONDO_0007254","breast cancer","CHEMBL553025","VINORELBINE","Tubulin inhibitor","INHIBITOR","ENSG00000188229","tubulin beta 3 class III","TUBB3","Small molecule","NCT03355157"
"4",4,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT04248179","EFO_0000432","breast ductal carcinoma in situ","CHEMBL1077896","ROPIVACAINE","Sodium channel alpha subunit blocker","BLOCKER","ENSG00000144285","sodium voltage-gated channel alpha subunit 4","SCN4A","Small molecule","NCT04248179"
"5",4,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT02864030","MONDO_0007254","breast cancer","CHEMBL1683544","ERIBULIN MESYLATE","Tubulin inhibitor","INHIBITOR","ENSG00000188229","tubulin beta 6 class V","TUBB6","Small molecule","NCT02864030"
"6",4,"Recruiting","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT05072314","MONDO_0007254","breast cancer","CHEMBL79","LIDOCAINE","Sodium channel alpha subunit blocker","BLOCKER","ENSG00000144285","sodium voltage-gated channel alpha subunit 2","SCN2A","Small molecule","NCT05072314"
"7",4,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT02447328","MONDO_0007254","breast cancer","CHEMBL1358","FULVESTRANT","Estrogen receptor antagonist","ANTAGONIST","ENSG00000140009","estrogen receptor 1","ESR1","Small molecule","NCT02447328"
"8",4,"Recruiting","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT04136782","MONDO_0007254","breast cancer","CHEMBL3545252","DOCETAXEL","Tubulin inhibitor","INHIBITOR","ENSG00000188229","tubulin beta 4A class IVa","TUBB4A","Small molecule","NCT04136782"
"9",4,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT05840068","MONDO_0007254","breast cancer","CHEMBL1431","METFORMIN","Mitochondrial complex I (NADH dehydrogenase) inhibitor","INHIBITOR","ENSG00000198695","NADH:ubiquinone oxidoreductase subunit S6","NDUFS6","Small molecule","NCT05840068"
"10",4,"Completed","ClinicalTrials","https://clinicaltrials.gov/ct2/show/NCT04248179","EFO_0000432","breast ductal carcinoma in situ","CHEMBL658","SUFENTANIL","Mu opioid receptor agonist","AGONIST","ENSG00000112038","opioid receptor mu 1","OPRM1","Small molecule","NCT04248179"
