,NCT_ID,Phase,Status,Disease Name,Drug Name,Mechanism of Action,Action Type,Target Approved Name,Target Approved Symbol,Drug Type,Breif Summary,Impact On Cacner Progression,Cancer Type
3,NCT00001944,1,Completed,breast cancer,TARIQUIDAR,P-glycoprotein 1 inhibitor,INHIBITOR,ATP binding cassette subfamily B member 1,ABCB1,Small molecule,"Tumor resistance to anti-cancer drugs is a major problem in cancer treatment. Studies have found that a protein (P-glycoprotein) on some cancer cells pumps chemotherapy drugs out of the cells, reducing treatment effectiveness. In laboratory tests, an experimental drug called XR9576, has blocked pumping by this protein. It is being used in this study to try to increase the amount of the anti-cancer drug vinorelbine, in cancer cells. Vinorelbine has been shown in several clinical trials to be effective against some advanced cancers, including breast, lung and ovarian, and is one of the drugs pumped out of tumor cells by P-glycoprotein.

Patients with cancer 18 years and older may be eligible for this study. Candidates will be screened with tests that may include blood and urine tests, electrocardiogram, echocardiogram, CT scans, X-rays, and nuclear medicine studies. A tumor biopsy may be done for diagnostic or research purposes.

Study participants will undergo tumor imaging with the radioactive drug Tc-99m Sestamibi. This drug accumulates in tumor cells and is eliminated from them in much the same way that some cancer drugs are eliminated from cells. The drug is injected into a vein and a series of pictures are taken with a gamma camera. After this baseline scan, patients will receive a dose of XR9576 and undergo a second scan 24 hours later. The scan will show whether XR9576 affects the accumulation and elimination of Sestamibi in tumor cells. This procedure may provide a way to monitor cancers for evidence of chemotherapy resistance and show if XR9576 can improve the effectiveness of therapy.

At least 10 days after the baseline and XR9576 scans, patients will begin the first of 3 or more 21-day cycles of vinorelbine treatment. On days 1 and 8 of each cycle, patients will receive a 30-minute infusion of XR9576 intravenously (through a vein) followed by vinorelbine, infused over a 6- to 10-minute period. (In some patients, XR9576 will be administered before only one of the two vinorelbine dosages.)

Physical examination, blood tests, and other procedures may be done periodically to monitor treatment.",yes,NA
253,NCT02594371,3,Completed,breast cancer,ENCEQUIDAR,P-glycoprotein 1 inhibitor,INHIBITOR,ATP binding cassette subfamily B member 1,ABCB1,Small molecule,To determine the safety and tolerability of Oraxol as compared to IV paclitaxel in metastatic breast cancer,no,NA
71,NCT00338728,2,Completed,breast cancer,IMATINIB MESYLATE,Tyrosine-protein kinase ABL inhibitor,INHIBITOR,"ABL proto-oncogene 1, non-receptor tyrosine kinase",ABL1,Small molecule,"This phase II trial studies the side effects and how well letrozole and imatinib mesylate work in treating postmenopausal participants with estrogen or progesterone positive breast cancer that has spread to other places in the body. Letrozole is an antihormonal drug used in the standard treatment of hormonal sensitive breast cancer. Imatinib mesylate is a drug that binds to certain proteins on the tumor cells and prevents them from further growth. Imatinib mesylate is thought to prevent the potential resistance to letrozole, which may make the letrozole more effective. Giving letrozole and imatinib mesylate may work better in treating participants with breast cancer.",yes,ER+/PR+
372,NCT03854903,1,"Active, not recruiting",breast carcinoma,BOSUTINIB,Tyrosine-protein kinase ABL inhibitor,INHIBITOR,"ABL proto-oncogene 1, non-receptor tyrosine kinase",ABL1,Small molecule,"This is an open-label, single-arm, phase I trial. It is designed with a conservative dose escalation plan to ensure patient's safety and with a strong translational component to inform if target inhibition is achieved. With concerns regarding safety, based on extensive available pharmacokinetic data and clinical efficacy experience, bosutinib will be given 5-days in a row followed by 2 days rest in a weekly basis, instead of daily.

The protocol will enroll patients per 3+3 escalation design. The Dose Limiting Toxicity (DLT) observation period is 28 days. At the end of DLT observation period of each cohort of 3 patients, decision will be made regarding further escalation or de-escalation according to this plan. Once the MTD of the combination is reached, the safety data will be analyzed. There will be no dose reductions during DLT observation period. Dose reduction within patients (individually) is allowed after the 4-week DLT observation period. Treatment in this phase I trial will be administered until there is disease progression or unacceptable toxicity.",yes,NA
390,NCT04205903,1,Recruiting,breast cancer,NILOTINIB HYDROCHLORIDE MONOHYDRATE,Tyrosine-protein kinase ABL inhibitor,INHIBITOR,"ABL proto-oncogene 1, non-receptor tyrosine kinase",ABL1,Small molecule,"This phase Ib/II trial studies the side effects and best dose of nilotinib in preventing paclitaxel-induced peripheral neuropathy in stage I-III breast cancer patients who are receiving paclitaxel therapy. Chemotherapy is the usual or ?standard? treatment for breast cancer. It kills cancer cells and lowers the chance that the cancer will come back. Sometimes, this treatment can cause numbness and tingling, especially in the hands and feet. This is called chemotherapy-induced peripheral neuropathy. This study aims to test the safety and effectiveness, both good and bad, of taking nilotinib in preventing chemotherapy-induced peripheral neuropathy.",yes,NA
119,NCT01009918,2,Completed,breast cancer,LISINOPRIL,Angiotensin-converting enzyme inhibitor,INHIBITOR,angiotensin I converting enzyme,ACE,Small molecule,"RATIONALE: Lisinopril or Coreg CR®, may help reduce side effects caused by trastuzumab. It is not yet known whether lisinopril or Coreg CR® are more effective than a placebo in reducing side effects caused by trastuzumab.

PURPOSE: This phase II trial is studying lisinopril and Coreg CR® to see how well they work compared with a placebo in reducing side effects in patients with HER2-positive breast cancer receiving trastuzumab.",no,NA
416,NCT04588935,2,Completed,breast cancer,PERINDOPRIL,Angiotensin-converting enzyme inhibitor,INHIBITOR,angiotensin I converting enzyme,ACE,Small molecule,To develop a method of medical prevention of cardiovascular diseases caused by cardiotoxicity against the background of complex treatment of patients with primary resectable breast cancer to reduce the risk of cardiovascular complications,no,NA
280,NCT02839668,2,Completed,breast cancer,NEOSTIGMINE,Acetylcholinesterase inhibitor,INHIBITOR,acetylcholinesterase (Yt blood group),ACHE,Small molecule,"Because neoplastic disease is one of the leading causes of death worldwide and breast cancer is one of the most frequent neoplasia among women, the possibility of influencing the evolution of patients starting from the moment of surgical intervention using a perianesthesic intervention is a scientific topic of high interest. The study will compare two anesthetic techniques and their efficiency in lowering the factors that can favorize the dissemination of neoplasia and their role in the prevention of postoperative pain. The serum level of vascular endothelial growth factor A (VEGF-A) will be determined before and after the surgical intervention after using two different types of anesthesia (inhalational and intravenous), and the immunohistochemical expression of vascular endothelial growth factor receptors (VEGFR) will be determined on the excised tissue. For the two different types of anesthesia a continuous infusion of lidocaine 1% will be associated. The study will compare the short-term and long term-outcome of the patients assigned the two different types of anesthesia and their immediate postoperative evolution .",no,NA
365,NCT03768492,2,Recruiting,breast carcinoma,CAFFEINE,Adenosine receptor antagonist,ANTAGONIST,adenosine A3 receptor,ADORA3,Small molecule,The purpose of the study is to evaluate whether a caffeine-based cream can reduce the rates of reconstructive complications in patients with tissue expander based reconstruction requiring post-mastectomy radiation therapy when compared to a placebo cream.,no,NA
121,NCT01009918,2,Completed,breast cancer,CARVEDILOL PHOSPHATE,Adrenergic receptor alpha-1 antagonist,ANTAGONIST,adrenoceptor alpha 1B,ADRA1B,Small molecule,"RATIONALE: Lisinopril or Coreg CR®, may help reduce side effects caused by trastuzumab. It is not yet known whether lisinopril or Coreg CR® are more effective than a placebo in reducing side effects caused by trastuzumab.

PURPOSE: This phase II trial is studying lisinopril and Coreg CR® to see how well they work compared with a placebo in reducing side effects in patients with HER2-positive breast cancer receiving trastuzumab.",no,NA
