"","NCT_ID","Phase","Status","Disease.Name","Drug.Name","Mechanism.of.Action","Action.Type","Target.ID","Target.Approved.Name","Target.Approved.Symbol","Drug.Type","trial_summary","anti_cancer"
"3","NCT00001944",1,"Completed","breast cancer","TARIQUIDAR","P-glycoprotein 1 inhibitor","INHIBITOR","ENSG00000085563","ATP binding cassette subfamily B member 1","ABCB1","Small molecule","Tumor resistance to anti-cancer drugs is a major problem in cancer treatment. Studies have found that a protein (P-glycoprotein) on some cancer cells pumps chemotherapy drugs out of the cells, reducing treatment effectiveness. In laboratory tests, an experimental drug called XR9576, has blocked pumping by this protein. It is being used in this study to try to increase the amount of the anti-cancer drug vinorelbine, in cancer cells. Vinorelbine has been shown in several clinical trials to be effective against some advanced cancers, including breast, lung and ovarian, and is one of the drugs pumped out of tumor cells by P-glycoprotein.

Patients with cancer 18 years and older may be eligible for this study. Candidates will be screened with tests that may include blood and urine tests, electrocardiogram, echocardiogram, CT scans, X-rays, and nuclear medicine studies. A tumor biopsy may be done for diagnostic or research purposes.

Study participants will undergo tumor imaging with the radioactive drug Tc-99m Sestamibi. This drug accumulates in tumor cells and is eliminated from them in much the same way that some cancer drugs are eliminated from cells. The drug is injected into a vein and a series of pictures are taken with a gamma camera. After this baseline scan, patients will receive a dose of XR9576 and undergo a second scan 24 hours later. The scan will show whether XR9576 affects the accumulation and elimination of Sestamibi in tumor cells. This procedure may provide a way to monitor cancers for evidence of chemotherapy resistance and show if XR9576 can improve the effectiveness of therapy.

At least 10 days after the baseline and XR9576 scans, patients will begin the first of 3 or more 21-day cycles of vinorelbine treatment. On days 1 and 8 of each cycle, patients will receive a 30-minute infusion of XR9576 intravenously (through a vein) followed by vinorelbine, infused over a 6- to 10-minute period. (In some patients, XR9576 will be administered before only one of the two vinorelbine dosages.)

Physical examination, blood tests, and other procedures may be done periodically to monitor treatment.","yes"
"4","NCT00002544",3,"Completed","breast cancer","MITOXANTRONE","DNA topoisomerase II alpha inhibitor","INHIBITOR","ENSG00000131747","DNA topoisomerase II alpha","TOP2A","Small molecule","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. It is not yet known if mitoxantrone is more effective with or without docetaxel.

PURPOSE: Randomized phase III trial to compare the effectiveness of mitoxantrone with or without docetaxel in treating women who have metastatic breast cancer with a poor prognosis.","yes"
"6","NCT00002772",3,"Terminated","breast cancer","CARMUSTINE","Glutathione reductase inhibitor","INHIBITOR","ENSG00000104687","glutathione-disulfide reductase","GSR","Small molecule","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Peripheral stem cell transplantation may allow the doctor to give higher doses of chemotherapy drugs and kill more tumor cells. It is not yet known which regimen of chemotherapy followed by peripheral stem cell transplantation is more effective for breast cancer.

PURPOSE: Randomized phase III trial to compare the effectiveness of combination chemotherapy plus peripheral stem cell transplantation in treating women who have undergone surgery for breast cancer.","yes"
"7","NCT00002836",3,"Completed","breast cancer","ETOPOSIDE","DNA topoisomerase II inhibitor","INHIBITOR","ENSG00000131747","DNA topoisomerase II beta","TOP2B","Small molecule","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Colony-stimulating factors such as filgrastim may increase the number of immune cells found in bone marrow or peripheral blood and may help a person's immune system recover from the side effects of chemotherapy. Peripheral stem cell transplantation may allow the doctor to give higher doses of chemotherapy drugs and kill more tumor cells. It is not yet known which treatment regimen is more effective for breast cancer.

PURPOSE: Randomized phase III trial to compare the effectiveness of chemotherapy plus filgrastim with filgrastim alone in treating women undergoing peripheral stem cell transplantation for stage II, stage III, or metastatic breast cancer.","yes"
"11","NCT00003010",3,"Completed","breast cancer","MARIMASTAT","Matrix metalloproteinase-2 inhibitor","INHIBITOR","ENSG00000262406","matrix metallopeptidase 2","MMP2","Small molecule","RATIONALE: Marimastat may stop the growth of breast cancer by stopping blood flow to the tumor. It is not known whether chemotherapy is more effective with or without marimastat for breast cancer.

PURPOSE: Randomized double-blinded phase III trial to compare the effectiveness of marimastat with that of no further therapy in treating women who have metastatic breast cancer that is responding or stable after chemotherapy.","yes"
"16","NCT00003066",2,"Unknown status","breast cancer","ESTRAMUSTINE PHOSPHATE","Estrogen receptor beta modulator","MODULATOR","ENSG00000140009","estrogen receptor 2","ESR2","Small molecule","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Combining more than one drug may kill more tumor cells.

PURPOSE: Phase II trial to study the effectiveness of docetaxel combined with estramustine in treating women with metastatic breast cancer.","yes"
"22","NCT00003752",2,"Completed","breast cancer","BEXAROTENE","Retinoid X receptor agonist","AGONIST","ENSG00000204231","retinoid X receptor beta","RXRB","Small molecule","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die.

PURPOSE: Randomized phase II trial to study the effectiveness of bexarotene in treating patients who have metastatic breast cancer.","yes"
"26","NCT00004046",2,"Completed","breast cancer","EXATECAN","DNA topoisomerase I inhibitor","INHIBITOR","ENSG00000198900","DNA topoisomerase I","TOP1","Small molecule","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die.

PURPOSE: Phase II trial to study the effectiveness of DX-8951f in treating women who have metastatic breast cancer that has not responded to previous therapy.","yes"
"31","NCT00004906",2,"Completed","breast cancer","PAMIDRONATE DISODIUM","Farnesyl diphosphate synthase inhibitor","INHIBITOR","ENSG00000160752","farnesyl diphosphate synthase","FDPS","Small molecule","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Combining chemotherapy with peripheral stem cell transplantation may allow the doctor to give higher doses of chemotherapy drugs and kill more tumor cells.

PURPOSE: Phase II trial to study the effectiveness of combination chemotherapy plus peripheral stem cell transplantation in treating women who have metastatic breast cancer.","yes"
"33","NCT00005822",1,"Completed","breast cancer","SEMAXANIB","Vascular endothelial growth factor receptor inhibitor","INHIBITOR","ENSG00000157404","fms related receptor tyrosine kinase 4","FLT4","Small molecule","RATIONALE: SU5416 may stop the growth of breast cancer by stopping blood flow to the tumor. Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Combining SU5416 with chemotherapy may kill more cancer cells.

PURPOSE: Phase I trial to study the effectiveness of combining SU5416 and doxorubicin in treating patients who have stage IIIB or stage IV inflammatory breast cancer.","yes"
