"","NCT_ID","Phase","Status","Disease Name","Drug Name","Mechanism of Action","Action Type","Target ID","Target Approved Name","Target Approved Symbol","Drug Type","trial_summary"
"1","NCT00001444",1,"Completed","breast cancer","UCN-01","Cyclin-dependent kinase 6 inhibitor","INHIBITOR","ENSG00000140992","cyclin dependent kinase 6","CDK6","Small molecule","This is a dosage escalation study to estimate the maximum tolerated dose of staurosporine analogue UCN-01. Groups of 3 to 6 patients receive a 72-hours intravenous continuous infusions of UCN-01 from day 1 to day 4 of each cycle the first cycle only, and over 36-hours on subsequent cycles. The side effects are allowed to disappear for up to 28 days. This cycle is repeated after evaluations and follow-ups, which are every 4 weeks, as long as the patient benefits."
"2","NCT00001504",1,"Completed","breast cancer","ALITRETINOIN","Retinoid receptor agonist","AGONIST","ENSG00000204231","retinoic acid receptor alpha","RARA","Small molecule","This is a dosage escalation study to estimate the maximum tolerated dose of 9-cis-retinoic acid given in combination with tamoxifen. Groups of 3 to 6 patients receive oral 9-cis-retinoic acid daily for 4 weeks, after which daily oral tamoxifen is added to the regimen. Patients continue treatment for up to 28 weeks, with tamoxifen continued after the study if medically appropriate."
"3","NCT00001944",1,"Completed","breast cancer","TARIQUIDAR","P-glycoprotein 1 inhibitor","INHIBITOR","ENSG00000085563","ATP binding cassette subfamily B member 1","ABCB1","Small molecule","Tumor resistance to anti-cancer drugs is a major problem in cancer treatment. Studies have found that a protein (P-glycoprotein) on some cancer cells pumps chemotherapy drugs out of the cells, reducing treatment effectiveness. In laboratory tests, an experimental drug called XR9576, has blocked pumping by this protein. It is being used in this study to try to increase the amount of the anti-cancer drug vinorelbine, in cancer cells. Vinorelbine has been shown in several clinical trials to be effective against some advanced cancers, including breast, lung and ovarian, and is one of the drugs pumped out of tumor cells by P-glycoprotein.

Patients with cancer 18 years and older may be eligible for this study. Candidates will be screened with tests that may include blood and urine tests, electrocardiogram, echocardiogram, CT scans, X-rays, and nuclear medicine studies. A tumor biopsy may be done for diagnostic or research purposes.

Study participants will undergo tumor imaging with the radioactive drug Tc-99m Sestamibi. This drug accumulates in tumor cells and is eliminated from them in much the same way that some cancer drugs are eliminated from cells. The drug is injected into a vein and a series of pictures are taken with a gamma camera. After this baseline scan, patients will receive a dose of XR9576 and undergo a second scan 24 hours later. The scan will show whether XR9576 affects the accumulation and elimination of Sestamibi in tumor cells. This procedure may provide a way to monitor cancers for evidence of chemotherapy resistance and show if XR9576 can improve the effectiveness of therapy.

At least 10 days after the baseline and XR9576 scans, patients will begin the first of 3 or more 21-day cycles of vinorelbine treatment. On days 1 and 8 of each cycle, patients will receive a 30-minute infusion of XR9576 intravenously (through a vein) followed by vinorelbine, infused over a 6- to 10-minute period. (In some patients, XR9576 will be administered before only one of the two vinorelbine dosages.)

Physical examination, blood tests, and other procedures may be done periodically to monitor treatment."
"4","NCT00002544",3,"Completed","breast cancer","MITOXANTRONE","DNA topoisomerase II alpha inhibitor","INHIBITOR","ENSG00000131747","DNA topoisomerase II alpha","TOP2A","Small molecule","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. It is not yet known if mitoxantrone is more effective with or without docetaxel.

PURPOSE: Randomized phase III trial to compare the effectiveness of mitoxantrone with or without docetaxel in treating women who have metastatic breast cancer with a poor prognosis."
"5","NCT00002580",3,"Completed","breast cancer","LEUPROLIDE ACETATE","Gonadotropin-releasing hormone receptor agonist","AGONIST","ENSG00000109163","gonadotropin releasing hormone receptor","GNRHR","Protein","RATIONALE: Estrogen can stimulate the growth of breast cancer cells. Hormone therapy using tamoxifen may fight breast cancer by blocking the uptake of estrogen. Chemotherapy uses different ways to stop tumor cells from dividing so they stop growing or die. Combining chemotherapy with hormone therapy may kill more tumor cells. It is not yet known which treatment regimen is most effective for breast cancer.

PURPOSE: Randomized phase III trial to compare the effectiveness of tamoxifen with that of ovarian ablation, and/or combination chemotherapy in treating premenopausal women with stage I, stage II, or stage IIIA breast cancer."
"6","NCT00002772",3,"Terminated","breast cancer","CARMUSTINE","Glutathione reductase inhibitor","INHIBITOR","ENSG00000104687","glutathione-disulfide reductase","GSR","Small molecule","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Peripheral stem cell transplantation may allow the doctor to give higher doses of chemotherapy drugs and kill more tumor cells. It is not yet known which regimen of chemotherapy followed by peripheral stem cell transplantation is more effective for breast cancer.

PURPOSE: Randomized phase III trial to compare the effectiveness of combination chemotherapy plus peripheral stem cell transplantation in treating women who have undergone surgery for breast cancer."
"7","NCT00002836",3,"Completed","breast cancer","ETOPOSIDE","DNA topoisomerase II inhibitor","INHIBITOR","ENSG00000131747","DNA topoisomerase II beta","TOP2B","Small molecule","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Colony-stimulating factors such as filgrastim may increase the number of immune cells found in bone marrow or peripheral blood and may help a person's immune system recover from the side effects of chemotherapy. Peripheral stem cell transplantation may allow the doctor to give higher doses of chemotherapy drugs and kill more tumor cells. It is not yet known which treatment regimen is more effective for breast cancer.

PURPOSE: Randomized phase III trial to compare the effectiveness of chemotherapy plus filgrastim with filgrastim alone in treating women undergoing peripheral stem cell transplantation for stage II, stage III, or metastatic breast cancer."
"8","NCT00002864",3,"Completed","breast cancer","OCTREOTIDE ACETATE","Somatostatin receptor agonist","AGONIST","ENSG00000162009","somatostatin receptor 3","SSTR3","Protein","RATIONALE: Estrogen can stimulate the growth of breast cancer cells. Hormone therapy using tamoxifen with or without octreotide may fight breast cancer by blocking the uptake of estrogen. It is not yet known which treatment regimen is more effective for breast cancer.

PURPOSE: Randomized phase III trial to compare the effectiveness of tamoxifen with or without octreotide in treating postmenopausal women who have stage I, stage II, or stage III breast cancer."
"9","NCT00002937",2,"Completed","breast cancer","VALSPODAR","P-glycoprotein 1 inhibitor","INHIBITOR","ENSG00000085563","ATP binding cassette subfamily B member 1","ABCB1","Protein","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Combining more than one drug may kill more tumor cells.

PURPOSE: Randomized phase II trial to compare the effectiveness of paclitaxel with or without PSC 833 in treating patients with metastatic breast cancer."
"10","NCT00002967",3,"Completed","breast cancer","OCTREOTIDE","Somatostatin receptor agonist","AGONIST","ENSG00000162009","somatostatin receptor 4","SSTR4","Protein","RATIONALE: Drugs used in chemotherapy use different ways to stop tumor cells from dividing so they stop growing or die. Combining hormone therapy with chemotherapy may kill more tumor cells.

PURPOSE: Randomized phase III trial to study the effectiveness of tamoxifen, octreotide, and chemotherapy in treating women who have stage I or stage II breast cancer."
