NCT ID,Brief Summary
NCT05732064,"Breast cancer patients often have sleep disturbances during the perioperative period. Dexmedetomidine is a highly selective alpha 2-adrenoceptor agonist with sedative, anxiolytic, and analgesic effects. Previous studies showed that night-time low-dose dexmedetomidine infusion improved sleep quality. Esketamine is a N-methyl-D-aspartic acid receptor antagonist and has been used as an anesthetic and analgesic. Recent studies showed that low-dose esketamine has anti-depressive and sleep-promoting effects. The investigators suppose that low-dose dexmedetomidine-esketamine combined nasal administration at night can improve perioperative sleep quality in patients scheduled for breast cancer surgery."
NCT00172029,"The aim of this prospective, randomized, open-label, multicentric clinical study is to assess the effícacy and tolerability of zoledronic acid 4 mg IV infused over 15 minutes every 4 weeks for a total of 6 infusions, in combination with standard or reduced dose radiotherapy in patients with breast cancer and metastatic bone disease associated with pain."
NCT05131841,To compare pharmacokinetics Index of Cipterbin combined with Vinorelbine Injection every week or every three weeks in the treatment of patients with HER2-positive metastatic breast cancer
NCT03511378,The purpose of this study is to compare the immunogenicity of Peg-filgrastim versus Neulasta® as an adjunct to chemotherapy in patients with breast cancer
NCT04248179,"The investigators have developed a novel ultrasound-guided nerve block indicated primarily for breast cancer surgery that mimic a thoracic paravertebral block (TPVB) - hitherto the internationally accepted regional anesthesia golden standard for anesthesia of the hemithorax - but hypothetically without the risks of adverse events associated with the TPVB (i.e. pneumothorax, risk of bleeding in the thoracic paravertebral space, random and unmanageable epidural spread etc.). The investigators have already tested the anatomical- and block execution hypothesis in a randomized cadaveric study, and the investigators now have anatomical proof of concept for the functionality of the block technique. The investigators have also conducted a small clinical pilot study with very promising results. The investigators wish to conduct a randomized, placebo controlled and double-blind study, comparing the effect of the ultrasound-guided multiple-injection costotransverse block (MICB) vs. placebo. The aim with this study is to investigate the efficacy of the MICB vs. placebo in patients undergoing unilateral mastectomy and primary reconstructive surgery due to breast cancer or ductal carcinoma in situ. The hypothesis is, that the unilateral MICB will significantly reduce the opioid consumption during the first 24 postoperative hours and significantly reduce the Numerical Rating Scale pain score (0-10) and opioid related side effects."
NCT02864030,"On March 17th, 2011, the European Commission issued a marketing authorization valid throughout the European Union for Eribulin mesylate (Halaven; Eisai Limited), for the treatment of patients with locally advanced or metastatic breast cancer who have progressed after at least two chemotherapic regimens for advanced disease.

As the use of Eribulin will be widespread in this tumor setting, a better knowledge of its safety profile outside clinical trials is warranted.

Indeed the possibility to select patients at risk for developing Eribulin-induced neuropathy, will allow the exclusion from these treatment of those patients harbouring the specific single nucleotide polymorphism (SNP). Given that Eribulin toxicity often results in treatment discontinuation, the ability to anticipate which patients will experience severe toxicity could allow for either early intervention or even possibly for prophylactic therapy, or for selection of the patients to be treated."
NCT00774241,"This single arm study will assess the efficacy and safety of first line combination treatment with Avastin + docetaxel in patients with HER2 negative metastatic breast cancer.Patients will receive Avastin (15mg/kg iv every 3 weeks) plus docetaxel (75mg/m2 every 3 weeks for 6 cycles). The anticipated time on study treatment is until disease progression, and the target sample size is 100 individuals."
NCT05072314,"The LOLIPOP Trial is a large (n=4,300 patients) pragmatic, international, multicentre, prospective, randomised, double blind, placebo-controlled, parallel assessment, safety and effectiveness superiority study."
NCT03988114,"The reason for this study is to see if the drug abemaciclib in combination with nonsteroidal aromatase inhibitors (anastrozole or letrozole) is effective in participants with Hormone Receptor Positive (HR+), Human Epidermal Growth Factor Receptor 2 Negative (HER2-) advanced breast cancer that have certain disease characteristics."
NCT05420454,"Due to the unique advantages of albumin-bound paclitaxel, several studies in China and abroad have tried to use albumin-bound paclitaxel for neoadjuvant treatment of breast cancer up to now. However, comparative studies between paclitaxel and docetaxel are still rare, In this study, a prospective, randomized, open-label, multi-center clinical study was conducted to analyse the efficacy and safety of albumin-bound paclitaxel and docetaxel in the neoadjuvant treatment of breast cancer, and to further analyse the efficacy and safety of albumin paclitaxel in combination with chemotherapy for postoperative breast cancer in different subtypes of breast cancer patients, in order to obtain more realistic data and provide new treatment options for breast cancer patients."
NCT02447328,This single-arm study aims to assess the safety and tolerability profile of Fulvestrant(Faslodex®) as 2nd line and later therapy in postmenopausal women with locally advanced or metastatic breast cancer. The primary objective is to evaluate the adverse events after Fulvestrant (Faslodex®) for about 6 months
NCT03238703,"This pilot clinical trial studies how well endocrine therapy works in treating patients with HER2 negative, low risk breast cancer. Estrogen can cause the growth of breast cancer cells. Endocrine therapies such as aromatase inhibitors and selective estrogen receptor modulators may lessen the amount of estrogen made by the body."
NCT05840068,The purpose of this study is to examine the impact of metformin as an adjuvant to chemotherapy on IGF levels in both progressing and non progressing cases of metastatic breast cancer in female patients.
NCT04248179,"The investigators have developed a novel ultrasound-guided nerve block indicated primarily for breast cancer surgery that mimic a thoracic paravertebral block (TPVB) - hitherto the internationally accepted regional anesthesia golden standard for anesthesia of the hemithorax - but hypothetically without the risks of adverse events associated with the TPVB (i.e. pneumothorax, risk of bleeding in the thoracic paravertebral space, random and unmanageable epidural spread etc.). The investigators have already tested the anatomical- and block execution hypothesis in a randomized cadaveric study, and the investigators now have anatomical proof of concept for the functionality of the block technique. The investigators have also conducted a small clinical pilot study with very promising results. The investigators wish to conduct a randomized, placebo controlled and double-blind study, comparing the effect of the ultrasound-guided multiple-injection costotransverse block (MICB) vs. placebo. The aim with this study is to investigate the efficacy of the MICB vs. placebo in patients undergoing unilateral mastectomy and primary reconstructive surgery due to breast cancer or ductal carcinoma in situ. The hypothesis is, that the unilateral MICB will significantly reduce the opioid consumption during the first 24 postoperative hours and significantly reduce the Numerical Rating Scale pain score (0-10) and opioid related side effects."
NCT05291910,"This is a multi-center, prospective, interventional, single-arm clinical trial. In the study, patients with her2-positive recurrent or metastatic breast cancer who were initially treated were included. The purpose of this study is to evaluate the efficacy and safety of Inetetamab combined with anti-PD-1 monoclonal antibody and albumin-bound paclitaxel for HER2+ Metastatic Breast Cancer."
NCT02005770,"Serious concern about the role of anesthesia in tumor recurrence has considerably risen over years, but the lack of surrogate markers for tumor spreading made trials addressing this issue difficult to realize. In breast cancer patients CTC positivity has been recently recognized as an independent prognostic factor. In this respect, we postulated that in a first step changes in the number of CTC after general anesthesia would help to determine the effect of anesthesia on this tumor marker."
NCT00172029,"The aim of this prospective, randomized, open-label, multicentric clinical study is to assess the effícacy and tolerability of zoledronic acid 4 mg IV infused over 15 minutes every 4 weeks for a total of 6 infusions, in combination with standard or reduced dose radiotherapy in patients with breast cancer and metastatic bone disease associated with pain."
NCT05183828,This stage IV trial examines how a mutation in HSD3B1 (1245C) gene affects treatment of stage I-III breast cancer. This trial may help researchers determine if mutations in HSD3B1 decreases the efficacy of aromatase inhibitor therapy such as letrozole. Letrozole may stop the growth of cancer cells by blocking some of the enzymes needed for cell growth.
NCT00082277,The purpose of this study is to evaluate safety parameters of anastrozole with regard to its potential effects on postmenopausal bone loss and on lipid profiles. This trial is conducted to investigate the effects of risedronate on BMD and on bone metabolism in postmenopausal women using anastrozole as adjuvant therapy for hormone-receptor-positive early breast cancer and who are high or moderate risk of fragility fracture. It is also conducted to determine the effects of anastrozole on bone mineral density (BMD) and on bone metabolism in women at low risk of fragility fracture.
NCT03051503,"to determine the safety, efficacy and tolerability of transdermal fentanyl in patients undergoing mastectomy, as well as the postoperative consumption of analgesic."
NCT03676114,"Breast cancer patients often have perioperative emotional disorders such as anxiety and depression, which can lead to poor quality of recovery.This study aims to determine whether ketamine could improve the quality of recovery in breast cancer patients. Meanwhile, it will show if ketamine could improve anxiety, depression, postoperative pain and fatigue.This trial also will bring great concerns on patients' mental health perioperatively and explore the measures to improve their quality of life."
NCT06300099,"Modified radical mastectomy is the most commonly performed surgical approach for breast cancer. The procedure enables surgeons to remove the main tumor mass, adjacent glandular tissue and regional lymph nodes. Moreover, it provides a cosmetic outcome that clearly surpasses the standard radical mastectomy and allows subsequent breast reconstruction with favorable results.

The present randomized study aims to compare the postoperative analgesic effects of dexamethasone and dexmedetomidine as adjuncts to serratus anterior plane block in women undergoing modified radical mastectomy."
NCT06252662,Perform a comparison of effective pain relief duration between liposomal bupivacaine and dexmedetomidine when added to bupivacaine in a block for mastectomy for cancer surgery. The erector spinae plane block is a well-established block that is utilized for post operative pain control for procedures performed on the soft tissue of the chest and chest wall as well as intrathoracic procedures. The goal is comparison of the effective duration of both study groups to determine if there is a significant difference in time and amount of post operative opioids required which admitted to hospital.
NCT03360214,"This is a prospective randomized controlled double-blind interventional study comparing the effect of pulsed-electromagnetic field device (PEMF), pectoral interfascial block (PIB), and placebo on postoperative pain control. This study has the interdisciplinary cooperation of the regional anesthesia group, and the breast and plastic surgery divisions. All female patients with breast cancer evaluated at Columbia University Medical Center (CUMC) who are undergoing unilateral or bilateral mastectomy with tissue expander reconstruction will be offered enrollment in this prospective study."
NCT06252662,Perform a comparison of effective pain relief duration between liposomal bupivacaine and dexmedetomidine when added to bupivacaine in a block for mastectomy for cancer surgery. The erector spinae plane block is a well-established block that is utilized for post operative pain control for procedures performed on the soft tissue of the chest and chest wall as well as intrathoracic procedures. The goal is comparison of the effective duration of both study groups to determine if there is a significant difference in time and amount of post operative opioids required which admitted to hospital.
NCT03007381,"Background: Ketorolac tromethamine is a nonsteroidal anti-inflammatory drug that has been shown to reduce breakthrough narcotic consumption following orthopaedic, neurosurgical, and obstetrical procedures. The morphine-sparing effect of ketorolac may reduce respiratory and central nervous system depression post operatively, while still providing adequate pain control for patients. Patients undergoing abdominally based microsurgical breast reconstruction may particularly benefit from ketorolac postoperatively, and ultimately be safely discharged from hospital sooner than their counterparts receiving standard of care.

Research Question: In adult women post-mastectomy, undergoing abdominally based microsurgical breast reconstruction, does a postoperative regimen of intravenous ketorolac tromethamine, in addition to standard of care, reduce the length of postoperative hospital stay compared with an intravenous sham saline regimen?

Study Design: A single center, explanatory, placebo-controlled, 1:1 allocation, 2-arm, parallel group, superiority, randomized, and double blinded, controlled trial.

Population: The study population includes all females \>18 years old post mastectomy consenting to abdominally based microsurgical breast reconstruction.

Intervention and Comparator: The intervention will be ketorolac 30 mg IV every 6 hours postoperatively for 72 hours. The comparator will be a sham intravenous administration of normal saline.

Outcomes: The primary outcome is hospital length of stay postoperatively. Secondary outcomes include visual analog scale for pain, breakthrough narcotic consumption, surgical drain outputs, hematoma, and other complications.

Sample Size: Available data provided estimates for average length of hospital stay and standard deviation. A minimally clinically significant difference of 1 day was decided on due to expert opinion. Based on a power of 80% and alpha of 0.05, and inflated to account for attrition and efficiency losses, a total of 50 patients (25 per group) will be required for this study."
