"","GAMuT_60259"
"ENSG00000000003",2234
"ENSG00000000419",1058
"ENSG00000000457",773
"ENSG00000000460",1362
"ENSG00000000938",374
"ENSG00000000971",772
"ENSG00000001036",1759
"ENSG00000001084",553
"ENSG00000001167",945
"ENSG00000001460",220
"ENSG00000001461",1767
"ENSG00000001497",1030
"ENSG00000001561",314
"ENSG00000001617",832
"ENSG00000001626",547
"ENSG00000001629",4347
"ENSG00000001630",70
"ENSG00000001631",1485
"ENSG00000002016",325
"ENSG00000002330",136
"ENSG00000002549",5117
"ENSG00000002586",1442
"ENSG00000002587",429
"ENSG00000002726",5
"ENSG00000002822",437
"ENSG00000002834",5841
"ENSG00000002919",438
"ENSG00000002933",104
"ENSG00000003056",3243
"ENSG00000003096",2435
"ENSG00000003147",1429
"ENSG00000003249",240
"ENSG00000003393",2075
"ENSG00000003400",810
"ENSG00000003402",6812
"ENSG00000003436",2752
"ENSG00000003509",607
"ENSG00000003756",3334
"ENSG00000003989",4643
"ENSG00000004059",485
"ENSG00000004139",312
"ENSG00000004142",1452
"ENSG00000004399",1904
"ENSG00000004455",2706
"ENSG00000004468",219
"ENSG00000004478",4863
"ENSG00000004487",5129
"ENSG00000004534",2745
"ENSG00000004660",157
"ENSG00000004700",1993
"ENSG00000004766",1208
"ENSG00000004777",27
"ENSG00000004779",839
"ENSG00000004799",248
"ENSG00000004848",0
"ENSG00000004864",1518
"ENSG00000004866",652
"ENSG00000004897",3490
"ENSG00000004961",763
"ENSG00000004975",297
"ENSG00000005001",414
"ENSG00000005007",1393
"ENSG00000005020",2097
"ENSG00000005022",3745
"ENSG00000005059",908
"ENSG00000005075",126
"ENSG00000005100",1108
"ENSG00000005108",34
"ENSG00000005156",957
"ENSG00000005175",2290
"ENSG00000005187",843
"ENSG00000005189",291
"ENSG00000005194",811
"ENSG00000005206",104
"ENSG00000005238",197
"ENSG00000005243",30
"ENSG00000005249",41
"ENSG00000005302",1044
"ENSG00000005339",2999
"ENSG00000005379",53
"ENSG00000005436",1047
"ENSG00000005448",270
"ENSG00000005469",560
"ENSG00000005483",3447
"ENSG00000005486",466
"ENSG00000005700",3236
"ENSG00000005801",2053
"ENSG00000005810",9119
"ENSG00000005812",2330
"ENSG00000005844",233
"ENSG00000005882",75
"ENSG00000005884",2990
"ENSG00000005889",4679
"ENSG00000005893",7150
"ENSG00000006007",2372
"ENSG00000006015",111
"ENSG00000006025",118
"ENSG00000006042",155
"ENSG00000006062",283
"ENSG00000006118",324
"ENSG00000006125",9333
"ENSG00000006194",813
"ENSG00000006210",1046
"ENSG00000006282",604
"ENSG00000006327",2221
"ENSG00000006432",1167
"ENSG00000006451",4049
"ENSG00000006453",1269
"ENSG00000006459",1918
"ENSG00000006468",181
"ENSG00000006530",833
"ENSG00000006534",239
"ENSG00000006555",380
"ENSG00000006576",1403
"ENSG00000006607",4454
"ENSG00000006611",228
"ENSG00000006625",706
"ENSG00000006634",639
"ENSG00000006652",1332
"ENSG00000006695",314
"ENSG00000006704",483
"ENSG00000006712",689
"ENSG00000006715",7059
"ENSG00000006740",186
"ENSG00000006744",1354
"ENSG00000006747",575
"ENSG00000006756",1827
"ENSG00000006757",303
"ENSG00000006831",2424
"ENSG00000007047",204
"ENSG00000007062",8906
"ENSG00000007080",99
"ENSG00000007168",4284
"ENSG00000007174",4
"ENSG00000007202",7874
"ENSG00000007237",129
"ENSG00000007255",41
"ENSG00000007306",253
"ENSG00000007341",698
"ENSG00000007376",217
"ENSG00000007384",601
"ENSG00000007392",1482
"ENSG00000007516",78
"ENSG00000007520",393
"ENSG00000007541",317
"ENSG00000007545",478
"ENSG00000007866",281
"ENSG00000007923",1384
"ENSG00000007944",346
"ENSG00000007968",224
"ENSG00000008018",1796
"ENSG00000008083",516
"ENSG00000008086",1769
"ENSG00000008128",26
"ENSG00000008130",1147
"ENSG00000008226",22
"ENSG00000008256",603
"ENSG00000008277",652
"ENSG00000008282",2544
"ENSG00000008283",1454
"ENSG00000008294",5961
"ENSG00000008300",929
"ENSG00000008311",373
"ENSG00000008323",131
"ENSG00000008324",402
"ENSG00000008382",102
"ENSG00000008394",1616
"ENSG00000008405",616
"ENSG00000008441",124
"ENSG00000008513",626
"ENSG00000008517",2717
"ENSG00000008710",247
"ENSG00000008838",1665
"ENSG00000008853",233
"ENSG00000008869",2200
"ENSG00000008952",4760
"ENSG00000008988",2924
"ENSG00000009307",19550
"ENSG00000009335",4243
"ENSG00000009413",2353
"ENSG00000009765",89
"ENSG00000009780",394
"ENSG00000009790",178
"ENSG00000009830",583
"ENSG00000009844",1505
"ENSG00000009950",10
"ENSG00000009954",4785
"ENSG00000010017",1137
"ENSG00000010030",386
"ENSG00000010072",1197
"ENSG00000010165",874
"ENSG00000010219",299
"ENSG00000010244",6770
"ENSG00000010256",2226
"ENSG00000010270",1218
"ENSG00000010278",650
"ENSG00000010292",3270
"ENSG00000010295",67
"ENSG00000010310",16
"ENSG00000010318",24
"ENSG00000010322",918
"ENSG00000010327",370
"ENSG00000010361",194
"ENSG00000010404",3415
"ENSG00000010438",120
"ENSG00000010539",415
"ENSG00000010610",518
"ENSG00000010626",146
"ENSG00000010671",134
"ENSG00000010704",253
"ENSG00000010803",667
"ENSG00000010810",199
"ENSG00000010818",2963
"ENSG00000010932",8
"ENSG00000011007",1872
"ENSG00000011009",663
"ENSG00000011021",396
"ENSG00000011028",566
"ENSG00000011105",143
"ENSG00000011114",2955
"ENSG00000011132",95
"ENSG00000011143",264
"ENSG00000011198",804
"ENSG00000011201",271
"ENSG00000011243",539
"ENSG00000011258",1287
"ENSG00000011260",1301
"ENSG00000011275",1785
"ENSG00000011295",1318
"ENSG00000011304",3408
"ENSG00000011347",89
"ENSG00000011376",1039
"ENSG00000011405",6252
"ENSG00000011422",2291
"ENSG00000011426",10771
"ENSG00000011451",311
"ENSG00000011454",3043
"ENSG00000011465",2164
"ENSG00000011478",76
"ENSG00000011485",1518
"ENSG00000011523",389
"ENSG00000011566",1945
"ENSG00000011600",229
"ENSG00000011638",497
"ENSG00000012048",2051
"ENSG00000012061",851
"ENSG00000012124",79
"ENSG00000012171",247
"ENSG00000012174",1442
"ENSG00000012211",128
"ENSG00000012223",5
"ENSG00000012232",1163
"ENSG00000012504",56
"ENSG00000012660",2100
"ENSG00000012779",1352
"ENSG00000012822",648
"ENSG00000012963",1012
"ENSG00000012983",3041
"ENSG00000013016",230
"ENSG00000013275",1752
"ENSG00000013288",692
"ENSG00000013297",284
"ENSG00000013306",1290
"ENSG00000013364",2514
"ENSG00000013374",2133
"ENSG00000013375",1873
"ENSG00000013392",94
"ENSG00000013441",3551
"ENSG00000013503",837
"ENSG00000013523",400
"ENSG00000013561",895
"ENSG00000013563",409
"ENSG00000013573",322
"ENSG00000013583",220
"ENSG00000013588",13218
"ENSG00000013619",87
"ENSG00000013725",28
"ENSG00000013810",1128
"ENSG00000014123",1371
"ENSG00000014138",1554
"ENSG00000014164",145
"ENSG00000014216",3984
"ENSG00000014257",52
"ENSG00000014641",3504
"ENSG00000014824",3967
"ENSG00000014914",1790
"ENSG00000014919",1348
"ENSG00000015133",1335
"ENSG00000015153",1151
"ENSG00000015171",3206
"ENSG00000015475",1556
"ENSG00000015479",992
"ENSG00000015520",139
"ENSG00000015532",353
"ENSG00000015676",2493
"ENSG00000016391",821
"ENSG00000016402",552
"ENSG00000016490",4
"ENSG00000016864",990
"ENSG00000017260",6015
"ENSG00000017427",60
"ENSG00000017483",1234
"ENSG00000017797",2463
"ENSG00000018189",1723
"ENSG00000018236",176
"ENSG00000018280",375
"ENSG00000018408",7775
"ENSG00000018510",3502
"ENSG00000018610",562
"ENSG00000018699",1263
"ENSG00000018869",48
"ENSG00000019102",17
"ENSG00000019144",839
"ENSG00000019485",186
"ENSG00000019505",1746
"ENSG00000019549",123
"ENSG00000019582",6751
"ENSG00000019991",256
"ENSG00000019995",1985
"ENSG00000020129",270
"ENSG00000020181",148
"ENSG00000020256",307
"ENSG00000020426",1041
"ENSG00000020577",2600
"ENSG00000020633",107
"ENSG00000020922",3597
"ENSG00000021300",39
"ENSG00000021355",2575
"ENSG00000021574",1319
"ENSG00000021762",115
"ENSG00000021776",3904
"ENSG00000021826",765
"ENSG00000022267",15
"ENSG00000022277",1236
"ENSG00000022556",21
"ENSG00000022567",233
"ENSG00000022840",2427
"ENSG00000022976",292
"ENSG00000023041",1508
"ENSG00000023171",118
"ENSG00000023191",934
"ENSG00000023228",4095
"ENSG00000023287",3076
"ENSG00000023318",1837
"ENSG00000023330",867
"ENSG00000023445",30316
"ENSG00000023516",5421
"ENSG00000023572",275
"ENSG00000023608",283
"ENSG00000023697",1387
"ENSG00000023734",2969
"ENSG00000023839",200
"ENSG00000023892",213
"ENSG00000023902",525
"ENSG00000023909",914
"ENSG00000024048",2848
"ENSG00000024422",810
"ENSG00000024526",1849
"ENSG00000024862",135
"ENSG00000025039",207
"ENSG00000025156",259
"ENSG00000025293",1630
"ENSG00000025434",278
"ENSG00000025708",1824
"ENSG00000025770",386
"ENSG00000025772",1037
"ENSG00000025796",1794
"ENSG00000025800",4387
"ENSG00000026025",11342
"ENSG00000026036",41
"ENSG00000026103",550
"ENSG00000026297",2679
"ENSG00000026508",4242
"ENSG00000026652",223
"ENSG00000026751",218
"ENSG00000026950",907
"ENSG00000027001",951
"ENSG00000027075",956
"ENSG00000027697",2554
"ENSG00000027847",224
"ENSG00000028116",1544
"ENSG00000028137",733
"ENSG00000028203",7079
"ENSG00000028277",63
"ENSG00000028310",1151
"ENSG00000028528",1894
"ENSG00000028839",394
"ENSG00000029153",5763
"ENSG00000029363",4441
"ENSG00000029364",5005
"ENSG00000029534",34
"ENSG00000029639",458
"ENSG00000029725",2802
"ENSG00000029993",1375
"ENSG00000030066",7633
"ENSG00000030110",189
"ENSG00000030419",2243
"ENSG00000030582",1922
"ENSG00000031003",1606
"ENSG00000031081",791
"ENSG00000031691",300
"ENSG00000031698",2584
"ENSG00000031823",669
"ENSG00000032219",1563
"ENSG00000032389",840
"ENSG00000032444",696
"ENSG00000032742",1137
"ENSG00000033011",592
"ENSG00000033030",1330
"ENSG00000033050",1291
"ENSG00000033100",749
"ENSG00000033170",1515
"ENSG00000033178",6984
"ENSG00000033327",709
"ENSG00000033627",1381
"ENSG00000033800",3775
"ENSG00000033867",5113
"ENSG00000034053",13
"ENSG00000034152",493
"ENSG00000034510",24694
"ENSG00000034533",243
"ENSG00000034677",18683
"ENSG00000034693",401
"ENSG00000034713",780
"ENSG00000035115",2257
"ENSG00000035141",1378
"ENSG00000035403",9568
"ENSG00000035499",1171
"ENSG00000035664",59
"ENSG00000035681",1364
"ENSG00000035687",4998
"ENSG00000035862",2162
"ENSG00000035928",3083
"ENSG00000036054",1358
"ENSG00000036257",3104
"ENSG00000036473",0
"ENSG00000036549",3615
"ENSG00000036828",10
"ENSG00000037042",27
"ENSG00000037241",91
"ENSG00000037280",25
"ENSG00000037474",3228
"ENSG00000037637",934
"ENSG00000037749",1500
"ENSG00000037757",436
"ENSG00000037897",332
"ENSG00000038002",689
"ENSG00000038210",885
"ENSG00000038219",5195
"ENSG00000038274",1923
"ENSG00000038358",731
"ENSG00000038382",9573
"ENSG00000038427",106825
"ENSG00000038532",1205
"ENSG00000038945",1424
"ENSG00000039068",14223
"ENSG00000039123",3252
"ENSG00000039139",433
"ENSG00000039319",4432
"ENSG00000039523",721
"ENSG00000039537",10
"ENSG00000039560",1704
"ENSG00000039650",471
"ENSG00000040199",1042
"ENSG00000040275",994
"ENSG00000040341",1340
"ENSG00000040487",165
"ENSG00000040531",187
"ENSG00000040608",4
"ENSG00000040633",500
"ENSG00000040933",1516
"ENSG00000041353",3834
"ENSG00000041357",4057
"ENSG00000041802",1637
"ENSG00000041880",222
"ENSG00000041982",82
"ENSG00000041988",116
"ENSG00000042088",893
"ENSG00000042286",314
"ENSG00000042317",409
"ENSG00000042429",2627
"ENSG00000042445",1470
"ENSG00000042493",2432
"ENSG00000042753",697
"ENSG00000042980",2447
"ENSG00000043039",5
"ENSG00000043093",2477
"ENSG00000043143",1483
"ENSG00000043462",2074
"ENSG00000043514",973
"ENSG00000044090",620
"ENSG00000044115",13567
"ENSG00000044446",796
"ENSG00000044459",681
"ENSG00000044524",133
"ENSG00000044574",11210
"ENSG00000046604",22380
"ENSG00000046647",383
"ENSG00000046651",2712
"ENSG00000046653",9
"ENSG00000046889",6230
"ENSG00000047056",618
"ENSG00000047188",2335
"ENSG00000047230",2152
"ENSG00000047249",885
"ENSG00000047315",5548
"ENSG00000047346",886
"ENSG00000047365",6124
"ENSG00000047410",10874
"ENSG00000047457",1407
"ENSG00000047578",964
"ENSG00000047579",204
"ENSG00000047597",1001
"ENSG00000047617",10
"ENSG00000047621",955
"ENSG00000047634",409
"ENSG00000047644",1439
"ENSG00000047648",16
"ENSG00000047849",7053
"ENSG00000047932",1373
"ENSG00000048028",535
"ENSG00000048052",1712
"ENSG00000048140",670
"ENSG00000048162",545
"ENSG00000048342",567
"ENSG00000048392",3330
"ENSG00000048405",1559
"ENSG00000048471",946
"ENSG00000048544",429
"ENSG00000048649",5552
"ENSG00000048707",5216
"ENSG00000048740",547
"ENSG00000048828",4896
"ENSG00000048991",1298
"ENSG00000049089",93
"ENSG00000049130",33266
"ENSG00000049167",526
"ENSG00000049192",205
"ENSG00000049239",1310
"ENSG00000049245",3895
"ENSG00000049246",341
"ENSG00000049283",147
"ENSG00000049323",534
"ENSG00000049449",1769
"ENSG00000049540",31
"ENSG00000049541",550
"ENSG00000049618",1826
"ENSG00000049656",1758
"ENSG00000049759",2668
"ENSG00000049769",40
"ENSG00000049860",1970
"ENSG00000049883",754
"ENSG00000050130",1575
"ENSG00000050165",310
"ENSG00000050327",173
"ENSG00000050344",2532
"ENSG00000050393",630
"ENSG00000050405",4403
"ENSG00000050426",998
"ENSG00000050438",46
"ENSG00000050555",3
"ENSG00000050628",64
"ENSG00000050748",1356
"ENSG00000050820",656
"ENSG00000051009",431
"ENSG00000051108",1331
"ENSG00000051128",90
"ENSG00000051180",337
"ENSG00000051341",2323
"ENSG00000051382",2583
"ENSG00000051523",1395
"ENSG00000051596",144
"ENSG00000051620",1387
"ENSG00000051825",2159
"ENSG00000052126",3283
"ENSG00000052344",745
"ENSG00000052723",2606
"ENSG00000052749",1148
"ENSG00000052795",3150
"ENSG00000052802",1340
"ENSG00000052841",3180
"ENSG00000053254",586
"ENSG00000053371",461
"ENSG00000053372",1539
"ENSG00000053501",144
"ENSG00000053524",32
"ENSG00000053747",24520
"ENSG00000053770",2030
"ENSG00000053900",1303
"ENSG00000053918",15
"ENSG00000054116",1188
"ENSG00000054118",5676
"ENSG00000054148",292
"ENSG00000054179",41
"ENSG00000054219",723
"ENSG00000054267",6055
"ENSG00000054277",1127
"ENSG00000054282",1203
"ENSG00000054392",49
"ENSG00000054523",4783
"ENSG00000054598",778
"ENSG00000054611",432
"ENSG00000054654",53333
"ENSG00000054690",648
"ENSG00000054793",4041
"ENSG00000054965",2683
"ENSG00000054967",544
"ENSG00000054983",950
"ENSG00000055044",3281
"ENSG00000055070",2548
"ENSG00000055118",4
"ENSG00000055130",2107
"ENSG00000055147",648
"ENSG00000055163",1005
"ENSG00000055208",2621
"ENSG00000055211",1162
"ENSG00000055332",11175
"ENSG00000055483",1100
"ENSG00000055609",7505
"ENSG00000055732",153
"ENSG00000055917",6418
"ENSG00000055950",456
"ENSG00000056050",246
"ENSG00000056097",4235
"ENSG00000056277",455
"ENSG00000056558",336
"ENSG00000056586",5041
"ENSG00000056736",1040
"ENSG00000056972",317
"ENSG00000056998",177
"ENSG00000057019",52059
"ENSG00000057252",1192
"ENSG00000057294",1834
"ENSG00000057608",11843
"ENSG00000057657",233
"ENSG00000057663",1232
"ENSG00000057704",275
"ENSG00000057757",1113
"ENSG00000057935",1058
"ENSG00000058056",936
"ENSG00000058063",5409
"ENSG00000058085",39001
"ENSG00000058091",3857
"ENSG00000058262",6331
"ENSG00000058272",6954
"ENSG00000058453",117
"ENSG00000058600",973
"ENSG00000058668",4235
"ENSG00000058673",5010
"ENSG00000058729",754
"ENSG00000058799",778
"ENSG00000058804",4820
"ENSG00000058866",96
"ENSG00000059122",133
"ENSG00000059145",160
"ENSG00000059377",379
"ENSG00000059378",2806
"ENSG00000059573",3804
"ENSG00000059588",3654
"ENSG00000059691",511
"ENSG00000059728",2028
"ENSG00000059758",3105
"ENSG00000059769",262
"ENSG00000059804",2310
"ENSG00000059915",24
"ENSG00000060069",432
"ENSG00000060138",3420
"ENSG00000060140",311
"ENSG00000060237",6747
"ENSG00000060339",4008
"ENSG00000060491",490
"ENSG00000060558",418
"ENSG00000060642",192
"ENSG00000060656",1689
"ENSG00000060688",1211
"ENSG00000060709",18
"ENSG00000060718",843
"ENSG00000060749",4147
"ENSG00000060762",234
"ENSG00000060971",487
"ENSG00000060982",766
"ENSG00000061273",1403
"ENSG00000061337",76
"ENSG00000061455",62
"ENSG00000061656",91
"ENSG00000061676",12135
"ENSG00000061794",1826
"ENSG00000061918",1196
"ENSG00000061936",1638
"ENSG00000061938",198
"ENSG00000061987",4874
"ENSG00000062038",1577
"ENSG00000062194",4795
"ENSG00000062282",486
"ENSG00000062370",387
"ENSG00000062485",2762
"ENSG00000062524",163
"ENSG00000062598",686
"ENSG00000062650",3931
"ENSG00000062716",35198
"ENSG00000062725",1743
"ENSG00000062822",327
"ENSG00000063046",6025
"ENSG00000063169",72
"ENSG00000063176",115
"ENSG00000063177",5334
"ENSG00000063180",10
"ENSG00000063241",267
"ENSG00000063244",1868
"ENSG00000063245",763
"ENSG00000063322",611
"ENSG00000063587",480
"ENSG00000063601",1272
"ENSG00000063660",558
"ENSG00000063761",114
"ENSG00000063854",222
"ENSG00000063978",1921
"ENSG00000064012",2595
"ENSG00000064042",4894
"ENSG00000064102",1277
"ENSG00000064115",2060
"ENSG00000064199",124
"ENSG00000064225",128
"ENSG00000064270",359
"ENSG00000064309",43
"ENSG00000064313",2372
"ENSG00000064393",2926
"ENSG00000064419",2280
"ENSG00000064490",319
"ENSG00000064545",147
"ENSG00000064547",171
"ENSG00000064601",1750
"ENSG00000064607",1612
"ENSG00000064651",12881
"ENSG00000064652",737
"ENSG00000064655",3
"ENSG00000064666",1993
"ENSG00000064687",149
"ENSG00000064692",734
"ENSG00000064703",1059
"ENSG00000064726",3106
"ENSG00000064763",349
"ENSG00000064787",279
"ENSG00000064932",747
"ENSG00000064933",1284
"ENSG00000064961",378
"ENSG00000064989",332
"ENSG00000064995",596
"ENSG00000064999",853
"ENSG00000065000",2013
"ENSG00000065029",201
"ENSG00000065054",362
"ENSG00000065057",174
"ENSG00000065060",1720
"ENSG00000065135",5734
"ENSG00000065150",6754
"ENSG00000065154",1347
"ENSG00000065183",2990
"ENSG00000065243",6086
"ENSG00000065268",217
"ENSG00000065308",818
"ENSG00000065328",1835
"ENSG00000065357",336
"ENSG00000065361",5624
"ENSG00000065413",1119
"ENSG00000065427",4300
"ENSG00000065457",796
"ENSG00000065485",495
"ENSG00000065491",357
"ENSG00000065518",840
"ENSG00000065526",5802
"ENSG00000065534",696
"ENSG00000065548",3161
"ENSG00000065559",1404
"ENSG00000065600",478
"ENSG00000065613",11071
"ENSG00000065615",894
"ENSG00000065618",187
"ENSG00000065621",552
"ENSG00000065665",306
"ENSG00000065675",670
"ENSG00000065717",54
"ENSG00000065802",687
"ENSG00000065809",3535
"ENSG00000065833",413
"ENSG00000065882",2254
"ENSG00000065883",3131
"ENSG00000065911",3517
"ENSG00000065923",2589
"ENSG00000065970",448
"ENSG00000065978",3221
"ENSG00000065989",152
"ENSG00000066027",1344
"ENSG00000066044",1684
"ENSG00000066056",40
"ENSG00000066084",5436
"ENSG00000066117",1712
"ENSG00000066135",1613
"ENSG00000066136",923
"ENSG00000066185",27
"ENSG00000066230",0
"ENSG00000066248",72
"ENSG00000066279",7864
"ENSG00000066294",808
"ENSG00000066322",1762
"ENSG00000066336",222
"ENSG00000066379",208
"ENSG00000066405",15
"ENSG00000066422",1893
"ENSG00000066427",1091
"ENSG00000066455",2115
"ENSG00000066468",28
"ENSG00000066557",1344
"ENSG00000066583",580
"ENSG00000066629",48
"ENSG00000066651",723
"ENSG00000066654",2373
"ENSG00000066697",507
"ENSG00000066739",3250
"ENSG00000066777",9089
"ENSG00000066827",607
"ENSG00000066855",1006
"ENSG00000066926",908
"ENSG00000066933",3477
"ENSG00000067057",5140
"ENSG00000067064",1656
"ENSG00000067066",5729
"ENSG00000067082",9891
"ENSG00000067113",830
"ENSG00000067141",237
"ENSG00000067167",45359
"ENSG00000067177",829
"ENSG00000067182",1243
"ENSG00000067191",98
"ENSG00000067208",1825
"ENSG00000067221",318
"ENSG00000067225",28120
"ENSG00000067248",1843
"ENSG00000067334",3181
"ENSG00000067365",302
"ENSG00000067369",2888
"ENSG00000067445",76
"ENSG00000067533",3279
"ENSG00000067560",11108
"ENSG00000067596",2112
"ENSG00000067601",26
"ENSG00000067606",364
"ENSG00000067704",9269
"ENSG00000067715",23
"ENSG00000067798",62
"ENSG00000067829",493
"ENSG00000067836",132
"ENSG00000067900",5106
"ENSG00000067955",3328
"ENSG00000067992",685
"ENSG00000068001",388
"ENSG00000068024",588
"ENSG00000068028",308
"ENSG00000068078",543
"ENSG00000068079",608
"ENSG00000068097",1003
"ENSG00000068120",654
"ENSG00000068137",81
"ENSG00000068305",2781
"ENSG00000068308",752
"ENSG00000068323",553
"ENSG00000068354",163
"ENSG00000068366",4087
"ENSG00000068383",807
"ENSG00000068394",422
"ENSG00000068400",843
"ENSG00000068438",868
"ENSG00000068489",935
"ENSG00000068615",74
"ENSG00000068650",10648
"ENSG00000068654",3148
"ENSG00000068697",3966
"ENSG00000068724",754
"ENSG00000068745",1076
"ENSG00000068784",1379
"ENSG00000068796",3134
"ENSG00000068878",6483
"ENSG00000068885",837
"ENSG00000068903",310
"ENSG00000068912",1974
"ENSG00000068971",282
"ENSG00000069011",226
"ENSG00000069020",3424
"ENSG00000069122",470
"ENSG00000069188",6
"ENSG00000069248",4650
"ENSG00000069275",12927
"ENSG00000069329",6316
"ENSG00000069345",2049
"ENSG00000069399",319
"ENSG00000069424",236
"ENSG00000069431",75
"ENSG00000069493",499
"ENSG00000069509",506
"ENSG00000069535",124
"ENSG00000069667",234
"ENSG00000069702",629
"ENSG00000069712",330
"ENSG00000069764",6
"ENSG00000069849",2466
"ENSG00000069869",1762
"ENSG00000069943",471
"ENSG00000069956",2268
"ENSG00000069966",800
"ENSG00000069974",802
"ENSG00000069998",298
"ENSG00000070010",884
"ENSG00000070018",2668
"ENSG00000070019",7
"ENSG00000070047",570
"ENSG00000070061",1950
"ENSG00000070081",966
"ENSG00000070087",3161
"ENSG00000070159",2000
"ENSG00000070190",1078
"ENSG00000070214",5450
"ENSG00000070269",1156
"ENSG00000070366",906
"ENSG00000070367",4189
"ENSG00000070371",1837
"ENSG00000070404",1443
"ENSG00000070413",7703
"ENSG00000070423",234
"ENSG00000070444",271
"ENSG00000070476",522
"ENSG00000070495",687
"ENSG00000070501",581
"ENSG00000070526",341
"ENSG00000070540",257
"ENSG00000070610",671
"ENSG00000070614",1994
"ENSG00000070669",555
"ENSG00000070718",951
"ENSG00000070731",120
"ENSG00000070756",70490
"ENSG00000070759",90
"ENSG00000070761",587
"ENSG00000070770",2295
"ENSG00000070778",652
"ENSG00000070785",691
"ENSG00000070814",1672
"ENSG00000070831",5916
"ENSG00000070882",5964
"ENSG00000070950",972
"ENSG00000070961",5041
"ENSG00000070985",0
"ENSG00000071051",556
"ENSG00000071054",5739
"ENSG00000071073",2179
"ENSG00000071082",6750
"ENSG00000071127",5594
"ENSG00000071189",3344
"ENSG00000071205",1077
"ENSG00000071242",626
"ENSG00000071243",356
"ENSG00000071246",326
"ENSG00000071282",289
"ENSG00000071462",727
"ENSG00000071537",6025
"ENSG00000071539",863
"ENSG00000071553",1505
"ENSG00000071564",664
"ENSG00000071575",426
"ENSG00000071626",1210
"ENSG00000071655",312
"ENSG00000071794",3207
"ENSG00000071859",669
"ENSG00000071889",188
"ENSG00000071894",833
"ENSG00000071967",369
"ENSG00000071994",853
"ENSG00000072042",2446
"ENSG00000072062",497
"ENSG00000072071",92
"ENSG00000072110",5647
"ENSG00000072121",2257
"ENSG00000072133",29
"ENSG00000072134",708
"ENSG00000072135",806
"ENSG00000072163",19
"ENSG00000072195",15
"ENSG00000072201",128
"ENSG00000072210",554
"ENSG00000072274",7353
"ENSG00000072310",804
"ENSG00000072364",9402
"ENSG00000072401",928
"ENSG00000072415",2130
"ENSG00000072422",1787
"ENSG00000072501",8111
"ENSG00000072506",706
"ENSG00000072518",979
"ENSG00000072571",1976
"ENSG00000072609",938
"ENSG00000072657",3
"ENSG00000072682",1861
"ENSG00000072694",336
"ENSG00000072736",1223
"ENSG00000072756",1238
"ENSG00000072778",3005
"ENSG00000072786",1187
"ENSG00000072803",2254
"ENSG00000072832",29
"ENSG00000072840",140
"ENSG00000072849",1026
"ENSG00000072858",40
"ENSG00000072864",989
"ENSG00000072952",395
"ENSG00000072954",18
"ENSG00000072958",438
"ENSG00000073008",2971
"ENSG00000073050",445
"ENSG00000073060",988
"ENSG00000073111",1304
"ENSG00000073169",137
"ENSG00000073331",1632
"ENSG00000073350",1535
"ENSG00000073417",2062
"ENSG00000073464",103
"ENSG00000073536",409
"ENSG00000073578",1219
"ENSG00000073584",2089
"ENSG00000073605",685
"ENSG00000073614",4774
"ENSG00000073711",1678
"ENSG00000073712",1657
"ENSG00000073737",327
"ENSG00000073756",1419
"ENSG00000073792",2171
"ENSG00000073803",2204
"ENSG00000073849",679
"ENSG00000073910",960
"ENSG00000073921",20907
"ENSG00000073969",706
"ENSG00000074047",68
"ENSG00000074054",4343
"ENSG00000074071",553
"ENSG00000074181",1105
"ENSG00000074201",3484
"ENSG00000074219",91
"ENSG00000074266",1710
"ENSG00000074276",10
"ENSG00000074319",1114
"ENSG00000074356",1707
"ENSG00000074370",146
