ensembl_gene_id,external_gene_name,description,gene_biotype,degree,betweenness,closeness,eigen_centrality,source
ENSG00000143947,RPS27A,ribosomal protein S27a ,protein_coding,764,198506.746530728,0.000115194102061974,0.993794700862103,STRING
ENSG00000221983,UBA52,ubiquitin A-52 residue ribosomal protein fusion product 1 ,protein_coding,722,160211.753712933,0.000113623451880468,0.936699457667565,STRING
ENSG00000150991,UBC,ubiquitin C ,protein_coding,678,151668.448073873,0.000113071008593397,0.908816825485604,STRING
ENSG00000170315,UBB,ubiquitin B ,protein_coding,614,94458.9245719152,0.000111308993766696,0.847740900304332,STRING
ENSG00000141510,TP53,tumor protein p53 ,protein_coding,590,208463.148630259,0.000113610543058396,0.7517469283815,STRING
ENSG00000146648,EGFR,epidermal growth factor receptor ,protein_coding,514,210508.056204948,0.000115713955102985,0.359757024751212,STRING
ENSG00000100393,EP300,E1A binding protein p300 ,protein_coding,506,108810.598739077,0.000108565845185105,0.825934065859921,STRING
ENSG00000274618,H4C6,H4 clustered histone 6 ,protein_coding,496,78729.7595606957,0.000104504127913053,1,STRING
ENSG00000080824,HSP90AA1,heat shock protein 90 alpha family class A member 1 ,protein_coding,442,138170.149097794,0.000113934146063575,0.452772397917962,STRING
ENSG00000197122,SRC,"SRC proto-oncogene, non-receptor tyrosine kinase ",protein_coding,428,121481.754198701,0.000112007168458781,0.283297876543241,STRING
ENSG00000168036,CTNNB1,catenin beta 1 ,protein_coding,420,182147.531354763,0.000113134970019233,0.426647024259036,STRING
ENSG00000091831,ESR1,estrogen receptor 1 ,protein_coding,408,165732.678795248,0.000111856823266219,0.581885165794471,STRING
ENSG00000177885,GRB2,growth factor receptor bound protein 2 ,protein_coding,408,98993.171710005,0.000109541023113156,0.264568223233383,STRING
ENSG00000005339,CREBBP,CREB binding protein ,protein_coding,380,62194.2084902487,0.000104329681794471,0.628176875008665,STRING
ENSG00000012048,BRCA1,BRCA1 DNA repair associated ,protein_coding,378,66905.1212121395,0.000105163529288043,0.556094775779481,STRING
ENSG00000078369,GNB1,G protein subunit beta 1 ,protein_coding,376,95750.1113886938,9.79144227944776e-05,0.0728822604958183,STRING
ENSG00000116478,HDAC1,histone deacetylase 1 ,protein_coding,376,65206.2343858302,0.000103939299449122,0.56999377546429,STRING
ENSG00000096384,HSP90AB1,heat shock protein 90 alpha family class B member 1 ,protein_coding,372,124910.962183823,0.000113417262107293,0.354808705198671,STRING
ENSG00000115414,FN1,fibronectin 1 ,protein_coding,360,153750.063640909,0.000107921433196633,0.16208867932186,STRING
ENSG00000186469,GNG2,G protein subunit gamma 2 ,protein_coding,352,59056.6999517115,9.54016409082236e-05,0.0634221182726786,STRING
ENSG00000145675,PIK3R1,phosphoinositide-3-kinase regulatory subunit 1 ,protein_coding,326,52189.2027926731,0.00010673497705198,0.216913143788965,STRING
ENSG00000141867,BRD4,bromodomain containing 4 ,protein_coding,314,52939.3283677111,0.000102944204241301,0.472166698246036,STRING
ENSG00000183598,H3C13,H3 clustered histone 13 ,protein_coding,304,16270.6587889199,9.90883868410622e-05,0.769524716002921,STRING
ENSG00000075624,ACTB,actin beta ,protein_coding,300,72675.8014348404,0.000105977108944468,0.352976782064833,STRING
ENSG00000115904,SOS1,SOS Ras/Rac guanine nucleotide exchange factor 1 ,protein_coding,284,38468.5471012407,0.000100240577385726,0.142899830142511,STRING
ENSG00000170606,HSPA4,heat shock protein family A (Hsp70) member 4 ,protein_coding,284,72551.3476848258,0.000110204981265153,0.244631375136282,STRING
ENSG00000109971,HSPA8,heat shock protein family A (Hsp70) member 8 ,protein_coding,282,90269.2186100014,0.000108672027820039,0.271862151639108,STRING
ENSG00000197153,H3C12,H3 clustered histone 12 ,protein_coding,282,19798.0985555578,0.000100979501161264,0.714633489319436,STRING
ENSG00000168610,STAT3,signal transducer and activator of transcription 3 ,protein_coding,276,73246.733005478,0.000108354101202731,0.290040224149686,STRING
ENSG00000184678,H2BC21,H2B clustered histone 21 ,protein_coding,274,12337.4414468178,9.86485153398441e-05,0.698314824670058,STRING
ENSG00000180596,H2BC4,H2B clustered histone 4 ,protein_coding,270,7746.12107182634,9.765625e-05,0.716613871852479,STRING
ENSG00000142208,AKT1,AKT serine/threonine kinase 1 ,protein_coding,266,69707.8945550361,0.000109625082218812,0.253351971507037,STRING
ENSG00000177606,JUN,"Jun proto-oncogene, AP-1 transcription factor subunit ",protein_coding,266,48252.9022498994,0.000105954651409197,0.442239526442872,STRING
ENSG00000188486,H2AX,H2A.X variant histone ,protein_coding,266,15639.5029952611,9.87947046038332e-05,0.654704740949095,STRING
ENSG00000010810,FYN,"FYN proto-oncogene, Src family tyrosine kinase ",protein_coding,262,33767.3092565143,0.000102764361319494,0.128660012545941,STRING
ENSG00000100387,RBX1,ring-box 1 ,protein_coding,262,32742.8433337079,0.000101698362656361,0.334454353844659,STRING
ENSG00000142192,APP,amyloid beta precursor protein ,protein_coding,262,128428.216878552,0.000105909764880322,0.11300564326395,STRING
ENSG00000067369,TP53BP1,tumor protein p53 binding protein 1 ,protein_coding,258,28043.8193859335,9.74184120798831e-05,0.568956771603536,STRING
ENSG00000070831,CDC42,cell division cycle 42 ,protein_coding,258,63877.8286563617,0.000104580631667015,0.169124043846263,STRING
ENSG00000179295,PTPN11,protein tyrosine phosphatase non-receptor type 11 ,protein_coding,258,55946.3837728668,0.000102438024994878,0.181973565952965,STRING
ENSG00000181163,NPM1,nucleophosmin 1 ,protein_coding,256,50014.3833679575,0.00010515247108307,0.345839592668246,STRING
ENSG00000137486,ARRB1,arrestin beta 1 ,protein_coding,254,86851.4615855367,0.000104931794333683,0.149767336326302,STRING
ENSG00000160691,SHC1,SHC adaptor protein 1 ,protein_coding,254,20712.8880101556,0.00010275380189067,0.162116326571281,STRING
ENSG00000132475,H3-3B,H3.3 histone B ,protein_coding,252,11998.6903775675,9.81257972721028e-05,0.625976500601611,STRING
ENSG00000166949,SMAD3,SMAD family member 3 ,protein_coding,252,41381.9625524218,0.000102595670462706,0.341611592904596,STRING
ENSG00000105974,CAV1,caveolin 1 ,protein_coding,250,69877.9744666095,0.000106258633513973,0.139803825007359,STRING
ENSG00000114166,KAT2B,lysine acetyltransferase 2B ,protein_coding,250,21149.6293171746,9.89315393747527e-05,0.42668802125838,STRING
ENSG00000127616,SMARCA4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4 ",protein_coding,250,25655.221681291,9.96909580301067e-05,0.529916934810262,STRING
ENSG00000135679,MDM2,MDM2 proto-oncogene ,protein_coding,250,34948.5871507036,0.000105141415203449,0.350948151242697,STRING
ENSG00000100644,HIF1A,hypoxia inducible factor 1 subunit alpha ,protein_coding,246,45243.2174079229,0.000105607772732073,0.349329481125827,STRING
ENSG00000161011,SQSTM1,sequestosome 1 ,protein_coding,246,61479.5088392101,0.000106780565936999,0.211838800791909,STRING
ENSG00000175104,TRAF6,TNF receptor associated factor 6 ,protein_coding,246,51265.7905548466,0.000104253544620517,0.223727268092555,STRING
ENSG00000196591,HDAC2,histone deacetylase 2 ,protein_coding,246,17645.3680622661,9.80392156862745e-05,0.417474035971509,STRING
ENSG00000188906,LRRK2,leucine rich repeat kinase 2 ,protein_coding,242,95448.1010659109,0.000104909777591272,0.193976544293823,STRING
ENSG00000136997,MYC,"MYC proto-oncogene, bHLH transcription factor ",protein_coding,240,40231.2853610002,0.000103412616339193,0.379312967751706,STRING
ENSG00000197903,H2BC12,H2B clustered histone 12 ,protein_coding,238,7948.92994955014,9.74658869395711e-05,0.660315638429804,STRING
ENSG00000180573,H2AC6,H2A clustered histone 6 ,protein_coding,236,6384.21450134592,9.6665055582407e-05,0.671744021963068,STRING
ENSG00000026508,CD44,CD44 molecule (IN blood group) ,protein_coding,234,68633.1490441635,0.000103960910697578,0.107188290650553,STRING
ENSG00000121879,PIK3CA,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha ",protein_coding,234,16203.9621176023,0.000101276078590237,0.151322134616967,STRING
ENSG00000168148,H3-4,"H3.4 histone, cluster member ",protein_coding,232,10704.0109228118,9.57762666411263e-05,0.530722901960467,STRING
ENSG00000102054,RBBP7,"RB binding protein 7, chromatin remodeling factor ",protein_coding,230,10595.6315547291,9.33271115258983e-05,0.452120402345131,STRING
ENSG00000125686,MED1,mediator complex subunit 1 ,protein_coding,230,16925.8811956368,9.81450583963098e-05,0.488675133960545,STRING
ENSG00000204628,RACK1,receptor for activated C kinase 1 ,protein_coding,230,47857.0237042779,0.000104297037964122,0.215500843685998,STRING
ENSG00000160014,CALM3,calmodulin 3 ,protein_coding,228,63683.6147789039,0.000102103328568511,0.0842441360597919,STRING
ENSG00000170312,CDK1,cyclin dependent kinase 1 ,protein_coding,228,47364.6155112702,0.000102944204241301,0.278703710339114,STRING
ENSG00000162521,RBBP4,"RB binding protein 4, chromatin remodeling factor ",protein_coding,226,8193.38684797392,9.18020747268888e-05,0.461800119296666,STRING
ENSG00000275713,H2BC9,H2B clustered histone 9 ,protein_coding,226,4135.78183050676,9.63205548063957e-05,0.633600705272425,STRING
ENSG00000277075,H2AC8,H2A clustered histone 8 ,protein_coding,224,5708.54149763383,9.70308558121483e-05,0.641941793792038,STRING
