ensembl_gene_id,external_gene_name,description,gene_biotype,degree,betweenness,closeness,eigen_centrality,source
ENSG00000136928,GABBR2,gamma-aminobutyric acid type B receptor subunit 2 ,protein_coding,26,15104.6674473889,9.11992704058368e-05,6.77587863894363e-13,subnet
ENSG00000157456,CCNB2,cyclin B2 ,protein_coding,24,24847.0570756681,0.00015389350569406,2.43020717734828e-05,subnet
ENSG00000169679,BUB1,BUB1 mitotic checkpoint serine/threonine kinase ,protein_coding,24,24860.7962707072,0.000151034586920405,2.65323577926172e-05,subnet
ENSG00000179934,CCR8,C-C motif chemokine receptor 8 ,protein_coding,24,3253.59949483632,0.000130650640188137,0.00465584660580325,subnet
ENSG00000186810,CXCR3,C-X-C motif chemokine receptor 3 ,protein_coding,24,3253.59949483632,0.000130650640188137,0.00465584660580334,subnet
ENSG00000057593,F7,coagulation factor VII ,protein_coding,22,16319.0959173505,0.000151538111835127,1,subnet
ENSG00000080986,NDC80,NDC80 kinetochore complex component ,protein_coding,22,577.643111154416,0.000139997200055999,1.71624108217789e-05,subnet
ENSG00000115718,PROC,"protein C, inactivator of coagulation factors Va and VIIIa ",protein_coding,22,7610.65405930458,0.000143204926249463,0.976599054414832,subnet
ENSG00000122952,ZWINT,ZW10 interacting kinetochore protein ,protein_coding,22,1842.39872435259,0.000141763538417919,2.0221093239555e-05,subnet
ENSG00000143995,MEIS1,Meis homeobox 1 ,protein_coding,22,20568.7649766902,0.00012868356710848,2.05778243821088e-06,subnet
ENSG00000184113,CLDN5,claudin 5 ,protein_coding,22,2766.22619047618,9.74658869395711e-05,1.1552719666028e-09,subnet
ENSG00000089685,BIRC5,baculoviral IAP repeat containing 5 ,protein_coding,20,42094.6954564156,0.000158328055731476,5.63568703851736e-05,subnet
ENSG00000126218,F10,coagulation factor X ,protein_coding,20,14955.0959173505,0.000151492198151795,0.987220306875555,subnet
ENSG00000165215,CLDN3,claudin 3 ,protein_coding,20,10.2261904761905,9.14662032379036e-05,1.02971767881706e-09,subnet
ENSG00000184374,COLEC10,collectin subfamily member 10 ,protein_coding,20,7616.70178687905,0.000143430866322433,0.952437571398044,subnet
ENSG00000185883,ATP6V0C,ATPase H+ transporting V0 subunit c ,protein_coding,20,8386.60690027345,9.32053313449529e-05,6.0269594504831e-12,subnet
ENSG00000205403,CFI,complement factor I ,protein_coding,20,15229.4674053334,0.000143245953301819,0.937228327030103,subnet
ENSG00000105289,TJP3,tight junction protein 3 ,protein_coding,18,1065.58333333333,9.74373964727662e-05,1.05141318617049e-09,subnet
ENSG00000117525,F3,"coagulation factor III, tissue factor ",protein_coding,18,13812.6721078267,0.000151400454201363,0.948786259212414,subnet
ENSG00000117724,CENPF,centromere protein F ,protein_coding,18,6362.0036449808,0.000150217815832958,1.89848122887452e-05,subnet
ENSG00000131187,F12,coagulation factor XII ,protein_coding,18,31911.0061575406,0.000146649068778413,0.92186604292304,subnet
ENSG00000134138,MEIS2,Meis homeobox 2 ,protein_coding,18,2963.99803742356,0.000128865979381443,2.06616523295013e-06,subnet
ENSG00000137812,KNL1,kinetochore scaffold 1 ,protein_coding,18,1425.67558394741,0.000137230684781117,1.37373229255104e-05,subnet
ENSG00000142748,FCN3,ficolin 3 ,protein_coding,18,6802.73310229025,0.000143410296859315,0.936615041557509,subnet
ENSG00000174021,GNG5,G protein subunit gamma 5 ,protein_coding,18,3775.28836845525,8.88178346211919e-05,1.71746569991914e-13,subnet
ENSG00000197561,ELANE,"elastase, neutrophil expressed ",protein_coding,18,34271.728589807,0.000136425648021828,0.0164262084979464,subnet
ENSG00000213937,CLDN9,claudin 9 ,protein_coding,18,1400.14285714286,9.74373964727662e-05,1.081842961256e-09,subnet
ENSG00000242616,GNG10,G protein subunit gamma 10 ,protein_coding,18,3775.28836845525,8.88178346211919e-05,1.7175228730803e-13,subnet
ENSG00000013297,CLDN11,claudin 11 ,protein_coding,16,0.142857142857143,9.14494741655236e-05,9.51113471435798e-10,subnet
ENSG00000066405,CLDN18,claudin 18 ,protein_coding,16,0.142857142857143,9.14494741655236e-05,9.5111363462832e-10,subnet
ENSG00000106404,CLDN15,claudin 15 ,protein_coding,16,0.142857142857143,9.14494741655236e-05,9.51113838618972e-10,subnet
ENSG00000127241,MASP1,MBL associated serine protease 1 ,protein_coding,16,0,0.000142551674982181,0.909516540797196,subnet
ENSG00000136944,LMX1B,LIM homeobox transcription factor 1 beta ,protein_coding,16,21497.8391835295,0.000139062717285496,5.602725983941e-06,subnet
ENSG00000164007,CLDN19,claudin 19 ,protein_coding,16,0.142857142857143,9.14494741655236e-05,9.51113879417102e-10,subnet
ENSG00000169245,CXCL10,C-X-C motif chemokine ligand 10 ,protein_coding,16,18422.750504098,0.000139470013947001,0.00910257057116733,subnet
ENSG00000188257,PLA2G2A,phospholipase A2 group IIA ,protein_coding,16,22174.0889357961,0.000130907186804556,2.53466777832363e-06,subnet
ENSG00000197616,MYH6,myosin heavy chain 6 ,protein_coding,16,36458.2225055257,0.000147340503904523,1.22852463962955e-06,subnet
ENSG00000003436,TFPI,tissue factor pathway inhibitor ,protein_coding,14,53576.2954968619,0.00015581177937052,0.370034013609824,subnet
ENSG00000117215,PLA2G2D,phospholipase A2 group IID ,protein_coding,14,2404.4883050884,0.000125328988595062,2.4811293342485e-06,subnet
ENSG00000117983,MUC5B,"mucin 5B, oligomeric mucus/gel-forming ",protein_coding,14,9757.63637782733,0.000117966261649168,3.86794388058933e-05,subnet
ENSG00000119139,TJP2,tight junction protein 2 ,protein_coding,14,14034.25,0.000104199228925706,1.23184630380753e-09,subnet
ENSG00000122592,HOXA7,homeobox A7 ,protein_coding,14,4068,0.000118736642127761,3.21784621209011e-07,subnet
ENSG00000123612,ACVR1C,activin A receptor type 1C ,protein_coding,14,18772.5017236251,0.000118539592223803,9.52812503170308e-08,subnet
ENSG00000128285,MCHR1,melanin concentrating hormone receptor 1 ,protein_coding,14,6434.88112979162,0.000105596620908131,8.48413548138256e-05,subnet
ENSG00000138755,CXCL9,C-X-C motif chemokine ligand 9 ,protein_coding,14,141.948408029879,0.000128501670521717,0.00417830729242126,subnet
ENSG00000143228,NUF2,NUF2 component of NDC80 kinetochore complex ,protein_coding,14,1.91666666666667,0.000137193030594046,1.45602775015038e-05,subnet
ENSG00000146469,VIP,vasoactive intestinal peptide ,protein_coding,14,11190.8771659184,8.64603147155456e-05,7.92953621835473e-13,subnet
ENSG00000149564,ESAM,endothelial cell adhesion molecule ,protein_coding,14,0,9.1441111923921e-05,8.39532828875592e-10,subnet
ENSG00000152503,TRIM36,tripartite motif containing 36 ,protein_coding,14,7401.37205310654,0.000132678784662333,3.60206393551262e-08,subnet
ENSG00000156234,CXCL13,C-X-C motif chemokine ligand 13 ,protein_coding,14,6021.1133213735,0.000137230684781117,0.00888813811505645,subnet
ENSG00000161888,SPC24,SPC24 component of NDC80 kinetochore complex ,protein_coding,14,61.675583947407,0.000137193030594046,1.3344519241977e-05,subnet
