"","ensembl_peptide_id","uniprot_id","cluster","betweenness","degree_centrality","pocket","druggability","num_drug_pockets"
"10","ENSP00000404854","Q92597",1,6,2,0.317,0.96,1
"5","ENSP00000241261","P50591",1,0,1,0.184,0.94,1
"17","ENSP00000348161","Q9UJ42",2,0,2,0.089,0.879,1
"14","ENSP00000333037","Q9BYD9",3,0,1,0.09,0.821,1
"2","ENSP00000250160","O95388",1,0,1,0.174,0.57,2
"9","ENSP00000414635","Q8IZ02",3,0,1,0.488,0.555,1
"7","ENSP00000391299","Q7Z3H4",2,0,1,0.286,0.434,1
"4","ENSP00000295797","P41743",2,4,2,0.145,0.34,0
"16","ENSP00000326240","Q9NPC7",3,0,1,0.18,0.318,0
"13","ENSP00000337688","Q99442",2,0,2,0.094,0.307,0
"15","ENSP00000276708","Q9BYG8",1,0,1,0.06,0.21,0
"12","ENSP00000312150","Q96RU8",1,0,1,0.268,0.201,0
"6","ENSP00000325978","Q6UY01",3,6,4,0.168,0.181,0
"8","ENSP00000319305","Q7Z3I7",1,6,2,0.086,0.068,0
"3","ENSP00000415243","P12757",2,8,4,0.058,0.059,0
"1","ENSP00000342188","A6NIV6",3,0,1,0.118,0.046,0
"11","ENSP00000302578","Q96KN1",1,14,3,0.058,0.005,0
