"","gene_id","logFC","logCPM","LR","PValue","FDR"
"ENSG00000000971","ENSG00000000971",-3.08353069326797,7.24609406880359,1008.74194700641,2.2599036705926e-221,1.91241710949105e-220
"ENSG00000001617","ENSG00000001617",3.71798322755797,6.54656360859411,1108.80853051039,4.02168305030641e-243,3.99575343682926e-242
"ENSG00000001631","ENSG00000001631",-2.59697013865327,4.19283989912029,4581.60886220275,0,0
"ENSG00000002587","ENSG00000002587",-3.60165617736593,5.3553920982302,1892.66127476944,0,0
"ENSG00000002726","ENSG00000002726",8.25922113534359,4.77644060516644,745.342422783697,4.13171858063543e-164,2.28125343345009e-163
"ENSG00000003147","ENSG00000003147",2.7282317778046,4.01625831171378,827.230653553058,6.48260084448956e-182,4.13309387726869e-181
"ENSG00000003249","ENSG00000003249",3.01117870335786,5.07893732051448,1000.49773160862,1.39983552577332e-219,1.16728709156747e-218
"ENSG00000003436","ENSG00000003436",-2.65337938565818,3.98274280206,861.381584115916,2.43896261993909e-189,1.64483212136811e-188
"ENSG00000003756","ENSG00000003756",-2.38303395954619,6.96592525580459,2170.75135382407,0,0
"ENSG00000003989","ENSG00000003989",-3.67284654748963,7.5476754771851,753.431423173134,7.19927704843353e-166,4.01668571022305e-165
"ENSG00000004468","ENSG00000004468",2.60360528293125,2.45597266674834,286.571988525508,2.77654085313261e-64,6.65834026560434e-64
"ENSG00000004534","ENSG00000004534",-2.76851242401106,7.1724964776242,2650.0033048588,0,0
"ENSG00000004776","ENSG00000004776",-3.2318250744431,5.91076030319786,851.12309495781,4.14384329210455e-187,2.74770331890409e-186
"ENSG00000004799","ENSG00000004799",-4.66587016789597,7.46849214157016,2510.09007575426,0,0
"ENSG00000004838","ENSG00000004838",2.89999008894568,3.16038390716142,332.55558507779,2.66798829620508e-74,7.02678168595458e-74
"ENSG00000004848","ENSG00000004848",-5.66358291422969,5.52117293422047,619.882793055881,7.92956277022862e-137,3.5306143394748e-136
"ENSG00000005001","ENSG00000005001",6.4565326071487,3.58105852548485,1115.01117212406,1.80431419830396e-244,1.81609939881542e-243
"ENSG00000005102","ENSG00000005102",3.19962702991864,3.8184751261234,202.081428315929,7.33886852456774e-46,1.47716776336976e-45
"ENSG00000005187","ENSG00000005187",-4.03106542670108,6.93078765622214,2049.7283378636,0,0
"ENSG00000005249","ENSG00000005249",-2.14388385860845,5.22931210327908,732.501128966691,2.56062440671354e-161,1.38065857618809e-160
"ENSG00000005379","ENSG00000005379",-2.27219693671402,6.11417691433022,911.23108431147,3.55086915536519e-200,2.58595905879856e-199
"ENSG00000005884","ENSG00000005884",2.09043295576671,7.78350426089947,573.098605532391,1.18929578041078e-126,4.89112569419004e-126
"ENSG00000006047","ENSG00000006047",4.14728510131238,3.40045820640202,858.265172772049,1.16067463994663e-188,7.78328816430702e-188
"ENSG00000006283","ENSG00000006283",-3.07701460776978,3.69052087711258,522.927014932088,9.76639841916455e-116,3.67073657656892e-115
"ENSG00000006327","ENSG00000006327",3.64003288250169,5.98321321998271,954.191311749601,1.62801232513062e-209,1.26897672889544e-208
"ENSG00000006453","ENSG00000006453",4.06293720790699,5.38525765125017,3156.31057553237,0,0
"ENSG00000006468","ENSG00000006468",2.0985416037843,3.257541377831,292.009055781066,1.81470637552371e-65,4.40665383656167e-65
"ENSG00000006534","ENSG00000006534",2.74979151816434,5.41813872016091,759.945570056428,2.75991300769683e-167,1.55390060097216e-166
"ENSG00000006555","ENSG00000006555",4.79570958028309,4.40022921159544,2026.88129515395,0,0
"ENSG00000006652","ENSG00000006652",-3.19133257729439,4.95808511314061,2788.79251610458,0,0
"ENSG00000007038","ENSG00000007038",8.06225310656916,5.1228982724936,1273.8457221856,5.457043417086e-279,7.06664193758784e-278
"ENSG00000007062","ENSG00000007062",5.86853856446829,3.95925814309352,563.557965358082,1.41464096701855e-124,5.71568361346509e-124
"ENSG00000007264","ENSG00000007264",2.48256675827421,1.432818614527,316.351772575923,9.02772252824704e-71,2.30135987031078e-70
"ENSG00000007516","ENSG00000007516",2.1716090913779,3.43347241684062,267.946846178931,3.17973842703932e-60,7.33419685087201e-60
"ENSG00000007545","ENSG00000007545",-2.26271393721408,5.13732345083294,2288.62943711617,0,0
"ENSG00000007968","ENSG00000007968",5.44644735326835,3.42305082741075,1330.36565311175,2.84706697202096e-291,3.98485940407293e-290
"ENSG00000008118","ENSG00000008118",-3.4060040005291,3.63865498348016,776.472836503109,7.03696319788275e-171,4.09979595007082e-170
"ENSG00000008128","ENSG00000008128",-5.04276254325865,3.41217216869407,5806.90228058633,0,0
"ENSG00000008277","ENSG00000008277",-2.31360651126534,3.06089980565496,674.294112900047,1.16350289765494e-148,5.68471136742633e-148
"ENSG00000008283","ENSG00000008283",2.00423703598451,6.12046366352882,1008.36169470319,2.73364663713556e-221,2.31204690879577e-220
"ENSG00000008294","ENSG00000008294",-2.11292136713657,6.28128413021326,2154.54583844857,0,0
"ENSG00000008311","ENSG00000008311",-4.15278817715517,5.46819871928131,2010.52616726499,0,0
"ENSG00000008323","ENSG00000008323",5.49390793518864,3.49876833451683,1626.24102622732,0,0
"ENSG00000008394","ENSG00000008394",3.3652943843308,5.76938819430582,427.441762951993,5.8572253844345e-95,1.84542717591772e-94
"ENSG00000008517","ENSG00000008517",3.00285090124071,5.75484534232548,557.401538256603,3.08940018520813e-123,1.23849263408057e-122
"ENSG00000008710","ENSG00000008710",-2.36331888192352,7.11666920360863,1189.84354709301,9.83076871531997e-261,1.11473249376807e-259
"ENSG00000008853","ENSG00000008853",-2.44048193844508,5.09172658570041,1135.60851901084,6.02126084051904e-249,6.28216855466475e-248
"ENSG00000009724","ENSG00000009724",-2.29414457457537,1.49948837076765,617.491752418873,2.62599344340376e-136,1.1621642436201e-135
"ENSG00000010030","ENSG00000010030",2.05512132803013,2.67823130459108,262.713067489943,4.39687163354081e-59,1.00542798446155e-58
"ENSG00000010278","ENSG00000010278",3.61936108263237,8.95836532683182,1476.56737617182,4.94065645841247e-323,8.44852254388532e-322
"ENSG00000010292","ENSG00000010292",2.56056227291063,7.14761212987675,1251.39602318186,4.12764698198595e-274,5.18817618208838e-273
"ENSG00000010295","ENSG00000010295",-3.13340914369095,4.3479801554639,1785.57299968284,0,0
"ENSG00000010404","ENSG00000010404",-4.77071202186521,6.34727823690724,5861.03080346779,0,0
"ENSG00000010610","ENSG00000010610",2.28195039278632,5.62566328331199,568.099646732745,1.45443994880226e-125,5.9215111257709e-125
"ENSG00000011201","ENSG00000011201",3.01702090778699,3.6663357511982,416.534194086564,1.38620439241369e-92,4.27827151754354e-92
"ENSG00000011332","ENSG00000011332",2.93341448428551,1.67369986691056,345.08278803006,4.98831142442518e-77,1.34293988557638e-76
"ENSG00000011426","ENSG00000011426",3.45595843877537,4.74072613356338,1127.53341038209,3.42548353703999e-247,3.5285228145579e-246
"ENSG00000011465","ENSG00000011465",-3.33299526342969,10.1759068868528,981.676628953843,1.72640653728535e-215,1.40316058752992e-214
"ENSG00000011600","ENSG00000011600",3.69186262065037,6.15581887025698,859.792551166239,5.40330261051296e-189,3.63126442337569e-188
"ENSG00000012124","ENSG00000012124",-3.73439851689696,6.78035652256029,773.165892737278,3.68471080137146e-170,2.13383665723916e-169
"ENSG00000012211","ENSG00000012211",2.18116574680936,4.94075940650662,888.070151043749,3.84809417086626e-195,2.70648704578042e-194
"ENSG00000012223","ENSG00000012223",5.5601564034537,5.25725740416087,365.311650233173,1.96340801578394e-81,5.51314094811051e-81
"ENSG00000012779","ENSG00000012779",2.08838095367569,4.43748878414622,297.004434587157,1.48052223125436e-66,3.62658521437445e-66
"ENSG00000013297","ENSG00000013297",-3.97619194464817,6.02735382505615,1474.9225326662,1.08694442085074e-322,1.84780551544626e-321
"ENSG00000013441","ENSG00000013441",-2.55271645917435,7.01514105379611,2257.43914814826,0,0
"ENSG00000013725","ENSG00000013725",2.14149716735882,2.24952046752961,315.753388129871,1.2187771374014e-70,3.1043563119596e-70
"ENSG00000013810","ENSG00000013810",3.74307049858766,5.93934687488701,1716.70539251044,0,0
"ENSG00000014257","ENSG00000014257",3.14687973560195,3.73886565482866,367.00480000031,8.4013496474256e-82,2.36898075145157e-81
"ENSG00000014914","ENSG00000014914",-2.57957547048279,5.04116119300801,1613.9457926895,0,0
"ENSG00000015133","ENSG00000015133",2.7677857947015,5.13807755890709,855.920733877651,3.75311201424987e-188,2.51021945050306e-187
"ENSG00000015285","ENSG00000015285",2.01624614906816,3.25717481077523,389.61417540465,1.00431938910113e-86,2.95918963404367e-86
"ENSG00000015475","ENSG00000015475",2.04867522689515,5.00976514115182,931.303058026552,1.53829603990515e-204,1.15691273669782e-203
"ENSG00000015479","ENSG00000015479",-2.73593482098529,2.33922116295185,1389.41163879222,4.20057430506403e-304,6.38371302179849e-303
"ENSG00000018189","ENSG00000018189",-2.37909142021756,5.71427585152455,1942.08751291599,0,0
"ENSG00000018236","ENSG00000018236",-2.67054479606757,4.8715385061069,536.671334066693,9.99035383195207e-119,3.85263645020974e-118
"ENSG00000018625","ENSG00000018625",-3.30875222196639,4.46670037891973,336.058662455435,4.60509212009837e-75,1.22141944183676e-74
"ENSG00000019102","ENSG00000019102",3.04089198547036,3.07791792885709,218.458688787278,1.96149916271647e-49,4.09187790679042e-49
"ENSG00000019505","ENSG00000019505",6.56923652670527,3.44565063920106,1026.48507694734,3.14368730246895e-225,2.73541622422623e-224
"ENSG00000019582","ENSG00000019582",3.87372221118729,11.3246056524039,997.682550442109,5.72791390199761e-219,4.75833710133602e-218
"ENSG00000020181","ENSG00000020181",-2.28527265346512,5.90615051100122,639.799746363355,3.69395992855366e-141,1.70788846381674e-140
"ENSG00000020633","ENSG00000020633",4.8817019846066,4.9556186024755,723.384100215738,2.45921085865992e-159,1.30993568378671e-158
"ENSG00000021300","ENSG00000021300",3.96110938161386,5.73480998728473,977.096614162488,1.70881109763152e-214,1.3794017294134e-213
